Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,Skewt_df,Skewt_nc,Skewt_loc,Skewt_scale,PIT
2015-01-01,2015-10-01,-0.7572129780924364,-0.06863261610217108,-1.0950137045694142,-0.6961533437099446,0.6006088878808491,0.9553842493208318,0.4741429149186448,0.2008696942522382,0.40159408190917933,99.99999999998768,2.330359328360662,-1.5830254079544637,0.6367560440766895,0.15094934036115643
2015-02-01,2015-11-01,-0.9613875482682666,-0.23911545371895215,-1.3614216273864166,-0.9382861046926649,0.33420096506384667,0.688773002522769,0.5216769785646538,0.20180992918343574,0.40257284216321587,99.9999999999589,-6.439416818387745,3.415374612081119,0.5742515579885318,0.15283742223814775
2015-03-01,2015-12-01,-0.8846061718801757,-0.10315145433645873,-1.1973829116306511,-0.7829826188489264,0.7380024818485431,1.1162865231067798,0.6106714755713305,0.25570397896619385,0.5164423734369192,99.99999999985019,6.810661336459555,-4.414211594653983,0.637649034892072,0.11499055785857634
2015-04-01,2016-01-01,-0.8913308118217778,-0.4259546182411533,-1.2563822268065294,-0.9089299153394848,0.18622524728522882,0.8631185973070108,0.21657500155159082,0.1538565077456966,0.3058929543884316,4.25309571234605,0.6835427217082368,-0.7447770041832368,0.47741874007708374,0.16648994813694695
2015-05-01,2016-02-01,-0.4777355470935163,-0.25440705538155584,-1.1227497147255625,-0.7269281113998716,0.27644182437738246,0.7818803190653867,0.04987561521033919,0.08124355324751865,0.1696648822069607,4.01153645272416,-0.03252600781420209,-0.2140652948332804,0.45911036490526547,0.30938081206691526
2015-06-01,2016-03-01,-0.4835425102155177,-0.23679691606721676,-1.0208584784752617,-0.6687496364028434,0.5206312867119145,0.8895797766050901,0.06088338823159804,0.09097967013112827,0.1946962412244686,7.612482782417583,0.9407871910502802,-0.693904905614892,0.5181031494989574,0.29286374998727827
2015-07-01,2016-04-01,-0.0345979297843968,-0.5413655449021171,-1.3788412661506655,-1.0622827208925933,0.26738227464804254,0.6529149266097747,0.25681341573210187,0.14516913293196942,0.2742922675856576,54.42911060202178,9.999999999998773,-5.06278083038253,0.45413822928282344,0.7573846181255702
2015-08-01,2016-05-01,-0.078091993123941,-0.6228845035713526,-1.277709185441367,-1.1147044814737939,0.1993767400862544,0.5284585699961837,0.2967988794395931,0.13267461509092748,0.25676512245695654,99.99999999999999,9.99999999999999,-5.342744408462196,0.48198906097431055,0.7604278920802059
2015-09-01,2016-06-01,-0.2309070414847625,-0.6500231172289261,-1.423951821160685,-1.1111750814102095,0.22227171963802306,0.7422986668370157,0.17565828494718752,0.12556436476696115,0.22434284105976987,25.00454489863331,9.999999999914046,-4.274754538228143,0.36463324481304377,0.6976677205889423
2015-10-01,2016-07-01,-0.0341674115764689,-0.1902370502421924,-0.9458446419648325,-0.6028150969101809,0.48322556226843283,1.0258093403708202,0.024357732113249493,0.07146990944514796,0.1368966300841131,4.707096832144474,1.0219596547333434,-0.6509906178399502,0.4467979089150947,0.6025489076211825
