Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,LogS_direct,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,q05_YoY_timesafe,q16_YoY_timesafe,q84_YoY_timesafe,q95_YoY_timesafe,Violation90_YoY_timesafe,UpperViolation95_YoY_timesafe,SHAP_Shap_target_core_3m_lag2,SHAP_Shap_PPI_lag2,SHAP_Shap_real_turnover_lag2,SHAP_Shap_retail_turnover_lag2,SHAP_Shap_Manufacturing_EU_lag2,SHAP_Shap_Vol_loans_lag2,SHAP_Shap_Exchange_Rate_CHF_lag2,SHAP_Shap_gdp_index_ch_lag2,SHAP_Shap_gdp_index_eu_lag2,SHAP_Shap_variable_mortgages_lag2,SHAP_Shap_fin_spread_lag2,SHAP_Shap_CH_2int_lag2,SHAP_Shap_Wage_change_lag2,SHAP_Shap_Saron_Rate_lag2,SHAP_Shap_M3_change_lag2,SHAP_Shap_unemployment_rate_lag2,SHAP_Shap_M1_change_lag2,SHAP_Shap_kofbarometer_lag2,SHAP_Shap_EU_fin_spread_lag2,SHAP_Shap_M2_change_lag2,SHAP_Shap_infl_e_next_year_lag2,SHAP_Shap_infl_e_current_year_lag2,SHAP_Shap_Business_Confidence_EU_lag2,SHAP_Shap_oilprices_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_target_core_3m_lag3,SHAP_Shap_PPI_lag3,SHAP_Shap_real_turnover_lag3,SHAP_Shap_retail_turnover_lag3,SHAP_Shap_Manufacturing_EU_lag3,SHAP_Shap_Vol_loans_lag3,SHAP_Shap_Exchange_Rate_CHF_lag3,SHAP_Shap_gdp_index_ch_lag3,SHAP_Shap_gdp_index_eu_lag3,SHAP_Shap_variable_mortgages_lag3,SHAP_Shap_fin_spread_lag3,SHAP_Shap_CH_2int_lag3,SHAP_Shap_Wage_change_lag3,SHAP_Shap_Saron_Rate_lag3,SHAP_Shap_M3_change_lag3,SHAP_Shap_unemployment_rate_lag3,SHAP_Shap_M1_change_lag3,SHAP_Shap_kofbarometer_lag3,SHAP_Shap_EU_fin_spread_lag3,SHAP_Shap_M2_change_lag3,SHAP_Shap_infl_e_next_year_lag3,SHAP_Shap_infl_e_current_year_lag3,SHAP_Shap_Business_Confidence_EU_lag3,SHAP_Shap_oilprices_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Constant
2012-09-01,2012-12-01,-0.3776404355736673,0.4850189200849479,0.7907100889281414,0.7966482015978996,-2.045126792692448,0.7441811639053371,0.3887143475113235,18.746866269693882,-0.06908156609776568,0.6614730000749983,2.911026041187918,-0.5585614490200008,-0.342896610105347,-1.6137441684863354,-1.0983794069579453,0.3878932076625081,0.900558138356621,-0.464151340126584,0.18995373622062486,0.1919322462401815,-1.6518375216569339,-1.1364727601285438,0.34979985449190965,0.8624647851860225,0,0,0.00047857542987782525,-4.464910426435971e-05,-4.78813564239106e-06,-3.7503095148610877e-06,-2.848896681261971e-05,1.3734398263449062e-05,-3.7147062580943313e-06,-1.3451222738524286e-06,5.519216932424781e-06,0.005135147738743498,4.7936736471776816e-05,-0.00014164586975075303,4.993089460832229e-05,6.365932539331646e-06,-0.000194070282591637,-0.0006654305205234055,-6.761456389260482e-05,0.001517827348950755,-0.000547873034341304,-9.022431990147255e-05,0.00037447022767054297,-2.430126405325835e-05,-0.0001775577498658607,0.0008840948453675459,7.656060499787325e-06,1.6754976434202207e-05,2.120073454851746e-05,-0.0001028490518672718,3.0618222899422265e-05,1.4129734899435438e-05,-0.0009383225088534474,-5.953459894254707e-07,1.4166055628648625e-06,1.0413134384688497e-05,2.5139158876628095e-06,-8.149918733948532e-08,1.1479150317657322e-06,-1.5625599240418185e-05,2.4823421806126387e-06,0.0015426738956510284,1.6433818362069303e-05,-1.377834949460664e-06,-3.9305168683250884e-05,2.333174363452813e-06,0.00014579358214313954,-0.00037519076528960335,6.682308897522464e-05,0.0011648474579650549,-0.0003228153051739124,3.9660857878480523e-05,-0.0001268734601772325,-1.3558186432834487e-05,-2.4147376255685643e-05,-0.0001522275483997291,1.9053876449890876e-05,1.2482759972262105e-07,-7.523571641809004e-21,6.294803311258237e-05,1.414884636275678e-20,3.3460599429648985e-05,0.40226273636331294
2012-12-01,2013-03-01,0.0964442201421889,0.40668372385891327,0.7291133557462626,0.7335526536887795,-2.0461419807661687,0.09624854966639944,0.46241710900365307,99.99999999999972,-2.065498403837499,6.654461025804334,3.027159920228053,-0.5559402157513382,-0.47838033982215716,-1.7911478253500068,-1.2739945007153068,0.2765358552103371,0.7595862377190579,-0.5800512707868855,0.23763583268633456,0.24183896922100306,-1.5262454199710984,-1.0090920953363984,0.5414382605892455,1.0244886430979663,0,0,-0.0014758983926270975,2.796174347547808e-06,-1.970951724164908e-06,7.080305109394131e-07,2.0377655389541173e-06,-2.449035370806155e-05,6.438873602022346e-06,-4.965115404489253e-06,-5.930703122523398e-05,0.0023894753928140706,0.0002172602840810648,-4.9346417475779286e-05,-0.00017588702426775413,1.0995327389323465e-06,3.609886540905757e-05,0.00047037143704885194,-0.00010196992118802645,-0.0011356298025654479,-0.0006178290481794176,-0.00010313965611886325,0.00030420569880844323,-5.4868542005025224e-06,7.630874037309317e-05,-0.0007468206112306095,-5.527150372687065e-06,1.4284339660038105e-05,0.0001918871162422439,8.560846057444552e-06,1.6718632122059078e-05,-5.341307339836018e-05,-0.00022091092170927322,-3.817306447907858e-07,1.372229004275705e-05,-1.8801396236321098e-06,-2.9114075907523677e-06,-7.235033630368074e-07,-1.002651836321559e-05,-1.5734071987641951e-06,1.977327305119174e-06,8.151925824642199e-05,-3.28838631855582e-05,-3.220850230391358e-05,0.00014356908567659073,-4.279544717564954e-06,-0.00042006040689665524,-0.00013064726544470258,5.932708160046179e-05,0.0006061267111768686,8.775933381649731e-05,7.466582718352721e-06,4.9185971664842585e-05,-5.249926566588488e-06,0.00017257857936389583,0.00022046277491183844,1.0951445886561257e-05,-8.125107023670766e-06,-2.026219195252699e-07,-9.738686541254813e-21,-3.517189873848068e-21,1.0365440662320933e-05,0.35580735770543126
2013-03-01,2013-06-01,1.152727611006199,0.3982776997162312,0.7686618794554563,0.7816952678066842,-2.0406794391114547,0.5691946686454403,0.5939886618711678,99.99999999967726,-1.7939191953870837,5.773287444777442,2.964611645371801,-0.2379100909859488,-0.42652256880844075,-1.6628737516701535,-1.1573449097637614,0.3418030884903648,0.8261200506500486,-0.5260919937374986,0.3843264119115077,0.39022561294911834,-2.129015696408905,-1.623486854502513,-0.12433885624838681,0.359978105911297,0,0,0.001258377050120133,-1.907226800974303e-05,4.1920993118844786e-07,2.770909878387649e-06,-3.07047169580696e-05,-1.5246683130013916e-05,-9.488727816755873e-07,7.64616851496942e-07,9.938666034989693e-06,0.0008771499212952547,-9.864986364136687e-06,-0.0001332696028523678,0.00024998474946194034,3.7561996823946585e-06,-0.0008200984903462246,-0.001601853422586792,-0.00033782103190524275,0.0024045285050505708,-0.0007487027144475334,-0.00018995791726187736,4.377612918703296e-05,-1.914803000602911e-05,-0.0003853784092638404,-0.00016183974142336413,2.1243998284387524e-05,5.482975810792062e-05,-2.805929553001326e-06,9.536521042585871e-05,7.08512115448148e-05,1.9365544675620194e-05,6.197121504212357e-05,5.86974506501206e-06,-8.478631759675928e-07,-2.0794040786855462e-06,0.0,-2.332099594808154e-06,-8.657111377497478e-08,-6.314027422814381e-06,-6.94287469040771e-06,0.0009940023961405016,-3.4287135023343084e-05,-1.526159064652824e-05,-3.8193420000759627e-05,8.248754787507886e-07,-0.00045074947614048746,-0.00016186637272295193,-3.1119851859490524e-05,-0.00041055723501379985,-0.00028177835939236965,-1.4815632305194106e-05,-4.477022249245208e-05,5.6842523872591515e-06,-0.00011593293467585898,0.0003521200942851425,-4.607926998060558e-06,-1.5393064602271367e-06,1.872603690682641e-20,5.991786005029191e-05,1.2850415665594474e-20,3.2730208119222634e-05,0.3342908901019799
2013-06-01,2013-09-01,-1.146325498309153,0.23497414641532133,0.949464127352081,0.9784113000243042,-2.116183452311218,1.9079887085159595,0.32570067495316957,99.99999999998516,3.238396374641856,-9.344677504208283,2.943808911561786,-0.0686985256836081,0.2766263854975105,-0.9221364208416473,-0.5161502769176824,1.037424508486851,1.5537445245288015,0.21788284889368015,0.20060646738143495,0.20593611082409619,-1.051091295529184,-0.6451051516052193,0.9084696337993141,1.4247896498412647,0,0,-0.0009550156966901497,-9.895589280558022e-07,-1.0049793234928114e-06,-1.2548513119407854e-06,-2.2040764526839073e-05,1.041317155122561e-05,3.254167104997799e-06,6.94796036806426e-06,-1.8991471139917046e-05,0.0016051275425652575,0.00032372038968138286,8.77228935239469e-06,-5.2837400032007e-05,-2.1761725143332398e-06,-0.0002706746790296907,0.00020373889416063027,-4.671981544750696e-05,0.0019233418772043286,-0.0013552876031758501,-0.0003634419925217716,9.227784896274636e-05,-9.923069059083343e-05,2.169856681231786e-05,6.341810224352381e-05,1.7744592217216144e-06,-3.894028595640826e-06,5.596670841648171e-05,-5.538888530788914e-06,-4.44239031617935e-05,-3.942738027012331e-05,0.0007388175865231042,-2.511816002571423e-07,4.827832448295655e-07,-5.181436353227486e-07,5.53064048948959e-07,-1.7684332921280876e-06,-1.7988492732768973e-06,-2.555133989953145e-06,-7.488067469593263e-06,0.0015920371239924818,9.182656195848426e-06,3.435574726556282e-06,2.621621658878614e-06,-5.470310343577414e-07,-0.00020475192844058147,-0.00023557844528021031,-9.015662292879155e-05,0.0009168896491751065,-0.00027717630087492005,4.741435662443847e-05,-0.00013996482485326752,-2.9896652063488446e-05,1.5869209322299186e-05,-3.9629275645442746e-05,1.127110761278642e-06,6.723194999551255e-06,-6.933891815629418e-05,5.302963969705994e-21,-1.050395152619217e-21,-1.4878229829407391e-05,0.3329198041161364
2013-09-01,2013-12-01,-0.1680894260466914,0.45347101482630714,0.7393428317268508,0.7524169021860195,-2.029822917414198,0.38633738165823633,0.41583672002297123,79.5041879696854,-5.521754353373158,15.266238169579577,2.6727913294621866,-0.0163107733018641,0.1390793369163855,-1.0802324904697187,-0.6191223125936515,0.8433119532222222,1.279557376129407,0.025711583209808708,0.17294582900055666,0.17717283698591668,-1.2872131265154358,-0.8261029486393686,0.636331317176505,1.0725767400836899,0,0,0.001006387505950137,1.967507247566525e-06,-6.612543413245843e-07,-2.1144791957907284e-06,4.081604878162215e-06,-2.297689126050511e-06,3.998589219922013e-05,1.2947644327551593e-05,3.66801254286231e-07,0.003238120080918471,0.00014346056427752698,-5.480547127347925e-06,7.117634372996792e-05,1.967704265732391e-06,-0.00030837736146755845,-0.0007524501536721094,-0.00023625207349595718,0.000571806478439561,-0.0007571025805405685,-0.0001016397977207612,5.012476516963523e-05,-2.9390422329345633e-05,-0.00025214212940894196,0.00021550551182159572,-7.340833048075075e-06,1.5495347003847944e-05,2.7449168799821347e-05,-0.00010380802404081153,-3.9909053920613526e-05,3.4402484734771874e-05,-0.0006972975164517084,9.058710421859815e-06,-1.6424430418538277e-06,1.5121772308555222e-05,1.0222561163299752e-06,2.9590029537974112e-08,-4.199233998959803e-06,-1.6904815117266937e-05,1.4726351167926929e-05,-0.0001342545587072223,-0.00010700797215297725,-2.277011305721966e-05,-1.1528826793129222e-05,-1.217377796811951e-06,3.6177929237555544e-05,-0.0002800422045058887,-8.826470832807354e-05,-0.0013323705068811894,-0.00011832665116552632,9.211064158495209e-05,1.7175097805541593e-05,-6.673758457937229e-06,-7.407400994736109e-05,0.0002814238336397298,5.265342909692633e-06,3.866736583414918e-07,-5.553831137678987e-21,-4.6771222060686655e-05,5.324507935795502e-21,-2.0689092579503103e-05,0.33555236612143363
2013-12-01,2014-03-01,0.4504806836468589,0.3772815907214999,0.7066237715674233,0.7181506127033976,-2.0218376587982116,0.005358107205095338,0.5129980656562196,99.9999999997842,-0.9762152982286488,3.285894660639693,2.997516974548431,0.0721983425743033,0.05389856934296361,-1.1978254174983602,-0.6980693764933509,0.8198776087939369,1.2842392342169116,-0.04042182833741137,0.1938240474347876,0.19859608073819746,-0.9910857118349545,-0.4913296708299451,1.0266173144573425,1.4909789398803173,0,0,-0.0013151577648697487,-1.4252584021178012e-05,3.537647275544848e-07,-1.7411804304430942e-05,-1.225401584788586e-05,2.999584214900191e-06,-1.942521483854236e-05,8.835559538707974e-05,-2.5700623206384382e-06,0.004363509819215141,0.0003598769736260967,2.167709294026138e-06,0.0001437457687372938,-1.2116055774169478e-07,-0.00016354902750762484,0.00036057899192105925,1.5802466532972267e-05,-0.0014358035078603562,-0.0015257837907168784,-0.00014551226237978905,-0.00012198011762396475,-3.7085633397198997e-06,0.00014524843721913303,4.1437665497659276e-05,9.789772119061698e-06,-8.650448079853873e-06,8.961350037287884e-05,5.315830532064542e-05,1.7369889188962335e-05,-6.483646131543335e-05,-0.00011363929501532784,8.415582841981096e-06,-1.8408230332368055e-06,-5.440171241531058e-07,1.1659399239244066e-05,-1.674173553195148e-06,-7.564459440373546e-07,-1.9946908798698912e-05,-5.575162863741901e-07,0.001099908436195103,-6.0993731198590944e-05,4.645506885776086e-06,2.2227045669983636e-05,1.5496464377233263e-06,0.0001465587259053203,-0.00023466696249635813,-4.7094315628926986e-05,-0.0008159581573301918,-0.0003983709480782329,-3.9729577582425184e-05,9.023256655976266e-05,1.7052357558309846e-06,-0.00011049364296223719,0.00018374366315035076,4.682733214422846e-06,1.0546488966072994e-05,7.29893202017529e-05,-1.2906886673024003e-20,-1.7173739969452382e-20,-7.321421619261581e-06,0.32099312284163384
2014-03-01,2014-06-01,0.7031114483968537,0.32732405752943516,0.693687388458146,0.6980723557955133,-1.9885683416147004,0.14121616313494198,0.5506914248743142,99.99999999999999,2.1244430362228286,-5.7203871607894605,2.843325701859744,-0.0402056980780329,-0.1341525457948876,-1.3363944632915816,-0.837543265482545,0.6008866741471057,1.080779028630989,-0.2159835601772464,0.44304623517093833,0.4473300336847418,-1.9802161209033022,-1.4813649230942656,-0.04293498346461487,0.4369573710192685,0,0,0.002425814083377474,5.076018562571319e-07,3.09434253544672e-06,4.161127903383095e-06,4.734449959959919e-06,-1.9404221655582654e-05,6.580659501532612e-06,-3.932254132609111e-05,4.254382830366332e-05,0.003420447079448405,0.00024974493066909294,-3.548136930063601e-05,7.391858998629973e-05,2.2283279156440067e-05,-8.606904863651481e-05,-0.002358627778967263,-7.438850510324774e-05,-5.9967815387182595e-05,-0.0010195907711890936,5.564984818515192e-05,2.6141838474760085e-05,-3.127570077598352e-05,-9.339602087176899e-07,3.453370444420078e-05,-6.619307762807083e-06,-7.027607882995934e-06,-5.413595980010209e-06,9.017834614111844e-05,-1.571252534162213e-05,4.4221499461486576e-05,0.00027382628824245786,-5.91249333731995e-07,1.8215032506887082e-05,0.0,-3.889823832155841e-06,4.311092299224457e-06,-2.645177311847616e-06,-4.2414663718186725e-05,1.620784082992146e-05,0.002619472202479468,0.0001613517730694209,-8.087453536158291e-06,0.00016020280294109658,-4.894177528445132e-06,8.554238195736571e-05,0.0004355900317554367,-8.142409369404544e-06,0.0012662472346029292,-0.00045390067135271845,1.8954135919012686e-06,-4.926799344300153e-05,1.528422256193722e-05,4.054668556534056e-06,-0.00015609073755382924,-4.023403047484003e-06,-1.2543225543285227e-05,6.6306917843943475e-21,2.8236991251682463e-05,2.56818448696792e-20,-3.860605252209782e-05,0.27948918669000133
2014-06-01,2014-09-01,-0.9931052262324158,0.19076014380783968,0.8865172771127885,0.8908523094993459,-2.091012758286717,1.4015372143805511,0.34372084101731726,99.9999999991971,0.16033901388610317,-0.27282080719975527,2.9683441327758855,-0.0019006300588486,0.2940657124512152,-0.9558142255582208,-0.45001649927263054,1.0460802840145527,1.5585582004733987,0.2463756764992553,0.2088637379912873,0.20962295032685926,-0.9997297328294291,-0.49393200654383884,1.0021647767433444,1.5146426932021904,0,0,-0.0009320989674288387,2.0899537260867e-05,1.2833628651333481e-06,1.3193922056951722e-05,-1.8134646698817784e-06,1.3773731346009715e-05,-9.395543625891145e-06,5.9392406076336495e-06,4.074559315661586e-06,0.005139819954760035,4.673440157248012e-05,-1.9058202965617288e-05,1.1742095175414874e-05,-3.503891832655736e-08,6.940549433462359e-05,1.5407334762922237e-05,-6.823255254783486e-05,-0.0006747260529286546,-0.0010645448661641148,-4.762396944904215e-05,0.00011771988939348447,1.1523372613009301e-05,-9.137792578672019e-06,1.0993977496122454e-05,-2.918026722414956e-06,-7.816995140468003e-06,2.5987368318732772e-05,-6.239338918825649e-05,1.5980408645680336e-05,-4.502555981969567e-05,0.00039390311636812296,-7.910605951513039e-08,-8.08123937014206e-06,4.977008460818065e-06,0.0,-6.362292568269212e-07,5.100816600478771e-06,4.980419627059706e-06,1.7395822147584758e-06,0.00028765571416094647,-2.9706888204159927e-05,-1.6487534453588112e-05,-8.298232598709017e-05,-1.638182587564132e-06,-5.6060231545503564e-05,-0.0002528164592713685,-1.8508826479984707e-05,0.00038270945515515484,-0.0001172606888093503,-3.496530901277153e-05,2.2918754375803097e-05,-8.854864605226143e-06,4.512106093643694e-05,-0.0003461765638553714,1.8630226473076332e-05,-2.741679145641242e-06,7.052587235483083e-05,-2.0491725055783045e-21,-4.241119194945763e-21,1.4090598275915809e-05,0.3061315340091854
2014-09-01,2014-12-01,0.860168108157211,0.23734190162792773,0.7304835323931462,0.7242533501310819,-1.9992348986485098,0.3879124835396575,0.5902651699916064,99.66452859895477,0.39438827864656795,-0.9242492827403623,2.8577967003623086,0.2551637534921269,0.09945720185980612,-1.0908237378284784,-0.6293389337606664,0.7862454726533058,1.320928464464596,0.04012172645282419,0.21497387798025225,0.2138097493704531,-1.2204518933939983,-0.7589670893261863,0.6566173170877859,1.1913003088990761,0,0,0.000827544407031538,3.7696385332893075e-05,1.1076032690158815e-05,-7.778522629077264e-06,2.2339432958799956e-06,6.818089910606536e-07,-5.218915326723804e-06,-2.549534153981866e-06,1.4034128980506258e-05,0.004486412324412824,-0.00013021145460251574,-1.0583214180358306e-05,6.63951766292646e-05,-3.975559191346062e-06,-0.0003311247301825808,-0.0005089536111447656,-3.2832884166104616e-05,-0.0010597953645174205,-0.0004511510882543506,-2.8312433174965555e-05,2.2686678948378648e-05,-3.0044557631471207e-06,-4.533542892095467e-05,-0.001131934699816545,2.5281003862659576e-05,9.881512118682687e-06,4.40921731154709e-05,-4.832892098179021e-05,2.3428447347727878e-05,3.139985556434958e-05,-0.0005907071958036727,-1.0719939358857472e-07,7.103393921983348e-06,-1.960104977459214e-06,-2.299165504990287e-06,7.3551352829509385e-06,-6.887897294592838e-06,-6.020984565358617e-07,-2.7365892137889916e-05,0.0010831857687628463,-6.518043486439758e-05,2.3008187481429875e-07,-5.531798263224214e-05,-3.5296994738944895e-07,0.00010306069154861753,-0.0010457392970828793,-2.6230757141686696e-05,0.00041600500019438384,-6.687528337126318e-05,-7.005980583794564e-06,4.7206540322391994e-05,-3.8463848214456776e-05,-1.4165334423865034e-05,0.0003149993256453942,-3.8593022983893126e-06,1.6283992228592153e-06,-5.060309300613557e-21,2.943634803583501e-05,3.1936335552398784e-21,1.594983872928637e-06,0.31464261083361017
2014-12-01,2015-03-01,-1.2841372129205553,0.3247953943372025,1.0127427084995757,1.028261549105083,-2.124174336467698,2.588664134697246,0.2929441468499685,99.99999999999999,1.9556478778948538,-5.331040555871309,2.866736672556588,-0.1784907206497266,0.22374243116471282,-0.9908558730949064,-0.5013905381311576,0.9291526684923596,1.491192937975078,0.14254358258041222,0.2814091495491794,0.28579664595253784,-0.9272912318535749,-0.43782589688982615,0.9927173097336911,1.5547575792164094,0,0,-0.0015527293561692264,2.4348331149401587e-06,-4.6441882786192236e-07,1.028800046991326e-05,1.0450504158377287e-05,1.513253275751064e-06,-4.947449725709697e-06,-6.342526721659398e-05,-3.067589340222096e-05,0.0020982469175924727,0.00011660285792288244,-3.970439926451926e-06,-4.302919557807626e-05,2.1667623573108635e-06,-0.00010355615108694029,-0.0011432245926254227,-1.7190175787660656e-05,0.0001455604414712784,-0.0005659823234026752,-5.434234120045084e-05,4.11562014967588e-05,1.7430308331098928e-05,-5.73127983447925e-05,-0.00041301401906721966,5.579000261955617e-08,-7.25893035841332e-06,5.592559150191294e-05,-5.177346122018995e-06,-5.541303568611539e-05,-4.0433511832967045e-05,0.0006625923633296266,-1.4904752610937103e-05,-8.277139225823652e-06,3.016225305919e-05,-9.384971498481293e-08,-7.824858057385491e-08,-2.936376029663123e-07,-2.5216414086836452e-05,-1.2910906681516589e-05,0.0005232049480375706,0.0001195334067021844,9.664005891848628e-06,0.00010574991564208127,1.55412688810575e-06,3.589044878832856e-05,4.159036840023837e-05,-1.6919374278886328e-05,0.0001268570086605787,-0.00022837659610206256,-1.491525344939968e-05,0.00016045884399170903,8.812168883652605e-07,-1.0150747631210747e-05,2.7742199158553445e-05,2.79242552689514e-06,2.0485772100271663e-07,2.935575914566564e-05,6.710498174941135e-21,-6.036239447817281e-21,-2.962756360009945e-05,0.2900510385272553
