Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,LogS_direct,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,q05_YoY_timesafe,q16_YoY_timesafe,q84_YoY_timesafe,q95_YoY_timesafe,Violation90_YoY_timesafe,UpperViolation95_YoY_timesafe,SHAP_Shap_target_core_12m_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_Factor_1_lag2,SHAP_Shap_Factor_2_lag2,SHAP_Shap_Factor_3_lag2,SHAP_Shap_Factor_4_lag2,SHAP_Shap_Factor_5_lag2,SHAP_Shap_target_core_12m_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Factor_1_lag3,SHAP_Shap_Factor_2_lag3,SHAP_Shap_Factor_3_lag3,SHAP_Shap_Factor_4_lag3,SHAP_Shap_Factor_5_lag3,SHAP_Shap_Constant
2012-09-01,2013-09-01,-0.0686985256836081,0.10010904472880365,0.1539681208437098,0.15608431423128707,-0.39036982824072075,0.028495995828541346,0.3796492039797762,15.9060242406766,0.20267753291794588,-0.01040169867544859,0.5529936330898779,-0.0686985256836081,0.10010904472880365,-0.8612029320701485,-0.45853529924746605,0.6869692025387427,1.0723862704601534,0.0,0.1539681208437098,0.15608431423128707,-0.8612029320701485,-0.45853529924746605,0.6869692025387427,1.0723862704601534,0,0,-0.0503546135132072,-2.936681070114116e-06,2.898069924531612e-05,-0.0015166505744267868,0.0021884774352687185,-0.000706515446751935,0.00030863817159426817,-0.10481793342965848,3.216546928837268e-05,-0.011428320601253317,0.004348224963231967,-0.0030801709492455096,-0.019864931428706805,1.4257952066116861e-05,-1.6717791281138563e-05,6.444121056555229e-05,0.00032985955693681535,9.131609777750977e-05,-4.945569043744648e-05,-0.03627642301424953,3.765274851386559e-05,-0.0031216413435343248,0.0011089089863258925,-0.0013545339760160533,0.33793450636982986
2012-12-01,2013-12-01,-0.0163107733018641,0.11220005168797877,0.16476621343896908,0.16407747884134757,-0.5007085539795789,0.01651503213957002,0.4112427789537235,31.713021933562,1.0481937878481984,-0.5430075381134111,0.6352068128345931,-0.0163107733018641,0.11220005168797877,-0.9348602800212301,-0.49305711409462266,0.7671099559575224,1.275615988000447,0.0,0.16476621343896908,0.16407747884134757,-0.9348602800212301,-0.49305711409462266,0.7671099559575224,1.275615988000447,0,0,-0.005977091756631814,-2.9370932504274968e-05,-4.620519704325284e-05,-0.001071957805130171,-0.001267828407234806,-0.0005869310877310472,-0.00017073666199939736,-0.10322798202508451,0.0006887798302026271,-0.01009487654199359,0.0009778427998761523,-0.0032455762491960132,-0.009403237705695011,-0.00015347436139479263,-5.82018794436921e-05,-0.0002940540835643061,-0.0004354521101762357,-7.50720052891471e-05,-1.8143634790222976e-05,-0.021603032247751678,-0.0007410824031582402,-0.0028344950775751887,0.00013940198576838003,-0.0006350258081159564,0.28076573200303545
2013-03-01,2014-03-01,0.0721983425743033,0.12168226484577394,0.15409234473460356,0.1557687211855372,-0.4944318562275881,0.0024486585633689477,0.47993414665282974,99.9999999999995,6.829297400918408,-3.9222419221377196,0.5881521303248382,0.0721983425743033,0.12168226484577394,-0.9152267548032282,-0.5287061290449201,0.7594813070025508,1.3038405443008707,0.0,0.15409234473460356,0.1557687211855372,-0.9152267548032282,-0.5287061290449201,0.7594813070025508,1.3038405443008707,0,0,0.02331673530895332,-0.00046041338336296264,-4.884013883965981e-06,-0.0013966477903280255,0.0014682317880017946,-0.0007428615886073679,0.00032049204019394346,-0.1070532131860039,0.0024551122343725073,-0.011591919974592711,0.00416939816463909,-0.004667225951085079,-0.0032961670128622443,5.325304017387488e-05,3.552293942078228e-05,-0.0005547275893412308,0.00048610978846975165,0.00012055454476502675,-5.6031730079923376e-05,-0.030701071277009592,-0.0005871774523394215,-0.003842835473538507,0.0007339158503530454,-0.0008670027953507964,0.24027712570995693
2013-06-01,2014-06-01,-0.0402056980780329,0.03876855348868808,0.15794682561825127,0.15648434527795982,-0.4961006709314681,0.006236932410523729,0.4369298511930555,99.99999999999737,-0.05527845965199113,0.09824373884928843,0.6451802513999512,-0.0402056980780329,0.03876855348868808,-1.0108792428691038,-0.5791735337143974,0.7174220264531292,1.1373984074927679,0.0,0.15794682561825127,0.15648434527795982,-1.0108792428691038,-0.5791735337143974,0.7174220264531292,1.1373984074927679,0,0,-0.01676071691759141,0.00046487420378825753,1.8850845938607426e-05,0.001896514305830572,0.0002210801106691889,-0.0005288864924055279,-0.00031660526382352224,-0.10501308389176639,0.0057698358371717625,-0.008907551467480034,0.003338062806886163,-0.0051003241547035874,-0.005688009443146617,-4.839742665925099e-05,-0.00011132201639864309,0.0003360686245449259,0.0003254482468340302,-0.0003620438437986952,4.6929209055489876e-05,-0.027193096809659326,0.0009301618883861559,-0.003425083048029995,-0.00025088057577342404,-0.0003921046162187256,0.20993863324065315
2013-09-01,2014-09-01,-0.0019006300588486,0.03312889421306835,0.15245100792906513,0.15580767193363346,-0.4859270673377707,0.0012270675707168185,0.47885558838054954,99.99999999999163,0.9276133928612811,-0.5672993249910349,0.6449334645073859,-0.0019006300588486,0.03312889421306835,-1.0176236648240866,-0.6384523294268668,0.6934933266033609,1.1084793825911234,0.0,0.15245100792906513,0.15580767193363346,-1.0176236648240866,-0.6384523294268668,0.6934933266033609,1.1084793825911234,0,0,0.01650037081368127,0.00016648706547597032,3.2534381633134834e-05,0.0008680391316729402,0.0005682236666158557,9.717311702414337e-05,0.00035146125708719074,-0.13629727506766795,0.005360474812715996,-0.015813411551491095,0.0025109698302596675,-0.001583468579380755,0.0024621799057316113,5.088919320221669e-06,3.02155200383807e-05,0.0007005996627295494,-0.00036662470253319196,0.000214809636034121,-3.374599966473201e-05,-0.040012594231781606,0.0004325597142814252,-0.0041302815483981875,0.0002731933635577429,-0.000749789372093811,0.20808178978893727
2013-12-01,2014-12-01,0.2551637534921269,0.09749216261376545,0.15599816174507175,0.15513206757307738,-0.4256163287631817,0.02486033057011339,0.6086945342873966,28.764250635628777,-0.15550852488744127,0.18441803595787873,0.5822885819715307,0.2551637534921269,0.09749216261376545,-0.913747949052164,-0.5160463510925415,0.6637595275205977,1.0900366187856732,0.0,0.15599816174507175,0.15513206757307738,-0.913747949052164,-0.5160463510925415,0.6637595275205977,1.0900366187856732,0,0,0.019767250840204923,-5.948235367684037e-05,-1.0458302011595593e-05,-0.0014186927021008612,0.00018261221720670503,6.063186081580461e-05,-0.00037392355357646913,-0.09233777366465042,0.0041634448247084895,-0.012065020113112793,-0.0016094872853793334,-0.004358528923922476,0.0037842159237461777,-0.00016781524385355067,-0.0002103454243679269,-0.00042878503666544807,-0.0006311577007946306,-0.00010773356590093368,2.2895938027553273e-05,-0.032448694799497184,0.0008608403703459903,-0.004227402359638158,0.00047411084933273215,-4.2084198520714054e-05,0.2180516788940591
2014-03-01,2015-03-01,-0.1784907206497266,0.15332179469977125,0.21532478527641633,0.21820417938575615,-0.5746474731683567,0.11009954534256075,0.2898922850601221,99.99999999992669,0.9132010763291122,-0.3971051883678886,0.6068880545323638,-0.1784907206497266,0.15332179469977125,-0.8570483468577965,-0.449590917973977,0.7843750804934478,1.1843224208804792,0.0,0.21532478527641633,0.21820417938575615,-0.8570483468577965,-0.449590917973977,0.7843750804934478,1.1843224208804792,0,0,0.02647483382144011,9.487858354750859e-06,6.451383839581777e-05,0.0003632586292471972,0.00033251618182516515,-0.0001768441179781793,0.00038616030919410866,-0.06802427190928069,0.007299608657225348,-0.009679782830338136,-0.0005497248057351479,-0.002592287523524163,0.005371375385606916,7.329171145444932e-06,3.935299005734021e-05,-0.00034458267088226724,-0.0001238254823907027,0.0003809652156290487,-3.2241199593056e-05,-0.024292300553712842,-0.00014708210619426458,-0.002596456860739819,0.00031188213073432997,-0.0011316734910553228,0.2221854022835267
2014-06-01,2015-06-01,-0.3619796751591408,0.185581878640616,0.32549513971933614,0.32551050856963526,-0.8034203302928573,0.29982365519960397,0.16884276202352805,99.99999999999999,1.8293448869216575,-0.851899863595274,0.562506302069353,-0.3619796751591408,0.185581878640616,-0.7421382895521856,-0.3725841018784449,0.7699315089369979,1.1452538914083654,0.0,0.32549513971933614,0.32551050856963526,-0.7421382895521856,-0.3725841018784449,0.7699315089369979,1.1452538914083654,0,0,0.004983693432310015,0.00015302137316776238,0.00013754222028861964,0.002299121572545336,-9.930085274919308e-05,-0.0002563007896165196,-0.0003557232163099301,-0.0706525059139043,0.006404911284224975,-0.010624049115732828,-0.002171423159413119,-0.00417159628803053,0.01840403320424545,-0.00017182245726440795,-0.0003701696278606821,0.00021232365436753262,-0.0003023669263044376,-0.0004019680804492863,-5.1759444821236245e-05,-0.02236602853416991,0.00031058852272581466,-0.004170459125482742,0.0006867439896655901,-0.0003400905295904511,0.22858100524734845
2014-09-01,2015-09-01,-0.6613065813612096,0.016415733973404054,0.41373991581812525,0.41572422022151595,-1.0278812561636703,0.4593075367025094,0.11901694386825519,47.33881825163957,2.1076219897261272,-1.1776278163211655,0.5568202360991122,-0.6613065813612096,0.016415733973404054,-0.8965479780467756,-0.5599577098054198,0.5830398092826676,0.9841285031962076,0.0,0.41373991581812525,0.41572422022151595,-0.8965479780467756,-0.5599577098054198,0.5830398092826676,0.9841285031962076,0,0,-0.11008846827133455,0.0004306229262054378,4.600865572543345e-05,0.001442115019215288,0.0008798206217764724,-3.700009757185285e-05,0.00020530615727306386,-0.07570706364514217,0.006295835680591175,-0.01209586672817978,0.0011765802897555975,-0.004136287061565734,-0.02190190622313003,3.9342613604896715e-05,2.1634589253552317e-05,0.00021906704847046257,6.081830433304005e-05,2.601438399150923e-05,1.7784013006153427e-05,-0.02378344030252836,0.00132842462607834,-0.0029809672342450003,0.0006401286199519176,-0.0008357645324622103,0.22809150809746082
2014-12-01,2015-12-01,-0.8846061718801757,-0.0006300397718643075,0.5944404899510357,0.5985102335039735,-1.5718206832183759,0.7814138021371708,0.06182928470374477,99.99999999999999,-0.7218208062311049,0.41527965735273653,0.5683769572183401,-0.8846061718801757,-0.0006300397718643075,-0.9312630698109959,-0.5706054721405018,0.5888903739622137,0.9404898401149163,0.0,0.5944404899510357,0.5985102335039735,-0.9312630698109959,-0.5706054721405018,0.5888903739622137,0.9404898401149163,0,0,-0.13470877258587108,-8.154900808504795e-05,-1.8535634892224708e-06,-0.0014873177193675793,0.0006896106728912805,0.00019011943617920434,1.6314361940802077e-05,-0.0323049859016792,0.006425053723273536,-0.01838911524332872,0.0017575285702978402,-0.0014043938244303253,-0.029055476068043897,-0.00025017830716934876,-7.522292909130119e-05,-0.00011060217620405385,-9.825574871825578e-06,-0.00014665807890708977,6.9882746435005e-05,-0.011754748710802343,-6.333907187508096e-05,-0.00400059743651824,-6.88461440521138e-05,-0.0001839644959595796,0.2316884269777578
2015-03-01,2016-03-01,-0.4835425102155177,-0.05201188146666983,0.2635821609756886,0.26559426785460644,-0.6311449931935559,0.18621868354837595,0.22076560511692764,99.99999999997017,6.737867431590565,-3.5816477520889154,0.52343412053179,-0.4835425102155177,-0.05201188146666983,-0.9560038620192414,-0.6162236812797648,0.5570119727481883,0.9766982282159261,0.0,0.2635821609756886,0.26559426785460644,-0.9560038620192414,-0.6162236812797648,0.5570119727481883,0.9766982282159261,0,0,-0.19066043733768684,-5.065689024636448e-05,0.0001612401789870861,-0.0003368017125043627,-0.000587327972283666,0.00016232915158275664,0.00042911766854241936,-0.037834220896850373,0.0056999450525510795,-0.016390548275427415,-0.0007677143795000915,-0.0006363483253427615,-0.036760491443538525,-4.998151095720825e-07,2.3778435009383067e-05,-0.0003006629918135746,3.9655046403774085e-05,-0.00013221263180339363,0.00012193144047476991,-0.009307223417490459,0.0005154535495953099,-0.004865248799558604,0.00021976927559013077,0.0003867112321637101,0.23253972177101706
2015-06-01,2016-06-01,-0.2309070414847625,-0.015728204007581296,0.1714017512397888,0.1714900975790312,-0.4396654354054145,0.04630193209803116,0.3425148510985603,99.99999999999999,1.8791147746489956,-1.067991963796017,0.5675133775115346,-0.2309070414847625,-0.015728204007581296,-0.9307218548698493,-0.5710217361793415,0.5917368481031292,0.937712711684875,0.0,0.1714017512397888,0.1714900975790312,-0.9307218548698493,-0.5710217361793415,0.5917368481031292,0.937712711684875,0,0,-0.0949911575589409,-0.0004405194444771054,1.1408865649970737e-05,-0.00040765025136900126,-0.0008991499094491112,-0.0001802173192488502,-0.00017809408088873427,-0.06429312877990752,0.003613463109799213,-0.01886497675016037,-0.003992048880036739,0.0041216626480518855,-0.04087595631430666,-0.00039347785058277564,-9.672952535830673e-05,8.229502575162644e-05,-0.00017131247468212324,-0.00025070228495374436,9.367565242204212e-05,-0.011628187600590952,-0.0003851012518115085,-0.0040866923099811625,-0.00020871406935750214,-3.714863799596534e-05,0.22972862517461043
