Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,LogS_direct,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,q05_YoY_timesafe,q16_YoY_timesafe,q84_YoY_timesafe,q95_YoY_timesafe,Violation90_YoY_timesafe,UpperViolation95_YoY_timesafe,SHAP_Shap_target_headline_6m_lag2,SHAP_Shap_PPI_lag2,SHAP_Shap_real_turnover_lag2,SHAP_Shap_retail_turnover_lag2,SHAP_Shap_Manufacturing_EU_lag2,SHAP_Shap_Vol_loans_lag2,SHAP_Shap_Exchange_Rate_CHF_lag2,SHAP_Shap_gdp_index_ch_lag2,SHAP_Shap_gdp_index_eu_lag2,SHAP_Shap_Saron_Rate_lag2,SHAP_Shap_oilprices_lag2,SHAP_Shap_EU_fin_spread_lag2,SHAP_Shap_Wage_change_lag2,SHAP_Shap_unemployment_rate_lag2,SHAP_Shap_infl_e_next_year_lag2,SHAP_Shap_kofbarometer_lag2,SHAP_Shap_variable_mortgages_lag2,SHAP_Shap_M2_change_lag2,SHAP_Shap_M3_change_lag2,SHAP_Shap_CH_2int_lag2,SHAP_Shap_Business_Confidence_EU_lag2,SHAP_Shap_fin_spread_lag2,SHAP_Shap_M1_change_lag2,SHAP_Shap_infl_e_current_year_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_target_headline_6m_lag3,SHAP_Shap_PPI_lag3,SHAP_Shap_real_turnover_lag3,SHAP_Shap_retail_turnover_lag3,SHAP_Shap_Manufacturing_EU_lag3,SHAP_Shap_Vol_loans_lag3,SHAP_Shap_Exchange_Rate_CHF_lag3,SHAP_Shap_gdp_index_ch_lag3,SHAP_Shap_gdp_index_eu_lag3,SHAP_Shap_Saron_Rate_lag3,SHAP_Shap_oilprices_lag3,SHAP_Shap_EU_fin_spread_lag3,SHAP_Shap_Wage_change_lag3,SHAP_Shap_unemployment_rate_lag3,SHAP_Shap_infl_e_next_year_lag3,SHAP_Shap_kofbarometer_lag3,SHAP_Shap_variable_mortgages_lag3,SHAP_Shap_M2_change_lag3,SHAP_Shap_M3_change_lag3,SHAP_Shap_CH_2int_lag3,SHAP_Shap_Business_Confidence_EU_lag3,SHAP_Shap_fin_spread_lag3,SHAP_Shap_M1_change_lag3,SHAP_Shap_infl_e_current_year_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Constant
2012-09-01,2013-03-01,-0.3366209579754198,0.7626389480142934,0.6539925852938274,0.6607634136424653,-1.615343256345518,1.2083723409165132,0.23736946578507645,99.99999999999999,-3.8369073452743323,6.342522700497397,1.4519445674609988,-0.5953826692453035,-0.045752716250446884,-1.3419298580396903,-0.8138312935412089,0.6961252317669969,1.1738687848217395,-0.4270721902575936,0.21350035488192803,0.2161633578146709,-1.6229023377104062,-1.0948037732119247,0.4151527520962811,0.8928963051510236,0,0,0.002756924128191794,-2.2132063686470413e-06,1.0602714413053754e-06,1.4059067615336407e-06,-4.6695390213420776e-06,-1.9914166048969907e-06,5.518926176550409e-07,-2.477783732116514e-06,2.493381007935956e-06,-2.987365981371899e-07,-0.00014648931566693392,-7.216891473753491e-05,1.1775641728855624e-05,-3.926771835133795e-05,-5.674289610339962e-05,0.00021271605257755212,-2.751544364571885e-05,-5.886026225682704e-07,7.22274727283406e-07,-1.7397614491361462e-06,2.848072906697716e-05,-2.4680626122044915e-05,3.839894691970239e-06,1.3200584903351975e-06,-5.256987522973161e-06,2.4693844423084764e-06,9.612442645508455e-06,-1.4076917771032722e-05,1.1026922831974238e-06,1.1664963223963808e-07,0.000623267084502655,-8.391835537636708e-09,-3.174821966631556e-07,-1.0885441908139623e-06,1.7757521099910122e-07,3.849361788776207e-09,4.6974807228641877e-07,-9.68510339313444e-07,8.236132819676628e-07,2.2294951309054867e-07,-2.8408705043010336e-05,1.5956575821266924e-05,-4.394763959135924e-06,-2.7746718237275534e-05,-1.686690130530888e-05,5.189735619641711e-05,-0.0001599980326484432,-4.413378763157742e-06,-7.4089802358145705e-06,-1.872872743016551e-07,1.286688232231833e-05,2.811031026695158e-06,-3.6600611857803427e-06,1.2750976531373851e-08,-1.4565654149412303e-06,-1.1554189981369263e-06,-1.3692568506816611e-21,1.7283887480543707e-06,-3.627184404116943e-22,-8.693657793349344e-06,0.705542389774552
2012-12-01,2013-06-01,0.9850075444305162,0.7287459393428706,0.3743548373888139,0.3782417625506969,-1.3504379852929869,0.06567001024209644,0.5676814395405312,99.99999999999999,-2.5970649829277983,4.617386807704267,1.494669383507769,-0.1279526276012355,-0.2560834301450583,-1.563469729391868,-1.031803189417261,0.49676312686586194,0.982443626322266,-0.6204563998164936,0.2650948070269684,0.26965326335569495,-1.021088403066243,-0.48942186309163593,1.0391444531914868,1.524824952647891,0,0,0.001299978064406645,2.172096013246132e-06,-6.24307436070584e-07,-2.0872403915650715e-06,1.9939128500968492e-06,1.0605354200656993e-06,2.2915248279237324e-07,-1.529104357766275e-06,-1.2506998300032274e-05,1.6343525319914134e-06,5.394337400199254e-06,-2.988827564000293e-05,1.3777937948113184e-05,0.00017032817561556395,1.9191539488540107e-05,0.00025134589410101793,-0.00011406106339192516,-1.1539572952042207e-05,-3.083811484329084e-05,-1.8809479377333111e-06,2.0769797668125022e-06,-1.3421443436456328e-05,-3.185708076673199e-05,-1.1580238825643833e-06,-8.612284634794909e-07,-5.018120337229503e-07,-3.473022842985466e-06,-4.590415270236063e-06,-1.5467920195072932e-06,3.333483099121095e-06,0.00012626824041916485,2.2490932826224827e-07,-5.708973665405945e-07,1.1204342843877112e-07,-2.4702809771934616e-07,3.3224145615331127e-07,-1.0707336854216317e-06,3.5624391177439375e-07,1.0774259074288082e-06,2.1005142594517226e-07,6.278061571502422e-05,2.414896898142438e-06,2.5344459546575045e-06,-7.916541856452797e-06,2.0743828644972312e-05,8.378199802927883e-05,-3.259634431847791e-05,9.577364575268193e-07,-1.9614371749727022e-05,4.713213678422541e-06,-1.7202645257795094e-05,-3.841269103763898e-06,-1.2198217343747776e-06,-3.018903381578041e-07,-7.089504797824192e-07,8.506262602592342e-07,5.304092428728385e-06,-3.447507770992042e-23,1.0662053770670689e-21,-7.447961977248738e-06,0.6617804578106851
2013-03-01,2013-09-01,0.225861790070958,0.6667145765449523,0.3931103351584662,0.39760156022915116,-1.3533782750798142,0.1943511793418852,0.3887805036336347,99.99999999999999,-0.9943369801459636,2.110879429063575,1.4712943425131402,-0.0553795839522308,0.1650468092847662,-1.0668880375607974,-0.6123322093837872,0.8962727025175674,1.3711080759458352,-0.1683104789877099,0.22197662908956742,0.2243795239470993,-1.5789008796725061,-1.1243450514954958,0.38425986040585863,0.8590952338341264,0,0,-0.0018211386394065422,-2.5953913290796338e-06,-5.563067491530065e-07,2.4364685179961207e-07,-4.558168091600153e-06,8.230500647353557e-07,-2.885507553151028e-07,-6.6151936731959975e-06,3.735038528093788e-06,1.1836805865463927e-06,-0.00015102218204828937,-8.777783081781508e-05,-6.489401809099271e-05,8.818138750169314e-05,1.4328662655916476e-06,0.00018978820056188975,-0.00011195755952541846,-3.993018478742498e-05,1.6436975254803665e-05,1.8483856926889982e-07,-2.9274091381758075e-05,-1.8464349405792986e-05,1.2688931508414425e-06,-2.751511784620831e-06,4.824777681163336e-06,2.9699943922045753e-07,-5.623434503592503e-06,1.3259115128403536e-05,1.0150763005249523e-06,6.309504368121159e-07,-0.0005200800351958885,-3.237311130877438e-06,3.766153748174773e-07,-4.239468163891443e-07,0.0,1.6223900393053402e-07,2.5342170649624574e-08,4.55424688105442e-06,4.401599002530241e-07,1.063032049155269e-07,-2.2577851607520533e-05,-8.993971721558866e-06,-1.9705455817494733e-05,-0.0001476812545246726,5.7544741042551405e-06,2.4449261119782063e-05,9.433723768201578e-05,1.2318908595935968e-05,-3.3737295606372403e-06,1.3503244885192118e-06,1.5714324116385785e-05,-1.1998208427615288e-05,2.644372979749934e-06,6.604158824891557e-06,-1.7183091905212654e-07,3.5028917070726547e-07,6.531040605640776e-22,9.286902260332563e-07,2.0891771909971962e-22,4.906930831331685e-06,0.6129569871163971
2013-06-01,2013-12-01,-0.850826243793712,0.5389967503602833,0.8405448352788435,0.8491313027872559,-1.7812322071613031,1.9316079550791763,0.17513173951823127,29.776078184834553,-0.21655761448747332,0.8755739838343753,1.474248862972471,0.0670906503184021,0.7620021473953997,-0.4680490668148763,0.03338567472051863,1.5332556020121118,1.9912197561820912,0.4925037722152581,0.3009080967124453,0.3025116378318164,-0.6762229042872347,-0.1747881627518399,1.3250817645397532,1.7830459187097327,0,0,-1.1232235700691163e-05,-2.420188389968012e-07,1.4038626295517793e-07,2.803081190396372e-07,5.118362624632071e-06,-1.325938378148887e-07,5.444279814202003e-07,2.0369344624095326e-06,-4.2955003130143455e-07,2.3414151852371444e-07,1.5883683746679595e-06,-0.00014927266985829816,-1.6331580424698532e-05,3.22380965119876e-05,-2.3829737848449743e-05,5.841559565966748e-05,0.00044502522131239635,-5.614779330536707e-06,-8.582032770202917e-05,1.7721111857056781e-07,-5.0303043705033044e-05,3.2615215046514326e-05,-2.2821565929338264e-05,-7.525542398490311e-06,-5.307041352663846e-07,-2.234401390126583e-06,4.3450744576771835e-06,9.628460644199744e-06,7.669290198495209e-06,-4.2897989032817316e-06,-8.320402356345915e-05,9.373342833629936e-07,-4.0663466097354595e-09,-5.992054539976894e-07,-8.00520919732118e-07,9.466863344452374e-08,-1.7426888641908044e-06,-1.2567906001295918e-06,3.5867229187146576e-06,-3.2484107587195146e-07,2.0186684286201066e-05,8.029016181292125e-06,5.537522445000116e-06,-3.3349186378832515e-05,6.397852700696427e-06,0.00016014155223846281,-1.4072228293590041e-05,5.7913831245268625e-06,2.2134067734262557e-05,8.879388384427159e-07,-4.702770601409537e-06,-1.446749569737957e-05,7.195762582258415e-06,3.6123897105763907e-06,7.074206402868588e-07,2.3939719724674367e-08,-3.797706365849076e-06,-2.2301389485011583e-22,3.487804846431644e-23,-5.375224751216187e-06,0.5928614401814845
2013-09-01,2014-03-01,-0.2203161154985977,0.6771282309965464,0.5293864440991076,0.5431825023585752,-1.4785892622237182,0.8054063550560961,0.286390613896709,88.90255918733172,-1.3971458135644237,2.666812021928102,1.4634714482932445,0.0027728372861801,0.45149501053375224,-0.8109668628777748,-0.3405656616916575,1.1493299945505082,1.6162222464279292,0.11293089503547904,0.19219583398132695,0.19772905486067852,-1.0393357985952014,-0.5689345974090843,0.9209610588330813,1.3878533107105024,0,0,0.0020430089381106727,-1.7098591888417258e-06,1.539489026552272e-07,2.5538624967406253e-07,-9.702918765268403e-08,-8.673958134313289e-07,-4.865923451480192e-06,4.710516426576497e-06,-5.767239332313985e-06,3.3813337230204853e-07,-0.0001715473960976934,-0.00016039405861416298,-2.842907522541882e-05,0.0001768916526042982,1.5004970534022148e-05,0.0001010198611332073,0.0005837931006197856,-1.548663000090235e-05,2.1015949138126578e-05,-5.983313576255234e-07,-4.936669366699812e-05,1.4756768015218207e-05,-5.112695755904412e-05,-2.1664362383385634e-06,3.1615067059291767e-06,-5.118907142924588e-06,6.855772709422746e-06,2.440320631355541e-06,-5.750842060015213e-08,-7.022574415276796e-07,0.0003802421926352856,2.701109526061937e-07,-1.9226579377304936e-07,1.7920368988220245e-06,9.8559965560451e-08,-4.3333977415712935e-09,1.1703898369113705e-07,-4.1769534880819435e-06,8.505896206470623e-07,3.66860434045228e-07,-3.462078319190726e-05,-3.242120653388605e-05,1.9287622674066174e-06,-1.6494564150183717e-05,-8.323787053412023e-06,-7.36874454848052e-05,-2.5511200164897712e-05,-1.694952352667142e-05,-1.6610984471414886e-05,-7.704935537602778e-07,8.560940466758111e-06,9.967350531303978e-06,1.3121032680178645e-05,-7.712152681612748e-07,-1.5902684035333631e-07,6.823256787058233e-08,-8.352951127289134e-22,-4.221614558972399e-06,1.608435701320263e-22,-3.7635860790722225e-06,0.5959298412930346
2013-12-01,2014-06-01,0.9499888942974266,0.5628294669285372,0.39272731963428986,0.3967378623668096,-1.3497701773632147,0.14989242220060636,0.6111436041572025,99.99999999999999,-0.05971995223182703,0.6210100136233012,1.4740961651610562,0.0495813252518573,-0.14399838843258736,-1.3668955077683445,-0.9169872138594137,0.5888771514067539,1.0593524312703342,-0.425413121896856,0.17308857879300002,0.1773982239626879,-1.147181305399663,-0.6972730114907322,0.8085913537754355,1.2790666336390157,0,0,-0.00017791722449014456,6.5271595288103646e-06,-5.273495344939227e-08,5.454489006325689e-07,2.6082894860781924e-06,1.776883334594431e-07,1.320361738435918e-07,2.562810625195511e-06,-1.609843431853766e-05,-3.1470811844608185e-09,-0.00010964233684300364,-0.00010950335477504326,1.0161963606539462e-05,-3.834589674925597e-05,-1.7737342615404183e-05,6.518655866631973e-05,0.0003463406025515392,-6.073210874613838e-06,-1.9097258991337335e-05,2.371446845372652e-07,1.1713519447798998e-05,3.558281201121337e-06,-1.0201609665933024e-05,1.5617165551642648e-07,2.1395591247504775e-07,-7.458029416886324e-07,4.3473123783386e-06,-1.0409503689302755e-05,-5.18408238742854e-06,3.2980294772540253e-06,9.408843681251763e-05,-6.495007122034166e-07,2.657561937450844e-08,7.561507371071098e-08,2.25616770454114e-08,-5.535936521707507e-08,6.483887495039659e-07,1.829786965086256e-07,-4.448510004352224e-06,2.6808617867213606e-08,-3.9083666549930185e-05,5.227048886972454e-06,-1.4011164483759757e-06,0.0001050077725362628,-1.219875500690227e-05,0.00011720153417936581,-1.3937373686261378e-05,-6.733681658846443e-06,1.6620461271135309e-07,5.907241655162113e-07,5.769935535876917e-06,1.696033474720362e-05,2.922636255056103e-06,1.2155401308758765e-08,1.1061355444980527e-06,-9.977151326193677e-08,-4.4470406848045e-06,1.5208806068562891e-21,-2.517569703450878e-22,-5.205267300657035e-07,0.5808327573354483
2014-03-01,2014-09-01,0.0449539001628807,0.5413431621709868,0.4011475049400536,0.4050354903419723,-1.3346090432911577,0.2464022994369522,0.3631176264011149,99.99999999999999,-1.0162942230926286,1.981112563055041,1.411704275346012,-0.0876811076678585,0.1605135233361945,-1.0125351346078686,-0.5546475988764124,0.887949258316538,1.318624615068082,-0.11015805774929888,0.19110158837149377,0.19411991056366198,-1.4728874544668384,-1.0149999187353822,0.42759693845756824,0.8582722952091122,0,0,-0.0017211562700667575,-4.5311417817293305e-06,9.997456923346068e-08,2.514340206753403e-06,-4.973567187062669e-07,-2.57106952102899e-06,-5.38838921808684e-07,-2.6632636276699356e-06,-3.405125964725055e-06,1.5006111520332572e-08,-0.00022843359167866274,-8.384399305953134e-05,5.145750480674624e-07,0.00012294333232548693,1.0650730269013932e-05,-0.0003593917429433882,9.043882863464952e-05,3.1012754740465047e-06,-3.4750980448701045e-05,-5.386250111096478e-07,-1.0578665216426081e-05,-1.9404063279585757e-07,8.932730460391064e-06,-2.4164959549079634e-06,3.46271456848154e-07,1.323224708520515e-06,8.217634173633743e-06,-5.962353655299039e-06,-2.40627426524459e-06,2.4888869864901373e-06,-0.0003439629610979327,-1.326158048314693e-07,-5.656227409000286e-07,-0.0,-1.165133300150836e-06,-2.725865304972722e-07,2.115561010465792e-07,7.180796280897266e-06,2.0150720897187717e-06,-4.2485332664355625e-07,-6.204345704022286e-05,2.4692538243892202e-05,3.0407754268687314e-07,-2.8259258061017676e-05,2.503399599893398e-06,9.320267734347373e-05,-3.844634065919407e-05,4.845969289659546e-07,8.46659840577253e-06,3.4344623524729113e-07,3.642389518959489e-06,-2.00821156069007e-05,-1.5799671939049952e-06,2.3063225540148533e-06,-3.965997078393799e-07,-1.5294105815780662e-06,9.588071778778696e-22,5.581297188976651e-06,5.784353981332208e-22,3.955529845013174e-06,0.5558640797392594
2014-06-01,2014-12-01,-1.6078613415885457,0.4890139015127595,1.3818363098485125,1.3855876754071828,-2.328194349956902,4.396885785131158,0.07460292331669865,99.99999999999999,2.7773261096437047,-3.5394049189155234,1.450181729547101,-0.3289362236455595,0.719501397905093,-0.4350128429025967,-0.030960329539973366,1.4960956339390787,1.9665596967726733,0.4749944471487133,0.5148091248130031,0.5165117365502438,-0.6547600195330882,-0.25070750617046483,1.2763484573085873,1.7468125201421818,0,0,0.00023463401388131892,2.1381118974733984e-06,4.792165533272978e-07,4.023268782982367e-06,4.7129189426391786e-07,-6.20418922677535e-07,1.3679822346810073e-06,-1.4685043622004575e-06,-3.7507865582462425e-07,1.4228389394484439e-09,-0.0002014434001684379,-3.481522897424259e-05,3.2097860206889745e-08,0.00025631860266679717,2.761809143810176e-05,0.00016353526914987017,-0.0003823489528915551,-1.1121699113789562e-05,-3.378397027820859e-05,-1.991840028950805e-06,6.336676491247744e-06,-1.5179175204774872e-05,4.84715354451565e-06,3.9904505948973495e-06,2.576100748875487e-07,1.2220181375155063e-06,-3.619053721228025e-06,-1.0035055426616723e-05,-4.672321912523385e-06,2.932422851446974e-06,-2.322559279895339e-05,3.5854560596600387e-06,7.80493237684056e-07,-9.655839560364522e-08,-0.0,3.900340297602364e-08,4.0762852445177105e-07,1.4095744338181666e-06,-8.540451497186874e-08,-6.643633812665221e-07,2.8569577412555632e-05,2.3978680655687076e-05,1.3033844399416988e-05,-0.0001180056658769903,-9.946482758191955e-06,-5.701877397770596e-05,0.00013359776962259737,-1.1489643935815954e-05,-6.221427754369907e-06,-7.648039022651438e-07,1.5328750147153589e-06,1.0648368137668255e-05,-8.022478806217376e-07,-1.7792776758673928e-07,1.8744323071713852e-06,6.62549276130592e-07,-3.6250215710161377e-06,-4.1188484411324173e-22,3.0140763576366727e-22,-4.214430903255284e-06,0.5351752038146603
2014-09-01,2015-03-01,-1.801888355190684,0.5708251352730535,1.6501492498295822,1.666530637710435,-2.7428956791088095,5.629769307828611,0.049364470585872414,19.57086783567679,-0.4299261830131001,1.188131804673487,1.355740960650027,-0.8784672275139016,0.3078895177179671,-0.8618804800516784,-0.37505935499891413,1.0113616120102333,1.463383637865438,0.02247695008144035,0.7286996923081983,0.736018224819216,-0.9706484999042793,-0.483827374851515,0.9025935921576326,1.354615618012837,0,0,0.0046521125012047035,1.1886801092537434e-05,5.714463986950927e-07,1.0542102328872114e-06,-9.121312815488327e-08,2.8851564136046266e-06,1.960463891260177e-06,-6.162153679224275e-06,-6.203714481250218e-06,-6.008639119873272e-07,-3.5950429096378654e-05,-4.83406035385338e-05,7.782841240779455e-07,-0.0003275551736523,-1.4355651848671051e-05,0.00016857204121878975,0.0003044932922366556,-1.1015668214471713e-05,-1.0828787298242743e-05,-1.7695957877363705e-06,-1.2307626103450924e-05,3.1370979137507096e-05,2.6321530045122726e-06,4.651750373688194e-06,-2.25538354712159e-06,-4.2497627385972755e-07,-1.9035891089635046e-06,-1.1210714010207695e-05,-4.482513349542428e-06,1.9740035031099383e-06,0.0005064401104059915,1.9185692195050025e-09,-4.233629039416237e-07,3.0791123887963043e-07,-7.622159526999646e-07,3.3738686298531587e-07,-1.1389775029709748e-06,-7.954138292191001e-07,-5.138636770060295e-07,-5.257690391218603e-07,-5.449460665678119e-05,3.867616365748641e-05,-4.96056265183259e-06,3.2557580321864965e-05,-1.3006982515029849e-05,-8.931494177099225e-05,-2.6115435123479165e-05,-1.911323145106959e-06,4.559959880513578e-07,1.6465166024478096e-08,9.200020878083533e-07,-7.378479289761549e-06,-1.9578131976422615e-06,5.2112009214400485e-06,-5.079260822042661e-07,-7.284558346568278e-07,1.233579568820044e-22,6.572147981271478e-06,4.695491066013118e-22,2.5731641129598387e-06,0.5452426858491485
2014-12-01,2015-06-01,-0.4775659968480283,0.5091149773949634,0.6018791308730363,0.60756551698999,-1.5233963744344483,0.9735393449330991,0.2418751821071904,89.17152772466567,-0.2781077451149286,0.9172930096456264,1.4189310389741656,-1.042713669218287,-0.5493731820967912,-1.7323463441479428,-1.2431554844923582,0.14121786333707095,0.6319669338279512,-0.8039306707942728,0.6791837423270493,0.6866608806999507,-1.1963681440964082,-0.7071772844408238,0.6771960633886055,1.1679451338794857,0,0,0.005848460177199773,4.541667297874299e-07,-1.9889535832077456e-07,5.667154883563102e-07,3.8539318927848e-06,-1.570394764178357e-07,2.465716922720662e-07,-1.7878289199154402e-06,-4.472701890194332e-06,3.822871909946219e-07,-4.089707130877542e-05,-4.797664636579314e-05,1.1176827008603502e-05,-2.8356495549473944e-05,1.1719468141597874e-05,-5.8344553561045387e-05,0.0004102606998192806,4.052184001202939e-06,4.690266556081492e-06,-2.8616542485836545e-07,5.071083795729027e-06,8.907078342189813e-06,-4.285412386238153e-06,-1.0267991868841568e-06,-2.782327321204174e-08,2.7612683350668234e-06,-5.641793753143373e-06,1.1008685288336914e-05,-1.7123470811955023e-06,8.444463568906898e-07,0.0004679520226059994,-1.3445954001174289e-06,1.586111393862454e-06,1.0585534736680553e-06,4.190670955105368e-07,-2.166739387759404e-08,-1.7185431804781614e-08,3.353106817440625e-06,1.1230688532650864e-07,6.409605343418395e-08,-3.259968085724048e-05,6.060999349167588e-06,1.4544168623688488e-08,3.245198291102805e-05,-6.273521926625722e-06,4.196304035481153e-05,0.0001435783152160994,3.584194103397187e-06,9.459970226311803e-06,7.140671930230125e-08,-2.647731530768858e-06,-5.720174482195879e-07,-4.160867002248971e-06,-5.233401334627522e-07,7.852307312159945e-07,-9.516916934873003e-08,5.566666126495264e-06,1.1928467149196812e-21,-4.627766619013027e-22,1.3051658273406503e-07,0.5301916836644245
