Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,LogS_direct,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,q05_YoY_timesafe,q16_YoY_timesafe,q84_YoY_timesafe,q95_YoY_timesafe,Violation90_YoY_timesafe,UpperViolation95_YoY_timesafe,SHAP_Shap_target_core_3m_lag2,SHAP_Shap_PPI_lag2,SHAP_Shap_real_turnover_lag2,SHAP_Shap_retail_turnover_lag2,SHAP_Shap_Manufacturing_EU_lag2,SHAP_Shap_Vol_loans_lag2,SHAP_Shap_Exchange_Rate_CHF_lag2,SHAP_Shap_gdp_index_ch_lag2,SHAP_Shap_gdp_index_eu_lag2,SHAP_Shap_Saron_Rate_lag2,SHAP_Shap_oilprices_lag2,SHAP_Shap_EU_fin_spread_lag2,SHAP_Shap_Wage_change_lag2,SHAP_Shap_unemployment_rate_lag2,SHAP_Shap_infl_e_next_year_lag2,SHAP_Shap_kofbarometer_lag2,SHAP_Shap_variable_mortgages_lag2,SHAP_Shap_M2_change_lag2,SHAP_Shap_M3_change_lag2,SHAP_Shap_CH_2int_lag2,SHAP_Shap_Business_Confidence_EU_lag2,SHAP_Shap_fin_spread_lag2,SHAP_Shap_M1_change_lag2,SHAP_Shap_infl_e_current_year_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_target_core_3m_lag3,SHAP_Shap_PPI_lag3,SHAP_Shap_real_turnover_lag3,SHAP_Shap_retail_turnover_lag3,SHAP_Shap_Manufacturing_EU_lag3,SHAP_Shap_Vol_loans_lag3,SHAP_Shap_Exchange_Rate_CHF_lag3,SHAP_Shap_gdp_index_ch_lag3,SHAP_Shap_gdp_index_eu_lag3,SHAP_Shap_Saron_Rate_lag3,SHAP_Shap_oilprices_lag3,SHAP_Shap_EU_fin_spread_lag3,SHAP_Shap_Wage_change_lag3,SHAP_Shap_unemployment_rate_lag3,SHAP_Shap_infl_e_next_year_lag3,SHAP_Shap_kofbarometer_lag3,SHAP_Shap_variable_mortgages_lag3,SHAP_Shap_M2_change_lag3,SHAP_Shap_M3_change_lag3,SHAP_Shap_CH_2int_lag3,SHAP_Shap_Business_Confidence_EU_lag3,SHAP_Shap_fin_spread_lag3,SHAP_Shap_M1_change_lag3,SHAP_Shap_infl_e_current_year_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Constant
2012-09-01,2012-12-01,-0.3776404355736673,0.30797227552165785,0.7899967833119792,0.7893678256999321,-2.0724231768463404,0.4700647896154818,0.4027555214175396,99.99999999999999,-1.9891521101562066,6.401180805277455,3.0207404512180576,-0.5585614490200008,-0.3871582712461695,-1.6548035974302309,-1.151131636171734,0.39807113827630797,0.8712606969092204,-0.464151340126584,0.19082423275492905,0.19054997946453142,-1.6928969506008293,-1.1892249893423326,0.3599777851057095,0.8331673437386219,0,0,0.00024476598340456306,-0.00010742720730657455,-3.198905998040307e-05,-1.264412517652033e-05,5.979589743125758e-05,2.3678919645808815e-05,-6.308253427530691e-06,6.7077129767331e-05,6.150074025357763e-06,4.253854041138343e-05,0.0011123674415950322,-0.004187896670256835,0.0010207544115144415,-0.004780770902916307,1.014573675054992e-05,-0.0006873365040241475,0.011013087853042895,-0.0005738194640992917,-0.0010968037051040825,-0.0005757120855172684,-0.00020364239815624726,1.220283568385999e-06,-0.00018018784612115602,-1.564488935614744e-05,0.00011578396308149625,6.258373475859032e-05,0.0002721321755660251,0.00026446919642184025,-0.0001516612637686653,0.0002359436970284342,-0.0009234393268158833,-1.9118650687456323e-06,-5.271769117121686e-06,-7.035305618460952e-05,6.100683297829396e-06,-1.8189157768902241e-06,2.7402461892421597e-06,1.8470678882141967e-05,-2.921228907106967e-05,1.3489294636559283e-05,-0.0020121129892856442,-0.0021197339128705543,0.0004767666712676628,-0.002287084168936464,8.469063611546567e-05,-0.00037638204378567786,0.004990285604923331,-0.00017903329305521689,-0.0005035200519215758,-1.2312723336095131e-05,-0.0003116329644488873,-4.4733200992735435e-05,5.4510587699628334e-05,4.5094641029162666e-05,-4.3982925409499986e-05,-4.104064960948506e-05,-1.6307633729171718e-20,0.0002470238562760482,5.47996523516761e-20,5.820092750656054e-05,0.3985195610029971
2012-12-01,2013-03-01,0.0964442201421889,0.3232261631967083,0.7194443398446697,0.7398623975995715,-2.0350157910982856,0.05143004969558329,0.47055887564994103,99.99999999999999,-0.12193954506112122,0.6924997768426286,3.0364231283557626,-0.5559402157513382,-0.4992447299877084,-1.747767244695875,-1.2801730639234339,0.23846668316458736,0.7644533902725028,-0.5800512707868855,0.2314524681754092,0.23721305828978895,-1.4828648393169666,-1.0152706585445255,0.5033690885434957,1.0293557956514112,0,0,-0.0005264632636177429,7.975747666625324e-05,1.2874099489457987e-05,-4.778420234921738e-06,2.5700804580386234e-05,3.9703691906117764e-05,-1.0312841069724012e-06,-1.7761069900894946e-05,2.859357107832451e-05,4.2364416867470844e-05,0.0002690654129431914,-0.0031424133006542577,-2.3810333025524994e-05,-0.004546062790892015,0.0008720250446227017,-0.002532254119138009,0.018135567523304426,-0.0006536402947649206,-0.0015150235706611957,-0.0003068363597437552,-0.00021933678016163724,0.0002851186963482157,-9.748466831921757e-07,-5.9466497970455496e-05,-1.67567598311211e-05,-4.918791294725197e-06,0.0005644876914709368,-2.1070401329662438e-05,3.342928706976135e-05,-0.00027072424481647424,-0.00022680334127274208,-9.306406263378152e-06,7.93167308466771e-05,6.800269989439249e-06,1.940051772200839e-05,1.0141326569373404e-05,6.079083679147324e-05,7.291868876422504e-06,-5.380091677105296e-05,-1.9170111101530744e-05,-0.001824656177859426,-0.0019029022261488793,0.00041499133197523774,-0.0010205954203203374,0.0003195548834375795,0.0007960959105968301,0.006402212155529903,-0.0005492771768936874,-0.0005838850447124163,-0.00034863555658736677,-0.0003606161648370788,-0.000309865458381181,-0.0003486701815472595,5.793078198548452e-06,7.755147781116779e-05,4.574254661151831e-06,0.0002879072290031857,2.9661549600262877e-20,-3.8728675878877853e-20,-0.00017090532150120565,0.34752926519136534
2013-03-01,2013-06-01,1.152727611006199,0.1340333107361678,0.8350124554230451,0.8469824745782896,-2.073037559117081,1.0377380774026486,0.637887572223798,62.331241196962,2.167892470245247,-6.146690355788741,2.873783634164124,-0.2379100909859488,-0.4925836660534566,-1.678652621199188,-1.2109503716420342,0.2590662671490663,0.7739785411883496,-0.5260919937374986,0.43523152360456746,0.4407174035475577,-2.1447945659379393,-1.6770923163807858,-0.20707567758968531,0.307836596449598,0,0,0.0006045807788814959,-3.3912906140020565e-05,-1.8527466986523332e-06,1.0208978607379183e-05,4.626908441514911e-05,-2.398941056504573e-05,2.0879729760130947e-06,3.518914553285936e-05,1.6327989795980178e-05,5.058067447111694e-05,-0.0009812940991089836,-0.003955192551765115,0.0005414176723563072,-0.005874970545627856,-2.0960330559806367e-05,-6.485687921254724e-05,0.01950028564934023,-4.398948294813965e-06,-0.0001304592906446041,-0.0003214833424276945,-0.0010156847746296183,1.5089434197947349e-05,-0.00032467840416563814,-5.4308882048798444e-05,8.20306440517934e-05,8.719221731800543e-05,-5.148126773606578e-05,-5.121133879695679e-05,4.558900287526485e-05,0.0002086809373621788,5.379511729219497e-05,-4.649256443234372e-05,-2.147190010660033e-05,-1.4214147732147831e-05,-0.0,1.0749054681683328e-06,4.975174448048005e-08,0.00011949673022227517,-1.1239601025986016e-05,4.402915578032552e-05,-0.0005832543470909394,-0.0014692172220146622,8.158475292940304e-05,-0.0019320809876975469,0.0005186403189948869,-0.00011845335300266344,0.00993529705023879,-0.000108950676338333,-0.0009157589370016644,-8.262380716780304e-05,-0.0001713805134567945,0.00010198254109775376,-0.00013749675340681014,5.4682569358492445e-06,-1.8416772005149716e-05,-3.3964948730393456e-05,5.743810658563137e-20,-0.00020933621381098163,7.891635217824684e-20,9.210667316196988e-05,0.31793664617176787
2013-06-01,2013-09-01,-1.146325498309153,0.374749657335872,0.9964817530327079,1.0207629184602092,-2.1451690064961504,2.313669629120537,0.3049431408691054,99.99999999994579,-1.6751047004391444,5.297927634121828,2.933255505501657,-0.0686985256836081,0.31157026322764814,-0.9174259893419222,-0.440082738336849,1.0340506835682208,1.5072477490280982,0.21788284889368015,0.2068234056595749,0.21265888105850894,-1.046380864029459,-0.5690376130243859,0.9050958088806839,1.3782928743405614,0,0,-0.00024684294226299733,2.2069233693823965e-05,2.3847249688013e-06,-1.4829298261041277e-06,0.00012226423709888338,-1.770714430740309e-05,-5.074409044934442e-06,2.5731155618674347e-05,-1.268772609193801e-05,-2.7452413081564045e-05,-0.0013763022915627325,-0.00530783818634512,0.0003510779121493202,-0.007622458229220419,-0.00022456841395281262,0.004444874433779718,0.011607563051232424,-0.00031530835365515094,-0.0018450411369187465,4.462301832494737e-05,-0.0007808473284047511,0.0004115285183184762,-0.0007760458746277451,-0.00012271017669501764,-3.557443075268151e-08,-7.379294341690456e-05,-0.000336501457558932,-4.9230247150329236e-05,0.00014901341955192045,-0.00011291664279438607,0.0007076625457396343,5.651476757885343e-06,7.213114358006019e-06,5.175366345201043e-06,-1.3793780650104008e-05,-2.336875223562477e-07,-5.671510844164655e-06,5.5847040295363415e-06,2.7916272614047576e-05,-2.94565139841363e-05,0.000708895726994809,-0.0025237719120027573,0.0001076721381188672,-0.0013978007911438016,0.0003413830255613985,-0.0028683589669032954,0.008432827204419388,-0.0003434020584727285,-0.000778475047429977,7.67546069585491e-05,-0.00021284332271870633,-0.00017224015262969953,-0.00020499814320246444,-6.335377120308752e-05,2.613995014896906e-05,4.3329899619718887e-05,-0.00029141365487557095,-2.1906245101964784e-21,-2.6568961383008838e-20,-4.844459075768086e-05,0.31021353529735
2013-09-01,2013-12-01,-0.1680894260466914,0.2558621226062049,0.7018573848633693,0.7210339272196041,-1.9943302782786314,0.1797349156051891,0.44262727537732505,99.99999999999999,-1.359991689970124,4.1685881103766835,2.8740626467645174,-0.0163107733018641,0.08967711386135993,-1.1257118331013105,-0.636401972825467,0.8106427653630468,1.2728672062809725,0.025711583209808708,0.17523310457439445,0.1807483563679061,-1.3326924691470277,-0.8433826088711841,0.6036621293173297,1.0658865702352553,0,0,0.00041553363954141873,6.191887479859938e-06,-6.518034959777615e-06,5.105524915340265e-06,1.2001375729532381e-05,1.3411339342288321e-05,-2.0537899810069276e-05,0.00019940088853973725,4.095480540991603e-05,5.07210453403754e-06,-0.0012049297990216685,-0.00420216666124544,0.00046497706938247453,-0.006733221832194888,0.0007094280346441048,0.0068385647918639235,0.01907303935940891,-0.0002923305556003568,-0.0024484510405957645,-2.3227469727165326e-05,-0.0002590892862660959,9.675943366837798e-05,-0.0006314368521439282,3.526950895707506e-05,4.502462109756339e-05,0.00011681514445538892,0.00013998823929399504,-0.0002256392787250351,1.1329830897955204e-05,0.00021441898634807653,-0.0007084632155731551,6.847308960530867e-06,1.3808723016251127e-05,-5.097631198205937e-06,1.7612621587966367e-05,-1.8682602049175723e-07,7.565844650470089e-06,-7.076750511828412e-06,3.9212338554612266e-05,-1.4279574764891589e-05,-0.0008481663796373184,-0.0025019452213000276,9.107642825462872e-05,-0.0021421631835884464,0.00021391971706545844,0.0025815518421374553,0.009688255340541976,-0.0003732883557368905,-0.0006153023677982282,-0.00011320139771579175,-0.00022812972247765296,-7.516694857494204e-05,-0.0001567432781646428,3.9068811385124866e-05,-3.5598076474103414e-06,-4.9996128778508145e-06,-2.5599823376773773e-20,-8.307001461031898e-05,6.466812131813435e-20,0.0001690771647304467,0.3150125600856083
2013-12-01,2014-03-01,0.4504806836468589,0.22909472456829227,0.6927636781040671,0.696703598076871,-1.9963565366140692,0.04901174287713678,0.5285766515254731,99.99999999999663,-1.6213241390184205,4.964284154312618,2.906328014650147,0.0721983425743033,0.0168518528046617,-1.220370290249935,-0.7370227047863619,0.7541783835253997,1.2278038558049917,-0.04042182833741137,0.18456487877244684,0.18429290170064883,-1.0136305845865292,-0.5302829991229562,0.9609180891888054,1.4345435614683975,0,0,-0.0005991167793482371,7.762752274823366e-05,7.175811693989863e-06,-2.4758526589824157e-05,1.3136805957638562e-05,-2.1059267996452192e-06,1.8553114547752207e-05,-5.954995875143749e-05,0.00015435409960182125,-1.4115906589664641e-06,-0.0007799308458775041,-0.00470095900959748,0.00016911245762507967,-0.006579999050070517,0.00042828870891093747,0.0022477066768185113,0.020402681014810773,-0.00022785669978755025,-0.0015655173021306402,1.97088733388143e-05,-0.0001350867852460224,0.0008808967222088541,-0.0001694335756471795,-1.404353300214319e-06,1.3314169829158184e-05,-4.24285046888739e-05,0.0001486981331862893,0.00014892974979529962,0.00017818515588660444,-0.00019707690173396107,-0.00010066803915335351,-2.904663369402159e-05,2.478397397802598e-05,1.2531165426439542e-06,-2.717226439663439e-05,6.361915199936685e-06,-4.641188415111493e-06,-5.128179872918994e-05,0.00015640835465588034,9.63263755655779e-06,-0.0012174803880241247,-0.002525892338203994,-4.841327038409863e-05,-0.0018471899338324243,0.00032686793733652746,-0.0010676166702888738,0.005555507129256747,-3.378164025009109e-05,-0.0002790024060912816,3.441412523001062e-05,-0.0003075237158620441,0.00013974855977574524,9.767749664221982e-07,-3.183858516494332e-07,8.017216202858435e-05,2.8996507757438026e-05,0.00018984560789014806,-1.2911266586576498e-20,-7.8446188831637e-20,-0.00016228219146913176,0.29695799748153806
2014-03-01,2014-06-01,0.7031114483968537,0.33668813320705926,0.7041408336372397,0.7132732281752626,-1.998064880146572,0.13426604591467944,0.5465472929760383,29.73226083442368,-0.3306947729377249,1.327595146813488,2.8976832007398627,-0.0402056980780329,-0.1318115268754816,-1.3456546731043517,-0.859079119040902,0.6046904983042829,1.1103928619997754,-0.2159835601772464,0.4402950396570947,0.4443260701146465,-1.9894763307160723,-1.5029007766526226,-0.039131159307437734,0.46657120438805466,0,0,0.0010431893073816058,-2.8691248735186673e-05,-3.74446805537495e-06,-4.328705309434473e-05,1.4091607781224911e-05,5.449733370598104e-06,3.770389703356377e-06,5.801888800043727e-05,-3.6168097503268524e-05,8.839694378927744e-05,-0.0018442033087494919,-0.004640002748050924,0.0005201861893642832,-0.00540753627279375,0.0006320733667548758,-2.5004612108068865e-05,0.022405419414066822,-0.00021758361936540045,-0.0005340495947831289,-0.0003105152112541856,-9.629276871542845e-05,0.0013132379082446675,-0.00019707142154475816,-4.2240953479652534e-05,-5.254706818826554e-06,1.590742454578193e-05,-0.00012877082691527695,0.00035936377022148416,-0.00010582242511215993,0.00022343130118450391,0.0002765912174370125,-1.4606589422926768e-06,1.1708489095108222e-06,-0.0,-2.0002260196855103e-05,7.094786039710289e-06,-3.464629524211467e-06,2.3594533108590352e-05,2.230160630413903e-05,-4.037372724586379e-05,0.0008519716748345977,-0.0020891508768331214,-4.7058667301384664e-05,-0.003377197549492902,0.00031230163601369653,-0.002796133281708567,0.009602412127406808,-0.00016130688019040426,-0.0004929075865350234,-7.952016498114232e-05,-0.0001186158413010023,0.00017260625327720092,-3.639434004008853e-05,-4.1320147947860505e-07,-1.3247448495831379e-05,-1.6596718934508121e-07,1.2577208033390473e-19,0.0001562518462866361,6.920380763621062e-20,0.0001672489317120646,0.27272396844148694
2014-06-01,2014-09-01,-0.9931052262324158,0.3093643422435535,0.9045064222553264,0.9128977814304466,-2.0965011019432174,1.6964269768059776,0.3312752566198761,99.99999999999912,-1.9028436324773985,5.801008521899409,2.889727625559912,-0.0019006300588486,0.32371676206014366,-0.8974044215880863,-0.4130064753771278,1.079282563491471,1.5163484091621893,0.2463756764992553,0.212263765896735,0.21542350602343477,-0.9413199288592946,-0.4569219826483361,1.0353670562202626,1.472432901890981,0,0,-0.0004313282409557418,-1.1537439257329416e-05,-6.211081669298004e-06,1.1365063346984466e-06,-2.3398567067383544e-05,2.0254348214747424e-05,-1.7275856011205071e-06,9.153480575853796e-05,-0.000104043318878224,-5.631360904959171e-07,-0.0017861433708718617,-0.004602032543425907,0.00032422617457590554,-0.0016644064336816817,4.9407857534799677e-05,0.0032653484456749192,0.015461325591102486,-0.00019598180214786679,-0.00029168035315281954,-7.819407654492356e-05,-0.00021498390829973035,0.0007345521144074871,-0.000159226564625707,-3.959582607002439e-05,-1.886633830629931e-05,-1.8228449014298774e-05,-0.00039526912194436293,-5.842560981380012e-05,-3.392305594758831e-05,-0.00030413374729759696,0.0005049103586211274,4.656289396040511e-05,2.2520863559905812e-05,6.0234714534650115e-06,0.0,5.037434153602446e-06,4.5693192401668875e-06,3.5859057346049625e-05,3.181546438691617e-05,-3.330919090851053e-05,-0.0005591566021591845,-0.0020410773825580183,0.00039944370639596194,-0.0006807016140569613,-0.00010856317497590778,0.001027310106787451,0.010217489277220751,-0.00010526911804584034,-0.000692408421313675,-0.00010695167763091839,-7.380425103666093e-05,0.00017552823578296609,-8.619925291261878e-05,1.967264521535676e-05,5.699185475088578e-05,-2.8799982672552278e-05,-0.00010829771392046303,-7.633213953886139e-21,-3.480707366513805e-20,-0.00020370096529008332,0.2750733504313042
2014-09-01,2014-12-01,0.860168108157211,0.3860151701819672,0.7200401512621649,0.7290770863886942,-2.0166946266349655,0.22482100859055543,0.5636669559786818,99.99999999985788,2.73743514229846,-7.529549200881865,2.8846386778545634,0.2551637534921269,0.136625518998316,-1.05411056341694,-0.5969134567828286,0.8974237452755507,1.382196651553149,0.04012172645282419,0.20534125820586605,0.20861160526588457,-1.18373871898246,-0.7265416123483485,0.7677955897100308,1.252568495987629,0,0,0.0005928544209187672,-8.30959564842084e-05,8.337019419657077e-06,1.9988056272415563e-05,-1.5165293266873173e-05,-1.9276231479912854e-06,9.65922092142531e-06,3.542717711352142e-05,3.224955207679474e-05,-8.256948681706954e-05,-0.001144824334786781,-0.003820360650232243,0.0002874208289603528,-0.007297173142195164,0.0004651270845074454,0.0004941003449567315,0.017715010882716757,-0.0002620572049604027,-0.00017706899468030254,-8.994051873383678e-05,7.7710533997861e-05,0.00015895055140417928,-7.394986154956715e-05,7.765819167274114e-05,8.937897797219074e-05,8.980459515846992e-05,0.0001703966622469625,-0.00034694144679392903,-4.7689855915960344e-05,0.00028296753171116296,-0.0007305290809197524,-1.2950613567840206e-07,9.74948034271114e-06,3.974702999961431e-06,2.3564346942139423e-05,-4.0587739982203115e-06,2.6125293264373965e-05,3.065875361212223e-05,-2.5709531344494144e-05,-3.363608567228326e-05,-0.0009688573692834817,-0.0022036540053210667,0.0001526571958570593,-0.0018311673836786443,7.865019645504845e-05,0.0014722652417810608,0.007888622741424841,-0.0001330722581254181,-0.00011783682918224376,1.6876469865186598e-06,-4.010279580237298e-05,-0.00018123444128777903,-8.345906186992389e-05,-2.1794596369787516e-05,-1.6367905683267414e-05,-2.250925406353101e-05,-2.1018150518550365e-20,0.00018149854508930758,7.697882214256533e-20,0.00018395645526370582,0.29613579067662665
2014-12-01,2015-03-01,-1.2841372129205553,0.3742511058578746,1.037047013895939,1.048624978204948,-2.145749412007749,2.750251815860747,0.2815422100979414,68.06289603797464,-1.5809939238002673,4.813108835237612,2.800436830038918,-0.1784907206497266,0.23610635904488086,-0.9653327489311789,-0.48603296078241387,0.9434399023232041,1.393844077413026,0.14254358258041222,0.2888899427895379,0.2919465792370234,-0.9017681076898474,-0.4224683195410823,1.0070045435645358,1.4574087186543576,0,0,-0.0008668319836070925,-4.538878715595685e-06,-1.3407459432123842e-06,6.14745729449293e-05,5.959407401585469e-05,2.4215155253003678e-05,5.577439029285729e-06,0.00022798368807406302,4.12609142587527e-05,2.3193515005589626e-05,-0.0016449024554209117,-0.002615364977346399,-0.00011125295228539678,-0.00202611071615088,0.0008970119114836509,0.00033351812740796475,0.02008485936326782,-0.00012320028692399437,2.521670237700053e-06,-3.237338711223018e-05,1.034948204672419e-05,0.0003729384557945471,-9.109051570908146e-05,6.502264151704928e-05,5.8197151253528065e-08,-9.936587059861266e-05,0.0002890566669361272,-2.7186454472006164e-05,3.211425600933631e-05,-0.00024236974186566448,0.0005616913759322212,-2.809824117484143e-05,-4.499300171042865e-05,2.525104427292269e-05,9.856597454829337e-06,-8.377768361949877e-07,2.2520366710504335e-06,-8.314619311561292e-05,-6.299882467850118e-06,9.020373454568651e-06,-0.0003036282148978791,-0.002161323455426778,7.726271678396091e-05,-0.002141896571212972,0.0002580929286473995,-0.003459594845634928,0.011293645004222752,-0.00011582487972073392,-2.7607798622615378e-05,3.836050845061621e-05,6.61543483884261e-05,0.0003272561661052714,-0.00011816262433745889,1.1407468304674793e-05,4.057080884072409e-05,1.329243229148951e-05,0.00010896217212996315,-4.253984239327893e-20,-9.894111966847733e-20,-0.00017265112121121133,0.26998241505653836
