Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,RMSE,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT
2012-09-01,2012-12-01,-0.4353856468247485,-0.35148968219491195,-1.691939925166097,-1.1742630936200233,0.4465615517719973,0.9465551384320273,0.0070385328811707875,0.18888292141008156,0.1893552724477497,99.99999999999999,-1.4908302488511735,0.8249888371028156,0.7872111654130377,0.4579714293300604
2012-12-01,2013-03-01,-0.5953826692453035,-1.0308160171980418,-2.2446123896603902,-1.7778260539755817,-0.22118487954231286,0.28094805772113757,0.18960220050933052,0.2722822407448513,0.2659008777787421,99.99999999999999,-0.1357552519801115,-0.9011454949272562,0.770183475312429,0.7024828547200792
2013-03-01,2013-06-01,-0.1279526276012355,-0.5996884516223557,-1.8369940887263911,-1.3594780891603662,0.17098938934561214,0.6949597254370341,0.22253468766488532,0.29668439413033904,0.2928370190097343,99.99999999999899,2.106257539533891,-2.190176163502881,0.7511493568954146,0.7326019304037918
2013-06-01,2013-09-01,-0.0553795839522308,-0.07941613789666774,-1.2740948937099852,-0.8203179118537457,0.6549926159406922,1.1478988193487065,0.0005777559255238271,0.18082175586382154,0.17412934300147154,99.99999999999999,0.7210733268263101,-0.6129406096559084,0.7396014075968944,0.5123117188659685
2013-09-01,2013-12-01,0.0670906503184021,0.2904878066921205,-0.8970243998943961,-0.42299442846578234,1.0290655595349922,1.505075694432027,0.04990628947586358,0.19871031736790226,0.1982386748224997,22.8094994730285,-0.094242208572409,0.36334902809060987,0.7110881311198644,0.37552956294458073
2013-12-01,2014-03-01,0.0027728372861801,-0.13393422476686254,-1.299765352985525,-0.8538748393028794,0.5419046866134768,1.070168373100054,0.01868882081517445,0.18084904423701847,0.17849693430921038,99.99999999999999,1.0798678564469828,-0.9094612564905518,0.7068217809492736,0.5818617328383862
2014-03-01,2014-06-01,0.0495813252518573,-0.20356282240336518,-1.3544426191400878,-0.8609961426080389,0.5545943658866276,0.983496936728945,0.06408195949208907,0.2049485613018341,0.19823282138902243,99.99999999999999,0.2872893696104113,-0.3958246702436835,0.7040029100774035,0.6343751762730083
2014-06-01,2014-09-01,-0.0876811076678585,0.29519019647283395,-0.8659704349245693,-0.41197714866122964,0.9983529078887735,1.4664572028859828,0.14659043553439463,0.2525582827418376,0.24941619915428337,99.99999999995258,-1.3017750165855,1.2188582802999102,0.7014600411408741,0.290677757825453
2014-09-01,2014-12-01,-0.3289362236455595,0.2918422510699593,-0.8109491253248017,-0.35762579123921123,0.9631629863487394,1.4107638233380195,0.38536591467012604,0.37751586741121573,0.3752135292656478,49.599470624131534,0.5737034647800383,-0.08739566474807474,0.6669386248956466,0.175298486974528
2014-12-01,2015-03-01,-0.8784672275139016,-0.7206424587231466,-1.8837215212652845,-1.4724278571161173,0.03062010118834018,0.5050210860713217,0.02490865764385528,0.18935230145903445,0.18547042917577553,99.9999999999474,1.7303011758062175,-1.9794962593835024,0.7263133420758068,0.41412538835410573
2015-03-01,2015-06-01,-1.042713669218287,-0.8070719243177281,-1.960307649134876,-1.5257211017742172,-0.09962748373540574,0.41262758756895523,0.05552703193978007,0.20302521287793954,0.198728624532628,99.99999999986458,2.3887311056490557,-2.4961006871355793,0.7054359979512167,0.3706384384173443
2015-06-01,2015-09-01,-1.4541319195251925,-0.7324476487820932,-1.9178974722443507,-1.4537713146080145,0.014699703762054619,0.502445941410527,0.520828186637999,0.44419787007216377,0.43873172411313377,99.99999999999999,0.4617110023789538,-1.061913091882312,0.7242234869448808,0.15836547156487335
2015-09-01,2015-12-01,-1.316989762101528,-0.7317891183743013,-1.964620708791198,-1.4691137779725953,-0.05763425899254714,0.3899232954105311,0.34245979341876065,0.3471092478020653,0.3419838901297503,99.99999999999999,-2.7341675302592234,1.1542186110258683,0.6913023708594122,0.210045721148959
2015-12-01,2016-03-01,-0.8644840978884183,-0.9523030138483553,-2.1419873229811324,-1.6096413552142672,-0.2135927741768611,0.21029748395231884,0.0077121620003784705,0.17267355849553886,0.1675524680456289,23.618483023504854,-0.38473766212753197,-0.650947512347751,0.6945866777546766,0.5320668917842106
2016-03-01,2016-06-01,-0.3747694568706272,-0.530326655538085,-1.7504607923972753,-1.2395385044899265,0.18678279112138713,0.6324204070202651,0.02419804205726694,0.1825878330322144,0.1789747342123574,99.99999999997826,-4.0409101750457825,2.2464036252563635,0.6833086506983288,0.582083748595798
2016-06-01,2016-09-01,-0.181689804921703,0.5329099688687162,-0.6056775454357599,-0.15026239197616162,1.242364040242039,1.6956973027737063,0.5106528367013184,0.4338273722434154,0.43234486899601465,99.99999999999999,1.4748474612923164,-0.4960780711605666,0.6955087786289655,0.15305266188118488
2016-09-01,2016-12-01,-0.0067578301338855,0.5012904664726614,-0.6808090353652437,-0.20805315330491708,1.2350459572818573,1.7042012623681368,0.2581130716848139,0.3177670684909707,0.31528922655557773,99.99999999999999,-2.634920487865479,2.4037480967030453,0.7131197573374838,0.23679363534418332
2016-12-01,2017-03-01,0.5662310222083633,0.4941213696156208,-0.6834021839477299,-0.19624772443406222,1.1375048066431266,1.5635073987972252,0.005199801997046014,0.16172426194285808,0.16163017067031674,25.587445463978234,-1.078250946204735,1.195412259905476,0.6544062475831852,0.5497717662334458
2017-03-01,2017-06-01,0.197006545721301,0.10349349983696443,-0.9864290483225036,-0.5821142264728172,0.7900727127418073,1.235645012399816,0.008744689750566036,0.16677562430703938,0.16249459491028978,99.99999999999999,0.8631004657501528,-0.47137348410267893,0.6719302500451969,0.551246324925398
