Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,LogS_direct,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,q05_YoY_timesafe,q16_YoY_timesafe,q84_YoY_timesafe,q95_YoY_timesafe,Violation90_YoY_timesafe,UpperViolation95_YoY_timesafe,SHAP_Shap_target_headline_6m_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_Factor_1_lag2,SHAP_Shap_Factor_2_lag2,SHAP_Shap_Factor_3_lag2,SHAP_Shap_Factor_4_lag2,SHAP_Shap_Factor_5_lag2,SHAP_Shap_target_headline_6m_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Factor_1_lag3,SHAP_Shap_Factor_2_lag3,SHAP_Shap_Factor_3_lag3,SHAP_Shap_Factor_4_lag3,SHAP_Shap_Factor_5_lag3,SHAP_Shap_Constant
2012-09-01,2013-03-01,-0.3366209579754198,0.7354698151714438,0.6237049843027318,0.6414545022917115,-1.5542949638540628,1.1493786258666399,0.2434571487016573,99.99999999999679,1.13051088952452,-0.9820864559610201,1.480271903601602,-0.5953826692453035,-0.05933728267187169,-1.2967204648725044,-0.8419059615644959,0.6355409802633918,1.111224968220444,-0.4270721902575936,0.2037197591735726,0.21237885567684978,-1.5776929445432202,-1.1228784412352117,0.354568500592676,0.8302524885497282,0,0,0.0002028147344283181,-1.0401289912633748e-07,1.2408589067601262e-07,-1.0178990656443993e-05,-1.814766353357227e-06,-2.5097711739905187e-06,-3.211164790810415e-06,-2.077945021160162e-05,-3.3569179013737894e-07,2.0519457570482065e-05,2.7880034695597296e-06,4.2336090074060665e-06,7.648551671303912e-07,1.6983273409365328e-07,-1.5523795210454932e-07,-1.6790653903863332e-06,-3.3358542683436568e-06,-8.701836496402405e-07,1.3770655160541821e-06,-1.4017324479141413e-05,-8.658711747514932e-07,5.833251529543833e-06,5.192822305808134e-07,-3.3039401763781522e-06,0.7032504396387271
2012-12-01,2013-06-01,0.9850075444305162,0.6500704337859231,0.37794536502955334,0.38629766070096483,-1.3476058036502714,0.11218286808694838,0.5828071601069416,99.99999999999999,-0.33073133791275755,1.1677347715793098,1.4984035846654582,-0.1279526276012355,-0.29542118292353203,-1.5117857303087276,-1.032133530540409,0.48766926996903676,0.9875919997279821,-0.6204563998164936,0.2530213849370559,0.25289733430127864,-0.9694044039831027,-0.4897522042147839,1.0300505962946618,1.529973326053607,0,0,2.479686489719835e-05,4.335253640525097e-07,-7.854362438064432e-07,-5.249348138870738e-06,8.090247191877651e-06,-7.334716535348486e-06,-2.554306196604031e-06,-2.376734318540909e-05,1.764705214851508e-05,-1.5429744417982675e-05,-1.106702659901003e-06,3.872686100501163e-07,3.456183438014953e-05,-2.8446194428025917e-07,6.905030150902836e-08,-5.026962139428537e-06,2.2515213636698837e-06,2.8945912389896275e-06,-4.5017582632921394e-07,-9.172587313479096e-06,-2.808387312541844e-06,-4.654764680502333e-06,-1.8064703262097153e-07,5.798404576374171e-07,0.6641235091054468
2013-03-01,2013-09-01,0.225861790070958,0.7199522271393379,0.41400940794319874,0.42199342198110634,-1.3994668925906344,0.24412536000242274,0.37374273427452964,99.99999999999389,-8.147093387536932,11.305053908023948,1.2963877887298667,-0.0553795839522308,0.19166563458195904,-1.130421802259808,-0.5821193549177962,0.9162008841199389,1.3379572104582274,-0.1683104789877099,0.21373906448161006,0.2172388283370689,-1.6424346443715168,-1.0941321970295048,0.4041880420082302,0.8259443683465187,0,0,-2.477856564606014e-05,-3.0253240930044373e-06,7.593537496441717e-07,1.5534547283404868e-06,8.176547671486056e-06,-9.53119604729636e-06,2.3156834067661462e-06,8.443249372163175e-06,9.529517040454713e-06,-1.300178303010686e-05,-5.7074262271843696e-06,-2.7747119298672735e-06,2.5047249426028865e-05,1.0391216989296424e-07,3.168001937348801e-07,4.197208948096202e-06,1.520752761669627e-06,-1.4868238228643496e-06,5.850696229181767e-07,-9.854115391432082e-06,-7.711976064127407e-06,-6.702608118526688e-06,-1.4318043410363324e-06,-1.1629062601141747e-06,0.6179907170917653
2013-06-01,2013-12-01,-0.850826243793712,0.5420169635541818,0.8446187709546403,0.8457670891740611,-1.74663233320023,1.9400122002551679,0.16699851824859288,90.18399483325545,3.1361244289186736,-3.941922856960149,1.4286814694701133,0.0670906503184021,0.7635122539923489,-0.42061681480135726,0.06958433681680552,1.5100801778391226,2.0285979035841577,0.4925037722152581,0.300135173042786,0.2988018082309948,-0.6287906522737158,-0.13858950065555298,1.3019063403667641,1.8204240661117994,0,0,-6.603331575955561e-06,-8.727756900961934e-07,9.264152923275435e-07,-7.3787933825082675e-06,-9.149221400246747e-06,5.796637392851388e-06,3.354963339602342e-07,-3.0887169246255104e-05,-2.9663904043457747e-05,-2.5866562970386136e-06,-7.87317117502687e-07,2.924415387535887e-06,-6.300334770613314e-05,-4.5731836238014935e-07,2.0712172807175974e-07,4.2228103865708856e-07,-5.184545413878594e-06,-1.3617804636605216e-06,1.8247848780522006e-06,-5.7953738003335695e-06,-1.4753240096035491e-06,1.6039394964027165e-05,3.7886011725972703e-07,-9.39774051342896e-08,0.5918393438154924
2013-09-01,2014-03-01,-0.2203161154985977,0.6304712678378851,0.5295749735038895,0.5340016545833232,-1.4865060827621415,0.7238391716445393,0.28525149114969756,56.95586005609517,-2.1547427799250576,3.7131848060661294,1.4289269618082436,0.0027728372861801,0.4281665289544216,-0.8268822689467307,-0.31826178645746794,1.1189740704192692,1.626117086814723,0.11293089503547904,0.19164262893474002,0.19541230561964498,-1.0552512046641576,-0.5466307221748947,0.8906051347018424,1.3977481510972962,0,0,3.0009777594135393e-05,-6.742629529781233e-07,-5.932970597205844e-07,-2.8314237665306667e-06,1.3560001032561676e-05,2.6022406525023455e-06,-2.437323449971023e-06,2.23360183478114e-05,1.9058850773043743e-05,-8.209941415421307e-06,-2.381803800995942e-06,-1.5477105004666503e-07,-9.652388709539421e-08,-1.3028128578063322e-07,-6.47435640037443e-07,5.095327434531285e-06,-2.8206963632776824e-06,-3.939967367983778e-07,-4.2026738622839765e-07,1.5831730426599413e-06,1.546708738006449e-06,2.462747579066096e-06,-2.427001729128843e-07,-1.6659445044860765e-06,0.5995443986923673
2013-12-01,2014-06-01,0.9499888942974266,0.48695740028071777,0.4005384953803119,0.41179017283842606,-1.3641694866748677,0.2143981644513455,0.6147398579832676,99.99999999999999,-0.0856835994842685,0.6419089052025343,1.491496620378938,0.0495813252518573,-0.1819344217564971,-1.39915768633879,-0.9148196446141417,0.5683186344453207,1.083664562082466,-0.425413121896856,0.1750675169836668,0.1788297680257092,-1.1794434839701085,-0.6951054422454601,0.7880328368140023,1.3033787644511476,0,0,8.686180367245584e-05,1.0421640754451471e-06,-9.225234674391432e-08,1.0453072031740122e-05,-3.2818171114834324e-07,1.3189981769414101e-06,-6.979916943201924e-07,-2.118331883144088e-05,-3.76062730243012e-07,2.5371673941023957e-05,9.235857974146014e-07,4.576864791868345e-06,5.284226660361347e-05,5.956809895817745e-07,-9.541874604572861e-07,-5.9309867715367e-07,-5.104301106001654e-06,2.2458709065220544e-06,-1.5600589374164526e-06,-1.7153027150473495e-06,1.2339174815201418e-05,-7.769634378518345e-06,-5.943463497686523e-07,-1.72615726246972e-08,0.5837379441541002
2014-03-01,2014-09-01,0.0449539001628807,0.50658692350505,0.40511162952493407,0.40715888157238783,-1.3521141804546077,0.2131050482400318,0.37394094720330107,98.2410149915086,2.212410138268742,-2.7036005499489377,1.452031267240911,-0.0876811076678585,0.14313540400322614,-1.0644400377057361,-0.5573084076386967,0.8772131495063838,1.3868365905937516,-0.11015805774929888,0.19952515800217346,0.2020328267238312,-1.524792357564706,-1.0176607274976666,0.41686082964741406,0.9264842707347818,0,0,-0.000138586453189324,3.2070631484094815e-08,4.6196773925335005e-07,-3.3297692423805565e-06,-1.8938412468620718e-05,-3.114192799285176e-07,-1.0004096276680986e-06,-1.4272548401814893e-06,4.879349910651047e-05,-1.1629396894641933e-05,6.305286417066035e-07,1.4827099801493237e-06,7.77087534102429e-07,2.4017494897489846e-07,-1.0088631216660971e-06,4.47318965484935e-06,1.3529306276921056e-06,2.976432080579921e-06,8.805119043510956e-07,2.7468809548236134e-06,-6.436343897221899e-06,2.899932806233131e-06,-2.862958768373992e-07,-2.7003761797843827e-06,0.5550652020588673
2014-06-01,2014-12-01,-1.6078613415885457,0.5801964519577892,1.4397313552211524,1.4486064663485592,-2.3922796671954707,4.787596907898856,0.0717436071035995,99.99999999587838,1.2345275841369274,-1.2663463572722218,1.4902669529251555,-0.3289362236455595,0.7650926731276079,-0.44425592775274625,0.0022542805564939854,1.5183237210923466,2.0079426093819146,0.4749944471487133,0.5418195156499979,0.5474123750508696,-0.6640031043832377,-0.2174928960739975,1.298576544461855,1.7881954327514236,0,0,-9.289805415259406e-05,1.3581690802097424e-07,5.51693400982412e-07,1.2784048074833082e-05,1.1707745305543112e-05,-3.195561276387538e-06,-4.979847571019523e-06,6.3250214093417164e-06,-1.3662311210166614e-05,7.748850348723399e-07,9.54253624598078e-07,-3.8549580956303844e-06,-1.3014667213834012e-05,-4.247204868161518e-07,-2.4800616402445168e-06,1.2268925328560001e-06,2.5401474977770293e-07,-6.302526388211277e-06,-8.580364499092585e-07,8.273353835862345e-06,2.1540138109348414e-06,-2.2543717996987224e-06,-5.984302387247135e-07,6.904971066153763e-07,0.5383621060409974
2014-09-01,2015-03-01,-1.801888355190684,0.46742911990708563,1.5443612235378277,1.5604375736451785,-2.5596459395109354,5.149801802784116,0.05857262757751761,78.92795106328315,-1.6736747169850055,2.864976320902448,1.4125919782546068,-0.8784672275139016,0.25619151003498314,-0.9343999428697425,-0.4344226268297997,0.9752454532403222,1.4492555609445885,0.02247695008144035,0.6781311638127894,0.6851664666949391,-1.0431679627223434,-0.5431906466824006,0.8664774333877213,1.3404875410919876,0,0,0.00012477565588987769,-6.355898900301709e-07,1.5286985603437858e-06,5.95295963266451e-06,7.664502295965765e-06,7.475836123272845e-07,7.464114268013171e-07,-4.809391764146399e-06,-3.815506102232696e-06,2.794030856427263e-06,-2.4050585504543593e-06,-6.994202099688432e-07,1.5162443734878614e-06,-2.7659963041482237e-08,-7.464981701997205e-08,-4.622530012764983e-06,2.930388264954084e-06,-6.03478251188085e-07,9.77036823447187e-07,-1.4347714816164392e-06,1.4022453872520771e-05,3.1051250951868027e-06,1.1043523149757614e-06,1.576636464268578e-06,0.5416284771204393
2014-12-01,2015-06-01,-0.4775659968480283,0.536478618120674,0.6170823686762339,0.6094231447256215,-1.5534687485160856,1.0282864811470238,0.2434398815015814,99.99999999999989,-0.8757231757676163,1.8287172799712768,1.4603515383510233,-1.042713669218287,-0.5356913617339358,-1.7227477804057625,-1.2371292578459612,0.19663184350823806,0.6863674281507516,-0.8039306707942728,0.6828968811578789,0.688701100515518,-1.186769580354228,-0.7011510577944267,0.7326100435597726,1.2223456282022862,0,0,0.00037184825516616563,-5.004731692520327e-07,-1.2134241986818325e-09,4.564822033543956e-06,8.363078044297824e-06,2.1589552895196936e-06,5.124443599909999e-06,-5.626213506345663e-06,1.6351945767574126e-05,-3.1847966195439216e-05,1.165641128512567e-06,1.7133825672404072e-06,5.067425442848362e-05,-8.051426971057355e-07,4.132540206022571e-07,4.371751774302845e-06,1.0487003665014628e-06,6.63779321825567e-08,4.7341840705136345e-07,4.131946020507821e-06,-1.0170800270990349e-05,-3.7116172885996237e-06,-8.695618074953789e-08,-1.458216042509847e-07,0.5314615809636026
