Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,LogS_direct,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,q05_YoY_timesafe,q16_YoY_timesafe,q84_YoY_timesafe,q95_YoY_timesafe,Violation90_YoY_timesafe,UpperViolation95_YoY_timesafe,SHAP_Shap_target_headline_3m_lag2,SHAP_Shap_PPI_lag2,SHAP_Shap_real_turnover_lag2,SHAP_Shap_retail_turnover_lag2,SHAP_Shap_Manufacturing_EU_lag2,SHAP_Shap_Vol_loans_lag2,SHAP_Shap_Exchange_Rate_CHF_lag2,SHAP_Shap_gdp_index_ch_lag2,SHAP_Shap_gdp_index_eu_lag2,SHAP_Shap_variable_mortgages_lag2,SHAP_Shap_fin_spread_lag2,SHAP_Shap_CH_2int_lag2,SHAP_Shap_Wage_change_lag2,SHAP_Shap_Saron_Rate_lag2,SHAP_Shap_M3_change_lag2,SHAP_Shap_unemployment_rate_lag2,SHAP_Shap_M1_change_lag2,SHAP_Shap_kofbarometer_lag2,SHAP_Shap_EU_fin_spread_lag2,SHAP_Shap_M2_change_lag2,SHAP_Shap_infl_e_next_year_lag2,SHAP_Shap_infl_e_current_year_lag2,SHAP_Shap_Business_Confidence_EU_lag2,SHAP_Shap_oilprices_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_target_headline_3m_lag3,SHAP_Shap_PPI_lag3,SHAP_Shap_real_turnover_lag3,SHAP_Shap_retail_turnover_lag3,SHAP_Shap_Manufacturing_EU_lag3,SHAP_Shap_Vol_loans_lag3,SHAP_Shap_Exchange_Rate_CHF_lag3,SHAP_Shap_gdp_index_ch_lag3,SHAP_Shap_gdp_index_eu_lag3,SHAP_Shap_variable_mortgages_lag3,SHAP_Shap_fin_spread_lag3,SHAP_Shap_CH_2int_lag3,SHAP_Shap_Wage_change_lag3,SHAP_Shap_Saron_Rate_lag3,SHAP_Shap_M3_change_lag3,SHAP_Shap_unemployment_rate_lag3,SHAP_Shap_M1_change_lag3,SHAP_Shap_kofbarometer_lag3,SHAP_Shap_EU_fin_spread_lag3,SHAP_Shap_M2_change_lag3,SHAP_Shap_infl_e_next_year_lag3,SHAP_Shap_infl_e_current_year_lag3,SHAP_Shap_Business_Confidence_EU_lag3,SHAP_Shap_oilprices_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Constant
2012-09-01,2012-12-01,-1.6759017886272431,0.8039027532301747,1.4655634964394735,1.4854081050759496,-2.3942516993562917,6.149430565816678,0.22736612162071623,99.99999999999652,-1.1510548871024164,4.5237233824099565,3.245610274890896,-0.4353856468247485,0.1845654886396059,-1.1920394308266975,-0.6662902634255878,0.989927770590177,1.5251325743448396,-0.016410199667937775,0.24436358382988338,0.250806174841324,-1.4730119104974133,-0.9472627430963036,0.7089552909194612,1.2441600946741238,0,0,0.0010236852197011103,-4.1666115585457745e-06,-5.732026903922076e-07,3.797949742267607e-07,-8.666070687828186e-07,1.5496177521970963e-06,1.9173671121259586e-06,6.076115355429569e-07,1.2575801718041915e-06,9.064661106901716e-05,1.6895796919724902e-05,-1.4325928760878898e-05,4.2646627533866625e-05,-1.8161826141513627e-07,-1.7954001488643838e-05,-5.598581236812169e-05,1.335821513277363e-05,1.0886435222246665e-05,2.5155755774536435e-05,7.462183668871861e-06,9.482222144733732e-06,-3.1056167764962206e-07,1.656521919221152e-05,-5.3665646600379564e-05,4.611503872937532e-06,7.819018411191895e-06,8.724434863915891e-07,-8.34266056498837e-06,4.693780434758283e-06,-1.5034380364755275e-06,-0.0005530990072123387,-2.878863435563335e-08,-4.5547941111684267e-07,-7.8436572928609e-07,5.252477172207609e-07,-3.283138879962606e-07,3.943250597857099e-10,8.57375535348239e-07,1.3259086303485679e-06,0.00010170107856705474,1.5939294027104178e-06,2.954341462651454e-08,2.1592123540120824e-05,-9.241191374940551e-08,-2.2172111412569045e-05,-3.7526363634612276e-05,2.981275306747777e-06,7.468700898036686e-05,1.3756304583278078e-05,4.672507119122479e-06,1.0052196473330189e-05,6.478812631400072e-07,-6.361670697816112e-06,7.256613327664346e-05,-2.903994597221937e-07,1.144382962296461e-06,-7.364878319452436e-22,-1.5620902760962906e-06,-1.0450048354349341e-22,1.7650587871195739e-06,0.6309173054137481
2012-12-01,2013-03-01,1.0026598726764036,0.5948054916035543,0.7493463443115487,0.7574437888164148,-2.0617229107536925,0.1663451961603169,0.5531728266639296,65.15377441560591,0.7183903563860236,-1.6366666094961626,3.0843028101708105,-0.5953826692453035,-0.6973462645135158,-2.011552067227807,-1.453436918198777,0.08616708799159865,0.6087731963036414,-0.8460476374144044,0.27834426629324166,0.27962796095252057,-1.4691707409021815,-0.911055591873152,0.6285484143172236,1.1511545226292663,0,0,-0.002062041358651832,7.673905034967218e-07,-1.982637825554175e-07,-3.416652485247459e-07,1.3137935702848036e-06,-2.96580515261894e-06,5.303020872684213e-07,-8.461009365770937e-07,-3.847514078096689e-06,-0.0001516412966694851,1.7683169469390486e-05,2.0407555056488453e-06,-2.9957517036253416e-06,5.584951338450818e-07,9.228453543980748e-06,-3.3194240444223404e-05,-7.900588974987156e-06,-0.00011807411587612007,4.076937597117703e-05,-3.7850506150208726e-05,-2.0493791220441204e-05,1.9017112723910888e-06,2.1529806474648063e-05,-1.696696103962562e-05,-1.755503152145461e-07,3.193487659633611e-08,-2.0498017510583125e-05,5.980796181072157e-06,2.432228072693256e-07,5.311851425407681e-07,-0.001317629210111122,2.596056461558481e-07,1.0425318488095387e-06,2.3764541251506935e-07,8.963505585549658e-07,-2.746321798223407e-07,1.7643920721704593e-06,6.221260744253899e-07,1.2216640314579113e-06,0.00014716760574346566,-1.0182128744300211e-07,1.573621584871337e-06,6.690052044166393e-06,-1.1784560423025999e-07,2.8664658020919076e-06,6.207312743792518e-05,-2.941310435348665e-05,6.630325922086299e-05,4.972438162348982e-05,-1.445816729623213e-05,2.7503120476420683e-06,-2.80654831073012e-07,-3.1718651601959906e-05,-5.790765446685003e-05,1.2013289597404033e-06,7.630948414719177e-08,9.806627060862732e-06,-5.234952822285658e-22,-4.194517711308826e-21,5.0031370897268845e-06,0.5948663807870344
2013-03-01,2013-06-01,0.9673552161846288,0.47885075705029834,0.7893943640534994,0.8187231272529065,-2.1125265044948978,0.23863660659412478,0.5557237175549145,99.99999999999999,0.8933216049941591,-2.398352129299032,3.2474207984459005,-0.1279526276012355,-0.2500787423848181,-1.5463136019756334,-1.0269868024067594,0.6093499356948191,1.0998816700389118,-0.3697914316473927,0.3735032129732924,0.37986930721959294,-2.058326444087342,-1.5389996445184682,0.0973370935831104,0.5878688279272031,0,0,0.0013762824383236382,-3.071624855181156e-06,5.7660012159651316e-08,5.386090659377573e-07,-2.7093571450017793e-06,-2.762405926398579e-07,1.2530616241868418e-07,5.271863243472418e-07,1.3199112908046783e-06,0.00019429917344172888,6.276788606245606e-06,-2.028678063419634e-06,4.1943316885250416e-05,9.90102249793709e-07,-5.366680521612891e-05,3.1495261874949076e-05,-5.536177002076137e-06,-0.0002806104842761288,-2.1777056060135922e-05,-1.4091228369801198e-05,-2.1764918035070566e-06,-5.562072649022419e-07,1.767106959337839e-05,5.495663387990504e-06,-6.212542197150973e-07,4.476171664366839e-06,-3.59966580408768e-06,-9.521925206384959e-06,-4.498173045421083e-06,-1.3999015125422039e-07,0.0006738628392371355,-2.3937074157668566e-06,-4.369383736921798e-07,-3.2095301735107526e-07,0.0,1.2916351526181353e-07,-4.337594156491585e-09,7.14688025401187e-06,2.3413045905382885e-07,-4.294636901841765e-05,1.3055583812247925e-06,-1.3383908797194607e-06,-1.6812928063553295e-05,1.9513843875991472e-07,-9.46596753649889e-06,0.00011186406984666864,1.5804514273595385e-05,-0.00010919653153035096,1.0654210562066379e-05,-1.0266288564123986e-05,-5.272087334275644e-06,1.6057930900000204e-06,8.285285863889444e-06,-4.339534197240339e-05,-1.2610200626767527e-06,-5.591023859224867e-07,1.6599481158493569e-21,-1.2900679881639691e-06,2.1923723967579784e-22,6.123197138097306e-06,0.5443932541596023
2013-06-01,2013-09-01,-0.5156316360427127,0.5110397560935759,0.878300631113625,0.9058395146514637,-2.137525510377962,1.054054147431065,0.3742887659345872,99.9999999999929,-1.5856441214728256,5.544526317945874,3.1664276070957826,-0.0553795839522308,0.20128826408184128,-1.1242653833657545,-0.6262444115926518,0.9913164961229306,1.4855558601463092,0.07352832505844731,0.18817576185984247,0.1949632045806279,-1.332439220838113,-0.8344182490650103,0.7831426586505721,1.2773820226739507,0,0,-0.00039007963153003464,-2.6438601944157496e-07,-7.226600034150748e-08,8.78672477829368e-08,2.7268749887454974e-06,-1.1322552830089392e-06,-2.4790729113228566e-07,-9.028071641462906e-07,-6.5080095541245485e-06,-7.995360333865371e-05,-9.63070843500884e-07,4.5313847180200066e-07,1.2266909281218803e-05,1.0397278054891575e-07,-2.425615936201952e-05,-6.990131339565572e-05,1.956399425251287e-06,4.3995352300330986e-05,-5.861655699544371e-06,-4.370538211980794e-05,-2.370865824428675e-06,-3.0425405155384497e-06,-9.29556550367459e-06,6.157719919421749e-05,-5.419303998355658e-07,-4.229508920480993e-07,1.2673842086492866e-05,-5.250147937234077e-06,4.0420156668712376e-07,-1.2507863180584443e-06,0.0007526586683931167,6.10919267562145e-07,-9.815667174366585e-07,1.7627131325579712e-07,1.294262906410997e-06,-8.976366103515861e-08,-1.1314669055280255e-06,1.1731246715095543e-06,-3.4402720124347024e-06,-0.00012491851385445523,-2.0389335566476157e-05,-2.2857520771659946e-07,1.5687551925646236e-05,-3.263855144257362e-08,1.3721021245842862e-05,2.293149929421391e-05,4.655817033606009e-06,-3.5658243547897456e-05,-3.057136697959065e-05,1.854240157122617e-05,-7.570027159988471e-06,-3.4698740817707868e-06,1.706757417860577e-05,-4.577361424434547e-06,6.817991131472757e-07,-7.054877249388752e-07,-5.229488888095737e-06,-3.492016818781337e-22,-2.3377066539181866e-22,6.66050899662272e-07,0.5502067772692483
2013-09-01,2013-12-01,-1.1860208515447113,0.5123255041956105,1.071703081434128,1.0942931769744269,-2.1684194207025014,2.8843803440564315,0.29056984854190626,82.65057235096111,3.2349710401690968,-9.089005695023442,2.949313023292046,0.0670906503184021,0.49167723925348256,-0.7541336552290854,-0.266404216842074,1.239546263482191,1.8181556391461555,0.3635958632045799,0.19724131593555594,0.2017487161293859,-0.9825025909465122,-0.4947731525595008,1.0111773277647642,1.5897867034287287,0,0,0.00041763635884189417,-9.449590205682697e-07,2.566755438143406e-07,5.463676766511694e-07,-6.064890682180654e-07,-8.29519348915438e-07,-3.2684364273866015e-06,5.9526216855035104e-06,8.985941560640264e-07,-0.0001589969217627902,-1.515031926945098e-05,-2.096523297528943e-07,-1.781081182177082e-05,1.656039523395731e-08,1.796402097069579e-05,-0.00011032408373058065,-2.806508060586489e-05,-0.00012640865204581518,5.177557330451244e-05,1.2455183792335194e-05,5.8597978087883605e-06,-1.2315309353464545e-06,6.126640795834768e-06,-1.0506575414935654e-05,4.128563946495048e-06,4.038831311552738e-06,1.2241154640145652e-06,-8.242457575200411e-08,4.7424052222646175e-06,5.069461941887059e-08,-0.0004771132555652324,7.727657045697969e-08,-6.754262614825888e-07,-6.236204243752634e-07,-3.177032752566788e-08,1.336239961632602e-09,-3.20198417034408e-07,-5.5245441216784595e-06,2.0256934104031474e-06,0.00015415875863071461,-9.431569083253132e-06,-1.318440214444404e-06,-2.894637728212357e-06,9.469970544666122e-07,7.315605409052845e-06,-8.67383043738816e-05,3.0643085611646074e-06,-1.875773380585791e-05,2.37422635419656e-05,-1.0438977313690781e-05,1.867479832127267e-05,2.2070076548123264e-06,1.2280247650241146e-05,-1.5535738892816852e-05,-1.6154855902680272e-07,8.627405030421111e-08,1.3855154714307016e-22,7.320138456947538e-06,1.1406407319682955e-22,-1.968908386985391e-06,0.5515893467958258
2013-12-01,2014-03-01,0.7453886205475158,0.510772856917996,0.7101812471209802,0.7129996102627794,-2.0150435110688862,0.05504455654346268,0.5351110344028056,52.084631055121015,-1.4503420216835377,4.772236567420261,2.9435544923018164,0.0027728372861801,-0.055881103621199774,-1.3035123437863747,-0.8407264720552556,0.6651340605608114,1.1285434146423878,-0.18357431785069878,0.18782746236381684,0.19080517263134728,-1.0837981414176932,-0.6210122696865741,0.8848482629294929,1.3482576170110694,0,0,-0.0009658926620658268,2.970603288894207e-06,5.0889589229518876e-08,1.1700721962078407e-06,-2.522231834619745e-06,1.1141383480082702e-07,2.0934392271695674e-06,-2.768645151868576e-06,5.726589409226479e-06,6.870193881202079e-05,-3.661243738562643e-06,1.1307114087812897e-07,1.244246375781179e-05,3.420107404057158e-08,-2.4886595963566313e-05,-1.2716268762741752e-05,2.3828139061078963e-07,9.996771540746433e-05,4.427679200102852e-05,1.0756620635829593e-05,-1.2104140702907273e-05,-1.3166265230790877e-07,-8.59266954049243e-06,-2.404224312496769e-06,7.325143621271147e-07,6.455603100833553e-07,-7.669145504595666e-06,-3.408936779243141e-06,3.1941404851128784e-06,-5.12797523691951e-06,-0.0010970050404658807,-1.0771054211938214e-06,1.6677849448878397e-07,7.474206495530376e-08,-5.101179135884727e-07,-1.5317368922588166e-08,6.787841352181994e-07,-1.6281257365186136e-06,-3.5467772142609165e-07,0.0001795431307858194,-1.385969052947404e-05,-6.777491592241957e-08,1.922320859033047e-05,2.2400114965266346e-07,1.3612545613059915e-05,7.143362942345124e-05,-4.29433073236164e-06,-0.00011627566766530678,5.737463625792042e-05,-3.906655827720851e-07,1.319753801630185e-05,-1.0232184501099771e-08,5.657505598714653e-06,-1.8899989943517524e-05,-3.9743676467693354e-07,-4.62509423843033e-07,-5.311838550947903e-06,4.968403940471216e-22,7.358527114929778e-22,3.623706545607491e-06,0.5347480168484752
2014-03-01,2014-06-01,1.1545891680473377,0.41900424553194593,0.7912666041543891,0.7998742254088761,-2.0782231321924485,0.5410851782319749,0.592864547397146,92.23388362573824,1.3618365622633748,-3.757718376207755,3.064945132004863,0.0495813252518573,-0.13431490537699056,-1.415087187960226,-0.897616072826827,0.6744773270877585,1.153227197677374,-0.23906596675997704,0.38151704300975986,0.38550298806402794,-1.8754395078191959,-1.3579683926857968,0.21412500722878872,0.6928748778184042,0,0,0.0013088584350746666,-1.0091648088172528e-06,-1.2281957297777054e-07,-2.4869880124487024e-06,3.353107177927619e-07,-1.2598488237633545e-06,-7.009677771065242e-07,-5.494435382293358e-07,-4.922996582209239e-06,0.0002353857249661102,-1.4031759513151927e-05,6.84142697756133e-07,9.988616858163206e-06,2.678394172156422e-06,-3.2840390002618366e-07,-1.6203979194870956e-05,5.204326033704078e-06,-4.376675705479437e-05,6.655948641602189e-05,6.009909538241694e-06,6.52974005483654e-06,-1.2569358463340274e-06,-1.39063060672293e-06,3.50693870092475e-05,-1.3508374011058546e-06,6.68255493749338e-06,2.112270886596924e-06,3.542780699493026e-06,4.018807701114969e-06,4.504833810267044e-06,0.0006230878408403029,-1.5049416583306726e-08,-1.356820245152165e-06,0.0,-8.874338744119021e-07,9.015699402554303e-08,4.1203482747243914e-07,-1.5131232571705282e-06,-3.4758953187458157e-06,-6.1425906365807484e-06,1.6199355101904413e-05,5.223153777010549e-07,-1.7761450673424136e-06,1.3680332033274388e-07,-2.448513959295812e-05,-1.739155183067614e-05,-7.124352936885921e-06,0.0001847975761233151,-3.074867477508866e-05,-6.119416722868516e-06,2.1812716561597836e-05,-1.0418392492952125e-06,-2.9609786702913747e-06,-1.5377076214766007e-05,-6.859727606486787e-07,-4.181890637341785e-07,-4.767158366407001e-22,-6.850537845344496e-06,-5.5202255313801865e-22,-1.235618601861794e-06,0.49711841122892403
2014-06-01,2014-09-01,-1.064681367721576,0.6767453654296123,1.075562618749864,1.0950104956316136,-2.1891813174411032,3.03256706693362,0.290906189460599,99.9999999999997,-0.06438776266311452,0.814544092230625,3.0448002118132003,-0.0876811076678585,0.34767557561993856,-0.9345601316355255,-0.42805311947802877,1.0866268030392325,1.604568244813617,0.1784892342625355,0.19967304199484887,0.2030746154186812,-1.1543073082660171,-0.6478002961085202,0.866879626408741,1.3848210681831254,0,0,-0.00039443110106459077,3.123350149621202e-07,-9.855665340742183e-08,5.52782281223653e-07,1.1851278838431289e-06,9.630894805705206e-07,-1.7216361930357923e-07,-2.1900386871048136e-06,-1.364564514858169e-07,4.656322880588599e-05,-1.574267221398103e-05,-2.680106099388061e-07,2.0158219612597953e-05,9.689579417609358e-09,-5.492896859737996e-06,0.0002296024041854992,-9.739702298405882e-06,-1.3583259545052619e-05,-5.658112214981141e-05,1.0586627192201448e-06,1.7610471977145135e-06,6.994097067310029e-07,-1.5652665450898513e-06,-2.149223546337136e-05,2.813128027877124e-07,1.4824901733340122e-07,3.862318791444051e-06,1.935476134638656e-06,2.5194192037208397e-06,-9.016017489165953e-07,0.001067355042633444,-1.2704759673732623e-06,1.4745474423575743e-06,2.902793544409634e-06,0.0,2.136328521032644e-07,2.445154345521746e-07,-1.2678648451705052e-06,-2.0534863164771343e-06,-3.418600608541836e-05,-3.0928892687561257e-06,6.812505227035928e-07,1.576171481220612e-05,-6.475460819769171e-07,-1.353118439449785e-05,4.401647185219804e-06,2.5697037327355446e-07,4.3900048964343623e-05,2.435781275397547e-05,-1.5507589759251196e-06,9.375846438888756e-06,2.0503782575990866e-06,3.864708562080643e-06,-5.96350291256973e-05,1.8896791966694987e-06,2.6892925793029965e-06,1.3543864281088335e-05,3.121360842570381e-23,-2.8245038842439594e-22,-8.22510721899043e-07,0.4952807362552049
2014-09-01,2014-12-01,-2.1510413154555152,0.5347051364562935,1.5918882760294126,1.593878318321712,-2.4130566784501637,7.21323400395687,0.1839915668631661,99.99999999999999,0.2897262487792035,-0.34136932220262617,2.952614741424868,-0.3289362236455595,0.34250038933239263,-0.8896350140815912,-0.3946734237381155,1.076564997805838,1.5878483681938487,0.2088241052183193,0.33365272894586223,0.3341428261104623,-0.998403033934192,-0.5034414435907164,0.9677969779532372,1.4790803483412478,0,0,0.00023775322083220322,7.421911980214684e-07,1.3509780286928092e-08,-4.3857505263915645e-07,4.906203671489632e-07,1.743646007628211e-07,-7.318954309939294e-07,-3.71843793778179e-09,4.0979306043266056e-06,6.674666679621785e-05,-9.521693640623188e-06,-8.187513844267271e-07,8.194741990548232e-06,-2.9322387354703717e-07,4.157093304978601e-06,1.2283362203857748e-05,-2.24103359561793e-06,4.1994019409036523e-05,-1.2601826895224278e-05,6.732655194245059e-06,2.4687796830316264e-05,2.5585476978067945e-06,1.7281553527033932e-06,8.346992511345359e-06,-1.8144558314755755e-06,-1.689160817750104e-06,4.209752050119454e-06,1.600620215928531e-05,5.755234742566378e-06,-1.8898720004330591e-06,-0.0009294797218646174,-3.7375901439789335e-09,-7.330553378723991e-07,5.235425406796089e-07,-1.4083636941234966e-07,-9.341043380810385e-07,7.229750481033641e-07,-6.45964946061458e-07,-3.075293449402621e-07,5.5122250196931646e-05,-1.3456352962341534e-06,2.7512557492067038e-09,-8.553953451253004e-06,-1.6327851506390036e-08,3.263381265461679e-06,-0.00013061516175038725,1.0061288404200748e-06,5.01758767303982e-05,-5.598887197939529e-06,-5.118816073807425e-07,-2.7933439197253104e-07,-7.458992476797894e-07,-7.66514116601382e-06,5.628878868469013e-05,5.53750392368312e-08,-8.589912760500005e-07,7.32363976731386e-22,-5.633988712987571e-08,6.3459774123789005e-22,4.872087904412562e-07,0.5122145234027955
2014-12-01,2015-03-01,-1.4527353949258526,0.5317458164827646,1.2044018415191498,1.2333510827595837,-2.2223694018714526,3.938165678433813,0.2561812507938155,99.99999999999996,3.713423290805952,-10.37524549371488,2.924543260428409,-0.8784672275139016,-0.3823469246617473,-1.5971200432819583,-1.154737633875985,0.38228780931682543,0.891168215255501,-0.5152833787824385,0.6660100450719234,0.6705161472808111,-1.0611418432304238,-0.6187594338244503,0.9182660093683599,1.4271464153070355,0,0,-0.0019790382844610886,3.2932213298001796e-07,8.215025335203902e-08,1.304153848892511e-06,1.7105546023920166e-05,4.651637655579976e-07,2.8860773062137536e-08,5.496487790784459e-06,-2.9864993671682792e-06,-5.6314229278644325e-05,3.5157223218768587e-06,-2.1912062669012244e-07,-1.0234178354308812e-05,-2.397779262547254e-07,2.7402359040288226e-05,-4.610425233547354e-05,2.2968455753348597e-06,-0.00013529413415582414,-1.6820872783051145e-05,-1.8832896830308536e-06,3.303065566209294e-06,2.6649075530688415e-07,-1.0214181702464704e-06,6.68141397377662e-05,-5.323032782309534e-09,-7.685912215764365e-07,4.977992818063145e-06,3.3525983314713593e-06,-2.0205958997577292e-07,-1.0642505066121915e-06,-0.0018953961606877818,3.0208719793270824e-07,8.427115467889038e-07,3.978626215847517e-06,3.1146257127772746e-07,1.857961153680834e-08,2.1431848041443162e-07,-4.190449838664928e-06,2.64693266703899e-06,-0.00017869266034059502,-1.2675310388850352e-06,-2.0797625926699105e-07,4.564087664865892e-06,-2.381898340711646e-09,1.6122624901832448e-05,6.525605742071047e-05,9.725278033013675e-07,0.00010587764970663444,-6.415957369668095e-06,1.6370933175296397e-07,-1.3234466205440672e-05,-2.402550096966849e-07,-1.5568968960376697e-06,7.662329779952031e-06,-6.209150855774584e-07,-8.9031218046996e-08,-1.2495040137488334e-06,1.1623042196509563e-21,-1.0281328834439173e-21,4.9989950678094254e-06,0.49242588876922244
