Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_PPI,Shap_real_turnover,Shap_retail_turnover,Shap_Manufacturing_EU,Shap_Vol_loans,Shap_Exchange_Rate_CHF,Shap_gdp_index_ch,Shap_gdp_index_eu,Shap_Business_Confidence_EU,Shap_variable_mortgages,Shap_M3_change,Shap_M2_change,Shap_CH_2int,Shap_Saron_Rate,Shap_oilprices,Shap_infl_e_next_year,Shap_fin_spread,Shap_Wage_change,Shap_infl_e_current_year,Shap_EU_fin_spread,Shap_kofbarometer,Shap_M1_change,Shap_unemployment_rate,Shap_headline_1m,Shap_core_1m,Shap_headline_lag_1,Shap_headline_lag_2,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Constant
2012-09-01,2013-03-01,-0.5953826692453035,0.1937651969862841,-1.0188088444693657,-0.8371791172530507,0.5627347946489891,1.390055142418145,0.6227543547778677,0.39662414057325746,0.35661745390418065,10.611213597991588,3.2709784475796293,-1.940318240951435,0.5720962128328139,0.19180364610184283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02938723813519723,0.0,-0.055971177613001875,-0.012465786493359443,-0.040207756801980764,-0.056205347267630074,-0.14767968367653042,-0.06666673509123125,0.0,0.0,0.0,0.0,-0.013268496640904315,0.0,-0.03645024393630181,-0.0524414059808453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7045090686232666
2012-12-01,2013-06-01,-0.1279526276012355,-0.2224174976528381,-1.0188088444693657,-0.792608094681313,0.5088548883534827,1.0759321450727557,0.00892361167386617,0.18479876052810806,0.15142155166211185,36.80282577133915,9.999999999999979,-4.31802065075932,0.41342493959198395,0.5136492725236841,0.0,0.0,0.0,0.0,-0.004446026010562543,0.0,0.0,0.0,-0.0714317904796486,0.0,-0.10677332023639842,-0.006253765208074185,-0.06157583258267891,-0.0760804947039868,-0.23457807592706323,-0.11936822309720334,0.0,0.0,0.0,0.0,0.0,0.0,-0.047915037988089625,-0.10590015160502064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119052201858883
2013-03-01,2013-09-01,-0.0553795839522308,0.0239173347189591,-0.9944769528806852,-0.792608094681313,0.5199878279178552,1.1007326913034632,0.006288001310745306,0.1845680691334691,0.15172742223181418,97.92646168422137,9.999999992837754,-5.310708611032377,0.5249665284539126,0.4942774283953164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08595259961593645,0.0,-0.10196270951131943,0.0,-0.059325082117649704,-0.08835234323588737,-0.1903253963959034,-0.09852605466144088,0.0,0.0,0.0,0.0,-0.02295077783278453,0.07739492687077687,-0.05937117526761341,0.07491910870324937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5783694377834679
2013-06-01,2013-12-01,0.0670906503184021,-0.4123045879872222,-1.0208367459182854,-0.8132290888069882,0.2930145225726654,0.999223894844814,0.2298197945101063,0.2690587978190884,0.2444747279150614,12.734511072611378,9.999999999543528,-2.7396993628428206,0.2327266795642185,0.7565217918555995,0.0,0.0,0.0,0.0,-0.009982863369357609,0.0,0.0,0.0,-0.10350695034082316,0.0,-0.12358848805590285,0.0,-0.045164493563699795,-0.15081843109237367,-0.26557879424377834,-0.10595765135592569,0.0,0.0,0.0,0.0,-0.012778266085341392,0.0,-0.04670844679645855,-0.10530282086090509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5570826177773439
2013-09-01,2014-03-01,0.0027728372861801,-0.2564214525124342,-0.9956935474601191,-0.8170610933583581,0.4709368766531163,0.6309110498131413,0.06718167986420806,0.19113288786075613,0.17428531842730421,40.427583557745955,9.999999999989386,-3.9164512861081717,0.3638222269679854,0.6723006465632735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03756228160395547,0.0,-0.12090033143640677,0.0,-0.04876018547962278,-0.1447337788966908,-0.2705909150315838,-0.09989080189229285,0.0,0.0,0.0,0.0,-0.01941823023033689,0.041009910164029634,-0.04247302186106485,-0.11446646497073365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526240085518313
2013-12-01,2014-06-01,0.0495813252518573,-0.0553795839522308,-0.9944769528806852,-0.7167073150330161,0.4846008376159005,0.999223894844814,0.011016792460948825,0.14885530984587297,0.14692119354757094,86.4188344151653,9.999999996286983,-4.54148590092586,0.44255253784346055,0.6054386321068492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03941379006487711,0.0,-0.1054761209852265,0.0,-0.04120260625661023,-0.1139929181160426,-0.22390714973497866,-0.07610172962285855,0.0,0.0,0.0,0.0,-0.01967178213378342,0.05444665874424094,-0.045340195697110286,-0.07207661989016344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5485290896754248
2014-03-01,2014-09-01,-0.0876811076678585,0.0133450860025696,-0.958853948047622,-0.5380453224006521,0.5088548883534827,1.0235390304512926,0.010206291807534847,0.13281109734754748,0.133489916289429,25.171577912113623,1.8837426438267428,-0.979517623565192,0.5166550252007508,0.43249455072250537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08901150839940737,0.0,0.0,-0.10366806379651546,-0.1946830099812614,-0.08747567894553097,0.0,-0.0128739840589644,0.0,0.022804490763083995,-0.01939787529293845,0.0391670337964731,-0.020431200187344095,0.02615797040215816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4527569117028165
2014-06-01,2014-12-01,-0.3289362236455595,-0.011438317354262,-0.9944769528806852,-0.6364083525426167,0.2843202557419101,0.6985114111487611,0.10080492049935755,0.1788585832969549,0.15460562556113414,6.635964596426744,0.264228648356851,-0.22070502090664615,0.4366074029404495,0.30788193395797947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03191840458663859,0.0,-0.10067458496233105,0.0,-0.039849983908882364,-0.09092118455314435,-0.20836895441835315,-0.07531333487719642,0.0,-0.008322860885130345,0.0,0.0,0.0,0.036192474769453156,-0.033398062922054585,-0.04610516675678852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5234049365735269
2014-09-01,2015-03-01,-0.8784672275139016,-0.1125489196984297,-1.0208367459182854,-0.792608094681313,0.2781209507543458,0.8610188884959156,0.586630854246916,0.45634575469390976,0.4492706988939228,8.045129209955675,0.9870022870100531,-0.6785030018978987,0.47474826556947997,0.08256677449027006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028113657437904116,0.0,0.0,-0.11729232849709574,0.0,-0.04516024484725859,-0.09730826819601401,-0.23908226118216594,-0.06401064658629711,0.0,-0.01661839205092435,0.0,0.025295616687503575,0.0,0.0,-0.030441912398599655,-0.10838142176990459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5523372817044223
2014-12-01,2015-06-01,-1.042713669218287,-0.0126722259627065,-0.926836457039304,-0.5271239230016711,0.5182549193299302,1.0559523297706508,1.0609853748240392,0.7492494526959178,0.7427434152333464,25.93175358708215,5.676957549433735,-2.5254426293613665,0.43526806561930503,0.018863516143655768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021793823768384072,0.02122099186237425,0.0,-0.11077545818795766,0.0,-0.02957048347354411,-0.09508201285877736,-0.23415007609505947,0.045796444701836025,0.0,0.0,0.0,0.02793015471011121,0.0,0.0,-0.028296945874404393,-0.09433751185527338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4627988473396042
