Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_PPI,Shap_real_turnover,Shap_retail_turnover,Shap_Manufacturing_EU,Shap_Vol_loans,Shap_Exchange_Rate_CHF,Shap_gdp_index_ch,Shap_gdp_index_eu,Shap_variable_mortgages,Shap_EU_fin_spread,Shap_CH_2int,Shap_infl_e_next_year,Shap_M1_change,Shap_M2_change,Shap_M3_change,Shap_kofbarometer,Shap_fin_spread,Shap_oilprices,Shap_Wage_change,Shap_unemployment_rate,Shap_infl_e_current_year,Shap_Saron_Rate,Shap_Business_Confidence_EU,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Linear_Pred,Shap_Constant
2012-09-01,2013-09-01,-0.0553795839522308,0.2371815978783331,-1.0208367459182854,-0.9561392670435679,1.1845474441327677,2.564858959294547,0.08559204511409627,0.29747830162062766,0.23497358368275265,12.920282266336041,9.999999999852152,-4.314292749293469,0.42365150375238797,0.46510785693027856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15248422769391867,-0.035133430142001765,0.0,0.0,-0.06074646589603064,0.0,0.0,0.017288629836579195,0.04789961225525727,-0.280952051244253,0.019351468096615636,-0.02549171166219103,0.0,0.0,0.04564972254906292,0.0,0.0,0.0,0.0,0.0,0.0,0.05312235328860038,0.6086776984906128
2012-12-01,2013-12-01,0.0670906503184021,-0.3760460511540664,-1.0188088444693657,-0.958853948047622,0.801378016887584,2.405688254116113,0.1963701361918997,0.2862465351448143,0.24469566542440713,6.462045022026638,9.999999999971745,-2.969050075190295,0.259745403604712,0.629679402707579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2932400128713747,0.03699919481917492,-0.01673458954219469,0.0,-0.054536212393303855,-0.021530922483956192,-0.015460245473900482,0.0,0.02568617824042304,-0.5102941530933716,0.024404435426781057,-0.02912567344730145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47778594966495735
2013-03-01,2014-03-01,0.0027728372861801,-0.4353856468247485,-1.0188088444693657,-0.958853948047622,0.3683252603760678,0.7467198552421351,0.19198285719838687,0.27988222388712714,0.24673220259064083,11.370877749651525,9.999999999999988,-2.78945478325168,0.23035830022304332,0.7480526743808649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2711166799349905,-0.06546513776410129,-0.014573828005724905,0.0,-0.06306594111198204,-0.017432553993123687,-0.01005512501341062,0.0,-0.008498962896246298,-0.4524872651047383,0.0,0.0,0.0,-0.008104103716156393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031164190918278042,0.5065781416340037
2013-06-01,2014-06-01,0.0495813252518573,-0.4251051226179747,-1.0593668734477646,-0.9556221849475576,0.3683252603760678,0.8868869619916175,0.22532722379127873,0.2864072943994473,0.28066898993850814,4.007154616473863,3.1406721759876755,-1.5060896637491203,0.31440180080976615,0.7727579049232098,0.0,0.0,0.0,-0.0014405599281924752,0.0,0.0,0.0,0.0,0.0,-0.21382188398424604,-0.06791770204065602,-0.008774375455664028,0.0,-0.04298030030376897,0.0,-0.019099686968483638,0.0,0.0,-0.432190287428506,0.0,-0.021347386968343478,0.0,-0.004458481469962807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02951738437046775,0.41644292630031665
2013-09-01,2014-09-01,-0.0876811076678585,-0.4251051226179747,-1.0188088444693657,-0.958853948047622,0.1921028933845825,0.6230284279474726,0.11385496586505624,0.2023520641954145,0.204246904439427,14.165244691016278,9.999999999999998,-2.798135109346137,0.2316536955157875,0.728114559726589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20942344676307167,-0.08637379340764256,-0.015972175916140675,0.0,-0.0475358583861978,-0.02387369535888068,0.0,0.0,-0.014510412224441605,-0.4273124883606046,0.0,-0.02106144466915123,0.0,-0.025174329701205218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04256636928517476,0.4886988914545362
2013-12-01,2014-12-01,-0.3289362236455595,-0.3760460511540664,-1.0188088444693657,-0.958853948047622,0.1390800673278569,0.5627347946489891,0.0022193358478812732,0.13128394991425832,0.12363630232203696,20.887206056395588,9.999999999990273,-3.1142368426043294,0.2667797754867659,0.5600428858772106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19382056970078335,-0.06701782958752969,-0.017545085392747795,0.0,-0.04808717533829151,-0.021538330207233506,0.0,0.0,-0.027107806363135884,-0.38370290902845605,0.0,-0.028612588411669894,0.0,-0.02138496912171826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05351365040687023,0.48628486240436986
2014-03-01,2015-03-01,-0.8784672275139016,-0.2564214525124342,-1.0188088444693657,-0.8371791172530507,0.2585320126116563,0.6994749389538581,0.3869409461971762,0.37542730988906786,0.37157304279826237,18.153869703900668,9.999999999999718,-2.9623388608275425,0.261361826658495,0.09961073450878806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2400245750410309,-0.06248547048489307,-0.018403403352923196,0.0,-0.05937198091171313,-0.03007487610124452,0.0,0.0,-0.015620196518860232,-0.2707481894173611,0.0,0.0,0.0,-0.012849357947995799,-0.017272002235146536,0.0,0.0,0.0,0.0,0.0,0.0,-0.0357896353170018,0.5062182348157362
2014-06-01,2015-06-01,-1.042713669218287,-0.1412280919067754,-0.9672767692280936,-0.7172365744956721,0.3322575868406283,1.01846408668127,0.8126762461006694,0.5854495313999809,0.5845266138307875,18.515244241452454,9.999999999993236,-3.03072541303561,0.27668188315124537,0.03152603456910304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19125695694356856,0.0342523301637192,-0.009877165236034002,0.0,-0.058105561911908354,-0.023661441725594697,0.0,0.0,0.0,-0.26966035685923195,0.0,-0.015499754526958454,0.0,-0.01420360118778719,-0.021464271169219208,0.0,0.0,0.0,0.0,0.0,0.0,-0.01902068545183504,0.4472693729416428
2014-09-01,2015-09-01,-1.4541319195251925,-0.0027760399989418,-0.958853948047622,-0.5953826692453035,0.4846789200942396,1.2296399649859069,2.106433889035417,1.1268236031940264,1.1141857796465389,6.2179978892431595,1.2326698952849007,-0.6709310793137039,0.46563837377261175,0.004605710506562735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20068959105719456,0.039288545743750625,-0.018918041935452316,0.0,-0.046727549112967726,-0.014494061395066572,0.0,0.0,0.0,-0.1696871767415521,0.0,-0.023472256240112,0.0,-0.01532349319698153,-0.01423208516056548,0.0,0.0,0.0,0.0,0.0,0.0,-0.02715657649712236,0.4886362455943223
2014-12-01,2015-12-01,-1.316989762101528,0.1929340451854333,-0.8169414118965743,-0.4353856468247485,0.9470193402036032,1.3869555130841429,2.279869903811953,1.1998485509677632,1.1872405779721844,82.40740969747895,9.999999999999998,-4.969196297086723,0.5164184421691621,0.004998658304814148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18420275149032633,0.04560471179256367,-0.02600379280503778,0.0,-0.05217212916372683,-0.014617507165543399,0.0,0.0,-0.009557734163816453,0.11186828999572555,0.0,-0.008218591828194538,0.0,-0.020269691371142096,-0.007891997315933078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35839523870086454
