Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,CRPS_YoY_timesafe,SHAP_Shap_PPI,SHAP_Shap_real_turnover,SHAP_Shap_retail_turnover,SHAP_Shap_Manufacturing_EU,SHAP_Shap_Vol_loans,SHAP_Shap_Exchange_Rate_CHF,SHAP_Shap_gdp_index_ch,SHAP_Shap_gdp_index_eu,SHAP_Shap_Wage_change,SHAP_Shap_Business_Confidence_EU,SHAP_Shap_CH_2int,SHAP_Shap_infl_e_current_year,SHAP_Shap_fin_spread,SHAP_Shap_unemployment_rate,SHAP_Shap_M1_change,SHAP_Shap_oilprices,SHAP_Shap_variable_mortgages,SHAP_Shap_infl_e_next_year,SHAP_Shap_EU_fin_spread,SHAP_Shap_kofbarometer,SHAP_Shap_Saron_Rate,SHAP_Shap_M3_change,SHAP_Shap_M2_change,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Constant
2012-09-01,2013-06-01,0.0980377667445964,0.0160482928212246,0.3704507200806184,0.3971591321358046,0.006722273834231265,0.4934152063470003,-0.1279526276012355,-0.18944473304376436,-1.8797640265316493,-1.1496150487773527,1.275121304244742,1.7860533677471757,0.3004787946375429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041475114042837456,-0.0176320186629794,0.0,0.12369125234703977,0.0,-0.07127827218715295,-0.4050011125722644,-0.027256953823778213,0.0,0.0,0.0,0.0,-0.02105027606490495,-0.037059937110289425,0.0,-0.10934231498096322,0.05642616517135424,0.0,0.0,0.0,0.48307664666232575
2012-12-01,2013-09-01,0.4847944842727732,0.052042816254882454,0.37032157384738035,0.35872732252516,0.18727400617226675,0.6164820057660472,-0.0553795839522308,-0.3799433349656489,-2.0972585210287775,-1.2764927537991078,0.7662352405434858,1.3155514530590968,0.2634301276734888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917061624808383,-0.022996731758453577,-0.07245839704679673,-0.36174969060161816,-0.011674700088180967,0.0,0.0,0.0,-0.021835146127281553,-0.02162155823547566,-0.038643605003491135,0.0,0.038646744019614376,0.0,0.0,0.0,-0.04414315316065781,0.5168128917763853
2013-03-01,2013-12-01,-0.244765757134265,-0.383584139283144,0.30814833733675784,0.30443027184847343,0.01927054322243221,0.5342206608856743,0.0670906503184021,-0.0370231362932571,-1.4276181057028656,-0.9314211930590233,0.8803567509508468,1.7821068024693074,0.3670239524886445,-0.009480427238582778,0.0,0.0,-0.033293202942743856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07275309814871994,-0.44653220496831997,-0.04717596447490673,-0.011725570701478609,-0.022108462276334562,0.0,0.0,-0.018213399557975418,-0.03430318885708709,0.0,-0.13137630973479672,0.0,0.0,0.0,0.0,0.4433776896178015
2013-06-01,2014-03-01,-0.318754622346636,-0.383584139283144,0.28049522293915696,0.2733529166277546,0.00420286626622098,0.4770993917677642,0.0027728372861801,-0.04584930041620078,-1.389830137746184,-0.6274427457892529,0.8604598584345702,1.7732806383463637,0.22021821966162525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06666032364130958,-0.45587764626632077,-0.0697028584431015,-0.022205089624264984,-0.029246891932207884,0.0,-0.0323051205184024,-0.020046114337189724,-0.017986087975683417,0.0,0.0,0.0,-0.024352613693899232,0.0,-0.04262795835554438,0.3974265655047797
2013-09-01,2014-06-01,0.2379856456833806,-0.1759868927055781,0.34751274167938806,0.34866273632648276,0.17137326254019788,0.6416878908747953,0.0495813252518573,-0.26089807853986174,-1.7605768508030193,-0.9981894588460882,0.5589051978360792,1.389158644180544,0.3456974891792152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014885552361732817,0.0,0.0,-0.016312220340330863,-0.07977179727652496,-0.3740294146506666,-0.03538280861178216,0.0,-0.025610746621402173,0.0,-0.034519521662329904,0.0,-0.04269840753810077,0.0,-0.08034924753697528,0.09729659649483148,0.0,0.0,0.0,0.43027622739943583
2013-12-01,2014-09-01,0.2784321402910923,0.0160482928212246,0.2719635692739471,0.2662408544339159,0.0688452834130908,0.6019683679450689,-0.0876811076678585,-0.2844689932702594,-1.6660211515234555,-1.1320281763909852,0.3913078939605795,1.2215613403050443,0.1837338078830481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029530890044528576,-0.017563343806536593,0.0,0.0,-0.007443389776203846,-0.09040014740853419,-0.22670901098126922,-0.029644229074223427,0.0,-0.029561703310041706,0.0,-0.025360008700211004,0.0,-0.04669217083212612,0.0,0.0,0.0,0.0,0.0,-0.02538721831152276,0.544340405066422
2014-03-01,2014-12-01,-0.6870445050432512,-0.1014066256312654,0.3573206797930758,0.3623745869788049,0.34297172580216767,0.2887377529285686,-0.3289362236455595,0.11029218591342989,-1.1831687835003988,-0.6597004822775253,0.7344998817665704,1.6629494120413038,0.17977177984130055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03069667009514479,0.0,-0.006357198909309636,0.0,-0.08756676109335267,-0.23137694050587415,-0.04237626823318052,0.0,-0.020984553518146376,0.0,-0.020310777755060478,0.0,-0.03763155535271231,-0.008791082519513235,-0.09695737291919256,0.0,0.0,0.0,0.0,0.4816425552702213
2014-06-01,2015-03-01,-1.5561526927009812,-0.0487273514769033,1.0078090391872614,1.0242186807208946,2.2723311593645277,0.07220800793994854,-0.8784672275139016,0.2521017784041569,-1.0808686466254434,-0.546875671492973,0.8368000186415259,1.7208259631122047,0.5760645718574563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036140407605509885,-0.014561940240971433,0.0,0.0,-0.01113674514128094,-0.09203885608663345,-0.20524777217757276,-0.0408722351347124,0.0,0.0,0.0,-0.02263320038785082,0.0,-0.04150908900719935,0.0,0.0,0.0,-0.01589853839545222,0.0,-0.012309134910110875,0.4436205676103908
2014-09-01,2015-06-01,-1.0353911030505238,-0.018097919240508,0.6806956130243869,0.6932304917630471,1.0348854218263188,0.12085158359267623,-1.042713669218287,-0.279743781360775,-1.3890697814719744,-0.853654810598492,0.44488011781126846,1.2398950452181086,0.4316194905840307,-0.004474928070690665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036078968230122424,-0.023766544362208503,0.0,0.0,-0.029481740515907386,-0.06644592803122129,-0.15070024884173705,-0.03331197524877258,0.0,0.0,0.0,-0.03411398124679303,0.0,-0.049172972776717894,0.0,-0.024704562775525393,0.0,0.0,0.0,0.0,0.43415393085918824
2014-12-01,2015-09-01,-1.221828787548418,0.288012896176563,1.1669227522563197,1.1863138520311023,2.279621909913485,0.03166095703090055,-1.4541319195251925,-0.32175065673145653,-1.3824567625571937,-0.8258658788035333,0.6410629176762048,1.014152665843948,1.395356930874963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029870935209775327,0.0,-0.010197905659652118,-0.02201078190772613,-0.05396134228970532,0.11917499964817659,-0.04607843554958633,0.0,0.0,0.0,-0.04410426782510107,0.0,-0.03223239733424004,0.0,0.0,0.0,-0.01751505500998909,0.0,-0.032706464396994595,0.4575154817111564
