Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Factor_1,Shap_Factor_2,Shap_Factor_3,Shap_Factor_4,Shap_Factor_5,Shap_Linear_Pred,Shap_Constant
2012-09-01,2013-03-01,-0.5953826692453035,-0.06366592396949144,-1.6625734581641183,-1.000996692844218,0.5198290042970122,1.0311501976763005,0.2827226972067028,0.3053884603414668,0.27410236113773345,46.600282567828614,-9.999999999999817,5.347735990582827,0.5481655515176052,0.30271905037865043,-0.4270721902575936,0.00751210121740274,-0.020759356646240734,0.0365922636699324,0.002303816706263076,0.0,0.0,-0.04209497738666939,0.057873509669952417,-0.11997148149448354,0.005370650884518065,-0.05108630255151951,0.023629510434458333,0.4640365317844883
2012-12-01,2013-06-01,-0.1279526276012355,-0.3301347490961781,-1.7747231613034973,-1.236073109946112,0.18409753704355947,0.4743188302549963,0.040877610252195745,0.19258348831254052,0.2070453516712233,39.98612636649174,-9.999999999994447,4.12021470870378,0.4496473557157392,0.6651689257218771,-0.6204563998164936,-0.014969385981440703,-0.024221001959163838,-0.004704746358763658,0.0803782905240529,0.0,-0.003303610368903485,-0.04921063867704255,0.009717267615536518,-0.15568295198693033,0.005873838560180172,-0.07581472956014773,0.0,0.5222593189129382
2013-03-01,2013-09-01,-0.0553795839522308,-0.30776045995351,-1.4038117468942346,-1.0142845186019933,0.48008196542435055,0.8695570175015988,0.06369610657117306,0.212606102451284,0.1894401280465416,99.99999999999974,2.5871212457668853,-2.072453945070412,0.7003558166547028,0.6102376073234143,-0.1683104789877099,0.0,-0.030897825369082848,-0.05384631151568958,-0.009496033263110472,0.0,-0.008465436610502947,-0.067873131599505,-0.1200893343869581,-0.18587956790238858,-0.014901895420156762,-0.1698941371114828,0.015566415033874903,0.506327277179202
2013-06-01,2013-12-01,0.0670906503184021,0.3640810884754764,-0.839174087646466,-0.19641129433116689,1.0789962432188993,1.428658290814866,0.08820332035673095,0.21963765883686007,0.2303037287736116,99.99999999978758,-9.99999999996465,5.95999199670683,0.5522977209527784,0.3044208059195606,0.4925037722152581,-0.007617441262453554,0.015185685113662223,-0.00579396037526356,-0.13213059463852284,0.0,0.0034126472748948755,-0.0505317865695992,-0.016113696227384153,-0.16078215064409865,0.0,-0.2056919713269016,0.011522974746683273,0.4201176101692014
2013-09-01,2014-03-01,0.0027728372861801,0.26887035834253226,-1.0413358664515246,-0.32329778144850607,0.9174848318955321,1.247022029776179,0.07080789071233577,0.2013505532030312,0.19785100536782024,99.99999999958595,-8.30543857873718,5.12894977076122,0.5844145932675437,0.35343263002105085,0.11293089503547904,-0.006667638932469848,-0.03116784525980057,0.016981351763695852,-0.009683914162702688,0.0,0.0,-0.05688416156912286,-0.07082585293850742,-0.15122769694165017,-0.003059935538368891,0.042055433294996565,0.025316112948933496,0.40110361064204975
2013-12-01,2014-06-01,0.0495813252518573,-0.312482226861377,-1.652836444069905,-1.0458695217133496,0.17099105667135372,0.6333533828152946,0.13109001576885274,0.24304049556128898,0.2589590764588018,15.472517103903142,-0.5125631413774566,-0.04552175155889249,0.6269093251286767,0.745883836659675,-0.425413121896856,-0.0036250237062232737,-0.02033510512183995,-0.003899194996316311,0.1319157036998406,0.0,0.0024206353295128102,-0.05476343569641091,-0.09397690701172312,-0.1625881019880063,0.0,-0.10228076359441184,0.002451513186165663,0.41761157493489154
2014-03-01,2014-09-01,-0.0876811076678585,-0.09539045547892758,-1.092588401374552,-0.5372302480068925,0.4817211799840848,0.8265337946480585,5.9434043672035586e-05,0.12931423437497874,0.12778146935720522,7.9338493094105305,-0.16356552478667233,0.025519765876398197,0.5130110772675742,0.47998733468139443,-0.11015805774929888,-0.002404856432886305,-0.012759153748202056,-0.01785961186475958,0.0,0.0,0.0022257302248600563,-0.07744752509615863,-0.1181398399731799,-0.1662220384004896,-0.005535189187636208,0.02009327073514593,0.005120481748997007,0.3876963342646806
2014-06-01,2014-12-01,-0.3289362236455595,0.47746936509289734,-0.674833919300708,0.03876914056490932,1.0096487579399849,1.4111489657483212,0.6502899735486173,0.5737168410594908,0.5585340885538412,16.798971892911073,-0.8332371236296724,0.9696884508319552,0.5330427057820564,0.07378545826352823,0.4749944471487133,0.006227912018177573,-0.02102578255897938,-0.008855224316242711,-0.13652801997339187,0.0,0.0,-0.041768670719786904,-0.09712233005361785,-0.1528767738133001,-0.0030159650176133828,0.04117655160347358,0.010677635384459096,0.4055855853910059
2014-09-01,2015-03-01,-0.8784672275139016,0.0485009556533633,-1.2053502693782825,-0.40320162275313365,0.6470234450338452,0.9836586153594233,0.85927001260442,0.6717684906596157,0.6493459959991112,7.097228619568013,-0.9656405923589229,0.6173456544020748,0.5195580933644445,0.07166499947833609,0.02247695008144035,-0.014120596775696275,-0.011495031602552991,0.03192534163923208,-0.0018050989773563686,0.0,-0.0021224961795044232,-0.039264916604095694,-0.04076634335130239,-0.23535098739503285,0.0,-0.07739673018815738,0.005381135309859564,0.41103972969652974
2014-12-01,2015-06-01,-1.042713669218287,-0.6236911440115733,-1.6562870859437413,-1.2032815122229756,-0.27672961885043534,0.2343456142321012,0.175579876630611,0.24229666853127615,0.2329839618603103,3.335232604193026,-0.2386170881319019,-0.5510632486430656,0.4064608004343126,0.21023119992519515,-0.8039306707942728,0.002353267841441864,-0.004067851839699397,-0.0020704578741789505,0.11913061602252685,0.0,0.0,-0.0459735090660718,-0.02643620221151192,-0.14504825015471517,-0.00519392071087493,-0.06539555427311118,-0.0006166270263550377,0.35355801607524917
2015-03-01,2015-09-01,-1.4541319195251925,-0.9464681991048884,-2.0513605937830803,-1.5214005774118355,-0.34386063882401174,0.046639674664942676,0.2577224530309846,0.3165911031349435,0.30384815241863,16.024177618065686,-0.6553073031027267,-0.5556324023137363,0.5812723751734672,0.20151354411051053,-0.900944177595342,0.0,-0.026729890223093022,-0.020446811273075176,-0.002483717821378724,0.0,-0.005287251813637611,-0.0630569059647124,-0.005531881785910816,-0.21981010111747093,0.008306302800505372,-0.06446479206300755,-0.003806435499031223,0.35778746325126565
2015-06-01,2015-12-01,-1.316989762101528,-0.37823297938981426,-1.3891994146117526,-0.9421653317434352,0.16115118385220772,0.4214706998362102,0.8812642970872478,0.6176953250395222,0.6114403920484403,12.682092799595146,-0.4264930264413457,-0.19094886561056318,0.5174342773584983,0.05787422734689399,-0.23878299842401418,-0.005072066049794339,-0.0028515974420049274,-0.0028476162084878354,-0.14419456169526368,0.0,0.0,-0.04847110503652227,-0.03294091864485897,-0.1414198887011462,-0.006496479626057832,-0.08618059660390258,-0.0045607709701188485,0.3355856200123574
