Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_PPI,Shap_real_turnover,Shap_retail_turnover,Shap_Manufacturing_EU,Shap_Vol_loans,Shap_Exchange_Rate_CHF,Shap_gdp_index_ch,Shap_gdp_index_eu,Shap_infl_e_next_year,Shap_unemployment_rate,Shap_fin_spread,Shap_M2_change,Shap_M1_change,Shap_Saron_Rate,Shap_EU_fin_spread,Shap_Business_Confidence_EU,Shap_Wage_change,Shap_oilprices,Shap_M3_change,Shap_kofbarometer,Shap_CH_2int,Shap_variable_mortgages,Shap_infl_e_current_year,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Linear_Pred,Shap_Constant
2012-09-01,2012-12-01,-0.4353856468247485,0.043950345998489126,-0.9542466556861307,-0.6551411067675872,0.792396654325301,1.22679249308284,0.2297629940158389,0.3157481287504337,0.31464312709605624,99.999999999992,0.3905207728203866,-0.1782444653394955,0.6884492565992791,0.22278222157713579,-0.016410199667937775,0.0,0.0,0.0,-0.02336397058147354,0.0,0.0,0.0,-0.012577818244281967,0.0,0.0,0.0,0.0,0.0,-0.01562822687630704,-0.01065338428942135,0.0,0.0,-0.05644768858759434,0.0,0.0,-0.006639806155334771,0.0,0.0,0.0,-0.051899641996779634,0.0,0.0,-0.029696353177873773,0.10345658245139305,-0.03766276525542256,0.20147361837952282
2012-12-01,2013-03-01,-0.5953826692453035,-0.8473902984550641,-1.7825456317661192,-1.457819638917801,-0.19376827327279855,0.22674268560415345,0.0635078451799242,0.20808229696239042,0.19473245460981384,88.99851045659531,9.999999999204615,-5.872192894055261,0.4982094648800637,0.6692407387221153,-0.8460476374144044,0.0,0.0,0.0,-0.005698768826104374,0.0,0.0,0.0,-0.011925829435865077,0.0,0.0,0.0,0.0,0.0,-0.007757911988776173,0.0,0.0,0.0,-0.038845917814633965,0.0,0.0,0.0,-0.008092253640241215,0.0,0.0,0.05100845029564443,0.0,0.031710958065347385,-0.05694697607012931,-0.08271050670362472,-0.04482299895648605,0.17273909403420937
2013-03-01,2013-06-01,-0.1279526276012355,-0.329606580795172,-1.2459010323507644,-0.966561792454268,0.45405053090084035,0.8921880752220446,0.040664316838742345,0.20018519267125964,0.18268126526483486,99.99999999994085,3.1921516022925487,-2.520955554912691,0.696093535760151,0.5910267255903701,-0.3697914316473927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030117470121700626,0.0,0.0,-0.008292092388642633,0.0,0.0,-0.021297595301185194,0.0,0.0,0.0,-0.10747267621834598,0.0,0.0,0.0,-0.008281814937743262,0.0,-0.012893286935854278,-0.0568426479114615,0.06769108863209132,0.0,-0.01976522948162994,0.10565623733541273,0.0,0.13180033818128004
2013-06-01,2013-09-01,-0.0553795839522308,-0.33624232926405817,-1.1100594092733118,-0.6968809560286893,0.49525084006013165,0.9389349478929887,0.07888388170409641,0.181863563199028,0.15501732153965864,26.606180784993697,9.999999999996975,-3.6779441039910217,0.3430242464953652,0.5990892433387728,0.07352832505844731,0.0,0.0,0.0,-0.028936335310788094,0.0,0.0,0.0,-0.016595555952776352,0.0,0.0,0.0,0.0,0.0,-0.01450211172337898,0.0,0.0,0.0,-0.03416941341460775,0.0,0.0,0.0,-0.013136691611984927,0.0,-0.005416861030302145,0.0,0.0,-0.2667069684405389,-0.036609775922416654,-0.09486259152888706,-0.07179393922948586,0.17295958984266133
2013-09-01,2013-12-01,0.0670906503184021,0.42395640887100683,-0.4401333370636529,-0.16935845496295332,1.1539460903595997,1.3984020090086702,0.12735316962732596,0.23667059960777204,0.2299884589754697,88.6051851637632,9.999999999999998,-4.384917775831163,0.48055673202044574,0.26532760497196295,0.3635958632045799,0.0,-0.004273839997978717,0.0,-0.03357596251490485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011902558706680527,0.0,0.0,0.0,-0.02704842588085134,0.0,0.0,-0.004884709656575753,-0.008196583558474663,0.0,0.0,-0.05257975636619083,0.0,0.0,-0.006371720550364344,0.08019240011274786,-0.02773881339936508,0.15674051618506515
2013-12-01,2014-03-01,0.0027728372861801,-0.15161593130246231,-0.9873035181189316,-0.7953463193540955,0.4292857794722771,0.9498855228720515,0.02383589186631738,0.16102663857152794,0.1640542061517143,40.06233680192022,9.999999999999998,-4.045137282471407,0.38146224452887567,0.6349046707521868,-0.18357431785069878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006269069462212909,-0.014158252526036806,-0.012553793392378882,0.0,0.0,0.0,-0.027412381621310464,0.0,0.0,0.0,-0.00723146311270443,0.0,0.0,0.07160813879907955,0.0,0.029782472297499637,0.0204198270335881,-0.09603470119357133,-0.04405862161298878,0.11786623133927276
2014-03-01,2014-06-01,0.0495813252518573,-0.15698653510916039,-1.0100915497827279,-0.6580414139167878,0.5668770570323112,1.0041367259908007,0.0426702809341289,0.17128769286328166,0.16225332920536517,47.66951825471187,9.999999999999991,-4.206001121315832,0.4035638616109613,0.6282150918700755,-0.23906596675997704,0.0,0.0,0.0,-0.01147269137182763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010119891253705507,-0.02644409674833697,0.0,0.0,0.0,-0.026621784803743918,0.0,0.0,0.0,0.0,0.0,-0.012695331425159476,-0.040652608567658774,0.07188887665029331,0.0,-0.039360895776762585,0.05294980628191414,-0.05669382709697621,0.18130187576278028
2014-06-01,2014-09-01,-0.0876811076678585,-0.14870925944761026,-0.8881698622187879,-0.5919200468246011,0.47333214246298994,0.8911773677883514,0.0037244353096524186,0.13962470901962876,0.12952977277169947,32.62118675024063,9.999999999941728,-3.542207288707466,0.34016140654945887,0.5154017735323768,0.1784892342625355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00761821528668327,-0.015334675747911388,0.0,0.0,0.0,-0.03063929359728731,0.0,0.0,0.0,-0.005264099949342179,0.012648258174103755,0.0,0.01793245445850738,0.0,-0.1903086842707398,-0.02587096010966745,-0.07275553005418155,-0.13687743853689835,0.12688969120995436
2014-09-01,2014-12-01,-0.3289362236455595,0.39517126035519823,-0.5186653003414676,-0.23742769163446198,1.0147671290106075,1.452026797969097,0.5243316483859076,0.4031108795989784,0.4109849434163775,41.99324182918846,9.999999999999995,-3.662398966451299,0.39575255128990067,0.11566942929357572,0.2088241052183193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013698344265867834,0.0,0.0,0.0,0.0,-0.01833218020075629,0.009023019070105331,0.0,0.0,-0.026185320043374948,0.0,0.0,0.0,-0.007767966733908932,0.009622174155463797,0.0,-0.013148129813516714,0.0,0.0,0.02993311307456518,0.08604462409532301,-0.012716324752081381,0.11617580201919205
2014-12-01,2015-03-01,-0.8784672275139016,-0.483324992234202,-1.285692659869575,-1.08326801168106,0.13699598535916735,0.5553448084697266,0.15613738610183747,0.2336530496422702,0.22995519948647405,39.349385820725566,9.999999999999998,-4.205648788925982,0.3671749611611765,0.2415955872574192,-0.5152833787824385,0.0,0.021688624882227815,0.0,0.0,0.011684109056712908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03278410885287407,0.0,0.0,0.0,0.0073694692988150665,0.0,0.0,0.0,0.0,0.0,0.01567005960461038,0.02279202975216284,0.0,0.015897102068713843,0.016024331176187272,-0.06835440593246414,-0.03933714762249938,0.061308323116643915
