Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_PPI,Shap_real_turnover,Shap_retail_turnover,Shap_Manufacturing_EU,Shap_Vol_loans,Shap_Exchange_Rate_CHF,Shap_gdp_index_ch,Shap_gdp_index_eu,Shap_kofbarometer,Shap_infl_e_next_year,Shap_CH_2int,Shap_Business_Confidence_EU,Shap_M2_change,Shap_fin_spread,Shap_oilprices,Shap_Saron_Rate,Shap_unemployment_rate,Shap_infl_e_current_year,Shap_M3_change,Shap_Wage_change,Shap_M1_change,Shap_EU_fin_spread,Shap_variable_mortgages,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Linear_Pred,Shap_Constant
2012-09-01,2013-03-01,-0.5953826692453035,-0.34515211504677623,-1.6715098166971032,-1.2170698430531066,0.3806060545938017,0.6324959466591906,0.06261533025450208,0.2155621662666092,0.20366843160874354,99.99999999997138,-7.105946123691245,4.4710086559662345,0.6802950932431745,0.38797679411720865,-0.4270721902575936,0.0,0.0,0.0,-0.0157593595053341,0.01607357559615592,0.0,0.0,0.0,0.02724523679948944,0.0,0.0,0.0,-0.03551288193780676,0.02144711022482502,-0.3363451447676617,-0.010765861735337985,0.0,0.0,0.0,0.0,-0.019634656621101396,0.0,-0.009866284788384305,0.0,0.0,0.03625595700375763,0.0,0.0,0.0,0.0,0.40878238494221564
2012-12-01,2013-06-01,-0.1279526276012355,-0.4911896752352263,-1.8648940262560032,-1.2409127996329872,0.050633982173991066,0.41831073411299413,0.1319411527738581,0.2735772498557562,0.2810157904116474,99.99845604009128,-4.208891896186279,2.2619093764963982,0.6750239237412945,0.7444703198133305,-0.6204563998164936,0.0,0.0,0.0,0.0,0.01702573188077925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021000276449315285,0.015500755002016808,-0.29525310754497835,-0.0208344847522592,-0.010871274350445694,0.0,0.0,0.0,-0.012741761378835464,0.02726986153060411,-0.012811830191849841,0.0,0.0,0.0,0.06051355710599303,0.0,0.0,0.0,0.38246955372955793
2013-03-01,2013-09-01,-0.0553795839522308,-0.35052314943424534,-1.499988338849434,-1.1419320293057034,0.3588905729561276,0.815648330993379,0.0871097242454362,0.2205851733653419,0.21751609895929008,99.99999999999926,-0.9217793634494696,0.2958428799646353,0.7083543763485001,0.6652838878654002,-0.1683104789877099,0.0,0.0,0.0,0.0,0.02722992990366014,0.0,0.0,-0.007053251995924548,0.033503694052149695,0.0,-0.009493377226378684,0.0,-0.022188903887688315,0.0,-0.45198980907666314,-0.020693415899408582,0.0,0.0,0.0,0.0,-0.02545007127757595,0.0,-0.016352918946229235,0.0,0.0,-0.027339239213268137,0.0,0.0,0.0,0.0,0.3376146931207913
2013-06-01,2013-12-01,0.0670906503184021,0.4556674458423338,-0.6573245942341632,-0.12311293791436029,1.0197048241590956,1.4736252829064433,0.15099192601964742,0.23277168707326415,0.24226488622672585,99.99999999999616,-1.2985807016245479,1.2238872029360788,0.5804023585196773,0.24737005594301442,0.4925037722152581,0.0,-0.003449534271904864,0.0,0.0,0.0,0.0,0.0,-0.004724709534215866,0.0,0.0,0.0,0.0,-0.019264801211373323,0.0,-0.2707936017022686,-0.029834273126286313,0.0,0.0,-0.005017271096278813,0.0,-0.016755580116892058,0.034707244193178076,-0.010185549308655319,0.0,0.0,0.0,-0.059158517472683546,0.0,0.0,0.0,0.3476402672744564
2013-09-01,2014-03-01,0.0027728372861801,-0.05537958395223086,-1.1315067314040306,-0.6664045888421732,0.6054346672507371,0.9776123731926438,0.0033817040958895902,0.15176071916603825,0.14668324539756544,99.99999999984556,-3.4007419057197272,2.0589726673262785,0.6069538846074762,0.50838684226199,0.11293089503547904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03522203759425865,0.0,0.0,0.0,-0.037785387109318454,0.0,-0.3597564931618592,-0.03358343875420658,-0.013027593532623444,0.0,-0.011135909242486086,0.0,-0.03239644403313136,-0.07547776832477293,-0.008231604672340121,0.0,0.0,0.031140501284539428,0.0,0.0,0.0,0.0,0.33672162096423003
2013-12-01,2014-06-01,0.0495813252518573,-0.42293820395267195,-1.6609143898033807,-1.0410298320264744,0.06417738180450883,0.5314324317534733,0.22327470547967,0.32089731227527485,0.32053219277433853,11.944542623139412,-0.8521180940572827,-0.015161417935366402,0.5316835630316165,0.8342441228909211,-0.425413121896856,0.0,0.0,0.0,0.0,0.013417914212074729,0.0,0.0,0.0,0.019115702134877344,0.0,-0.01308098740802152,0.01300455463090544,-0.028618313747262675,0.0,-0.26514181735577114,-0.04276668898616532,0.0,0.0,0.0,0.0,-0.035805362179162914,-0.04528335805500012,0.0,0.0,0.0,0.0,0.061157391136366014,0.0,0.0,0.0,0.3264758835613441
2014-03-01,2014-09-01,-0.0876811076678585,-0.22031611549859773,-1.2605744739370373,-0.5691565508383789,0.30741287397084704,0.697561545764902,0.017592045302260256,0.12515557432158841,0.12785405548845968,4.837205890057306,0.11068314333428486,-0.27402236739979596,0.43374797833310397,0.6158719350624591,-0.11015805774929888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00907016142115084,-0.0038516961638052263,0.0,-0.02615527864023009,0.0,-0.27932603024178476,-0.029077694003967435,0.0,0.0,0.0,0.0,-0.033794526775506185,-0.02317077983966274,-0.016276151277700705,-0.004033432144086357,0.0,-0.015516610368263798,0.0,0.0,0.0,0.0,0.3301143031268593
2014-06-01,2014-12-01,-0.3289362236455595,0.36483638939941443,-0.6754219690390251,-0.09893005543791111,0.8756664944916817,1.1352481454089376,0.4813204386112512,0.4738488280825945,0.46475547062428735,6.338821250232989,-0.5940418384295714,0.6648661452852821,0.44397915674187005,0.09127722922551275,0.4749944471487133,0.0,0.0,0.0,0.0,-0.0031944352756248444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022401674644944622,-0.006099220146360823,-0.2588728180590446,-0.02153546567491583,-0.014571189132447843,0.0,0.0,0.0,-0.02197171276934171,0.0,-0.0066931354994866415,0.0,-0.0027226202478052852,0.0,-0.0868378141867799,0.0,0.0,0.0,0.3347420278874533
2014-09-01,2015-03-01,-0.8784672275139016,0.0580100182309806,-0.6709591373315458,-0.37687389134726246,0.4978138216523931,0.8301551949328356,0.8769896317979206,0.7220990396180547,0.7153360246044982,7.65011602626396,-0.39149652838166654,0.25150004752615546,0.39867879820741986,0.026112295555001688,0.02247695008144035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010448030411448867,0.0,-0.020434985595558446,-0.006014900193810234,-0.2297844698668279,-0.027614011835788838,-0.006631971655073893,0.0,0.0,0.0,-0.026695104577939482,0.009405927047270557,-0.004063629873598088,0.0,0.0,0.015339151527745535,0.0,0.0,0.0,0.0,0.34247509358457
2014-12-01,2015-06-01,-1.042713669218287,-0.4107757400099832,-1.4928457373406978,-1.0630293079280904,-0.057719556410695816,0.24416259229438353,0.3993455463720792,0.34520479277634775,0.33426309882317135,9.324548465422012,-1.7608174852789469,0.30889891407864734,0.43767074168044906,0.15422488947986693,-0.8039306707942728,0.0,0.0,0.0,0.0,0.024045936949329386,0.0,0.0,0.0,-0.013593216216643682,-0.01109933285916137,-0.013506378393164414,0.0,-0.01759213505022471,-0.01627720110191052,0.12879879702355956,-0.06000646724202187,0.0,0.0,0.0,0.0,-0.019239682076740695,0.0,0.0,0.0,0.0,0.0,0.05053752250876503,0.0,0.0,0.0,0.3410870872425029
