Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,CRPS_YoY_timesafe,SHAP_Shap_PPI,SHAP_Shap_real_turnover,SHAP_Shap_retail_turnover,SHAP_Shap_Manufacturing_EU,SHAP_Shap_Vol_loans,SHAP_Shap_Exchange_Rate_CHF,SHAP_Shap_gdp_index_ch,SHAP_Shap_gdp_index_eu,SHAP_Shap_Wage_change,SHAP_Shap_Business_Confidence_EU,SHAP_Shap_CH_2int,SHAP_Shap_infl_e_current_year,SHAP_Shap_fin_spread,SHAP_Shap_unemployment_rate,SHAP_Shap_M1_change,SHAP_Shap_oilprices,SHAP_Shap_variable_mortgages,SHAP_Shap_infl_e_next_year,SHAP_Shap_EU_fin_spread,SHAP_Shap_kofbarometer,SHAP_Shap_Saron_Rate,SHAP_Shap_M3_change,SHAP_Shap_M2_change,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Linear_Pred,SHAP_Shap_Constant
2012-09-01,2013-09-01,-0.0686985256836081,-0.0197075460237172,0.1765894494741341,0.1552400286437456,0.0024001160880358437,0.5973003294244652,-0.0686985256836081,-0.0197075460237172,-1.2045495396440842,-1.1597876798767892,0.2630789213340812,1.0288073563899236,0.1848007224754551,0.0,0.0,0.0,0.0,0.0,0.0,-0.008422034335621267,0.0,0.0,0.0,-0.07035438329442623,0.0,0.025081709350033853,0.0,0.0,-0.008758032332319997,-0.20154664871988115,-0.002847887144075023,-0.15864498280188552,0.0,-0.03678164792040069,0.0,-0.01546345612108062,-0.00404046371077763,0.0,0.0,0.0,0.0,0.0,0.0,0.46207028100671704
2012-12-01,2013-12-01,-0.0163107733018641,0.048292005934325,0.1868858380886804,0.2112905784722688,0.004173519085039785,0.569099177620938,-0.0163107733018641,0.048292005934325,-1.2045495396440842,-1.153596981434113,0.6012119286783671,1.0202904090350629,0.18686113981022393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01184650459986478,0.01628335613612313,-0.08495723810306531,0.0,0.024503594720181775,0.0,-0.0029139519087265087,-0.0051207623281493515,-0.23826286260727184,0.0,0.08464369068927972,0.0,-0.06813033308066194,0.0,-0.032419179973484744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36651219698996484
2013-03-01,2014-03-01,0.0721983425743033,-0.5585614490200008,0.3699205185374619,0.35247329742705197,0.39785791469209003,0.8380110473237015,0.0721983425743033,-0.5585614490200008,-1.2045495396440842,-1.1597876798767892,0.2097351736294328,0.535984424459481,0.7438945036798147,0.0,0.0,0.0,0.0,0.0,0.0,-0.006709330170323158,0.0,-0.013116026305530198,0.0,-0.12739832917221233,0.0,0.0,0.0,-0.007952947216173479,-0.04497108964807988,-0.4224792024092044,0.0,-0.23852112226677752,0.0,-0.08113855854151937,0.0,-0.06912140259291434,0.0,0.0,0.0,0.0,0.0,0.0,-0.01055269460678009,0.46339925390951386
2013-06-01,2014-06-01,-0.0402056980780329,-0.4168131110357187,0.24386571579987537,0.23925535907316844,0.14183314349468093,0.7613832483699332,-0.0402056980780329,-0.4168131110357187,-1.2045495396440842,-1.153596981434113,0.2097351736294328,0.5252252091309195,0.319452339620195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017348346972035827,0.03801465382819891,-0.08769419927161609,0.0,0.0,-0.021739386018964635,0.0,-0.08804269734044914,-0.3123470112041022,0.0,-0.20438094008182214,0.0,-0.08659434796471885,0.0,0.03960398299933086,0.0,0.0,0.0,0.0,0.0,0.0,-0.024416334361004384,0.3481315153514648
2013-09-01,2014-09-01,-0.0019006300588486,-0.5585614490200008,0.41443149466847246,0.40455027965005474,0.3098712673665007,0.8948579738945532,-0.0019006300588486,-0.5585614490200008,-1.2045495396440842,-1.1597876798767892,-0.0749603893010153,0.2630789213340812,0.5887961310897138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018223356022204158,0.0,0.0,-0.09605400300589437,0.0,0.0,0.0,-0.0370717453945893,-0.04361506152158469,-0.3430809420357605,0.0,-0.1859437576900381,0.0,-0.0876298563637227,-0.013514292667514027,-0.06255341449475642,0.0,0.0,0.0,0.0,0.0,0.0,-0.016677903002690033,0.34580288317875335
2013-12-01,2014-12-01,0.2551637534921269,-0.5723289789584918,0.6099255675276468,0.5948863905247308,0.6847442222585912,0.9408386431092818,0.2551637534921269,-0.5723289789584918,-1.2045495396440842,-1.1597876798767892,-0.0399983765390743,0.2630789213340812,0.43638249531300544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016576542543942138,-0.035853535274843105,-0.0932004721298031,0.0,0.0,0.0,-0.04028945974578502,-0.043421972502689865,-0.31541846664640655,0.0,-0.18296187857707238,0.0,-0.07420708533754014,0.0,-0.07794155464541552,0.0,0.0,0.0,0.0,0.0,0.0,-0.012970842558463702,0.32051283100346983
2014-03-01,2015-03-01,-0.1784907206497266,-0.5743695280465921,0.27943538374585963,0.2821136753302881,0.15672003014596456,0.812074624627897,-0.1784907206497266,-0.5743695280465921,-1.2045495396440842,-1.1597876798767892,-0.0163107733018641,0.2630789213340812,0.8058512340503303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012046049248663477,-0.06158192977176375,-0.08320186468906701,0.0,0.0,0.0,-0.03371388378476171,-0.02379906878705815,-0.3359281729306509,0.0,-0.16239495653906785,0.0,-0.07548948359434651,0.0,-0.08904486768521493,0.0,0.0,0.0,0.0,0.0,0.0,-0.011257046655205993,0.3140877956392082
2014-06-01,2015-06-01,-0.3619796751591408,-0.3925293191426426,0.14858478587627996,0.20253906984877665,0.0009332807475187074,0.5303637797102321,-0.3619796751591408,-0.3925293191426426,-1.2023110981006724,-1.153596981434113,0.2687637325909264,0.5929503194690912,0.15245753144251956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01152873333889942,-0.006566709685931538,-0.04765217781282436,-0.11445562022484937,0.0,0.0,-0.007048555413113713,-0.03450868588460754,-0.029570229069585095,-0.258848503000354,0.0,0.0,0.0,-0.09495836373582733,0.0,-0.06465765691481802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27726591593816774
2014-09-01,2015-09-01,-0.6613065813612096,-0.1054813702986656,0.24447915371420367,0.2793140937562891,0.3089416652527216,0.24159349031731953,-0.6613065813612096,-0.1054813702986656,-1.2023110981006724,-1.0373178900398905,0.2766918689188991,0.5767975332628377,0.18674501004072708,0.0,0.0,0.0,0.0,0.0,0.0,-0.007143438782148905,0.0,-0.008216499119027953,-0.03164366095300408,-0.07803858226210345,0.0,0.0,0.0,-0.01901554278796812,-0.009225346137130164,-0.20739159305476063,0.0,0.1043441304193223,0.0,-0.06946356600016826,0.0,-0.05437784165889274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2746905700372164
2014-12-01,2015-12-01,-0.8846061718801757,-0.0197075460237172,0.4804582398301238,0.5015667381189828,0.7480496330083902,0.10356525199199537,-0.8846061718801757,-0.0197075460237172,-1.2023110981006724,-0.9770202599772126,0.3034746598595816,0.6139261107053429,0.5318917904626654,0.0,0.0,0.0,0.0,0.0,0.0,-0.010421752107427323,-0.0064026851127869655,-0.01440604960067332,-0.012679515985710266,-0.0642428763164301,0.0,0.0,0.0,0.0,0.0,-0.18426664104521498,0.0,0.05907461403377939,0.0,-0.06235524811670712,0.0,-0.052394367607023755,0.0,0.0,0.0,0.0,0.0,0.0,-0.011408795875693977,0.33979577171017117
