Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_PPI,Shap_real_turnover,Shap_retail_turnover,Shap_Manufacturing_EU,Shap_Vol_loans,Shap_Exchange_Rate_CHF,Shap_gdp_index_ch,Shap_gdp_index_eu,Shap_M1_change,Shap_Business_Confidence_EU,Shap_infl_e_next_year,Shap_unemployment_rate,Shap_Saron_Rate,Shap_kofbarometer,Shap_EU_fin_spread,Shap_M3_change,Shap_infl_e_current_year,Shap_Wage_change,Shap_oilprices,Shap_M2_change,Shap_fin_spread,Shap_variable_mortgages,Shap_CH_2int,Shap_headline_1m,Shap_core_1m,Shap_core_lag_1,Shap_core_lag_2,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Linear_Pred,Shap_Constant
2012-09-01,2012-12-01,-0.5585614490200008,-0.44266151835969936,-1.3029694312727047,-1.000808038367218,0.43869429533360826,0.6295136399267598,0.013432793927062687,0.2345333959425295,0.21213660585244026,84.94096664969577,-9.999999999953367,4.777733902791392,0.4995522218125627,0.3081342878166428,-0.464151340126584,0.0,-0.007830975416770629,0.0,0.0,0.0,0.0,0.0,0.0,-0.009352033323065008,0.0,0.0,0.0,-0.014965099735164925,0.0,-0.00899544552703752,0.0,0.0,0.0,0.0,0.0,0.0,-0.008089728972877746,0.0,0.0,0.0,0.05018494031751768,0.05636949172060214,0.0,0.0,-0.052953830142328774,0.020657399703375375,-0.07967029754359006,0.07613540068622408
2012-12-01,2013-03-01,-0.5559402157513382,-1.01791368786186,-1.4743609720073714,-1.2717454346311996,-0.34645415117734546,0.3564155953085901,0.21341948893385101,0.237489008638607,0.21006222902750285,9.680842633833514,9.999999999992617,-2.8466982262683724,0.18689594389475175,0.7397629149663093,-0.5800512707868855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002769387838496677,0.0,0.0,-0.003307724452903624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004907171334409151,-0.00414691072812568,0.0,0.0,-0.011174801530094248,-0.028241516962595727,0.0,0.011588786904338788,-0.01816780001617007,-0.010881567774704844,-0.4146928619864546,0.0488385386446414
2013-03-01,2013-06-01,-0.2379100909859488,-0.6205021026309154,-1.3715664896177593,-1.177628278998899,0.25887394516423967,0.4320064849999916,0.14637664737454226,0.2712835172866024,0.2218754745973026,48.674131405307264,9.999999999997966,-4.81852038098185,0.4197428339606409,0.7159158468293456,-0.5260919937374986,0.0,0.0,0.0,0.0,0.0,0.0,-0.004053888428303215,0.0,-0.005933633838130444,0.0,0.0,0.0,0.0,0.0,-0.0034255317205281444,-0.0042814068703933865,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034174674210057654,0.0,-0.004772565825247164,-0.02091923432638942,0.042281798119605446,0.0,0.0,0.07264023026996694,0.0,-0.28508526096446923,0.12255685211147754
2013-06-01,2013-09-01,-0.0686985256836081,-0.27479996586352584,-0.8089584069628231,-0.62058490516117,0.2493687652728894,1.044558305716592,0.042477803644236214,0.14872217847270308,0.13015001885820843,9.49907838139533,9.999999999999998,-2.0194121728246563,0.17355982189184177,0.6238273689058251,0.21788284889368015,0.0,0.0,0.0,0.0,0.014185817321631804,0.0,-0.0016007482759604619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00747443678196688,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032731633144134943,0.0,0.0,0.0,-0.027611360267435756,-0.015171044324317401,0.0,-0.02203715054786336,-0.021145319774441184,-0.004744233087565052,-0.467779855964614,0.06396868025973983
2013-09-01,2013-12-01,-0.0163107733018641,-0.004136638804030916,-0.8127561708450415,-0.6258247020515917,0.7140997024787766,0.9978936957163675,0.00014820955077133203,0.148580634036282,0.13629218223517803,58.00650111825786,9.999999999999998,-4.274651241402164,0.422481657684499,0.5085111977206155,0.025711583209808708,0.0,0.0,0.0,0.0,0.0063896485787119555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008409219419023431,-0.008182329206853897,0.0,0.0,0.0,0.0,0.0,0.0,-0.012894102513042002,0.0,0.0,0.011919341476883012,0.05096013037379181,0.0,0.01230647657656232,0.05634847814658568,0.020281423749707223,-0.17078953879223963,0.01222146901507733
2013-12-01,2014-03-01,0.0721983425743033,-0.4730879221322315,-0.8858963242176721,-0.7240132771828556,0.2477600744141384,0.8624238071227809,0.2973371104776052,0.27090571305605327,0.2474236969515894,9.397189506943333,9.99999999997659,-2.1766997068167377,0.1755798542537995,0.7841570106088199,-0.04042182833741137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005682204763616805,0.0,0.0,0.0,-0.006340596637124566,0.0,-0.0007706753591972439,0.0,0.0,0.0,0.0,-0.0009135294201548776,0.0,-0.0031106186057572203,-0.007871850632470213,0.0,0.0,-0.03005239659282917,-0.012541831649238002,0.0,0.0,-0.05506485037797745,0.0,-0.3011358623187458,-0.014295661724963923
2014-03-01,2014-06-01,-0.0402056980780329,-0.25800591668891926,-0.930805298345394,-0.8267220363408434,0.4093854126255181,0.7561985523293124,0.04743693522694989,0.18281725530915396,0.16770063862606183,30.383418633100707,9.999999999999998,-3.4747370362696355,0.31547253873208997,0.6758652259921902,-0.2159835601772464,0.0,0.0,0.0,0.0,0.007838307454243474,0.0,0.0,0.0,-0.007975963489109773,0.0,0.0,0.0,-0.007138879126317998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009842059649156918,-0.00955812828182887,0.0,0.0,-0.02601710612125043,0.0374772069699897,0.0,0.0,0.07895750554726466,0.008546111475913692,-0.21274942235869385,0.09844007106727347
2014-06-01,2014-09-01,-0.0019006300588486,-0.11823145943621333,-0.6106972172920777,-0.44531848734505886,0.31657961493269937,0.9347637957682232,0.013532861863625543,0.12211416343583495,0.10812393236233701,8.546103574060114,7.5219994548668625,-1.537711790600917,0.18290575803272813,0.5997970917604901,0.2463756764992553,0.0,0.0,0.00896144970717658,0.0,0.008900510067256036,0.0,-0.008128083697234764,0.0,0.0,0.0,0.0,0.0,-0.012677548464231875,0.0,0.0,0.0,0.0,0.005993926293252572,0.0,0.0,0.0,0.0,0.0,0.0,0.01667082810950313,-0.03572463353569442,0.0,0.0,-0.022133224311255854,0.007063319092943686,0.0,-0.39020522425065524,0.056671545053471495
2014-09-01,2014-12-01,0.2551637534921269,0.010273504438984567,-0.6668115686292886,-0.4965349717878098,0.7278900877616402,1.1346922786451055,0.059971234081310075,0.18726945497109695,0.1684419831412297,28.06464596168832,9.999999998945778,-3.1828848791922586,0.3160133643983764,0.668163763589759,0.04012172645282419,0.0,0.0,0.0,0.0,0.008022421995761836,0.003343355395896317,0.0,0.0,0.0,0.0,0.0,0.0,-0.006879180657049156,0.0,0.0049121091349498556,0.0,0.0,0.0,0.0,0.0,0.004513712847127506,0.0,0.0,0.0,0.0,-0.006115932639879737,0.03736618132475591,0.0,0.0,0.05175924912271239,0.010613468478384378,-0.22427832224201666,0.0868947152255177
2014-12-01,2015-03-01,-0.1784907206497266,0.10052122606873937,-0.560887821931022,-0.3973684008077072,0.701291695034992,1.1006420613179024,0.07784766641162809,0.1785807154395511,0.1682795466609457,25.984767472437976,9.999999999978732,-2.8984870394998383,0.293124483954814,0.30624527355344217,0.14254358258041222,0.0,0.009594137329023743,0.0,0.0,0.005922382550812897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008474004561848162,0.0,0.0,0.0,0.0,0.004058483023496207,0.0,0.0,0.008006990678605557,0.006761624683864156,-0.03488907743841196,-0.04526001366564278,0.0,0.0,0.019754270136322465,0.0,-0.11709817226116309,0.09265301388957178
