Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_PPI,SHAP_Shap_real_turnover,SHAP_Shap_retail_turnover,SHAP_Shap_Manufacturing_EU,SHAP_Shap_Vol_loans,SHAP_Shap_Exchange_Rate_CHF,SHAP_Shap_gdp_index_ch,SHAP_Shap_gdp_index_eu,SHAP_Shap_CH_2int,SHAP_Shap_infl_e_current_year,SHAP_Shap_infl_e_next_year,SHAP_Shap_M3_change,SHAP_Shap_M1_change,SHAP_Shap_Business_Confidence_EU,SHAP_Shap_unemployment_rate,SHAP_Shap_EU_fin_spread,SHAP_Shap_variable_mortgages,SHAP_Shap_Saron_Rate,SHAP_Shap_M2_change,SHAP_Shap_oilprices,SHAP_Shap_Wage_change,SHAP_Shap_fin_spread,SHAP_Shap_kofbarometer,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_headline_lag_1,SHAP_Shap_core_lag_1,SHAP_Shap_headline_lag_2,SHAP_Shap_core_lag_2,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Constant
2012-09-01,2012-12-01,-0.3776404355736673,2.7535524770758717,1.4937669699332121,1.6200494352585446,9.804369056226705,0.162727952026188,12.94314676911574,-9.999999999999998,11.953154600432908,0.9548330848039981,-0.5585614490200008,0.22423677914238394,-1.0967723230384863,-0.7929813582197021,0.4939471386109062,0.6931228559166058,-0.464151340126584,0.3482262301795201,0.38406571086256314,-0.11239837979795078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11499542651356665,0.0,0.0,0.0,0.0,0.0,0.0,-0.12843080807449692,0.0,-0.1657973323308648,0.0,0.0,0.0,0.0,0.0,-0.1252611121156205,-0.12668600126385793,0.0,0.8923712993158484,1.0070376085773167,1.3058453405674355,0.0,0.0,0.0,0.6779872148123208,-0.3561199261006922
2012-12-01,2013-03-01,0.0964442201421889,-1.2353254561052296,0.629316341719593,0.9039708096859514,1.7736104705721538,0.5846816121429796,24.758040128078417,9.999999999973193,-14.56674018447446,1.3947804202499179,-0.5559402157513382,-0.8888826348131929,-1.4255257666671461,-1.2650072599917905,0.2811149148757007,0.3981131536775705,-0.5800512707868855,0.1567290341961386,0.17756537349330376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0757965207501539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08357774824027875,-0.0912658965256733,0.0,-0.03500389701854334,0.0,0.0,0.0,0.0,0.0,0.4613177340390691,0.22902935970848942,-0.0958620331284172,-0.4439213129234393,0.0,0.0,-0.2021139301624884,-0.544385741812442,-0.35374546929135176
2013-03-01,2013-06-01,1.152727611006199,1.4596293474607336,0.6044834293628525,0.884314617300784,0.09418867583880859,0.4869028964031121,40.05386406610069,-9.999999999996925,18.299099285520445,1.6935613201837922,-0.2379100909859488,-0.1611846568723152,-1.3551780612430342,-1.0632407143481792,0.410374872357977,0.5675729863158452,-0.5260919937374986,0.27306415432700215,0.25559150040805734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2617584329162263,0.0,0.0,0.0,0.0,0.0,0.0,-0.2916508673525878,-0.20410897773426406,-0.23531118153035732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5143475200615824,-0.26626417351589754,1.0659326369436781,1.7598460649026793,0.0,0.0,-0.11824374579661812,0.9787702124647175,-0.4532346679428086
2013-06-01,2013-09-01,-1.146325498309153,-1.877780882847091,0.543668872974074,0.6488033341276338,0.5350269795695426,0.5385276930245205,13.705401625687237,9.999999999569992,-11.642680291303263,1.003841536756258,-0.0686985256836081,-0.2515623718180926,-0.7928619302506767,-0.607320730829297,0.8432518216964446,1.1352905599702936,0.21788284889368015,0.15688389457308696,0.19342243267355044,-0.05862268634653044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061234999097356815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06209411978337456,-0.04924623337641476,0.0,-0.054940608974001194,0.0,0.0,0.0,0.0,0.0,0.0,-0.14985332502968662,-0.07391892390230949,-0.27155647969943714,0.0,-0.3153319945372689,0.0,-0.2992335789514083,-0.4817479331493024
2013-09-01,2013-12-01,-0.1680894260466914,2.2887556505175155,1.019740547011352,1.1577482830137795,6.036087730237783,0.24283461430996556,27.3996587062045,-9.9999999998203,15.25554048744632,1.3538385222410523,-0.0163107733018641,0.5979004958391876,-0.6602531474067419,-0.4858500773775205,0.9621784493052843,1.1193765632631525,0.025711583209808708,0.17042617650379074,0.22740149414854544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2571475028344991,0.0,0.0,0.0,0.0,0.0,0.0,-0.234822431303853,-0.15601391021659322,-0.21529160628055966,0.0,-0.1401869638078219,0.0,0.0,0.0,-0.06603312410114892,0.0,0.0,0.1284223664243847,1.1540572044829667,1.4146228472258329,0.0,0.0,0.0,0.830079075007987,-0.16893030407917958
2013-12-01,2014-03-01,0.4504806836468589,-1.1596638582004104,0.7517709273658618,0.9314567702050444,2.592565445640553,0.6862362379126798,18.140866403394945,9.999999999999964,-12.090846292085313,1.1192101649961244,0.0721983425743033,-0.33033779288751397,-0.8978559156742083,-0.7240132771828556,0.6344910321583797,0.9144525469831244,-0.04042182833741137,0.13675166716842407,0.16949854353149016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06113576937465002,0.0,0.0,0.0,0.0,0.0,0.0,-0.05570840259818968,-0.05419254637722126,-0.0813418161630946,0.0,0.0,0.0,0.0,0.0,0.0,0.31022164855810863,0.0,-0.0988596206472121,0.4758796048629094,-0.4479640920278755,0.0,0.0,-0.1390796762038633,-0.601491533177899,-0.4059916550514231
2014-03-01,2014-06-01,0.7031114483968537,1.4596293474607336,0.5890677142075738,0.7711965959414557,0.5723193316040268,0.40043892246977164,40.937846793218924,-9.999999999607345,16.381680043045332,1.4988842423067863,-0.0402056980780329,0.148923776687937,-0.8995750090226906,-0.6717765000568754,0.6984035256695442,0.7561985523293124,-0.2159835601772464,0.30410604125268187,0.2764055175884145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27804806764005846,0.0,0.0,0.0,0.0,0.0,0.0,-0.14178218865880257,-0.16268494939772152,-0.2535321128216084,0.0,0.0,0.0,0.0,0.0,-0.13845155234079262,-0.14153715391230026,0.0,-0.15934733888693864,0.9786255711478771,1.3718855699433206,0.0,0.0,0.0,0.6905905002634312,-0.30608893023567285
2014-06-01,2014-09-01,-0.9931052262324158,-1.6503888604596284,0.522225895640984,0.6173289509743074,0.43202177582293216,0.5333404882304593,13.864598304950215,9.9999999999996,-11.136109329473173,0.9732078038912497,-0.0019006300588486,-0.1662215386156518,-0.6479340247212307,-0.44531848734505886,0.8185645891286342,1.1827098371053513,0.2463756764992553,0.13484829854436198,0.16187328444671367,-0.02417077026916692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027992804104481912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06698383023226666,-0.10421790907432014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3258480305363765,-0.22798135583716392,-0.042325382863038226,-0.16051344180787666,0.0,-0.19235564894910007,0.0,-0.4909488111755164,0.012949124389679201
2014-09-01,2014-12-01,0.860168108157211,2.2887556505175155,0.6553069234467539,0.8234243124375552,2.0408623661870546,0.34401830635813524,26.654454570763694,-9.99999999997883,14.448058397376176,1.2537361979535453,0.2551637534921269,0.6123106390822031,-0.5712074162018688,-0.21502838843753108,0.9795337940243088,1.133786706506168,0.04012172645282419,0.13436130707981767,0.18064155136734003,-0.09606126162877034,0.0,0.0,0.0,0.05335980903464632,0.0,0.0,0.0,-0.2160338502497682,0.0,0.0,0.0,0.0,0.0,0.0,0.14063310105670312,-0.26059885834535135,-0.16010371458049139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997373255608265,1.2704500136386945,0.0863492527824269,0.0,0.0,0.7814909867605027,-0.31046715351190257
2014-12-01,2015-03-01,-1.2841372129205553,-1.4511396899781204,0.5080792395420379,0.49655732338359776,0.02788982734336256,0.4409970519092822,10.18546205564759,9.999999999999849,-9.23323206160115,0.7986074568025645,-0.1784907206497266,-0.22024133991411787,-0.7029309132998485,-0.4944592448201668,0.8153972048767777,1.1231633470720115,0.14254358258041222,0.13782386025453747,0.12450727407473702,0.0,0.05705855077072362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030581326161917444,-0.04065050027824858,0.0,0.0,0.0,0.0,0.0,0.13420244355554936,0.1651693101076948,0.0,-0.14453195176735353,0.0,-0.6836765523013341,0.0,0.058021693729863016,-0.08801317489872303,-0.3938598102194145,-0.4842783725149599
