Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Factor_1,Shap_Factor_2,Shap_Factor_3,Shap_Factor_4,Shap_Factor_5,Shap_Linear_Pred,Shap_Constant
2012-09-01,2012-12-01,-0.5585614490200008,0.22423677914238394,-1.1545876571934954,-0.919944280006213,0.47526072744490067,0.6295136399267598,0.612773066014169,0.39724790707293334,0.346969007145001,13.5300008358908,-9.999999999999998,2.6188190623378613,0.2519963015740003,0.18196177960788476,-0.464151340126584,-0.01361263857255131,-0.010622540196660177,0.05181526816384168,0.0,0.0957168234720197,0.236619643133662,-0.02122941908255423,-0.008166562955125745,-0.0365995215689271,0.00870725866584474,0.0,0.21877382318393299,0.1669859850254856
2012-12-01,2013-03-01,-0.5559402157513382,-1.01791368786186,-1.4743609720073714,-1.2717454346311996,-0.5098473323534414,0.3343358150599052,0.21341948893385101,0.2596034692889314,0.23291018494557353,8.084639751284637,9.999999999999998,-2.64524377739458,0.1616334902411433,0.7711388701586543,-0.5800512707868855,-0.008005421160812659,0.0,-0.004140728558473108,0.0,-0.05755002244016338,-0.13354878675645043,-0.011545931529100424,-0.0016215796591393938,-0.01384896164741434,0.00615538560057971,-0.005295526871979803,-0.27235973838039673,0.06389889432837616
2013-03-01,2013-06-01,-0.2379100909859488,0.09085877865917535,-1.2330252888196114,-1.009189495281415,0.410374872357977,0.5423348204581124,0.10808896964773267,0.21946715510775797,0.15038903555122177,22.437291628133117,-9.99999999999936,3.1648394604638113,0.32336716104495505,0.4191174587523498,-0.5260919937374986,-0.016165766334745243,-0.023175812825290153,0.050207522794058705,0.008073222128751278,0.07111159388493095,0.3107981472843551,-0.024139150898377853,0.0,-0.07619482799396028,0.0,-0.019684465564697138,0.1593622222734444,0.17675808764820422
2013-06-01,2013-09-01,-0.0686985256836081,-0.3218396238559684,-0.8089584069628231,-0.6391900448976529,0.23937267066056478,0.9216633444292056,0.06408041558390856,0.17189427208552172,0.15550836778345625,7.328139745773596,9.999999999999998,-1.7939199110711328,0.14111437297996343,0.6979032134778771,0.21788284889368015,0.00784375516039204,0.013069733738253162,-0.004337284376795873,-0.09007027016052382,-0.0557155734164841,-0.12064341746008508,-0.013568037138480713,-0.01293964309595674,-0.026391351317628115,0.0,0.0,-0.33290770453998164,0.0959373198576425
2013-09-01,2013-12-01,-0.0163107733018641,0.6861410917107236,-0.6579985297241908,-0.3915186136249638,0.9621784493052843,1.0954003056983053,0.49343862265966276,0.3137962261162483,0.28063566098678067,21.25979999954307,-9.99999999999975,3.4959317659511218,0.29850372602711756,0.21607046486731712,0.025711583209808708,-0.006458967103822141,-0.02759764170648761,0.04824257121854863,0.0,0.09729007731980674,0.3468954934402087,-0.0203166964895759,0.0,-0.031000138988568345,0.002615836410896688,0.00985634293787755,0.17969278490630256,0.06120984655572805
2013-12-01,2014-03-01,0.0721983425743033,-0.32700320291469964,-0.8858963242176721,-0.6760692596252332,0.5274194879171468,0.8946792639505529,0.15936187392080847,0.23391765363923744,0.207140548781683,12.888552048387226,9.999999999999998,-2.5259665343887834,0.219403684512521,0.7335693204267706,-0.04042182833741137,-0.0047421484037673545,0.08721217197912384,0.0,0.01882784931482373,-0.07172832784771276,-0.17307759503289522,-0.00599282514965827,0.006752438285909349,-0.016498138580417147,0.013157414010915835,0.0,-0.2081049920569732,0.06761277890336291
2014-03-01,2014-06-01,-0.0402056980780329,0.148923776687937,-0.9229168552593592,-0.629322052367332,0.7004283895819974,0.8776814198760974,0.03576995822525164,0.1949956558317487,0.15494252892754276,43.85189074543331,-9.999999999999998,4.025641391452197,0.3865219921434918,0.3824833548125879,-0.2159835601772464,-0.010542245911879874,-0.042882368077492634,0.05957511376537608,0.0,0.03616805379705198,0.29153665438252097,-0.029899880543509758,-0.02482505765987199,-0.06904192319505117,0.0,-0.0037617953658938275,0.09586520817825242,0.06271557749568128
2014-06-01,2014-09-01,-0.0019006300588486,-0.26484744032249097,-0.7804655793572479,-0.5920920775555949,0.2029419925774434,0.7677042269202516,0.06914102502782393,0.16503600521934203,0.1591021916266571,5.70664628185498,3.128170883973952,-1.0946943748491682,0.24979744104531237,0.7391309499918042,0.2463756764992553,-0.00047093666027109293,0.0,-0.0028919716155357826,-0.09248365615800523,-0.032263836894403305,-0.09915692617673738,-0.0034620364510889383,-0.01061922072913267,-0.001288461646494913,-0.0012643677331619797,0.0,-0.30990423740755874,0.042582534650643655
2014-09-01,2014-12-01,0.2551637534921269,0.4084243874841409,-0.6503774829529574,-0.34087787218082255,0.897912736143347,1.0182861509172803,0.02348882193163408,0.1842514061510352,0.14275048854591957,25.72911380597408,-9.999999999999998,3.542756705815612,0.31072407440769745,0.39881265056511994,0.04012172645282419,0.0,-0.021022543973590047,0.06559086355850785,0.0,0.0223091535980336,0.26223027862350745,-0.03175124831407338,-0.014309334924917901,-0.06996331313143134,-0.01606544865858686,-0.011390822897100916,0.1455390734013229,0.037136003749645416
2014-12-01,2015-03-01,-0.1784907206497266,-0.10617617484030006,-0.5734341282974985,-0.49007740033149005,0.8049609492885987,1.1011478417949756,0.0052293935356236484,0.13644699019716033,0.1351509336964669,14.479587711862115,9.999999995729215,-2.4012406971018665,0.23083253136640525,0.3888830996390262,0.14254358258041222,0.02749009296473272,0.0157287800070007,0.0,0.007628302640224332,-0.058363317786265724,-0.1757584524334361,-0.004227155100598623,0.005147049928817347,-0.013760049003423345,0.01034425063815937,0.0,-0.12708102277955602,0.06413176350363314
