Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_PPI,SHAP_Shap_real_turnover,SHAP_Shap_retail_turnover,SHAP_Shap_Manufacturing_EU,SHAP_Shap_Vol_loans,SHAP_Shap_Exchange_Rate_CHF,SHAP_Shap_gdp_index_ch,SHAP_Shap_gdp_index_eu,SHAP_Shap_Wage_change,SHAP_Shap_Business_Confidence_EU,SHAP_Shap_CH_2int,SHAP_Shap_infl_e_current_year,SHAP_Shap_fin_spread,SHAP_Shap_unemployment_rate,SHAP_Shap_M1_change,SHAP_Shap_oilprices,SHAP_Shap_variable_mortgages,SHAP_Shap_infl_e_next_year,SHAP_Shap_EU_fin_spread,SHAP_Shap_kofbarometer,SHAP_Shap_Saron_Rate,SHAP_Shap_M3_change,SHAP_Shap_M2_change,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Constant
2012-09-01,2013-09-01,-0.0686985256836081,0.0346284917243089,0.15308929448304473,0.15648693637769293,0.010676472526415983,0.5200860173924181,99.99999999999999,-9.999999997295758,5.208553337835384,0.5295230470764476,-0.0686985256836081,0.0346284917243089,-1.2045495396440842,-1.153596981434113,0.5014208797336828,0.7466048117960256,0.0,0.14592363006165587,0.15226047886264008,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009305871277106026,0.0,0.0,-0.003600314882216741,-0.09309163003963054,0.0,0.0,0.0,-0.013282899354973121,-0.009590837066772285,-0.1075447559292629,0.0,-0.1637704779105221,0.0,-0.08635390747808877,-0.004541388174941114,-0.012657520483287043,0.0,0.0,0.0,0.0,0.0,0.0,0.5299928101717142
2012-12-01,2013-12-01,-0.0163107733018641,0.1834569913984118,0.15731625201315177,0.17072200142775099,0.03990715981334479,0.47132625381181825,50.81994101810246,-9.999999999999998,4.736822966417981,0.46781409289204334,-0.0163107733018641,0.1834569913984118,-1.2023110981006724,-1.0373178900398905,0.5994655625302769,0.894112185749511,0.0,0.15114937066785084,0.16657541174134075,0.0,0.0,0.0,0.0,0.0,0.0,-0.005140580205154655,0.0,0.0,-0.004811823571909829,-0.09191156489416719,0.0,0.006713165084794914,0.0,-0.011206470525699317,0.0,-0.14530257432541727,0.0,0.03572845429405143,0.0,-0.07455060304017143,-0.00399389807647199,-0.015447399895174184,0.0,0.0,0.0,0.0,0.0,0.0,0.4933802865537314
2013-03-01,2014-03-01,0.0721983425743033,0.048292005934325,0.1672239088304383,0.16602509242388197,0.000571512931543969,0.5684485360832885,99.99999999999999,-9.999999999999858,5.503140879324812,0.5532020576033247,0.0721983425743033,0.048292005934325,-1.2023110981006724,-1.0373178900398905,0.5918463304566579,0.8762556539782455,0.0,0.16087006102507756,0.16158532868872527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019953458679116518,-0.006918494466860094,-0.09851595333676332,0.0,0.0,0.0,-0.014441549079422857,-0.001767156505083134,-0.2246511676143543,0.0,0.033101335060166666,0.0,-0.10448268216438655,-0.004679723306489083,-0.019282376763645286,0.0,0.0,0.0,0.0,0.0,0.0,0.4919251199790746
2013-06-01,2014-06-01,-0.0402056980780329,-0.1661502742584808,0.20051333629480045,0.191028032438474,0.015862036269272645,0.7097906719791651,99.99999999999999,-2.284808162761589,0.9308438934229342,0.5605700185519007,-0.0402056980780329,-0.1661502742584808,-1.2045495396440842,-1.0916999701163554,0.2115237078397669,0.5768704370829874,0.0,0.19872595640599652,0.18819401308990166,0.0,0.0,0.0,0.0,0.0,0.0,-0.009058830357588553,0.0,0.0,-0.008361098730805278,-0.09386736810492174,0.0,-0.005241363204893212,0.0,-0.015003875626101911,0.0,-0.2187451345690645,0.0,-0.1539788902375613,0.0,-0.0798570496684076,-0.006494699707327742,-0.016601487617867693,0.0,0.0,0.0,0.0,0.0,0.0,0.4410595235660588
2013-09-01,2014-09-01,-0.0019006300588486,-0.3925293191426426,0.23923926582941035,0.2180163868517168,0.1525907727353234,0.7670531614237467,99.99999999999999,1.6469889015142765,-1.292594930057678,0.5394750754735707,-0.0019006300588486,-0.3925293191426426,-1.2023110981006724,-1.0916999701163554,0.1834569913984118,0.5014208797336828,0.0,0.23817084063448005,0.21599999157821617,0.0,0.0,0.0,0.0,0.0,0.0,-0.014618288052907574,0.0,0.0,-0.009361298762198378,-0.11298313095736034,0.0,0.0,0.0,-0.024795599606219895,-0.02891100793745764,-0.2399791044525023,0.0,-0.1970615556562097,0.0,-0.09842306547212347,-0.02211971841913085,-0.01769299597846842,0.0,0.0,0.0,0.0,0.0,0.0,0.3734164461519358
2013-12-01,2014-12-01,0.2551637534921269,-0.1661502742584808,0.3393062287920318,0.3247017398920405,0.1775055099794398,0.8488811444562191,99.99999999999999,-5.426037882152861,2.5000387464031166,0.5151742016818354,0.2551637534921269,-0.1661502742584808,-1.2023110981006724,-1.045092856475538,0.2097351736294328,0.5922272920603385,0.0,0.34036678010653787,0.3249108098085589,-0.0048851413864561734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005275139566312836,-0.08228414990316224,0.0,0.0,-0.003399309358415037,-0.01542743992314209,-0.016806368020799378,-0.21845188549061523,0.0,-0.12815344696012584,0.0,-0.07014055405237438,0.0,-0.013099307508898405,0.0,0.0,0.0,0.0,0.0,0.0,0.39177246791182085
2014-03-01,2015-03-01,-0.1784907206497266,-0.1042786037897869,0.13758579101767543,0.14257310609807977,0.005507438288833346,0.5614983122607854,99.99999999999999,-3.6346872611385184,1.721720643112686,0.5453851963247219,-0.1784907206497266,-0.1042786037897869,-1.2023110981006724,-1.045092856475538,0.2115237078397669,0.5995173192975489,0.0,0.1314044513975661,0.139019416873994,0.0,-0.0010073160309726041,0.0,0.0,0.0,0.0,0.0,-0.0003316531239050957,0.0,-0.000602851698309955,-0.07944496546730391,0.0,0.0,0.0,-0.010802409116461052,-0.00687961602124349,-0.20164179720254788,0.0,-0.1135665560795975,0.0,-0.05163508601157166,0.0,-0.011811790184397878,0.0,0.0,0.0,0.0,0.0,0.0,0.3734454371465242
2014-06-01,2015-06-01,-0.3619796751591408,-0.0815778177670978,0.12415219843246307,0.1659848247195863,0.07862520162890764,0.4246599837001879,40.29497799419469,-9.999999999999934,3.0444440013270007,0.32862037500433466,-0.3619796751591408,-0.0815778177670978,-1.2023110981006724,-1.045092856475538,0.1279552391188154,0.40056786774970354,0.0,0.12149116066520502,0.16316027292298993,0.0,0.0,0.0,0.0,0.0,0.0,-0.006424523047164082,0.0,-0.0021913074692350167,0.0,-0.07350687129792499,0.0,0.0,0.0,-0.010603563848016492,-0.008559385790724945,-0.18571819415689214,0.0,-0.09865038240395889,0.0,-0.07331304587476083,0.0,-0.01670191071095416,0.0,-0.0018498121176389604,0.0,0.0,0.0,0.0,0.3959411789501727
2014-09-01,2015-09-01,-0.6613065813612096,-0.0163107733018641,0.35610749716425966,0.3967615322911741,0.41601959241412795,0.16459510827990476,56.06311702006352,-9.999999999998172,4.127781589615354,0.41681285075611135,-0.6613065813612096,-0.0163107733018641,-1.1629725530339918,-0.9770202599772126,0.4848401142893976,0.7082136518918859,0.0,0.36192894501022216,0.39764244246086256,0.0,0.0,0.0,0.0,0.0,0.0,-0.004147962516898121,0.0,0.0,-0.00543542165270399,-0.08570934611011759,0.0,-0.0010617987435970755,0.0,-0.012010635746609542,-0.010580688400879825,-0.1879135493322497,0.0,0.017809940283720384,0.0,-0.07068615315853213,0.0,-0.020442127166147912,0.0,0.0,0.0,0.0,0.0,0.0,0.3638669692421514
2014-12-01,2015-12-01,-0.8846061718801757,0.0321955292221787,0.5456607772512815,0.5735568415355757,0.8405253591441707,0.08897435797013277,61.75774233220903,-9.987540275688612,4.291794878239631,0.43100045968898826,-0.8846061718801757,0.0321955292221787,-1.1629725530339918,-0.7617073460971291,0.4848401142893976,0.8753475519000631,0.0,0.5554555303029959,0.5781515431956815,0.0,0.0,0.0,0.0,0.0,0.0,-0.0046625517511884595,0.0,-0.0030393055020223004,-0.006019826004237163,-0.07984374565217879,0.0,0.0,0.0,0.0,-0.005136960055062588,-0.18165338535352776,0.0,0.02319901564235322,0.0,-0.06470318210200757,0.005453496998267693,-0.014406917244699322,0.0,0.0,0.0,0.0,0.0,0.0,0.3630088902464818
2015-03-01,2016-03-01,-0.4835425102155177,0.0452448775781988,0.2838870995504261,0.32714260073070595,0.2796161014897023,0.21408197476612273,39.252910282117135,-9.99999999998401,3.7982365378610763,0.3767770898324225,-0.4835425102155177,0.0452448775781988,-1.1629725530339918,-0.6060576401686817,0.5063223572880027,0.8571328757609464,0.0,0.2871755769408572,0.3268905130112907,0.0,0.0,0.0,0.0,0.0,0.0,-0.006604620454618755,0.0,-0.0008770647511460172,-0.007709262559464615,-0.08072959686942924,0.0,0.0,0.0,-0.00668594755230218,0.0,-0.18310508023354857,-0.0010124145513574032,0.027220308547198507,0.0,-0.07197203570085758,0.0,-0.016087354212027317,0.0,0.0,0.0,0.0,0.0,0.0,0.39280794591575197
2015-06-01,2016-06-01,-0.2309070414847625,0.046768441756261894,0.18869421428557545,0.2102259344879939,0.0771036739931364,0.3308842098906321,21.663383192502636,-1.8046093289790166,1.0859041038185389,0.573845915199849,-0.2309070414847625,0.046768441756261894,-1.1629725530339918,-0.5723289789584918,0.5903882540536642,0.9378126014108368,0.0,0.18813241007006792,0.2075824972101225,0.0,0.0,0.0,0.0,0.0,0.0,0.0037436401958331235,-0.0012283397808434127,0.0,-0.0067546361267630415,-0.08835190673703656,0.0,0.0,0.0,-0.004963729452072552,0.0,-0.18626528337045578,0.0,0.03300863243979731,0.0,-0.07502145010976026,0.006434615478015792,-0.013667299639173897,0.0,0.0,0.0,0.0,0.0,0.0,0.3798341988587212
2015-09-01,2016-09-01,-0.1371437538706388,-0.0163107733018641,0.14773673043497684,0.15023757196511572,0.014600609193133881,0.4672819772338974,34.310637177206075,0.6087062202522469,-0.463356740784721,0.6151597310055208,-0.1371437538706388,-0.0163107733018641,-1.1629725530339918,-0.7617073460971291,0.5252252091309195,0.9204816366966462,0.0,0.14275139983478746,0.14611292253547056,0.0,0.0,0.0,0.0,0.0,0.0,-0.006424476929563002,0.0,0.0,-0.0071471790608955066,-0.0885811474921499,0.011686138470738754,0.0,0.0,0.0,0.009834399488968637,-0.17441448403597679,0.0,0.0297905060227482,0.0,-0.07935297138211986,0.011370046906266824,-0.011358373771335868,0.0,0.0,0.0,0.0,0.0,0.0,0.2882867684814544
2015-12-01,2016-12-01,-0.3244976139693989,-0.0686985256836081,0.1554527750174667,0.18502463827919455,0.06543317356784178,0.4065164970486843,99.9999999999998,2.948808913540093,-1.9323079909135397,0.5922301185407488,-0.3244976139693989,-0.0686985256836081,-1.1629725530339918,-0.9770202599772126,0.3733071395831011,0.7486884103328809,0.0,0.15160154176244978,0.18177542993860088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018926713616762108,-0.10421036647025554,0.024402477922655957,0.0,0.0,-0.012259265658819254,0.012500438079747036,-0.18026862368047136,0.010775271303651912,0.022015307358106126,0.0,-0.09472675291104467,0.0,-0.017899243544539346,0.0,0.0,0.0,0.0,0.0,0.0,0.28989894553412315
2016-03-01,2017-03-01,0.1182657315096591,-0.1042786037897869,0.22236309753470784,0.2089615558888205,0.04952598117387225,0.6829008832944967,38.250976429020035,9.999999999999977,-4.65775752690582,0.4406650597427927,0.1182657315096591,-0.1042786037897869,-1.1629725530339918,-0.9638887821416979,0.5022051161423738,1.1906293561324333,0.0,0.217148212424667,0.20539974990236146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008684271722387372,-0.03329009567466153,-0.11164976806169538,0.04830697774182551,0.0,0.0,0.0,0.016237925837448066,-0.20148557664675018,0.0,0.02303623628675138,-0.00857278355628088,-0.11201864739685076,0.009940743765431026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2739006556373832
2016-06-01,2017-06-01,0.211977293329113,-0.1054813702986656,0.2951358460486578,0.2742668902540202,0.10078000311233506,0.7803174548318724,52.77752865647098,9.999999999994376,-4.707637541901535,0.4392758174328021,0.211977293329113,-0.1054813702986656,-1.1629725530339918,-1.000808038367218,0.2766918689188991,0.7882767825331705,0.0,0.29280578687735753,0.2727782599877662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005402585043717212,-0.051336114482962596,-0.1349376453660844,0.06664379340313992,0.0,0.01965799422684172,-0.008725041039890285,0.0,-0.23688183384420164,0.0,0.0,0.01712495323004442,-0.11936167537934932,0.0,-0.028156997168264922,0.0,0.0,0.0,0.0,0.0,0.0,0.3758937811657787
