Date,Target_date,Actual_direct,Forecast_median_direct,Forecast_Linear_Mean,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_PPI,SHAP_Shap_real_turnover,SHAP_Shap_retail_turnover,SHAP_Shap_Manufacturing_EU,SHAP_Shap_Vol_loans,SHAP_Shap_Exchange_Rate_CHF,SHAP_Shap_gdp_index_ch,SHAP_Shap_gdp_index_eu,SHAP_Shap_fin_spread,SHAP_Shap_EU_fin_spread,SHAP_Shap_Business_Confidence_EU,SHAP_Shap_oilprices,SHAP_Shap_variable_mortgages,SHAP_Shap_unemployment_rate,SHAP_Shap_M3_change,SHAP_Shap_infl_e_current_year,SHAP_Shap_Saron_Rate,SHAP_Shap_kofbarometer,SHAP_Shap_infl_e_next_year,SHAP_Shap_CH_2int,SHAP_Shap_M1_change,SHAP_Shap_Wage_change,SHAP_Shap_M2_change,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_headline_lag_1,SHAP_Shap_core_lag_1,SHAP_Shap_headline_lag_2,SHAP_Shap_core_lag_2,SHAP_Shap_headline_lag_12,SHAP_Shap_core_lag_12,SHAP_Shap_time_index_length,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Constant
2012-09-01,2013-06-01,0.2905104651915735,0.11170848931152538,-0.04988647549232322,0.17188812899219938,0.15950755593801363,0.0319701465786093,0.6649146451260072,-0.2379100909859488,-0.37201157289598497,-1.310684155294304,-0.8226386835951508,-0.10432006432593172,0.062135614913010624,-0.455792939879629,0.14290445499616491,0.13173482864288966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009436674072848946,0.0,0.0,0.0,0.0,0.05527420685249263,0.0,0.0,0.013233718472752929,0.0,0.0452454766054709,0.00861871100563423,0.03586296852373608,0.0,0.0,0.0,0.012773053619859427,0.014190097977493984,0.016446899647138198,0.0,0.0,-0.09276830354824984,0.0,0.0,0.0,0.0,0.04328146157467114
2012-12-01,2013-09-01,0.0342821109464116,-0.5884233326847351,-0.24317461953947506,0.3681615375853315,0.37675626067378853,0.3877620695278633,0.8245478540196478,-0.0686985256836081,-0.5357276084069682,-1.3585675253980645,-1.0922000767640825,0.008305010539066763,0.22087899328458355,-0.09441010889341683,0.14788144561576222,0.15595411842763116,-0.0040931701379844365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009746367832206762,-0.03809735334467934,0.0,0.0,0.04303559279724691,-0.022414961656833172,0.0,0.0,0.0,0.0,-0.022891059414200266,0.0,0.0,0.0,0.0,0.0,0.0,-0.028617806853553546,0.0,0.0,-0.28823353777920224,0.0,-0.0107865237060761,0.0,-0.0069194423194499765,0.04351591710167885
2013-03-01,2013-12-01,-0.0538957711165484,-0.5521710068998158,-0.052530605646893935,0.3137439361764612,0.33480414712279993,0.2482782105948707,0.774597318625043,-0.0163107733018641,-0.3900172001393146,-1.1058563910228647,-0.8549299477869522,0.16852583375248267,0.5186092766465296,0.024111055035547224,0.5806276015156312,0.5784889310468057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010245172106698447,0.0,-0.018363685041533306,-0.0571735112394404,0.0,0.0,0.0,0.0,0.0,0.0,-0.00847075562400046,0.0,-0.07090169055398378,-0.01076446097405064,0.0,-0.00671533442658664,-0.015573050752064352,0.0,0.0,0.04351117762316015,0.0,0.0,-0.3618441352395009,0.0,0.0,0.0,0.0,0.016900217081776928
2013-06-01,2014-03-01,-0.2879780802363285,-0.815792449694125,-0.4343669518688502,0.32560395990502516,0.33714376593957196,0.27858800860613137,0.7933175672854814,0.0721983425743033,-0.323662434519044,-1.070799156471276,-0.7942553334899545,0.12041360707556442,0.5274329627703699,0.28818190275154976,0.3284697780335913,0.34037258896207717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020296271728275375,-0.040250676557704215,0.0,0.0,0.0,-0.009536519729712416,0.0,0.0,0.0,0.019295327785866834,-0.07069755730011887,0.03697363232334479,0.0,0.0,0.0,-0.005146183302557283,0.0,-0.019456860501984106,0.0,0.0,-0.2939763297958658,0.0,0.0,0.0,-0.005218219385977788,0.026884160367709433
2013-09-01,2014-06-01,0.328500901999007,0.299951364179017,0.29787839185560305,0.06460108415342736,0.07081866022257953,0.0008150761097350381,0.4832809703504056,-0.0402056980780329,-0.061617851443025506,-0.38219658088262065,-0.22464667140036226,0.17330148440025706,0.26262755538584864,-0.2865813745772883,0.11950672412488197,0.11813192647331174,0.0,0.0,0.0,0.0,0.02574077230267003,0.0,0.0,0.019399141684013514,0.0,-0.009029324523734927,-0.020044351794842742,0.0,0.0,0.0,0.006079205290211504,0.008176954589304938,0.0,0.0,-0.01069636482849315,0.0044284544099725855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004540315992837822,0.0,-0.0061896809149207845,0.0,0.0,0.0,0.0,-0.020332149883604843
2013-12-01,2014-09-01,0.0534956352704322,-0.804725638145587,-0.3996669020448944,0.5434996723453147,0.5542267445199062,0.7365437541438136,0.9110028947447476,-0.0019006300588486,-0.6455665851208631,-1.3769408604631634,-1.086080144628734,-0.19018043129973755,0.11123494807664232,-0.042022356511672854,0.2545969926227557,0.2598801049829934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046187929872360894,0.0,0.0,-0.03186816328130044,0.0,0.0,0.0,-0.008663187132246257,0.0,0.0,-0.00527807850826123,-0.009826873974630482,-0.07147310193301333,-0.04798338107200553,0.0,0.0,0.0,0.0,0.0,-0.028161432063933053,0.0,0.0,-0.16776375236710742,0.0,-0.01348666260731164,0.0,0.0,0.02563382671147775
2014-03-01,2014-12-01,0.1900581101072163,-0.36315013117096173,0.038771752377600166,0.3136639353032606,0.31112337672896917,0.30603935821809486,0.7907763877203218,0.2551637534921269,-0.15974242746650658,-0.9025660239594128,-0.6398907632097034,0.3046712842450996,0.5907834105297666,0.11262017091171472,0.7739247222598755,0.7791650928085847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04685199309292313,-0.030556388379621775,0.0,-0.03602303926867225,0.0,0.0,0.0,-0.02029528332117042,0.031569742236130016,0.0,0.0,-0.03218379633135756,-0.057736954090172696,-0.06356555859453107,0.0,0.0,0.0,0.0,0.0,0.0523228300418894,0.0,0.0,-0.19912546673556183,0.0,0.0,0.0,0.0,0.0005240239874294179
2014-06-01,2015-03-01,-0.47235811033192,-0.6004396874488913,-0.2215472540011873,0.1411291750813466,0.1460358454446867,0.016404890396770674,0.5455339126796322,-0.1784907206497266,-0.27455190348745506,-1.0385318214765142,-0.7150352143942298,0.14029252230130831,0.47522698854023054,0.17577786209921342,0.11160855730299296,0.11591349225853809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009172217882709333,0.0,-0.023046627891331255,0.0,-0.035631400260273616,0.0,0.0,0.0,-0.024319489922908694,0.0,0.0,0.0,-0.026083066226948403,-0.04095703340546062,-0.08042477242971789,0.0,0.0,0.0,0.0,0.0,-0.009252821803825114,0.0,0.0,-0.14671941202349084,0.0,0.0,0.0,-0.010951617294406961,0.027666025693368734
2014-09-01,2015-06-01,-0.1516044914680492,0.06658491136048986,0.19673937148401135,0.1802008102819469,0.18045739320484114,0.047606615506674485,0.3891372194369393,-0.3619796751591408,-0.19833762303773655,-1.1659293366667334,-0.7511469798311925,0.2495128917203259,0.5070430171992867,-0.24827630655810395,0.11901250790196907,0.11849314972548497,0.0,0.0,0.0,0.0,0.033559818629880486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06970167414740777,0.0,0.0,0.03564255307676201,-0.023442940896049085,-0.04435860453028159,0.0,0.0,0.0,0.0,-0.023900878020880666,0.0,0.0,0.0,0.0,0.03016946863590738,0.06342786155768836,0.0,0.0,-0.17232699213585967,0.0,0.0,0.0,0.018707271104294515,0.02206965660242457
2014-12-01,2015-09-01,-1.168464811200683,-0.1418824437944186,-0.07657504636753781,0.6515412196651861,0.659434050948287,1.0538713570694505,0.05134255591046489,-0.6613065813612096,0.1086301941934888,-0.6024055144003829,-0.30916788535855944,0.4217147337147309,0.6533034696949656,0.21504202703930275,0.5464930256355748,0.5539678493822604,0.0,0.0,0.0,0.0,0.021712438425749457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019243207826849452,0.0,0.02844925563419478,0.053239977494309594,-0.01619920239994264,-0.04968980685640872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045240115602961026,0.0,0.021094037614479685,-0.05203501837025381,0.0,-0.017614384640714017,0.0,0.0,0.01021862910151534
