Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_PPI,Shap_real_turnover,Shap_retail_turnover,Shap_Manufacturing_EU,Shap_Vol_loans,Shap_Exchange_Rate_CHF,Shap_gdp_index_ch,Shap_gdp_index_eu,Shap_kofbarometer,Shap_infl_e_next_year,Shap_CH_2int,Shap_Business_Confidence_EU,Shap_M2_change,Shap_fin_spread,Shap_oilprices,Shap_Saron_Rate,Shap_unemployment_rate,Shap_infl_e_current_year,Shap_M3_change,Shap_Wage_change,Shap_M1_change,Shap_EU_fin_spread,Shap_variable_mortgages,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Constant
2012-09-01,2012-12-01,-0.4353856468247485,0.17070833974708322,-0.8925198003713095,-0.5843948325665593,0.8574899875912895,1.3837893703226634,0.3673499205585358,0.3679431918761198,0.36802791655836675,99.99999999999999,0.6843675275210914,-0.295190529919419,0.6948113320214687,0.18793052095145812,-0.016410199667937775,0.0,0.0,0.0,-0.03172973023234549,0.0,0.0,0.0,-0.010854230118381032,0.032056190058935806,0.0,0.0,0.0,0.0,0.0,-0.05472378902134343,-0.02449167259204722,0.0,0.0,0.0,0.0,0.0,-0.010391665267597354,0.0,-0.011733038419261054,-0.0475674829617789,0.0,0.0,-0.010819424674041475,0.18275276593266507,0.17462061671021606
2012-12-01,2013-03-01,-0.5953826692453035,-0.817915395952884,-1.6945908755346295,-1.4264221213871942,-0.19376827327279855,0.22458054983776066,0.049520814455910715,0.18411959828877417,0.17270316869707472,84.47322433273446,9.999999999999575,-5.50758492486327,0.4669213990418667,0.6472096054534033,-0.8460476374144044,0.0,-0.00568594550530218,0.0,0.0,0.0,0.0,-0.00459742796714198,-0.007625836597483306,0.0,0.0,0.0,0.0,0.0,0.0,-0.021116194834003437,-0.012643038201938376,-0.005814720942794823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03499515354963065,-0.0035439466965309363,0.0,-0.010756159232971019,-0.10783493038651376,0.17275528827656955
2013-03-01,2013-06-01,-0.1279526276012355,-0.06171103013627999,-1.3062894259991076,-0.9445670038497944,0.5422106127332958,0.9150393472864948,0.0043879492347091995,0.18880128697619591,0.1719496256880668,84.18598013472145,-9.999997354466855,5.6518252688065544,0.578013446310158,0.5107378848599422,-0.3697914316473927,0.0,-0.012049636627123782,0.0,0.0,0.0,-0.010002636050091341,0.0,-0.017122645969082133,0.0184638824286623,0.0,0.0,0.0,0.0,0.0,-0.08879550101298803,-0.015481603141135437,0.0,0.015003607692053667,0.0,0.0,0.0,0.0,0.0,0.0,-0.044986944224000645,0.14398707914495174,0.0,0.0,0.18927234200937554,0.12979245726049082
2013-06-01,2013-09-01,-0.0553795839522308,-0.23018094318425497,-1.038771619092227,-0.6968809560286893,0.5671026628693454,0.9596152954899695,0.03055551518936316,0.1731845306791397,0.14968527329595865,26.47261253298115,9.999999999999998,-3.6989113488603325,0.34996150568441176,0.56649004028515,0.07352832505844731,0.0,0.025898866157604065,0.0,-0.035823878860547144,0.0,0.0,0.0,-0.009554993839837591,0.0,0.0,0.0,0.0,0.0,0.0,-0.02843609873172922,-0.016521999712550847,0.0,0.027535457025456147,0.0,0.0,0.0,0.0,0.0,0.0,0.026683177776327147,0.0,-0.33379075205327563,-0.00732792054253939,-0.10557989127281106,0.1532087658112013
2013-09-01,2013-12-01,0.0670906503184021,0.5507144026196009,-0.43190972618986745,-0.1509652251892709,1.1874378257528129,1.6067985559553577,0.2338919337898913,0.2764269408481097,0.26725117683092314,99.99999999999196,7.445438976454538,-3.7428307587857805,0.5691204172200102,0.24366314830754923,0.3635958632045799,0.0,-0.008128314224104814,0.0,-0.04737013729577177,0.0,0.0,0.0,0.0,0.020003328647517298,0.0,0.0,0.0,0.0,0.0,-0.029483445782810612,-0.011553052254780613,-0.009425703468232356,0.01715881483946751,0.0,0.0,0.0,0.0,0.0,0.0,-0.05364610778830294,0.0,0.0,-0.011262389543817525,0.18304557965851062,0.1377799666273462
2013-12-01,2014-03-01,0.0027728372861801,-0.07034594075672196,-0.9786470856202101,-0.7515589507493203,0.5338683807794453,0.9498855228720515,0.005346355702487175,0.14897640589753672,0.14774829534955208,89.87418739492882,9.99999999996804,-4.8855285381497024,0.476391180380654,0.5722442280720796,-0.18357431785069878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008313095502334819,0.0,0.0,0.0,-0.006653951514573923,-0.021794575045947267,-0.01716639102935978,0.0,0.012946054393492482,0.0,0.0,-0.011047849005051293,0.0,0.0,0.0,0.10111467693093695,0.0,0.013790708657357523,-0.00985034128020588,-0.08472119995033067,0.12829814943532386
2014-03-01,2014-06-01,0.0495813252518573,-0.008552928809812954,-1.0218012865593984,-0.6853177636127583,0.6729360776207115,1.0457648121739105,0.0033795914953068246,0.17090489249405766,0.16139001966964941,99.99999999939016,8.412383531042003,-4.871866612132586,0.5727953915482792,0.5531304476065357,-0.23906596675997704,0.0,0.0,0.0,-0.014017556542813307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007758915005286748,-0.028684813114525726,-0.02210196357291783,0.0,0.0,0.0,0.0,-0.010949001465186663,0.0,-0.012616404812572953,-0.019070925369612652,-0.0682263810182282,0.11201681465119853,0.0,0.0,0.1448806378480802,0.1570415463520294
2014-06-01,2014-09-01,-0.0876811076678585,-0.12150184766808181,-0.7580087600891795,-0.5488118129170161,0.5787136670103903,0.978138185475963,0.001143842454162705,0.14491567128479804,0.1261856872456454,27.82803517729101,9.999999999993253,-3.258604219583512,0.31463048244202857,0.49245394595147973,0.1784892342625355,0.0,-0.004322844430017695,0.0,0.0,0.0,-0.0030311628236145416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00966394273546325,-0.013120006792484377,0.0,0.0,0.0,0.0,-0.0050546316995352,0.0,-0.004084915239048737,0.0,0.025660047436842234,0.0,-0.3283252723125895,-0.007911910982404062,-0.10140025630206803,0.1512638139497658
2014-09-01,2014-12-01,-0.3289362236455595,0.345536491338283,-0.5222441095659391,-0.21665168280655683,0.9561831630660933,1.4541082022782506,0.4549134432576757,0.4067901396589054,0.4062791866962241,31.172009651948912,9.999999999999998,-3.30421538838851,0.35815154929605375,0.11304857035007344,0.2088241052183193,0.0,0.0,-0.005114614225723057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01722752288566388,-0.02361853894926825,-0.008631029096181289,0.0,0.0,0.0,-0.010245773242370469,0.0,-0.014127279146909585,-0.006626664202903288,-0.037393934870732295,0.0,0.0,-0.007203199756173699,0.127077609127603,0.13982333336828656
2014-12-01,2015-03-01,-0.8784672275139016,-0.4082974877421819,-1.285692659869575,-1.0251110630687954,0.06469188831639272,0.5108954686709395,0.22105958419700664,0.26753571120339387,0.2570732358875027,73.29449187283412,9.999999975180666,-4.663107909662948,0.41942935124209685,0.20918541000523425,-0.5152833787824385,0.0,0.010293855836281673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004585182664008863,0.0,0.0,0.0,0.0,0.008907877218622733,-0.021537412439653836,0.0,0.005614919471853346,0.0,0.0,-0.009481014224605275,0.0,0.0,0.01908809226998156,0.02961150237858168,0.0,0.012697520518967132,0.0,-0.0589616385511448,0.1061670058973635
