Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,CRPS_YoY_timesafe,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Factor_1,SHAP_Shap_Factor_2,SHAP_Shap_Factor_3,SHAP_Shap_Factor_4,SHAP_Shap_Factor_5,SHAP_Shap_Constant
2012-09-01,2013-09-01,-0.0553795839522308,0.4964943384396569,0.366157880314657,0.4135145574913446,0.3045648262162073,0.22616382180897798,-0.0553795839522308,0.4964943384396569,-0.958853948047622,-0.1125489196984297,1.3633448857839348,2.564858959294547,0.24494119818987944,0.015015856145202629,-0.027941193188221657,-0.0018473334117131714,0.0,0.0,0.0015029155667810046,-0.07008838125549684,-0.10547062012205319,-0.13042720756592888,-0.00961429270155559,0.055166821113354816,0.7701977738592878
2012-12-01,2013-12-01,0.0670906503184021,0.2822467594397082,0.21051679211948726,0.24351752152396292,0.04629215129221936,0.4567678785660696,0.0670906503184021,0.2822467594397082,-1.0188088444693657,-0.792608094681313,1.1007326913034632,1.5500249397394583,0.3914915400655058,-0.007031044742716547,-0.007654213660223881,0.0004544298395603441,0.0005059149903700116,0.0,0.0,-0.06024341781473616,-0.07701318278498817,-0.09495090216886885,-0.010033489355119102,-0.1678192806931342,0.7060319458295647
2013-03-01,2014-03-01,0.0027728372861801,0.4529077532855474,0.28937602352028546,0.32135478131611217,0.20262144260175743,0.3082548366824043,0.0027728372861801,0.4529077532855474,-0.9944769528806852,-0.5271239230016711,1.3633448857839348,2.3370752334964,0.21062438074869966,0.008390438277702356,-0.012878107732432932,0.010548897331880816,0.0010654767793207842,0.0,0.006689551279579091,-0.044052931759882646,-0.03432561675266465,-0.16801479499659167,0.03548034464015919,-0.05529219893468149,0.7052966951531585
2013-06-01,2014-06-01,0.0495813252518573,0.1921028933845825,0.20008101972815917,0.2493156837963819,0.020312397383011032,0.5244810032544274,0.0495813252518573,0.1921028933845825,-1.0188088444693657,-0.8874755505987153,1.00407914693714,1.4007278865238246,0.2299083902995269,-0.00093702089320985,0.015466324957362863,-0.0020768156240051298,0.018328809963667345,0.0,0.012497134320102443,-0.0671616861970014,-0.040755257888623234,-0.13979827057247682,-0.06510195320180585,-0.17366435700907995,0.635305985529652
2013-09-01,2014-09-01,-0.0876811076678585,-0.0027760399989418,0.2016431092812513,0.23346327148058568,0.007208870515863324,0.47131219197534646,-0.0876811076678585,-0.0027760399989418,-0.9944769528806852,-0.8874755505987153,1.0759321450727557,1.441815486002529,0.2131194663181314,-0.004346152124494081,-0.018480777576419156,0.0023989394328933922,-0.0003658140360886155,0.0,0.0006513535649513846,-0.15924277726462052,-0.06177906634886389,-0.12524037462206797,-0.11169247795889575,-0.1843331524117249,0.6596542593463883
2013-12-01,2014-12-01,-0.3289362236455595,-0.1125489196984297,0.19847691562307992,0.2210961214163326,0.046823465309507546,0.37945953988227166,-0.3289362236455595,-0.1125489196984297,-1.0188088444693657,-0.792608094681313,0.7177819672507191,1.390055142418145,0.27841717958761725,-0.01596761088806725,-0.01401941080205329,-0.0015270457418584626,-0.0020189378211501892,0.0,0.004333674036840152,-0.12687790541032004,-0.05094741005752165,-0.12435610766315944,-0.11052095503665842,-0.24848773373276026,0.577840523418279
2014-03-01,2015-03-01,-0.8784672275139016,-0.1125489196984297,0.45764476416775773,0.44886503504940956,0.586630854246916,0.09689929764617734,-0.8784672275139016,-0.1125489196984297,-0.9944769528806852,-0.792608094681313,0.4850888531055197,1.3633448857839348,0.188053971669083,-0.002357173782312893,-0.025169619221973527,-0.001363089250991034,0.0009308231550430035,0.0,-0.0010496751730287388,-0.09511188356860924,-0.03050909533785068,-0.1630252627931652,-0.10351032401662257,-0.17624266974799288,0.48485905003907415
2014-06-01,2015-06-01,-1.042713669218287,-0.0027760399989418,0.6813982014647656,0.6730627142092663,1.0814702726663523,0.050334254170093004,-1.042713669218287,-0.0027760399989418,-1.0188088444693657,-0.792608094681313,0.956100706888563,1.4146179432990458,0.49655920908425827,-0.010579059880993868,-0.0286107509974659,-0.0004930000384425481,0.005944754180122218,0.0,0.005267830446932757,-0.12236249323761433,-0.06952291857980537,-0.09009261743121279,-0.11026305477750081,-0.18929148307318183,0.6072267533902207
2014-09-01,2015-09-01,-1.4541319195251925,-0.011438317354262,1.053405020554316,1.0633077983118855,2.0813648297449348,0.002577828486054137,-1.4541319195251925,-0.011438317354262,-0.9944769528806852,-0.792608094681313,0.5371462397939408,1.3741567478289696,0.9455202452988967,0.00720675794527928,-0.011814628062942,0.003164087390704423,-0.0002685983686944171,0.0,0.0022132226880664727,-0.08419446764581576,-0.03719475180990878,-0.15841910080934346,-0.07898743363931773,-0.14350991556706652,0.4903665105247766
2014-12-01,2015-12-01,-1.316989762101528,-1.601356380850124e-06,0.9735305827287721,0.9835428278614543,1.7344578155428858,0.00883181704776137,-1.316989762101528,-1.601356380850124e-06,-0.9944769528806852,-0.7172365744956721,0.5627347946489891,1.390055142418145,1.5060632652619976,0.0031764926836423957,-0.008074222450961867,-0.0002564622788335802,-0.004535995614702885,0.0,0.0048822868633344296,-0.08588941510296348,-0.03486559224140483,-0.07436028643540248,-0.06317931492146973,-0.19340894632682057,0.4565098544692017
