Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_PPI,SHAP_Shap_real_turnover,SHAP_Shap_retail_turnover,SHAP_Shap_Manufacturing_EU,SHAP_Shap_Vol_loans,SHAP_Shap_Exchange_Rate_CHF,SHAP_Shap_gdp_index_ch,SHAP_Shap_gdp_index_eu,SHAP_Shap_CH_2int,SHAP_Shap_infl_e_current_year,SHAP_Shap_infl_e_next_year,SHAP_Shap_M3_change,SHAP_Shap_M1_change,SHAP_Shap_Business_Confidence_EU,SHAP_Shap_unemployment_rate,SHAP_Shap_EU_fin_spread,SHAP_Shap_variable_mortgages,SHAP_Shap_Saron_Rate,SHAP_Shap_M2_change,SHAP_Shap_oilprices,SHAP_Shap_Wage_change,SHAP_Shap_fin_spread,SHAP_Shap_kofbarometer,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_headline_lag_1,SHAP_Shap_core_lag_1,SHAP_Shap_headline_lag_2,SHAP_Shap_core_lag_2,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Linear_Pred,SHAP_Shap_Constant
2012-09-01,2012-12-01,-1.6759017886272431,1.639106112694222,1.8219655794361347,1.8069223341720353,10.989277385823744,0.14600832774853675,99.99999999999999,-9.999999999996973,23.735071962092164,2.2329795982533907,-0.4353856468247485,0.3933663285056177,-0.7868194807550744,-0.46266199652071904,1.0010088743622525,1.3864327094986912,-0.016410199667937775,0.28423425376903405,0.29344404216266445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08977944679996588,0.0,-0.08447711589933415,0.0,0.0,-0.14449995451287803,0.0,0.0,0.10534200472438764,0.0,-0.23873587821860226,0.0,0.42679867436342034,0.43265369102282053,0.4596004905541169,0.0,0.0,-0.10417535823925235,0.1935098126630767,0.0,0.6828691930364325
2012-12-01,2013-03-01,1.0026598726764036,-0.0053706441626388,0.7354773134419583,0.801066694678964,1.016125522878787,0.6345648591397255,87.23551841263938,9.99999999999664,-20.68294711784448,2.070794952375629,-0.5953826692453035,-0.8473902984550641,-1.7825456317661192,-1.4948905735941764,-0.09209338216306184,0.3971550553363734,-0.8460476374144044,0.21297289318927332,0.2223326031988008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0377952210972915,0.0,0.0,0.0,-0.048565827516784066,0.0,0.0,-0.10236576464136384,0.0,0.08193237744413831,0.0,0.0,0.0,0.08629985088353595,0.1536873026973575,-0.1211820789730547,-0.28321258024604196,0.0,0.0,-0.07038747977465587,-0.3158372248484702,0.0,0.6520560019099915
2013-03-01,2013-06-01,0.9673552161846288,0.685241554506888,0.6854041551823264,0.8372590369929396,0.07958811810522284,0.5314893883096077,99.99999999999999,6.965046151734316,-17.348009285127926,2.589768399822499,-0.1279526276012355,-0.1984810430206707,-1.1735206319156255,-0.9629926024934257,0.6476276423827976,1.06727161302409,-0.3697914316473927,0.3370928239942981,0.34395703993923304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13843779615236512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36311687947390403,0.0,0.0,0.0,0.0,-0.21629734291976946,-0.4446306383220251,-0.2689609615132565,0.3474926334877451,0.5245641529167229,0.4027363893204388,0.0,-0.1187647753683696,0.47964580556110625,0.0,0.48101096697056495
2013-06-01,2013-09-01,-0.5156316360427127,-1.1999643277224692,0.6707993438282381,0.7170696732827753,0.4683112329016607,0.5890559965402182,32.58628212213129,9.999999999999092,-17.497221409982927,1.6228656398614953,-0.0553795839522308,-0.22646275687217,-1.1100594092733118,-0.721544442711064,0.5644614898004718,1.1122877087013325,0.07352832505844731,0.2283500106245029,0.2496285931952689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02067177345959426,-0.029508539870871053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02062714246056907,-0.0699663709991931,0.0,-0.14613835848931853,0.0,0.0,0.0,0.0,0.0,0.0,-0.10046193300568051,0.0,-0.22103647218940212,0.0,-0.18437914501124525,0.0,-0.1922548437681754,-0.550253411891223,0.3353336634228031
2013-09-01,2013-12-01,-1.1860208515447113,0.9673552161846288,1.1291245663059997,1.1522033016773547,4.6370284890694755,0.22792311784739724,92.35127916896464,9.999999999999998,-20.05425048290961,2.067095210080569,0.0670906503184021,0.6054346672507371,-0.4201891506182819,-0.08265593364820134,1.2290024860391213,1.67237528391464,0.3635958632045799,0.18590718261479006,0.20543957858619005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06164070092273842,0.0,0.0,-0.051949617450217755,0.0,0.0,-0.08082268618642335,0.0,0.0,0.0,-0.06575185589851067,-0.154028612768405,0.0,0.0,0.0,0.0,-0.2592123809028121,0.0,0.0,0.3361286456592378,0.4334162126037163,-0.0864218296075708,0.0,0.0,0.3300555364739851,0.0,0.6275825051843678
2013-12-01,2014-03-01,0.7453886205475158,0.0834288439847341,0.674631392042988,0.6685557641254589,0.43819074578704775,0.6230835944841087,56.03600906085378,9.99999957761112,-17.865762599874948,1.7733542775795126,0.0027728372861801,-0.16271710685451524,-1.032117555970924,-0.8132334403212482,0.46870504629090703,1.0328027594599831,-0.18357431785069878,0.14448550694200346,0.14995678447636315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07534411258025688,0.0,0.0,-0.06179138901847301,0.0,-0.10598876147731277,0.0,0.0,0.0,0.0,0.13723499338979506,0.0,-0.0516850580736264,0.13495535137929307,-0.18171030119169915,0.0,0.0769398548829906,-0.03865712874052023,-0.22451862190008345,0.0,0.47399401731462726
2014-03-01,2014-06-01,1.1545891680473377,0.9220521518006564,0.6488668089409331,0.6583848015496675,0.05407346392490934,0.591424054446956,49.459319588900286,9.999999999992209,-17.237962923559024,1.7693290944073619,0.0495813252518573,-0.008552928809812954,-0.9958458828342875,-0.729227816876854,0.5668770570323112,1.069713453950083,-0.23906596675997704,0.35842054862254413,0.3670658952968581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06129802304224319,0.0,-0.06733789672305712,0.0,-0.14403711718930692,0.0,0.0,0.0,-0.06123224889617796,-0.18913649295547597,0.0,-0.07896712913884292,0.2829749151800452,0.34419743065432246,0.21524135927480553,0.0,0.0,0.35696813689033735,0.0,0.3246792177462501
2014-06-01,2014-09-01,-1.064681367721576,-0.8667219021559092,0.5327635429069428,0.5924255737230404,0.03918795000704446,0.46831801994974653,26.609096025825448,9.99999999992148,-13.984342323460927,1.2946139920429613,-0.0876811076678585,-0.0381912412764418,-0.6976203664408362,-0.5775733468111,0.588265762436091,1.0438958570970769,0.1784892342625355,0.15318891443673857,0.1675190683287479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01635972999606161,0.0,0.0,-0.02556866510553424,0.0,-0.14608023020146127,0.0,0.0,0.0,0.0,0.0,-0.07560455687556773,-0.0355125957230697,0.0,-0.08492679733629023,0.0,-0.20601976238169029,-0.02345218152368389,-0.15491285683067954,-0.5039380773498097,0.4056535511679388
2014-09-01,2014-12-01,-2.1510413154555152,0.748474157660084,1.7610815728247153,1.7547059754161993,8.407189978836778,0.10800230873922921,57.16783508453864,9.999999999998717,-16.922824653477388,1.746452177450309,-0.3289362236455595,0.3959426446333403,-0.5472384758553162,-0.2101513419384915,1.0147671290106075,1.452026797969097,0.2088241052183193,0.3595015303880612,0.3564450739770459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04654762687185478,0.0,-0.053588726455350996,-0.07594844262679502,0.0,-0.1263837854935447,0.0,0.0,0.0,-0.03114081048906009,-0.11181589429022232,0.0,0.0,0.2859489326707985,0.24407356730595506,0.0,0.0,0.0,0.17259089280333573,-0.07083420977676938,0.5621202608835919
2014-12-01,2015-03-01,-1.4527353949258526,0.07725603334645109,0.8297989722098755,0.8657021530610566,2.340873770586724,0.26142332995269624,14.24364466846405,2.1881075714615923,-4.465324373308345,1.9428819418378238,-0.8784672275139016,-0.4959693704458257,-1.3638266169026636,-1.08326801168106,-0.024350214040413987,0.5985875237976224,-0.5152833787824385,0.6050536036524611,0.6101310127386225,0.0,0.06467628872747432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057395783242942026,0.0,0.06329616732025321,0.0,0.0,0.0,0.10296764126710686,0.058297831647103136,0.0,-0.05067742861043137,0.0,-0.29245880760916193,0.0,0.059672952283041376,0.0,-0.15737863966198573,0.045009307194589086,0.24124650403140416
