Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_PPI,Shap_real_turnover,Shap_retail_turnover,Shap_Manufacturing_EU,Shap_Vol_loans,Shap_Exchange_Rate_CHF,Shap_gdp_index_ch,Shap_gdp_index_eu,Shap_Business_Confidence_EU,Shap_CH_2int,Shap_infl_e_current_year,Shap_oilprices,Shap_M1_change,Shap_EU_fin_spread,Shap_M2_change,Shap_kofbarometer,Shap_fin_spread,Shap_variable_mortgages,Shap_M3_change,Shap_Wage_change,Shap_unemployment_rate,Shap_infl_e_next_year,Shap_Saron_Rate,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_time_index,Shap_Constant
2013-09-01,2014-09-01,-0.0876811076678585,-0.4353856468247485,-1.0208367459182854,-0.958853948047622,0.1390800673278569,0.5627347946489891,0.12089844655030528,0.2195846253962636,0.21749535002329878,14.247989105384328,9.999999999374523,-2.7186241300188336,0.22083623559318472,0.754431065953589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017328840317043605,0.0,-0.2883061466398847,-0.07477194815712533,-0.05095525264574463,-0.05051141347697164,0.0,-0.020566491073316255,-0.12708986806248007,-0.009733914920097009,0.0,-0.04186317360529979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3664224358269008,0.6121638379001152
2013-12-01,2014-12-01,-0.3289362236455595,-0.3760460511540664,-1.0188088444693657,-0.8874755505987153,0.0797176157235846,0.4846008376159005,0.0022193358478812732,0.11717817162518936,0.11201791164512771,33.51745874903288,9.999999999999998,-3.299946556220674,0.2880453073322618,0.5550122373006442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0796949886372753,-0.016076067472936773,0.0,-0.25850595574729485,-0.07563641204195057,-0.03770433497960588,-0.05646233343287078,0.0,-0.031582978636072394,-0.10666148389983297,0.0,0.0,-0.022676152824775926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2980311458949286,0.6069858024134777
2014-03-01,2015-03-01,-0.8784672275139016,-0.2700841168474355,-1.0188088444693657,-0.8874755505987153,0.24353204697189612,0.6985114111487611,0.37013000934420554,0.3576238623055864,0.35806981578956565,23.5116475195495,9.999999999999998,-3.277827800884745,0.2924280959922434,0.1140556633202354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028081844615305274,-0.013519809186949847,0.0,-0.16289259398862455,-0.06755794458204273,-0.01777976835793213,-0.06587775487158047,0.0,-0.006488579001500432,-0.14568217212090306,0.0,0.0,0.0,0.0,-0.0038309557634361997,0.0,0.0,0.0,0.0,0.0,0.0,-0.3483752867497399,0.5647289322368043
2014-06-01,2015-06-01,-1.042713669218287,-0.2555764736385413,-0.9944769528806852,-0.792608094681313,0.2371815978783331,0.6313573106517523,0.6195849646651469,0.5336217154694763,0.5358361916709808,25.312654519843086,9.999993670062953,-3.2321488053841394,0.2922283663740007,0.03892608197838666,0.0,0.0,0.0,0.0,0.0,0.0,0.019754893705944895,0.0,0.0,-0.07915823875670344,-0.021404333720785502,0.0,-0.1939634173236206,-0.07241099223550446,0.0,-0.06929362277857581,0.019639634511415816,0.0,-0.14076639463665006,0.0,0.0,-0.027561899373957956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.281627641129568,0.591215538099464
2014-09-01,2015-09-01,-1.4541319195251925,-0.1279526276012355,-0.9658451806147994,-0.7172365744956721,0.2930145225726654,0.6994749389538581,1.758751514327928,1.0316513244433965,1.0215220157061706,10.891985525826541,1.6271147218822477,-0.9224163439629383,0.4453063762701342,0.003339518175930478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0901631107378503,-0.013085996406961434,0.0,-0.10643978724755465,-0.0679311208710574,0.0,-0.06447731432460724,-0.007027003787044091,0.0,-0.11962224802488208,0.0,0.0,-0.023111564334309068,0.0,-0.008449492455604224,0.0,0.0,0.0,0.0,0.0,0.0,-0.25204032013674516,0.6243953307253802
2014-12-01,2015-12-01,-1.316989762101528,0.0319198081969673,-0.958853948047622,-0.5086755397637255,0.7177819672507191,1.3633448857839348,1.8195570288428717,1.06742669150003,1.0559144639513658,6.867515993950061,1.7759734080968197,-0.9192264407030372,0.5137999329893981,0.006694086588597381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004906380809998436,0.0,-0.011728989233509263,0.0,0.08548292939209792,-0.06483019854859429,0.0,-0.039974778637477046,-0.013836591352492515,0.0,-0.1466164757643511,0.0,0.0,-0.024315374935349132,0.0,-0.0021437586797200536,0.0,0.0,0.0,0.0,0.0,0.0,-0.27937531428201723,0.5341647410483783
2015-03-01,2016-03-01,-0.8644840978884183,-0.0027760399989418,-0.9592035096759809,-0.7167073150330161,0.956100706888563,1.406147598913865,0.7425407770316533,0.5599412749524202,0.5713578374182581,24.89042434975541,9.999999999999998,-4.143868463665035,0.4102853815040694,0.08443889635803871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08079548358039752,-0.03214054927432494,0.0,0.13027762132136803,-0.06347336431117133,0.0,-0.06446024521317305,-0.015440248043499508,0.0,-0.1730103854037294,0.0,0.0,-0.009097543238457906,0.0,-0.020633662253706192,0.0,0.0,0.0,0.0,0.0,0.0,-0.3036596287519681,0.6296574487501183
2015-06-01,2016-06-01,-0.3747694568706272,-0.1279526276012355,-1.1289546816820817,-0.9658451806147994,0.938878004014746,1.3905745172224022,0.060918547210596044,0.2393219968329223,0.20690806959958352,18.941973804892225,9.99999999999962,-4.351745074364214,0.409295111376667,0.40653806889190375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05112859204967583,-0.01731229930618666,0.0,0.20834710812094775,-0.06060575210275877,0.0,-0.06542097771766194,-0.0077110538540793305,0.0,-0.1950203074174274,0.0,0.0,-0.019641724953611946,0.0,-0.018062533866568177,0.0,0.0,0.0,0.0,0.0,0.0,-0.33476550020453666,0.43336900575032344
2015-09-01,2016-09-01,-0.181689804921703,-0.4123045879872222,-1.4124469369917847,-1.042713669218287,0.5674190653795099,1.3741567478289696,0.05318317816835648,0.24065125833547615,0.20044414262614296,24.939747187481636,9.999999999979634,-5.011713113493697,0.46577040287024585,0.5545092123610823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022828160293585587,-0.15679253504858093,-0.05312697744055035,0.0,0.25122454179870624,-0.08145516820174917,0.0,-0.0647265654991145,0.0,0.0,-0.23273287132710166,0.0,0.0,-0.03627239341352343,0.0,-0.03226556820673599,0.0,0.0,0.0,0.0,0.0,0.0,-0.39177359643826787,0.4084447060832811
2015-12-01,2016-12-01,-0.0067578301338855,-0.7549223345884926,-1.4124469369917847,-1.316989762101528,1.0192760776844734,2.258248506046634,0.5597501257258077,0.4006719802579919,0.33367989909155554,7.258102365853181,9.999999999999988,-3.8940761068845915,0.322767025344372,0.6795806055131389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01882845843584333,-0.12322415281332069,-0.07075452891637231,0.0,0.0,0.0,0.0,-0.10094303485413486,0.0,0.0,-0.2738625189532952,-0.013355850174490964,-0.02145893313373877,-0.009101585627232511,0.0,-0.03235787260484852,0.0,0.0,0.0,0.0,0.0,0.0,-0.48436247434364144,0.3933270752684261
2016-03-01,2017-03-01,0.5662310222083633,-0.87147566270116,-1.414531186118455,-1.316989762101528,0.09246411957833761,0.5627347946489891,2.0670005118335313,0.9612816091915386,0.9668833655098512,7.432446474158395,9.999999999999885,-2.9238586964503654,0.19913489913553314,0.9437104888667123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059312996711576575,-0.0750147498999749,0.0,0.0,-0.0944462546314416,0.0,-0.11723330580472034,0.0,0.0,-0.2876461310749485,-0.011100810298971586,-0.012516337995480194,0.0,-0.019473673082290054,-0.044042510955428875,0.0,0.0,0.0,0.0,0.0,0.0,-0.5727301209016267,0.42204122865529936
2016-06-01,2017-06-01,0.197006545721301,-0.8784672275139016,-1.4124469369917847,-1.316989762101528,-0.3526159316805,0.19700353776754978,1.1566438369167642,0.7596496455386428,0.7592644856184507,6.766426018446637,9.999999999999998,-2.4693914053452306,0.14822904223757255,0.9415928152070034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01847933680555505,-0.05923637793468532,-0.08106689509150199,0.0,0.0,-0.08196248708606149,0.0,-0.09957288147784593,0.0,-0.019230754634870673,-0.27822615728154837,0.0,0.0,0.0,-0.026113378186536085,-0.04869881890429321,0.0,0.0,0.0,0.0,0.0,0.0,-0.520467570745575,0.35458743063457165
