Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_Business_Confidence_EU,Shap_oilprices,Shap_infl_e_next_year,Shap_unemployment_rate,Shap_PPI,Shap_M3_change,Shap_Exchange_Rate_CHF,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Constant
2012-09-01,2013-03-01,-0.5559402157513382,-0.24241792742083493,-1.2516348350225748,-0.7525027531352535,0.09116196653451414,0.35822883944325323,0.09829622527999526,0.1900766988327198,0.1809509570705039,5.36760262085762,-1.2728678729902032,0.2142404465268475,0.34761910170173066,0.2424150239119075,-0.4856411618934686,-0.0035397140946630194,-0.009646880908455654,-0.03188678411214155,0.032655227550569633,-0.0022482893818428994,-0.06853183003357609,-0.0006017289887380466,0.0,0.0017517335042085596,0.06055364243500736,-0.0005200532131060843,0.0,0.0,0.2652379117153715
2012-12-01,2013-06-01,-0.2379100909859488,-0.4296192182537517,-1.316196721902152,-0.9644990364238558,-0.054519142154152433,0.1609270096100346,0.03675238947778265,0.13343026750365145,0.13653176635964343,8.68569690989657,-2.3776373474056602,0.43781949549864957,0.353436949339845,0.6830008262405715,-0.5502030487730458,-0.00018417068073511844,-0.013224385774700592,-0.052483618855310527,-0.0023048385225743614,-0.007834759190382488,-0.06309683385893376,0.0,-0.002722118822102512,-0.007377550324738918,-0.0050622659491553375,0.0043465573180097635,0.0,0.0,0.270527815179918
2013-03-01,2013-09-01,-0.0686985256836081,0.0034605140967869374,-0.9664100156500766,-0.5109563580083964,0.4082504788263996,0.5619209064153808,0.005206927022028633,0.10791209461689007,0.10792661774879486,21.697340857438295,-9.99999927972902,2.3886871820750075,0.23518915466827672,0.43619821292639543,-0.07029905385786961,-0.0009163727652409277,-0.008428478200609902,-0.052932184240935806,-0.0028445062800573056,-0.0026165266920785196,-0.08657162718930084,0.0,0.0,0.0009698798343401665,-0.044792043142652165,0.0,-8.740519753125398e-05,0.0008231571969811257,0.271155674631742
2013-06-01,2013-12-01,-0.0163107733018641,0.3860525257417535,-0.58381800400511,-0.12836434636342986,0.7542250617994739,0.933795808460669,0.16189622441726365,0.23885763952375283,0.23010006052146592,9.347597545916745,-2.9955540836158763,1.3899058306633962,0.32734291681339933,0.19943848391087673,0.312292957787097,-0.001956547628705703,-0.006215063137022704,-0.07852983672947426,-0.0026071803762360082,-0.004332700580875136,-0.08834158579753608,-0.001565547125829292,0.0,-0.004779593001033185,-0.00202637830557145,-0.002386926493421645,0.0,0.0,0.266500927130362
2013-09-01,2014-03-01,0.0721983425743033,0.10709385180334148,-0.7708990093879994,-0.3921934785734216,0.4985276987833131,0.7802491661618292,0.001217696564353889,0.09885679820177305,0.10300319731583518,8.068536774859616,-1.537948932603994,0.7186573067512918,0.3793910081745007,0.45906018694250605,0.001600528174261484,-0.0021589805669112515,-0.01566462638551296,-0.06314605091111704,-0.000954242002989742,0.0016239840690900921,-0.11908859286614053,-0.0009849960511204015,0.0018164361990357044,0.0023049258718267265,0.027314939423702996,0.0,0.0,0.0,0.27443052684921637
2013-12-01,2014-06-01,-0.0402056980780329,-0.16516868883202918,-0.878806779862007,-0.6543100280762104,0.23537629249430492,0.5325109001974582,0.015615749058183359,0.10588398786119056,0.10687147364529781,6.017196053087046,-0.6622659579646317,0.11408079837681034,0.3727583446388357,0.6038879588337818,-0.3286037310889611,0.0004255708122507529,-0.02119211194542309,-0.0774653600155562,-0.001286953216862225,-0.003912286686254168,0.025986884887469495,0.0,0.0,-0.011511201545672763,-0.00020418531106897137,0.009289678127603129,0.0,-0.0002117300632239253,0.2435167372136699
2014-03-01,2014-09-01,-0.0019006300588486,0.20727186302043066,-0.47392246045347974,-0.2551084825872074,0.6054937518675807,0.8476649889624711,0.04375313186100113,0.14827395951117886,0.14580098870953356,6.252020303785359,-0.7689103118166578,0.514530173439549,0.3524078395817379,0.27736511504644423,0.07059781440004187,0.005528378473507611,-0.015700687093313546,-0.08690067127196935,-0.003291503125604065,-0.003222901671166142,0.030188429526282506,-0.0006480570001208413,0.0,0.0028124867280227986,-0.023963991140039092,0.0,0.0,0.0016671542063452045,0.23020541098844371
2014-06-01,2014-12-01,0.2551637534921269,0.4465959765101335,-0.2618050157621177,0.020684386964209267,0.8504452294126885,1.0253865595686733,0.03664629600961582,0.14192822206701203,0.14387393024384237,5.797083486869539,-1.4576840708044092,0.9876974336954365,0.32850973561257274,0.2857692928000434,0.28839803301092815,0.01040871509106542,-0.029832539175584323,-0.07180717655599303,-0.002707437440627451,-0.002436937101133066,0.0408413752619513,0.0,-0.0032761704621019814,-0.008689075373751626,0.0,-0.01118614590776627,0.0,-0.0007104737464975752,0.23759380890964393
2014-09-01,2015-03-01,-0.1784907206497266,0.18775796272256784,-0.5708460898849133,-0.1881727214384732,0.528211071659168,0.7722337883753154,0.1341380980719392,0.2120594451077748,0.20845481330571883,4.899089583059958,-0.6969853365811143,0.4224468276456318,0.33921025374271907,0.1940203261101503,-0.07249844445889053,-0.0007626231700108649,-0.01879931613767393,-0.0611088757387525,0.01897890608578786,-0.006948913915950001,0.05056966897517198,0.002928074391213106,0.0,0.00281373855530432,0.03144581090436261,0.0,0.0,0.0004357735701721148,0.24070416366183367
2014-12-01,2015-06-01,-0.3619796751591408,0.17174645922617415,-0.47389158366932804,-0.14890855649838386,0.5016616579487376,0.743832895043628,0.28486358652589133,0.36753887384148076,0.36184935970805293,18.091081553046564,-1.4335712333264872,0.6687380668200545,0.3315045354042495,0.0727107515893602,-0.0332342795188012,-0.0027422232856886466,0.013359277848478924,-0.0774746275286631,0.004723759435435891,-0.005397552109575016,0.04456898065598437,0.0,-0.00047807086830422424,-0.007469122571088887,0.0013212213759843713,0.009805369845268261,0.0,0.0,0.22476372594714342
