Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Factor_1,SHAP_Shap_Factor_2,SHAP_Shap_Factor_3,SHAP_Shap_Factor_4,SHAP_Shap_Factor_5,SHAP_Shap_Constant
2012-09-01,2013-06-01,0.0980377667445964,0.4146336504624296,0.3512276996847614,0.3579976113173804,0.10023295358707576,0.4204951075215988,30.01505351681119,0.4108409115212938,-0.1952851879708528,1.384270159162456,-0.1279526276012355,0.10949428518713944,-1.833149894452024,-0.8282768091520509,1.2306977184406875,1.7808941803719947,-0.2014809526596828,0.23359781306482344,0.25250316948002555,-0.05035893215011992,-0.129737594139787,0.11474229863823025,0.0,-0.013300971991604349,0.1321616190497485,-0.07589853076618608,-0.020760437654860246,-0.24451999104156125,-0.03779748739701315,0.06041424050222468,0.6796894374133582
2012-12-01,2013-09-01,0.4847944842727732,0.2501777564119104,0.2854223930625729,0.28134247911863103,0.055045008992138156,0.5769531337649811,12.874526696709612,-0.611039370577182,0.9519230832581269,1.1005678183504537,-0.0553795839522308,-0.23134212984787797,-1.801599035951841,-1.0064599158249088,0.7997693066346123,1.2715679323372697,-0.4189754471568108,0.2615737606050742,0.2584298798683001,0.0,0.05016959293890754,-0.006223796698952622,-0.01059861988851834,-0.010777892682687475,-0.15419633738640243,-0.08393702307290626,-0.013567755121702874,-0.20829220523429495,-0.048814394550994886,0.034695544836174576,0.7017206432732882
2013-03-01,2013-12-01,-0.244765757134265,-0.021880266223917,0.32598677374851975,0.32092039831532054,0.049677942058346816,0.4069724358054625,67.88111475527046,8.0078815714447,-8.338409093360227,1.0434513969994523,0.0670906503184021,0.23425476850116314,-1.1281062643304722,-0.6046739217993035,1.393699201866005,1.9412083476631814,0.2506649681691009,0.2493144024389522,0.2487117059447172,-0.02815772196152036,-0.23774318471778563,0.0,0.0069690687931163176,-0.012064544724728638,0.09088615382353314,-0.08199561764308218,-0.04449887583952994,-0.28439832738538395,-0.05625485997623432,0.0440306535908901,0.5813469898168084
2013-06-01,2014-03-01,-0.318754622346636,-0.1014066256312654,0.2868147942507869,0.2841581413190354,0.04724015167618474,0.43219809949036825,23.978011924918096,0.2706427170782668,-0.43446667483564444,1.1469097056178656,0.0027728372861801,0.16578383482270814,-1.389830137746184,-0.6274427457892529,0.9296519108929145,1.7499565467173233,0.2418388040461572,0.20001036501813235,0.2016345359973819,-0.009507662028494027,0.03228211951320105,-0.0055706101353680815,-0.058069173667786224,0.0,-0.08481967097422695,-0.09940064191537384,-0.026268830169927284,-0.3440045624594923,-0.10309992246818711,0.049571539620831856,0.5474807890535575
2013-09-01,2014-06-01,0.2379856456833806,-0.0487625572838841,0.3190036042376746,0.32337837021905597,0.08222453190495564,0.5845713983362336,99.99999999822694,7.065367378855433,-8.015628850673256,1.1267134841074424,0.0495813252518573,-0.16547982697359126,-1.7605768508030193,-0.9842467989790825,1.0073093698589553,1.404616434460415,-0.12890790901067817,0.2911511229899152,0.31481242952527916,-0.04373192634462948,-0.19501769631151875,0.09380227048235605,0.0,-0.009387762712893469,0.08314649148224176,-0.10457370063791083,-0.05445561283467567,-0.34395985544249674,-0.09679136208357994,0.01787545621635378,0.6043311409028693
2013-12-01,2014-09-01,0.2784321402910923,0.12609345641857075,0.26370747318643684,0.2545590335868124,0.02320707460401206,0.5712350372602835,6.675596927876682,-0.3669008014905891,0.4714378335333467,0.99354445611028,-0.0876811076678585,-0.20193512057224974,-1.928174154678519,-1.1302808487360316,0.3913078939605795,1.21108890817867,-0.2965052128861778,0.18428965095218558,0.18495376266802266,0.022329357532385925,0.10572695826347095,-0.0006207770902692533,-0.003953401071361349,0.0,-0.08370703001572656,-0.07706745706234566,-0.03224029829068789,-0.2753770986700239,-0.08059383326143522,0.027257085581267833,0.5243399505032958
2014-03-01,2014-12-01,-0.6870445050432512,-0.2010605629687726,0.3380107095550489,0.34306132024298064,0.23618039195425017,0.3000560699055512,8.614562210064685,0.5720669438595459,-0.73332106597413,0.940653896968921,-0.3289362236455595,0.035551732910299505,-1.1831687835003988,-0.6597004822775253,0.6977400268706191,1.542520819736648,0.18634715513687894,0.17434672693974868,0.16827445850114758,-0.05730043265074569,-0.2188361905696433,-0.009822214693058324,0.0,-0.007621515489625013,0.06268866932880461,-0.08944556789314431,-0.06631010869896373,-0.3225372201869071,-0.07035341486997247,-0.0016089391275269094,0.5800863718820096
2014-06-01,2015-03-01,-1.5561526927009812,-0.1014066256312654,0.9714278582015548,1.0019855212734743,2.116286119654806,0.08621867968275526,4.996674110328776,-0.03096844412002228,-0.043712055941819976,0.9270687541852743,-0.8784672275139016,0.2125923227883853,-1.3430216497805068,-0.546875671492973,0.8222923754326317,1.8067138452030564,0.28864729201183437,0.5615671436240666,0.5696678919895718,0.0,0.05443989451129914,-0.00894669073441455,-0.09232176153103044,-0.007119853028519372,-0.09082103789125846,-0.049495895179769864,-0.04241945878811723,-0.3372143126541656,-0.08258739594430607,0.021054078338843984,0.534025807270173
2014-09-01,2015-06-01,-1.0353911030505238,0.2315707534766176,0.783419932672646,0.7982488628676618,1.6051923458947008,0.12246216051098135,9.405478548129729,0.3522173479478687,-0.15413997134899465,1.031236456783608,-1.042713669218287,-0.09249227682293082,-1.6356862805676717,-0.772804770571156,0.9525744118610291,1.2673540015406992,-0.266170341930394,0.5084847973282842,0.516743266160993,-0.008050767872020468,-0.044355097750987865,0.1188109771084073,0.0,-0.0035736458689760164,0.10369379878085257,-0.056245637002801246,-0.03233675214658782,-0.33709337877548357,-0.08129400640600004,-0.006157222404443866,0.5781724858146586
2014-12-01,2015-09-01,-1.221828787548418,0.249481324465961,0.954176529706581,0.9640837545099249,2.1647534457157644,0.07662272479827319,3.8079931940291045,0.002519748617889743,0.20083567648440265,0.8007760172154271,-1.4541319195251925,-0.3506493355144081,-1.4070418786992889,-1.0290047780104672,0.15005277798287853,1.0210841850832544,-0.5377603288638788,1.2185806099495138,1.2371244989004135,0.05908098649553641,0.03488479680409272,0.0,0.00411368213184421,-0.006670660310512475,-0.08172491333963378,-0.0625209959925817,-0.0032801362817786762,-0.2593486167463874,-0.032791921352047164,0.011443601154774339,0.5862955019026546
