Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_PPI,Shap_real_turnover,Shap_retail_turnover,Shap_Manufacturing_EU,Shap_Vol_loans,Shap_Exchange_Rate_CHF,Shap_gdp_index_ch,Shap_gdp_index_eu,Shap_variable_mortgages,Shap_EU_fin_spread,Shap_CH_2int,Shap_infl_e_next_year,Shap_M1_change,Shap_M2_change,Shap_M3_change,Shap_kofbarometer,Shap_fin_spread,Shap_oilprices,Shap_Wage_change,Shap_unemployment_rate,Shap_infl_e_current_year,Shap_Saron_Rate,Shap_Business_Confidence_EU,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Linear_Pred,Shap_Constant
2012-09-01,2013-06-01,-0.2379100909859488,-0.6848787635366449,-1.679593859747186,-1.3771408721070522,0.5848168354656735,0.8397536421565275,0.19978099424173135,0.3092849867965564,0.23455726421265935,99.99999999999999,4.985507619755342,-4.561156322160534,0.8115571471607491,0.620501156272068,-0.455792939879629,0.0,-0.023280917992484995,0.0,0.0,0.0,0.0,0.0,0.0,-0.17027339511714593,-0.19546982229384918,-0.04815673742050122,0.0,0.0,0.0,0.0,0.0,0.0,-0.04988993050896511,0.0,0.0,0.0,-0.15635801188231913,0.0,0.0,-0.020186894904044635,0.0,0.0,-0.04532016356191084,0.17726851188797765,-0.025257054937691432,0.3278385930739188
2012-12-01,2013-09-01,-0.0686985256836081,-0.4169508642835495,-1.3458579053812674,-1.01575804112084,0.6027989411358624,1.1278147908165472,0.12127969134032825,0.2555918642629799,0.22733698425443905,15.364551371327046,2.1212584824364087,-1.8459177987994546,0.6770292316730887,0.66117793348785,-0.09441010889341683,-0.014213123489997195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08735425520216378,0.0,-0.04930963866161757,0.0,0.0,0.0,-0.010333782783610329,0.0,0.0,-0.04481499200794334,0.0,0.0,0.0,-0.09360270712849815,0.0,0.0,0.0,0.0,-0.013761463965215218,-0.04007612821658642,-0.0955272934588291,-0.08830739781287833,0.21476002733720667
2013-03-01,2013-12-01,-0.0163107733018641,-0.5019809387019514,-1.7526273972379158,-1.1770205520547528,0.5830728658117401,1.0831478401142292,0.23587550955974815,0.30009970889350135,0.25484636722377,40.21316352387176,9.999999999999998,-5.63214022192626,0.5198040404018324,0.6788900117942387,0.024111055035547224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18757592608978602,-0.19970580206994315,-0.08572516629291801,0.0,0.0,-0.023027471933589366,-0.02694583277515658,0.0,0.0,-0.08723588065092566,0.0,0.0,0.0,-0.10717873332070219,0.0,0.0,-0.027989932642112924,0.0,0.0,0.0,0.1360441018652807,-0.09399206307094951,0.1772407132433042
2013-06-01,2014-03-01,0.0721983425743033,-0.17596943737503423,-0.9356190171160073,-0.6821110930016694,0.6634113955998215,1.3287916780968523,0.06158724700498282,0.19186853215525965,0.17660515224456302,8.990999854345379,1.2103415596812284,-0.8703747435446391,0.6099464911296439,0.6079505986504155,0.28818190275154976,-0.007746145174117407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13511085826225758,-0.11335096955101477,-0.0462176797093954,0.0,0.0,0.0,-0.011462025326896623,0.0,0.0,-0.057322556238918215,-0.00775431116809383,0.0,0.0,-0.06365665889371894,0.0,0.0,0.0,0.0,0.0,0.0,-0.06953856344441622,-0.11257104056242864,0.16057946820467367
2013-09-01,2014-06-01,-0.0402056980780329,-0.52198166479136,-1.5103822944448453,-1.2079293068047114,0.6069001524905173,1.0033205050199,0.23210808210256087,0.29196200691775875,0.25692764283491437,95.7992243844979,9.999999999999623,-6.9675973814526735,0.6533011285035215,0.675565172420481,-0.2865813745772883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21917276969678715,-0.1506737567633936,-0.05051585000609651,-0.013413244519205308,0.0,-0.017366672094316228,0.0,0.0,0.0,-0.08783000501038865,0.0,0.0,0.0,-0.1109173224743755,0.0,0.0,-0.020141311701561804,0.0,0.0,-0.04929999708522437,0.17825901147864515,0.0,0.30567162765863237
2013-12-01,2014-09-01,-0.0019006300588486,-0.5061736966382568,-1.2658232763792299,-1.012315352264892,0.1816336506977656,0.8226974917398552,0.25429132567740037,0.2797029170777456,0.26671382478617206,7.538391584983544,0.8358886687454908,-0.9194247917187149,0.5428897484660737,0.7683934017355256,-0.042022356511672854,-0.01530987649552415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10012428149771758,-0.09407027362234634,-0.05788582012053215,0.0,0.0,-0.020460363539080883,0.0,0.0,0.0,-0.03590029361084361,0.0,0.0,0.0,-0.07606384371976709,0.0,0.0,0.0,0.0,0.0,-0.03702595125725339,-0.061109705925139805,-0.11808464075922123,0.15188371042084226
2014-03-01,2014-12-01,0.2551637534921269,-0.35153116921486927,-1.1111807489558423,-0.8202179959349427,0.6680451805451959,1.1716569559903967,0.3680787292384481,0.3279055372456066,0.293142071541943,21.97360442080699,4.803005296652243,-2.923848734912988,0.5521219156717722,0.7483398507777355,0.11262017091171472,-0.025648205847332323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14509505676961404,-0.13892474267357302,-0.06330063064694422,0.0,0.0,0.0,0.0,0.0,0.0,-0.04296159304044107,0.0,0.0,0.0,-0.09046887066839554,-0.01920466998953078,0.0,-0.042625339046244604,0.0,0.0,0.0,0.13663894038112065,-0.13823040626237634,0.1056692344367473
2014-06-01,2015-03-01,-0.1784907206497266,-0.14388459718777113,-1.0260011878382436,-0.6193054611568058,0.5863453232002411,1.2348146471778954,0.0011975837810641043,0.14102688720805856,0.15022746110022603,5.810714221779694,0.5786721698556211,-0.45246252037020485,0.5703743574017954,0.4532328256962254,0.17577786209921342,-0.013609805751921472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10688313245308455,0.0,-0.05799006506144654,0.0,0.0,-0.021321465807564388,0.0,0.0,0.0,-0.041295385158003656,-0.013398252883495554,0.0,0.0,-0.06793601590729613,-0.018901092260380864,0.0,0.0,0.0,0.0,0.0,-0.11217603986150806,-0.15748812662715264,0.29133692248486925
2014-09-01,2015-06-01,-0.3619796751591408,-0.12125497918136224,-1.0933536811860332,-0.793291405045693,0.7943953150043153,1.1283643428400625,0.057948379253593925,0.2274329656315061,0.2182436896982983,99.99999999999997,2.7335716038684668,-2.0919649677044565,0.7349050912708092,0.35187979956658005,-0.24827630655810395,-0.02454550962140952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11021700554340139,0.041285078947993124,-0.054977510973189384,0.0,0.0,0.0,0.0,0.0,0.0,-0.03388624903785694,0.0,0.0,0.0,-0.08208882186157546,0.0,0.0,-0.038901923251158405,0.06890064917948467,0.0,0.0,0.2371637537856976,0.0396413791214167,0.08464748663074072
2014-12-01,2015-09-01,-0.6613065813612096,-0.014043796617713156,-0.7553358211946648,-0.4018982561541762,0.7433844061614181,1.3065904509802273,0.41894911251390576,0.48339729545361704,0.4754463790696651,8.183639181134707,1.4489315858724083,-0.7013775831387402,0.5111438702526154,0.08493212208153215,0.21504202703930275,-0.01828170159300549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06729347188776723,0.0,-0.03591540930951266,0.0,0.0,-0.0062361530915189586,0.0,-0.004911946521297755,0.0,0.0,0.0,0.0,0.0,-0.05675695365756531,0.0,0.0,0.0,0.0,-0.005507847197521231,-0.054671042423645615,-0.10316187111123652,-0.12204350672509066,0.24569407986114555
