Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_Business_Confidence_EU,Shap_oilprices,Shap_infl_e_next_year,Shap_unemployment_rate,Shap_PPI,Shap_M3_change,Shap_Exchange_Rate_CHF,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Linear_Pred,Shap_Constant
2013-09-01,2014-03-01,0.0721983425743033,0.08313506256456549,-0.7643931449548447,-0.4855133685931072,0.5364964656418003,0.8627151594606808,0.00011961184414540058,0.09862987519017928,0.10940754801163036,7.355740161670175,-0.7980321140797387,0.4599450198162351,0.4243978904017336,0.4671733648834324,0.001600528174261484,-0.0024685933658276493,-0.006221649495589757,-0.05811816757591848,-0.012175925021986273,-0.004535183241732244,-0.09741996319736532,-0.0013637801436870572,-0.0035534973583265556,0.0,0.01363340593904307,0.0,0.0,0.0,0.09786732853083306,0.1558905593208612
2013-12-01,2014-06-01,-0.0402056980780329,-0.1994297458867589,-0.878806779862007,-0.595465322330746,0.23537629249430492,0.5152662702477607,0.025352297400595466,0.11304424630624246,0.10484119413336188,6.148496943011915,-0.81515887846279,0.16524429300959365,0.36201566319809225,0.6052746787624801,-0.3286037310889611,0.0,-0.004403571267491778,-0.043370580854299394,-0.01242105090774657,-0.010863615268632415,-0.0012652850152203333,0.0031298516160096564,-0.00568975410419755,0.00331207292482614,0.0,0.009093564291611676,0.0,0.0,0.08151937867089269,0.1101329751164501
2014-03-01,2014-09-01,-0.0019006300588486,0.12993687036795262,-0.6204888798019901,-0.3231961923476412,0.4725686306090715,0.7817278727831223,0.017381126518786816,0.1029007115359449,0.10080777716823204,4.99451391460944,-0.6261280475403295,0.3271042119465413,0.33531011576432485,0.3847470706187024,0.07059781440004187,-0.007109996189690395,-0.00709492714971746,-0.03554036643151377,0.0,-0.00776366784130886,0.013712661846551191,0.0,-0.0011495753513690195,-0.0006580390965407024,-0.008398758671712341,0.0019740018218721844,0.0,0.0,-0.07401527695967706,0.185382999991017
2014-06-01,2014-12-01,0.2551637534921269,0.5491598698782241,-0.25612224184259347,0.1727237560313455,0.8523780565941942,1.1495126642973474,0.0864337164501076,0.18452886258385506,0.17438302090796587,4.4776740256712575,-0.7139867087521448,0.792147504205841,0.32169822685595606,0.22411594831465934,0.28839803301092815,-0.011585553333695632,0.0,-0.03562333870981491,-0.014286462339385523,-0.009233443878704657,0.10502484003205323,-0.0046184547123684465,0.0,-0.005128791076894511,-0.0005614160244210298,-0.012502403372837256,0.0,0.0,0.10280576425306624,0.14647109603029843
2014-09-01,2015-03-01,-0.1784907206497266,0.2158995885520376,-0.5581396063523592,-0.08085684470584553,0.5423097186421089,0.7886161868275288,0.1555437159922632,0.257661978089352,0.249239930497453,7.142008567573609,-0.9922918365360462,0.5449837743024352,0.3063721907632234,0.13574022547943645,-0.07249844445889053,-0.010245519439037827,-0.0037210193719384816,-0.037734177875965405,-0.0008043008364931881,-0.006493486286651391,0.09281727280536331,0.0,0.0,0.001356260242424186,0.00324802765587927,0.004442459730328961,0.0,0.0,0.14239867592470043,0.1031338404623182
2014-12-01,2015-06-01,-0.3619796751591408,0.18045269283906148,-0.19266026170550174,-0.0028477577497021504,0.4624496271000922,0.8278803517676181,0.29423287385213714,0.4459319910586053,0.43750528106368664,4.593361446102109,0.3904497651461529,0.12282136041314297,0.2389535209248581,0.024473178059171492,-0.0332342795188012,-0.013559425005503013,0.016261545406190167,-0.045082180336253566,-0.010844994278782018,-0.016397811017228942,0.060309041580493536,0.0,0.001303553812306929,0.0,0.0029470716775069693,0.009582424000672326,0.0,0.0,0.09894509284772046,0.11022265367073983
2015-03-01,2015-09-01,-0.6613065813612096,0.10769469616702662,-0.48742822503013983,-0.17849072064972657,0.5188310393470965,0.9530736831025344,0.5913629648400593,0.6117612093534699,0.6043997368172721,9.853298919795435,0.6919069822505226,-0.10582315981559134,0.35070956626018457,0.017241500214390797,-0.10599227619083607,-0.005780926853489491,0.019144470552187553,-0.049283059914971714,-0.0057297964664899175,-0.01627029896522748,0.10664476299664777,0.0,0.0034404421925443435,-0.004015565283527655,-0.010683446471039764,0.0,0.0,0.0,0.05733620342679348,0.11888418714443558
2015-06-01,2015-12-01,-0.8846061718801757,-0.22625981241182208,-0.9238062428326366,-0.6634904411247787,0.3486574701915046,0.584010123225731,0.4334199290252347,0.455275807453008,0.4527090182431453,11.25556307968188,-0.4986141915233082,0.04561852559690839,0.4576092448060619,0.08477825274894983,-0.32874539564033967,0.003300974399714916,0.017415670649746997,-0.0387165012276881,-0.021640411014669764,-0.004761385401597659,0.13099854449902157,-0.002012183823817279,-0.0026052279042980244,0.0,0.0028057825651096875,-0.02860415729892344,0.0,0.0,0.0,0.04630447778591869
2015-09-01,2016-03-01,-0.4835425102155177,-0.4959752492024627,-1.1503751523626704,-1.0501600600257177,-0.020591915112699866,0.34156509008598235,0.0001545729987175028,0.09771610868279394,0.10839511015986183,15.724445869360226,0.9872769295613176,-0.9489253936874071,0.4416173513278045,0.5194974057147703,-0.5553143051703735,0.0,0.0,-0.058383407105263185,-0.021437894665415604,0.010963766657489275,0.09046934190884372,-0.00825351741144174,-0.003557962709693274,-0.0007963050855920566,0.008760485214526485,-0.004671538790263982,0.0,-0.001875868662746563,0.0,0.04812195661746768
2015-12-01,2016-06-01,-0.2309070414847625,-0.5890950557586372,-1.111721552479672,-1.056993420586405,-0.243567818452739,0.0106606543193144,0.12829865356946146,0.23869768725360807,0.24190157579882088,75.10871348159867,9.999999982333852,-3.510527083090321,0.28656899091212507,0.8482485987806345,-0.555860776239836,-0.009838429820508969,-0.0010800077997363093,-0.054302779962553775,-0.013006458068509613,-0.0016194564063150916,0.03591578921477125,0.0,0.0074620474572701335,-0.0031848537717511878,0.0,0.023787778656163234,0.0,0.004050346849009803,0.0,-0.02141825586664068
