Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Factor_1,Shap_Factor_2,Shap_Factor_3,Shap_Factor_4,Shap_Factor_5,Shap_Constant
2012-09-01,2013-03-01,-0.5953826692453035,-0.2842652843158433,-1.8584610861160478,-1.1670431630173894,0.23885652462629636,0.6789343444132179,0.0967940272053459,0.21490830333326788,0.19522230430810136,28.04173823530005,-9.999999999999998,3.934134757755109,0.42688069878437446,0.38697831145549305,-0.7080446699283094,0.005446428845824397,0.005949838979042716,0.041430413177792724,0.0018377119904846306,0.0,0.004342033362079993,-0.05259760301468042,0.023646283014158238,-0.08369924035943406,-0.03574464494984533,0.025903045980458707,0.4872651185865845
2012-12-01,2013-06-01,-0.1279526276012355,0.2018040094680984,-1.3225126999303782,-0.5143037499748537,0.7264788633691844,0.9602012115355054,0.10873943969127639,0.2149949496715538,0.19938580944699408,22.20198733997621,-9.999999999988935,3.7572137695800283,0.35586885048019584,0.34377302589752073,-0.07807507349086862,-0.008839831257089691,-0.06056606373671767,-0.0013123469485089446,0.06385702544236688,0.0,-0.0005278142178987977,-0.05545649394315973,0.025830701386381515,-0.15654375689240171,-0.03960392683470572,0.011649004485893509,0.5013925854748074
2013-03-01,2013-09-01,-0.0553795839522308,-0.7258473426089651,-1.830739737287157,-1.459658804977071,-0.05594693070003487,0.35754417538989003,0.449527015398185,0.3759392966700356,0.39091275298067496,99.99999999999801,-4.263936003147304,2.1182509397824245,0.6603333573226815,0.8302075254679848,-0.6803233210994186,-0.011498126803432693,-0.030065969365615,-0.09495549803426993,-0.0049809851678772835,0.0,-0.01131028905928012,-0.080113175219449,-0.0402750075126694,-0.22401425872743974,-0.02060489818026022,0.021898485545395807,0.4503957010153511
2013-06-01,2013-12-01,0.0670906503184021,0.18560749297811263,-0.96010769169661,-0.4950055491347527,0.8414134735142298,1.1774328589944538,0.014046241994026583,0.17798125990708527,0.16446311295905072,96.15016839594293,-9.999999999922352,5.549789518384144,0.5340058719353153,0.424308724108156,0.2843299347428996,-0.009798732366555108,0.010311155084367488,-0.0017230280200302172,-0.10366979025301956,0.0,0.0035781190303434407,-0.05997752902018948,0.007814500072399276,-0.2688938231555202,-0.05420663569345903,-0.0415493897251626,0.419392712282039
2013-09-01,2014-03-01,0.0027728372861801,-0.1896468227478465,-1.2658544568696861,-0.8043531072283727,0.5444984438483402,0.8576626401819887,0.03702532556761037,0.1901881706694709,0.16801528952941508,99.9999999985157,-4.9319108941116205,3.0332216367740665,0.6382535467535807,0.5737564379932301,-0.11543804068194774,-0.018964231425861195,-0.04827274056325142,0.03674409920160189,-0.010828157891141646,0.0,-0.003595590023163231,-0.09675615342348519,-0.03463449399269339,-0.26423076318193706,-0.05724773348051977,-0.041811533112504566,0.4653885158270568
2013-12-01,2014-06-01,0.0495813252518573,-0.04975945622112124,-1.3561153357159128,-0.6419242261119784,0.4144611984228773,0.7754225911630108,0.009868590863662076,0.14110177979349411,0.14116653227813186,7.159446574161041,-0.6842283280780016,0.3098969302169496,0.5216078231051471,0.5795183676195487,-0.20569891952817443,-0.0031360154463159658,-0.028369584212281265,-0.002775203871399285,0.10205758678558287,0.0,-0.002699478581480301,-0.06221075869957646,-0.015397466219520857,-0.2038776218985648,-0.03954481858281559,0.0032370310334188246,0.408655793000006
2014-03-01,2014-09-01,-0.0876811076678585,-0.5557427753378974,-1.5441319279262622,-1.0067390540922538,-0.0037383293424396724,0.36564414099133924,0.21908172474205792,0.2719336483832487,0.2710952226719989,67.26199233913896,-9.999999999999998,3.6522048180317777,0.41712185199084645,0.8012067251828503,-0.5705103776082687,-0.004553399336641935,-0.025510320778218132,-0.0395947709976692,-0.0031078880542560754,0.0,-0.0025396133608441285,-0.0844366748413621,-0.027720825626212746,-0.2580175065245986,-0.039568181493980226,0.08068269690169157,0.4191340863824629
2014-06-01,2014-12-01,-0.3289362236455595,0.2907803386677621,-0.9802539973883029,-0.20490874495466826,0.8471265082516055,1.2118976244307689,0.384048617605441,0.39410863788632927,0.38584320878620976,88.11596021726704,-9.999999999994806,5.313463252681164,0.4980075142203912,0.16165725110519727,0.2552472705182218,0.0,-0.012305398172210338,-0.0018646473857577943,-0.14027348140668336,0.0,0.0005512177740235047,-0.0116077996871065,0.006941425044070597,-0.23472426518747252,-0.049187201962999985,0.10888894363681427,0.3691142754968624
2014-09-01,2015-03-01,-0.8784672275139016,0.13486307876364734,-1.059912620089154,-0.487716806423478,0.7182628670888925,0.9522461802437032,1.0268383096205511,0.7029084149033539,0.6902137796557878,8.104651623366482,-0.45036904225651747,0.3753745231659608,0.5327578276365693,0.055167678703851766,-0.08629106977116052,-0.015397645225129616,-0.0045312070945001115,0.044378607623480566,-0.007170552440223864,0.0,-0.015379060598412111,0.007776357491936426,0.01346825153752503,-0.204359995260991,-0.05103907869459772,0.10839146499869592,0.34501700619702436
2014-12-01,2015-06-01,-1.042713669218287,0.05314552647694981,-0.9613885581557244,-0.5398113112118352,0.4782586436408387,0.780140792345918,1.2009073767898113,0.752370105795803,0.7425686244359564,4.858287017526443,-0.9081779260826476,0.42592042304694183,0.4287756287823513,0.04990518207833256,-0.2679524707427383,0.005067099886281196,-0.014907044963737298,-0.0011680961780055066,0.13685051107981075,0.0,0.005841341011973282,-0.004937717837887173,0.0072729251132645795,-0.17991080888667618,-0.04544717408713575,0.020410998682294602,0.39202596339950563
