Feature,MeanAbsSHAP,MeanSHAP,Model,Target,Horizon
Constant,0.19178932869040874,0.19178932869040874,QRF_Default_Lin_Feat_PCA,Core,9
cos_cycle_2,0.15863311924194629,0.017574845110635423,QRF_Default_Lin_Feat_PCA,Core,9
Linear_Pred,0.12350883371984951,-0.07242514315369374,QRF_Default_Lin_Feat_PCA,Core,9
variable_mortgages,0.04683015838517968,-0.045120682960044255,QRF_Default_Lin_Feat_PCA,Core,9
sin_cycle_1,0.04565160218008577,0.03900607793099555,QRF_Default_Lin_Feat_PCA,Core,9
M2_change,0.042276792285781906,-0.0029506906373509318,QRF_Default_Lin_Feat_PCA,Core,9
M1_change,0.04046122451890784,-0.0028239738615137753,QRF_Default_Lin_Feat_PCA,Core,9
Saron_Rate,0.03930024921219925,0.0027429440864886537,QRF_Default_Lin_Feat_PCA,Core,9
oilprices,0.038506974515061854,0.03618642169346213,QRF_Default_Lin_Feat_PCA,Core,9
EU_fin_spread,0.03841099153046502,-0.002680878726894945,QRF_Default_Lin_Feat_PCA,Core,9
CH_2int,0.03837393912705942,0.0026782926702452066,QRF_Default_Lin_Feat_PCA,Core,9
core_1m,0.03233846857903765,-0.023911006888357168,QRF_Default_Lin_Feat_PCA,Core,9
infl_e_current_year,0.031043738929534676,0.029910526686947988,QRF_Default_Lin_Feat_PCA,Core,9
Manufacturing_EU,0.03008749553264642,-0.028758745541614172,QRF_Default_Lin_Feat_PCA,Core,9
Vol_loans,0.029807935185684854,0.02851620803883925,QRF_Default_Lin_Feat_PCA,Core,9
cos_cycle_1,0.02377951323864551,-0.021524809981026048,QRF_Default_Lin_Feat_PCA,Core,9
Exchange_Rate_CHF,0.013919088645983103,-0.0003707398134605985,QRF_Default_Lin_Feat_PCA,Core,9
headline_1m,0.012696473952889129,-0.006164227003909184,QRF_Default_Lin_Feat_PCA,Core,9
sin_cycle_2,0.012428382518392131,-0.003637524946715613,QRF_Default_Lin_Feat_PCA,Core,9
kofbarometer,0.010866245789066595,-0.005247696646431532,QRF_Default_Lin_Feat_PCA,Core,9
gdp_index_ch,0.009348552144003047,-0.004514748394927406,QRF_Default_Lin_Feat_PCA,Core,9
Wage_change,0.009166759438786724,0.004426954230500414,QRF_Default_Lin_Feat_PCA,Core,9
Business_Confidence_EU,0.008610363583427675,-0.00415825087876932,QRF_Default_Lin_Feat_PCA,Core,9
gdp_index_eu,0.00836797330980591,-0.004041191992866664,QRF_Default_Lin_Feat_PCA,Core,9
real_turnover,0.00546433489625174,0.0007847793004442234,QRF_Default_Lin_Feat_PCA,Core,9
retail_turnover,0.004918968594890331,-0.0009737234628054529,QRF_Default_Lin_Feat_PCA,Core,9
infl_e_next_year,0.0035392428682995036,0.0007006029322915268,QRF_Default_Lin_Feat_PCA,Core,9
PPI,0.003432067744894681,0.0006793873196533915,QRF_Default_Lin_Feat_PCA,Core,9
fin_spread,0.003369240948415992,0.0006669505812103466,QRF_Default_Lin_Feat_PCA,Core,9
Constant,0.35000462886149214,0.35000462886149214,QRF_Default_Lin_Feat_PCA,Core,12
M2_change,0.055349981871290796,0.006434682308069688,QRF_Default_Lin_Feat_PCA,Core,12
M1_change,0.05292006221931014,0.006152193308687728,QRF_Default_Lin_Feat_PCA,Core,12
Saron_Rate,0.05261951159018051,-0.00884209979439537,QRF_Default_Lin_Feat_PCA,Core,12
variable_mortgages,0.05196971531896411,0.04838411515680165,QRF_Default_Lin_Feat_PCA,Core,12
CH_2int,0.05104462087717742,-0.005934164886345945,QRF_Default_Lin_Feat_PCA,Core,12
EU_fin_spread,0.05049014256732948,0.005869704309305762,QRF_Default_Lin_Feat_PCA,Core,12
oilprices,0.04009610990912218,-0.03246891926109876,QRF_Default_Lin_Feat_PCA,Core,12
infl_e_current_year,0.03696136181329747,-0.03441124846174051,QRF_Default_Lin_Feat_PCA,Core,12
Manufacturing_EU,0.0359860757454877,0.03381445415506116,QRF_Default_Lin_Feat_PCA,Core,12
Linear_Pred,0.03595899410051945,0.02620750274962483,QRF_Default_Lin_Feat_PCA,Core,12
Vol_loans,0.033979528561180326,-0.03229825102085765,QRF_Default_Lin_Feat_PCA,Core,12
Exchange_Rate_CHF,0.02761880299480735,0.008174763518034471,QRF_Default_Lin_Feat_PCA,Core,12
kofbarometer,0.017476785339295958,-0.007716374907686367,QRF_Default_Lin_Feat_PCA,Core,12
gdp_index_ch,0.014923159812276023,-0.006588894564031943,QRF_Default_Lin_Feat_PCA,Core,12
Wage_change,0.014415062794892986,0.006364558852430032,QRF_Default_Lin_Feat_PCA,Core,12
Business_Confidence_EU,0.013718619469342093,-0.006057064213251552,QRF_Default_Lin_Feat_PCA,Core,12
gdp_index_eu,0.013276224652482717,-0.005861737429874029,QRF_Default_Lin_Feat_PCA,Core,12
core_1m,0.011418406391008662,-0.007437693423203204,QRF_Default_Lin_Feat_PCA,Core,12
retail_turnover,0.009870667117081072,0.0014830663358939625,QRF_Default_Lin_Feat_PCA,Core,12
infl_e_next_year,0.007820184081711814,0.0033429226263348077,QRF_Default_Lin_Feat_PCA,Core,12
PPI,0.006550827745632985,0.0028003062412956317,QRF_Default_Lin_Feat_PCA,Core,12
headline_1m,0.005982663593471578,-0.0012275114503747001,QRF_Default_Lin_Feat_PCA,Core,12
fin_spread,0.005943434807247601,0.0025406617654638026,QRF_Default_Lin_Feat_PCA,Core,12
cos_cycle_1,0.0024047482414379915,-0.0006926071078376683,QRF_Default_Lin_Feat_PCA,Core,12
cos_cycle_2,0.002314809025456649,0.000317713533850449,QRF_Default_Lin_Feat_PCA,Core,12
sin_cycle_1,0.0012609119803945002,-0.0004888929940003553,QRF_Default_Lin_Feat_PCA,Core,12
sin_cycle_2,2.37614250228766e-05,-2.37614250228766e-05,QRF_Default_Lin_Feat_PCA,Core,12
