Factor,Variable,mean,mean_abs
Factor_1,M2_change,-0.32,0.32
Factor_1,M1_change,-0.3086,0.3086
Factor_1,CH_2int,0.3039,0.3039
Factor_1,EU_fin_spread,-0.3035,0.3035
Factor_1,Saron_Rate,0.3028,0.3028
Factor_2,kofbarometer,0.4738,0.4738
Factor_2,gdp_index_eu,0.3563,0.3563
Factor_2,infl_e_current_year,-0.3428,0.3428
Factor_2,gdp_index_ch,0.323,0.323
Factor_2,Business_Confidence_EU,0.2842,0.2842
Factor_3,headline_lag_1,-0.5176,0.5176
Factor_3,core_lag_1,-0.4853,0.4853
Factor_3,headline_lag_2,-0.3896,0.3896
Factor_3,core_lag_2,-0.3363,0.3363
Factor_3,PPI,0.2454,0.2454
Factor_4,core_lag_2,0.538,0.538
Factor_4,headline_lag_2,0.5296,0.5296
Factor_4,core_lag_1,-0.4037,0.4037
Factor_4,headline_lag_1,-0.3728,0.3728
Factor_4,Vol_loans,-0.2459,0.2459
Factor_5,oilprices,0.4712,0.4712
Factor_5,Wage_change,0.458,0.458
Factor_5,fin_spread,-0.2593,0.2593
Factor_5,core_lag_2,-0.2501,0.2501
Factor_5,unemployment_rate,-0.231,0.231
