Feature,MeanAbsSHAP,MeanSHAP
cos_cycle_2,0.5181137695777221,0.05789241928223374
headline_lag_2,0.3240438095992642,-0.2054372731246007
core_lag_1,0.32292899559273264,-0.18702402467068105
core_lag_2,0.2995744523067213,-0.19026718671544285
headline_lag_1,0.2867413538226707,-0.14200613131097176
PPI,0.15950345864417406,0.09665377141629682
cos_cycle_1,0.1550888615201934,-0.10196869064253854
sin_cycle_2,0.13323443943733945,0.002145876213954768
sin_cycle_1,0.12923586898810996,0.07781882691120273
oilprices,0.11127800824429139,0.08486777530569434
fin_spread,0.09549930912874498,-0.07882157155122513
variable_mortgages,0.07672916131725056,-0.06332939090354904
unemployment_rate,0.06898899650617202,-0.05505481398446495
core_1m,0.05407342755663559,-0.003002251811831221
M2_change,0.046390827350640616,-0.009762850827287195
M1_change,0.04471184059433701,-0.009409511639803261
Saron_Rate,0.04358311000186402,0.009171972690234233
EU_fin_spread,0.04342790954539898,-0.009139311084668488
CH_2int,0.042694234660291513,0.008984910767448617
headline_1m,0.04078303156682006,-0.020326950611971255
kofbarometer,0.013337615368849419,0.0004505602447972657
infl_e_current_year,0.010039095594151903,-0.0003391323893631243
gdp_index_eu,0.009549383613949369,0.00032258934597955715
gdp_index_ch,0.008603732893558275,0.0002906441587561174
