Feature,MeanAbsSHAP,MeanSHAP
target_headline_3m_lag3,0.06626029804942983,0.03644260324102215
target_headline_3m_lag2,0.03510213638173547,0.018143939155092177
oilprices_lag2,0.024416312495302375,-0.02440922036002876
kofbarometer_lag2,0.01765068047177134,0.01758573965318909
variable_mortgages_lag2,0.012466203161090494,-0.002295402650476237
oilprices_lag3,0.009467882457596995,-0.009460667642248701
EU_fin_spread_lag2,0.008694597331174926,-0.0032383284146868313
infl_e_next_year_lag2,0.008144693296118794,0.008133045816884878
kofbarometer_lag3,0.008014184357505599,0.007921267672907408
unemployment_rate_lag2,0.007691148470020572,-0.006941670873322317
CH_2int_lag2,0.007259665049789541,0.004599478039526709
variable_mortgages_lag3,0.006136149080380095,0.0010596339234622656
Wage_change_lag2,0.005130298207774501,-0.004885242096139194
cos_cycle_1_lag2,0.004548008989102962,-0.0004867622670773736
unemployment_rate_lag3,0.00433935768771659,-0.0035382082603562124
Business_Confidence_EU_lag2,0.004039418675354913,-0.0022683295413171043
EU_fin_spread_lag3,0.003893131592348267,-0.001719401733857635
Saron_Rate_lag2,0.003084463556141988,0.0015644925334016558
infl_e_current_year_lag2,0.00249925979525426,0.002244373328924833
infl_e_next_year_lag3,0.002273984464521896,0.002271806237167846
CH_2int_lag3,0.0022316513475731763,0.0011402152561813144
M1_change_lag2,0.0021226259460804865,-0.0016292473479342208
sin_cycle_1_lag2,0.0019895082464629595,8.965010157685771e-05
Wage_change_lag3,0.0018888043592055295,-0.0017740730446251505
infl_e_current_year_lag3,0.0015064597908904431,0.0014647407767078972
Business_Confidence_EU_lag3,0.0014989779422365833,-0.0007158126370590757
sin_cycle_1_lag3,0.001419656304804235,-1.2642716576236994e-05
Saron_Rate_lag3,0.0013636258373685962,0.0005223666685103806
cos_cycle_2_lag2,0.0012789288583699284,-0.00010406874856943351
M3_change_lag2,0.0010251367981528084,0.000565008111850018
cos_cycle_1_lag3,0.0008807557474462656,-0.00016901489397323628
fin_spread_lag2,0.00079346529007309,0.0004801737773141661
sin_cycle_2_lag2,0.0006997141936207035,6.0740388021155806e-05
M2_change_lag2,0.0005794170359783357,-0.00017416183559371663
M1_change_lag3,0.0004644465739442355,-0.0003424526972501114
fin_spread_lag3,0.0004030450395973034,0.00016834732429198845
M3_change_lag3,0.0003484193167424152,0.00022270711731245944
headline_1m_lag2,0.00034173415750264743,-0.0001572669602771418
core_1m_lag2,0.0003290881365900767,-8.99130170330663e-06
cos_cycle_2_lag3,0.00027718003900850235,2.0916948597871996e-05
Manufacturing_EU_lag2,0.000266169308859424,-0.00013561730291601322
M2_change_lag3,0.00024328451149705537,0.00018420802261610462
PPI_lag2,0.00018231721978829993,-6.77469625566905e-05
PPI_lag3,0.00013811500261323262,7.404627046096439e-05
Manufacturing_EU_lag3,0.00012675381081774984,-5.1547371733147336e-05
gdp_index_ch_lag2,0.0001191078320969413,6.959105361041977e-05
gdp_index_eu_lag2,0.00011791483103799695,-3.53415003651358e-05
headline_1m_lag3,9.165277507257499e-05,1.140996616143039e-05
Exchange_Rate_CHF_lag2,8.893257750556257e-05,1.3461163433072398e-06
Vol_loans_lag2,8.61651457532875e-05,8.145638028863008e-05
core_1m_lag3,8.007356450899343e-05,2.45627700694524e-05
gdp_index_ch_lag3,6.38848718880402e-05,4.3774206281254534e-05
real_turnover_lag3,4.174141818586585e-05,9.87756423500787e-06
Vol_loans_lag3,3.4814925512288236e-05,2.611942234577591e-05
gdp_index_eu_lag3,3.067049526406115e-05,-9.561782016729303e-06
real_turnover_lag2,2.8803372336947026e-05,-1.5334363342212e-06
Exchange_Rate_CHF_lag3,2.796675902798562e-05,1.7303355201069038e-05
retail_turnover_lag2,2.349329738402712e-05,8.25264950580054e-06
retail_turnover_lag3,2.165032304725473e-05,1.3927175598993596e-06
sin_cycle_2_lag3,3.356971751661723e-19,3.206733389266524e-20
