Factor,Variable,mean,mean_abs
Factor_1,M2_change,-0.3288,0.3288
Factor_1,M1_change,-0.3169,0.3169
Factor_1,Saron_Rate,0.3089,0.3089
Factor_1,EU_fin_spread,-0.3078,0.3078
Factor_1,CH_2int,0.3026,0.3026
Factor_2,kofbarometer,0.4739,0.4739
Factor_2,infl_e_current_year,-0.3567,0.3567
Factor_2,gdp_index_eu,0.3393,0.3393
Factor_2,gdp_index_ch,0.3057,0.3057
Factor_2,unemployment_rate,0.3003,0.3003
Factor_3,headline_lag_1,-0.4665,0.4665
Factor_3,core_lag_1,-0.4539,0.4539
Factor_3,headline_lag_2,-0.4242,0.4242
Factor_3,core_lag_2,-0.3915,0.3915
Factor_3,PPI,0.2175,0.2175
Factor_4,oilprices,-0.496,0.496
Factor_4,fin_spread,0.4055,0.4055
Factor_4,variable_mortgages,0.3258,0.3258
Factor_4,unemployment_rate,0.2847,0.2847
Factor_4,headline_lag_1,-0.2731,0.2731
Factor_5,headline_lag_2,-0.4506,0.4506
Factor_5,core_lag_2,-0.4336,0.4336
Factor_5,core_lag_1,0.3908,0.3908
Factor_5,headline_lag_1,0.3251,0.3251
Factor_5,oilprices,-0.3073,0.3073
