Feature,MeanAbsSHAP,MeanSHAP
kofbarometer,0.08658647916195832,-0.01274034639697443
variable_mortgages,0.05162759050300902,-0.03640706520961524
core_lag_2,0.050179144914664985,-0.032100443854048914
Business_Confidence_EU,0.034055826110361447,0.009076288093762153
M2_change,0.030850917172745865,-0.0033633675190408515
core_lag_1,0.02712530183019984,-0.027036085938971232
EU_fin_spread,0.02104716522530552,0.011345684817413727
oilprices,0.020413222081344096,0.004586416902242419
headline_lag_2,0.017418509658499438,0.004283308103278515
infl_e_current_year,0.016377535110797085,0.012955886933514434
Saron_Rate,0.015448863592780826,-0.0023172542495918645
PPI,0.013844154613967081,0.0046611900886465345
Wage_change,0.013731561631254654,-0.00812226046803642
CH_2int,0.012931304237843213,0.0006186665831287037
core_1m,0.01049752428355488,-0.008698071043193728
M1_change,0.01042878073514548,-0.0016073333161224547
sin_cycle_1,0.0063818293802455316,0.00578587995956024
infl_e_next_year,0.00623072169243626,0.005421799294944785
headline_lag_1,0.005915223319900731,-0.005598092431113419
fin_spread,0.005568327959083336,-0.005366052176305169
M3_change,0.00486987469536376,0.00486987469536376
cos_cycle_2,0.003620523085420642,0.0010977905717110168
gdp_index_ch,0.003560907319680833,-0.0007537512877096709
unemployment_rate,0.0031640818607810103,-0.0026712099151736733
headline_1m,0.002164764092111025,-0.002164764092111025
Manufacturing_EU,0.002063568321552704,-0.002063568321552704
Vol_loans,0.0013868245431332624,0.0013868245431332624
cos_cycle_1,0.0009964902090632292,-0.0009964902090632292
gdp_index_eu,0.0005603218772189042,0.00010489583372995833
real_turnover,0.00024580521086305833,0.00024580521086305833
Exchange_Rate_CHF,0.0001884437352459604,-0.0001884437352459604
retail_turnover,0.0,0.0
sin_cycle_2,0.0,0.0
