Feature,MeanAbsSHAP,MeanSHAP
Business_Confidence_EU,0.11929894384522259,0.0405480148528144
M1_change,0.08106994115114942,0.011548731323521308
M2_change,0.06431759805849047,-0.01973575089234031
kofbarometer,0.039730405440937734,-0.013359898778641683
unemployment_rate,0.02622390434163599,-0.020263377019653712
oilprices,0.024777239561052895,0.004152009006345112
core_lag_2,0.016111378411660854,-0.011375502545683836
Wage_change,0.015152245170715799,0.0005896937133193772
core_1m,0.013896478423084566,-0.011060087138550058
variable_mortgages,0.013166960383483806,0.01140006869528185
Saron_Rate,0.012470190004080839,0.002443574612764161
infl_e_next_year,0.011384558117763406,0.0003939136179184521
M3_change,0.009516587737579477,0.005524735723296776
gdp_index_eu,0.008281383645324344,0.0008111069737654644
core_lag_1,0.008141442787546395,-0.0067970439666840245
CH_2int,0.007941578011785477,0.006920957492519249
fin_spread,0.0072576841244139725,-0.0036025696461514725
EU_fin_spread,0.006997492043005946,-0.006997492043005946
PPI,0.005600079167943336,0.004532684478591585
headline_1m,0.005290276892531337,-0.003786122036487829
infl_e_current_year,0.005009364826149829,0.0042313042353184374
Vol_loans,0.004347413190623292,0.004347413190623292
headline_lag_2,0.0021981630144240565,-0.0008548079654926271
real_turnover,0.0014948030603067792,0.0014948030603067792
Exchange_Rate_CHF,0.0014619462148078518,-0.0003690410004289645
headline_lag_1,0.0014166867352776126,-0.0014166867352776126
cos_cycle_1,0.001266575031848323,-0.00034311346408317703
gdp_index_ch,0.0007454345448557354,0.0007454345448557354
Manufacturing_EU,0.0005988940680536291,3.671906350422501e-05
sin_cycle_1,0.0005733540910930001,2.205033677008327e-06
retail_turnover,3.146777375664167e-05,3.146777375664167e-05
sin_cycle_2,0.0,0.0
cos_cycle_2,0.0,0.0
