Feature,MeanAbsSHAP,MeanSHAP
target_core_3m_lag2,0.009980789836305121,0.002597914173883138
target_core_3m_lag3,0.008611522558031843,0.0021260357047922437
sin_cycle_1_lag2,0.00032252048199126707,8.57540589482441e-06
M2_change_lag2,0.0003053509864788984,9.957070870947824e-05
M1_change_lag2,0.00029190450092675093,9.51859968357159e-05
Saron_Rate_lag2,0.0002886669882921564,-9.524704991243893e-05
EU_fin_spread_lag2,0.00028139665128997345,9.175953325224595e-05
CH_2int_lag2,0.00028139665128997345,-9.175953325224595e-05
cos_cycle_2_lag2,0.0002692652029495256,-4.003756737639554e-06
cos_cycle_1_lag2,0.00023109513472690136,-2.788440908317616e-05
kofbarometer_lag2,0.00018555678196745584,-0.00015613863141910193
sin_cycle_2_lag3,0.00014164513784836478,-6.934511764509425e-06
Wage_change_lag2,0.00013797002159110744,0.00010198335609827426
gdp_index_ch_lag2,0.00013598348928429976,-0.00010178529748370781
Business_Confidence_EU_lag2,0.00012948293407501145,-9.691955275786576e-05
gdp_index_eu_lag2,0.00012091032689276249,-9.050285190066162e-05
sin_cycle_2_lag2,0.00011025495489139605,-6.923921971406126e-06
sin_cycle_1_lag3,0.00010788101812313845,-2.310813404481607e-06
oilprices_lag2,0.00010219994492618842,5.982138434218506e-05
variable_mortgages_lag2,9.320731965218012e-05,-6.242637021945209e-05
M2_change_lag3,8.302502651012031e-05,3.7841945861746205e-05
fin_spread_lag2,8.105269972573274e-05,-5.4285713388672963e-05
M1_change_lag3,7.936892298051163e-05,3.617553179784313e-05
Saron_Rate_lag3,7.756526629974016e-05,-3.3078946921342414e-05
CH_2int_lag3,7.651183545406246e-05,-3.487330093995859e-05
EU_fin_spread_lag3,7.651183545406246e-05,3.487330093995859e-05
headline_1m_lag2,7.528809131944539e-05,-5.042504572589275e-05
Vol_loans_lag2,6.498949597117924e-05,5.053922065659068e-05
core_1m_lag2,6.168907847166528e-05,-5.123935089059533e-05
kofbarometer_lag3,5.5567670239883374e-05,-2.533409908728146e-05
cos_cycle_1_lag3,5.0908466129646344e-05,2.858043469633757e-05
oilprices_lag3,4.8974774533874465e-05,9.406141466631855e-06
variable_mortgages_lag3,4.341191039740006e-05,-9.873149056485635e-06
fin_spread_lag3,3.775081775864136e-05,-8.585649590708018e-06
Wage_change_lag3,3.747481368858777e-05,1.9848981205102327e-05
gdp_index_ch_lag3,3.617961702596865e-05,-1.6646904033649013e-05
Business_Confidence_EU_lag3,3.445008648394444e-05,-1.5851115373540306e-05
gdp_index_eu_lag3,3.2169268081650035e-05,-1.4801669078021946e-05
Vol_loans_lag3,2.742892316919122e-05,8.053349959179971e-06
Exchange_Rate_CHF_lag2,2.731669465372995e-05,-1.8535203206317768e-05
cos_cycle_2_lag3,2.6641562418242306e-05,2.20822768858957e-06
core_1m_lag3,2.2797611903171276e-05,-7.3765441408978e-06
headline_1m_lag3,1.926538333686948e-05,-1.7056414084284412e-06
Manufacturing_EU_lag2,1.7467472903015555e-05,-1.384076395135255e-05
real_turnover_lag2,1.365523542651501e-05,1.0820047713136158e-05
Exchange_Rate_CHF_lag3,1.3368944483154834e-05,-6.852126794511522e-06
retail_turnover_lag2,1.0996942390540027e-05,-2.0857307681751876e-06
retail_turnover_lag3,1.0268535293765028e-05,3.964773823703687e-06
infl_e_current_year_lag2,6.773387265644617e-06,1.2846718408631423e-06
infl_e_current_year_lag3,6.324736797333973e-06,-2.4420377569439016e-06
Manufacturing_EU_lag3,5.563245280344986e-06,-2.250616240136023e-06
real_turnover_lag3,4.3490792549301395e-06,1.7594242043157717e-06
