Feature,MeanAbsSHAP,MeanSHAP
core_lag_2,0.23984062932656022,0.037168523259759674
cos_cycle_2,0.1989132562251825,0.07080967533323791
sin_cycle_1,0.16084171266900696,0.13998256873510412
headline_lag_2,0.11388855138107729,0.07088444909297122
unemployment_rate,0.11333150531773122,-0.054190734657277674
cos_cycle_1,0.11242557910013366,-0.030969001121018615
Saron_Rate,0.10260502420690294,-0.04842417197030638
core_lag_1,0.08673236900057113,-0.010197433922037667
core_1m,0.058317223311293846,-0.012843705652219276
headline_lag_1,0.05664122150168896,0.01357792947667569
kofbarometer,0.050542171255157003,-0.0283299304965672
CH_2int,0.04800114722044104,-0.0334112285873602
oilprices,0.04422442580602774,-0.01795912110745868
variable_mortgages,0.044007275290062306,-0.04263144924031487
Business_Confidence_EU,0.038682752394471505,-0.0020846663034106124
M1_change,0.027576683043494764,-0.007738896004725143
M3_change,0.025306553959033334,0.023416784787864433
headline_1m,0.02324493471197932,0.00946298261962278
M2_change,0.01616213034012982,0.013131760563248582
PPI,0.008255060268377547,0.008255060268377547
real_turnover,0.007966457867474441,0.007966457867474441
fin_spread,0.00770590815021717,-0.00770590815021717
Manufacturing_EU,0.00592880796042737,-0.00592880796042737
sin_cycle_2,0.004774684851159924,-0.004774684851159924
gdp_index_eu,0.004680598477027028,-0.0006879696933505242
infl_e_current_year,0.00297138742201303,-8.533152436993784e-05
infl_e_next_year,0.00219961268492954,0.00219961268492954
Wage_change,0.000933568060913908,0.000933568060913908
Exchange_Rate_CHF,0.0,0.0
Vol_loans,0.0,0.0
retail_turnover,0.0,0.0
gdp_index_ch,0.0,0.0
EU_fin_spread,0.0,0.0
