Feature,MeanAbsSHAP,MeanSHAP
oilprices,0.1289367132207443,0.009644044921120393
core_1m,0.0972346353016438,-0.02686319878476413
Wage_change,0.09718313571470584,0.007268981060525228
headline_lag_1,0.07957989916866003,-0.029756349179222152
core_lag_1,0.07517791850013687,-0.027531852245280052
unemployment_rate,0.07467432914499562,-0.006760526177299252
headline_lag_2,0.06882311484559868,-0.03473691305085063
fin_spread,0.06233109658592725,-0.004662162393020139
core_lag_2,0.06191600601512184,-0.03197832889466304
variable_mortgages,0.06149428578270542,-0.004599571678745194
M2_change,0.048732841279285934,-0.015508283511611065
M1_change,0.047005259051444426,-0.014958513905003403
cos_cycle_2,0.04642443103097902,0.0021487540761999896
Saron_Rate,0.045548080998395496,0.01449479519334302
EU_fin_spread,0.045427901365154344,-0.014456550351144225
CH_2int,0.0449321603780346,0.014298790377074202
PPI,0.043557445980254766,0.018839479058412205
sin_cycle_1,0.029234743745488807,0.012902961072321077
cos_cycle_1,0.02837323361155582,-0.02088233127535159
sin_cycle_2,0.025876542053591772,0.0018129215270621328
kofbarometer,0.023125611116993638,-0.002388681042358778
headline_1m,0.018543678385563755,-0.0056459244799962225
infl_e_current_year,0.017177766598122503,0.0017743187505582035
gdp_index_eu,0.016962371405669554,-0.0017520702395794167
gdp_index_ch,0.01533711677170641,-0.001584195111284939
Vol_loans,0.003999893933984791,0.0026574520635965575
