Date,Target,Horizon,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
2017-03-01,Headline,12,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, Business_Confidence_EU, gdp_index_ch, gdp_index_eu, variable_mortgages","kofbarometer, fin_spread, Manufacturing_EU, unemployment_rate, M3_change","oilprices, M3_change, fin_spread, unemployment_rate, gdp_index_eu","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Vol_loans"
2017-06-01,Headline,12,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, Business_Confidence_EU, gdp_index_ch, fin_spread, infl_e_current_year","kofbarometer, fin_spread, Manufacturing_EU, M3_change, unemployment_rate","oilprices, M3_change, fin_spread, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Vol_loans"
2017-09-01,Headline,12,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_ch, infl_e_current_year","kofbarometer, M3_change, fin_spread, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Vol_loans"
2017-12-01,Headline,12,"Saron_Rate, CH_2int, M2_change, EU_fin_spread, M1_change","Wage_change, Business_Confidence_EU, fin_spread, infl_e_current_year, gdp_index_ch","kofbarometer, M3_change, fin_spread, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, oilprices"
2018-03-01,Headline,12,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_ch, gdp_index_eu","kofbarometer, M3_change, Manufacturing_EU, fin_spread, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Vol_loans"
2018-06-01,Headline,12,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, variable_mortgages","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_eu, M1_change","kofbarometer, M3_change, Manufacturing_EU, gdp_index_ch, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Vol_loans"
2018-09-01,Headline,12,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, variable_mortgages","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_eu, M1_change","kofbarometer, M3_change, gdp_index_ch, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Vol_loans"
2018-12-01,Headline,12,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, variable_mortgages","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_eu, M1_change","kofbarometer, M3_change, gdp_index_ch, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, real_turnover, PPI, Vol_loans, retail_turnover"
2019-03-01,Headline,12,"Saron_Rate, CH_2int, EU_fin_spread, variable_mortgages, M2_change","Business_Confidence_EU, Wage_change, fin_spread, gdp_index_eu, M1_change","kofbarometer, M3_change, gdp_index_ch, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, real_turnover, PPI, Vol_loans, retail_turnover"
2019-06-01,Headline,12,"Saron_Rate, CH_2int, EU_fin_spread, variable_mortgages, M2_change","Business_Confidence_EU, Wage_change, fin_spread, gdp_index_eu, M1_change","kofbarometer, M3_change, gdp_index_ch, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, PPI, real_turnover, retail_turnover, Vol_loans"
