Date,Target,Horizon,Factor_1,Factor_2,Factor_3
2019-09-01,Headline,6,"PPI, Business_Confidence_EU, unemployment_rate, infl_e_next_year, M3_change","M3_change, oilprices, infl_e_next_year, Business_Confidence_EU, PPI","Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices, Exchange_Rate_CHF","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
2019-12-01,Headline,6,"Business_Confidence_EU, PPI, unemployment_rate, infl_e_next_year, M3_change","M3_change, oilprices, infl_e_next_year, Business_Confidence_EU, PPI","unemployment_rate, infl_e_next_year, Business_Confidence_EU, oilprices, PPI","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
2020-03-01,Headline,6,"Business_Confidence_EU, PPI, unemployment_rate, M3_change, infl_e_next_year","M3_change, oilprices, infl_e_next_year, Business_Confidence_EU, PPI","Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices, Exchange_Rate_CHF","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
2020-06-01,Headline,6,"Business_Confidence_EU, PPI, unemployment_rate, M3_change, infl_e_next_year","M3_change, oilprices, infl_e_next_year, PPI, Business_Confidence_EU","Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices, Exchange_Rate_CHF","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
2020-09-01,Headline,6,"Business_Confidence_EU, PPI, unemployment_rate, M3_change, infl_e_next_year","M3_change, oilprices, infl_e_next_year, PPI, Business_Confidence_EU","Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices, Exchange_Rate_CHF","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
2020-12-01,Headline,6,"PPI, Business_Confidence_EU, unemployment_rate, infl_e_next_year, M3_change","M3_change, oilprices, infl_e_next_year, PPI, Business_Confidence_EU","Business_Confidence_EU, infl_e_next_year, unemployment_rate, Exchange_Rate_CHF, oilprices","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
2021-03-01,Headline,6,"PPI, Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices","M3_change, oilprices, unemployment_rate, infl_e_next_year, Business_Confidence_EU","Business_Confidence_EU, infl_e_next_year, unemployment_rate, Exchange_Rate_CHF, oilprices","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
2021-06-01,Headline,6,"PPI, Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices","M3_change, oilprices, unemployment_rate, infl_e_next_year, Business_Confidence_EU","Business_Confidence_EU, infl_e_next_year, unemployment_rate, Exchange_Rate_CHF, oilprices","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
2021-09-01,Headline,6,"PPI, Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices","M3_change, oilprices, unemployment_rate, infl_e_next_year, Business_Confidence_EU","Business_Confidence_EU, infl_e_next_year, unemployment_rate, Exchange_Rate_CHF, PPI","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
2021-12-01,Headline,6,"PPI, Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices","M3_change, oilprices, unemployment_rate, infl_e_next_year, Business_Confidence_EU","Business_Confidence_EU, infl_e_next_year, unemployment_rate, Exchange_Rate_CHF, PPI","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
2022-03-01,Headline,6,"PPI, Business_Confidence_EU, unemployment_rate, infl_e_next_year, oilprices","M3_change, oilprices, unemployment_rate, infl_e_next_year, Business_Confidence_EU","Business_Confidence_EU, infl_e_next_year, unemployment_rate, Exchange_Rate_CHF, PPI","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2022-06-01,Headline,6,"PPI, Business_Confidence_EU, unemployment_rate, infl_e_next_year, oilprices","M3_change, oilprices, infl_e_next_year, unemployment_rate, PPI","infl_e_next_year, Business_Confidence_EU, unemployment_rate, Exchange_Rate_CHF, PPI","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
2022-09-01,Headline,6,"PPI, Business_Confidence_EU, unemployment_rate, infl_e_next_year, oilprices","M3_change, oilprices, infl_e_next_year, PPI, unemployment_rate","infl_e_next_year, Business_Confidence_EU, unemployment_rate, Exchange_Rate_CHF, PPI","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
