,Variable,Distribution,Log-Likelihood,KS-Stat,P-Value
0,Headline,nct,-172.6044502429828,0.05936286068713453,0.7054465649381474
1,Headline,skewnorm,-173.72805435573025,0.090999488441877,0.20091457779672828
2,Headline,norm,-174.3134466501393,0.08650596084672674,0.24981918935292757
3,Headline,beta,-173.8688123550135,0.09264587661299889,0.18496817575860525
4,Core,nct,-121.68511705736543,0.10233510954964603,0.11026142218886048
5,Core,skewnorm,-124.70577581178459,0.08498234793460963,0.268260918417211
6,Core,norm,-129.51752097720293,0.10319052485725888,0.10507618074955571
7,Core,beta,-126.54132789437605,0.1096127412153507,0.07225434610515613
