,Variable,Distribution,Log-Likelihood,KS-Stat,P-Value
0,Headline,nct,-168.50792841499793,0.052708281269335716,0.8280530088974206
1,Headline,skewnorm,-170.34455373190568,0.08888576832400277,0.22291671235242183
2,Headline,norm,-171.01499761352255,0.08712182993031026,0.24263651906796213
3,Headline,beta,-170.55006794469796,0.09107198952244919,0.20019069876580853
4,Core,nct,-114.865224570523,0.05724568614173997,0.753997416572404
5,Core,skewnorm,-117.50513988882085,0.07841285709258494,0.36773184712482465
6,Core,norm,-121.17700948086727,0.09224049134536333,0.19533168311659366
7,Core,beta,-117.42583519943166,0.08902580807550897,0.22851907393661552
