Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,RMSE,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect
2012-09-01,2013-03-01,-0.5559402157513382,-0.5011756201564066,-1.324320043249208,-0.9956432909043499,-0.02181079259557387,0.24435351696749963,0.002999160930676405,0.1168965933781174,0.1141684185933728,99.99999999732907,-4.453961042367948,1.5263568814897093,0.45481632516458775,0.45734916926971775,-0.4856411618934686
2012-12-01,2013-06-01,-0.2379100909859488,-0.7447816375085814,-1.585560418841381,-1.2609262587674532,-0.2540935357151568,0.0609364461412206,0.25691876467424524,0.3068275775859065,0.3041491201972753,99.99999999999999,-2.478533051669626,0.4743043451388106,0.48868777610179687,0.8459897697333352,-0.5502030487730458
2013-03-01,2013-09-01,-0.0686985256836081,-0.058499823899419504,-0.8560419702601084,-0.5508829882248684,0.4504602566737264,0.7894056287682956,0.0001040135180828116,0.11826328316392705,0.11697008954561172,99.99999999999999,0.27935866917741264,-0.1877673897986245,0.4968083118643886,0.4839334541833007,-0.07029905385786961
2013-06-01,2013-12-01,-0.0163107733018641,0.4425474672627503,-0.35988634487131904,-0.04570145106645769,0.9149809016664774,1.2156754329190644,0.21055088493405352,0.2733616771337915,0.26983932679214606,99.99999999999999,0.6668522405328804,0.1150419644997624,0.47728081234686137,0.17330172134384447,0.312292957787097
2013-09-01,2014-03-01,0.0721983425743033,0.08754435713403214,-0.6817194081501721,-0.3821168740846861,0.5776031735485619,0.8563037236001425,0.00023550016286740948,0.11445270021520797,0.11125016610141963,99.99999999999999,-0.04971746975577128,0.12100624325613685,0.4716097488841432,0.4786608573636617,0.001600528174261484
2013-12-01,2014-06-01,-0.0402056980780329,-0.1687511287891166,-0.9579638742834781,-0.634913744640569,0.31152343456403664,0.5985209899641992,0.01652392775669802,0.12512463191536777,0.12280813048247521,48.31847202553407,-1.4767929606254309,0.5305114372293599,0.4646843945485405,0.5998744786504013,-0.3286037310889611
2014-03-01,2014-09-01,-0.0019006300588486,0.04871491029702861,-0.7536381070367686,-0.39568813542040115,0.534805066063509,0.8726119357961516,0.0025619329255174347,0.11004279534392047,0.11303073703160472,18.43216415719336,0.21252657819357432,-0.04213600773840892,0.459259307856264,0.44983267340977057,0.07059781440004187
2014-06-01,2014-12-01,0.2551637534921269,0.31776046676383346,-0.43348006697999986,-0.12709966580725215,0.7913945469521401,1.136379582969925,0.0039183485124202454,0.11222110171291019,0.11279559855813673,99.99999999999999,0.7799446917335439,-0.03708534683201228,0.4622785189255531,0.44070465529021735,0.28839803301092815
2014-09-01,2015-03-01,-0.1784907206497266,0.16589471811501155,-0.6101578620047581,-0.30442177271330084,0.6164941810723461,0.9288828892078858,0.1186013304331812,0.2078518829060529,0.20254891262593736,88.48310701699974,-1.1901749047476862,0.6996559066965184,0.451738882199003,0.22952642504495926,-0.07249844445889053
2014-12-01,2015-06-01,-0.3619796751591408,0.06591430775458312,-0.7066937755630145,-0.3727671322458003,0.5265939362129483,0.8026501306789035,0.18309326061377026,0.2633150380410617,0.2612499242695757,99.99999999999993,-2.1698184076170586,1.042902529974697,0.4450565994679324,0.1696694712534617,-0.0332342795188012
2015-03-01,2015-09-01,-0.6613065813612096,-0.13010541492309668,-0.8525060358880691,-0.5779667413197372,0.2932861986247766,0.6045191462464624,0.2821746792252117,0.3327182821323366,0.32937522361612637,24.407543164478533,0.10460509756060961,-0.17948524812665606,0.4311993441767434,0.11592155845049953,-0.10599227619083607
2015-06-01,2015-12-01,-0.8846061718801757,-0.5945621087700876,-1.3655252133922595,-1.0350836964197556,-0.15281860941449246,0.18855517990113901,0.08412555854540872,0.18138346464625146,0.17821136630766835,17.39157286560916,0.2508372602285156,-0.7052330628327403,0.4367914300743973,0.25653191089921734,-0.32874539564033967
2015-09-01,2016-03-01,-0.4835425102155177,-0.6823499597540426,-1.4523409951727533,-1.1360298069109405,-0.22172822398501707,0.03773995679875018,0.03952440199201311,0.1423063750456761,0.13852849753908592,33.180873300787404,-1.5773635901779424,0.020317969493204874,0.438407484413492,0.6673064951271249,-0.5553143051703735
2015-12-01,2016-06-01,-0.2309070414847625,-0.8605081164767028,-1.6738122336884242,-1.340027135590104,-0.36401565578312967,-0.04432565208705465,0.39639751363100684,0.39291126089822054,0.38807184039992104,70.64594128243542,-2.4025823783214832,0.3143297516158725,0.4802798681232495,0.8971716001251739,-0.555860776239836
2016-03-01,2016-09-01,-0.1371437538706388,0.05030222067504406,-0.7837794040591135,-0.45288762389173554,0.581194926847466,0.8907016292640987,0.03513599337338078,0.1489356183132732,0.14780774582121764,99.99999999999999,0.7315732705742151,-0.30986227507872716,0.5017861464464043,0.3489670345497117,0.07177179495485575
2016-06-01,2016-12-01,-0.3244976139693989,0.5499366246024117,-0.2907227687331921,0.1014850786572172,1.0301123657086255,1.3653147581757694,0.7646352375866621,0.625829035258623,0.6196613168529898,22.671841662908957,0.06545052984422088,0.5214731564273442,0.46604578861204365,0.036064737087436974,0.3249537347550735
2016-09-01,2017-03-01,0.1182657315096591,-0.16993117643099787,-0.9889613951614481,-0.6725102201779296,0.3484888353839757,0.6714496530488429,0.08305745774655553,0.18316392911108037,0.1788466895610683,99.99999999999999,-2.0198827399943973,0.8595521131551553,0.503635263800261,0.7084076917464284,-0.20891554882549457
