Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,RMSE,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,SHAP_Shap_target_core_6m_lag0,SHAP_Shap_PPI_lag0,SHAP_Shap_real_turnover_lag0,SHAP_Shap_retail_turnover_lag0,SHAP_Shap_Manufacturing_EU_lag0,SHAP_Shap_Vol_loans_lag0,SHAP_Shap_Exchange_Rate_CHF_lag0,SHAP_Shap_gdp_index_ch_lag0,SHAP_Shap_gdp_index_eu_lag0,SHAP_Shap_M3_change_lag0,SHAP_Shap_unemployment_rate_lag0,SHAP_Shap_infl_e_next_year_lag0,SHAP_Shap_Saron_Rate_lag0,SHAP_Shap_EU_fin_spread_lag0,SHAP_Shap_oilprices_lag0,SHAP_Shap_variable_mortgages_lag0,SHAP_Shap_infl_e_current_year_lag0,SHAP_Shap_fin_spread_lag0,SHAP_Shap_M2_change_lag0,SHAP_Shap_Business_Confidence_EU_lag0,SHAP_Shap_CH_2int_lag0,SHAP_Shap_kofbarometer_lag0,SHAP_Shap_Wage_change_lag0,SHAP_Shap_M1_change_lag0,SHAP_Shap_headline_1m_lag0,SHAP_Shap_core_1m_lag0,SHAP_Shap_sin_cycle_1_lag0,SHAP_Shap_cos_cycle_1_lag0,SHAP_Shap_sin_cycle_2_lag0,SHAP_Shap_cos_cycle_2_lag0,SHAP_Shap_target_core_6m_lag1,SHAP_Shap_PPI_lag1,SHAP_Shap_real_turnover_lag1,SHAP_Shap_retail_turnover_lag1,SHAP_Shap_Manufacturing_EU_lag1,SHAP_Shap_Vol_loans_lag1,SHAP_Shap_Exchange_Rate_CHF_lag1,SHAP_Shap_gdp_index_ch_lag1,SHAP_Shap_gdp_index_eu_lag1,SHAP_Shap_M3_change_lag1,SHAP_Shap_unemployment_rate_lag1,SHAP_Shap_infl_e_next_year_lag1,SHAP_Shap_Saron_Rate_lag1,SHAP_Shap_EU_fin_spread_lag1,SHAP_Shap_oilprices_lag1,SHAP_Shap_variable_mortgages_lag1,SHAP_Shap_infl_e_current_year_lag1,SHAP_Shap_fin_spread_lag1,SHAP_Shap_M2_change_lag1,SHAP_Shap_Business_Confidence_EU_lag1,SHAP_Shap_CH_2int_lag1,SHAP_Shap_kofbarometer_lag1,SHAP_Shap_Wage_change_lag1,SHAP_Shap_M1_change_lag1,SHAP_Shap_headline_1m_lag1,SHAP_Shap_core_1m_lag1,SHAP_Shap_sin_cycle_1_lag1,SHAP_Shap_cos_cycle_1_lag1,SHAP_Shap_sin_cycle_2_lag1,SHAP_Shap_cos_cycle_2_lag1,SHAP_Shap_Constant,Shap_Base_Effect
2012-09-01,2013-03-01,-0.5559402157513382,-0.2974056518430831,-1.045184718255532,-0.7505742369066396,0.16113367053758068,0.4149432567147054,0.06684012073523166,0.16516755657641935,0.1629690646531219,99.99999999999959,0.43432581178597285,-0.4928663130574815,0.44846824899105014,0.2827845582788875,-2.8175950585100815e-05,-4.280710385174244e-06,-8.242459539292192e-06,3.3474098499778826e-06,1.1427506966443658e-05,2.356904379900653e-07,-1.6259290057607603e-05,1.0414089124405757e-05,-4.248534141408335e-06,-0.0018140143280113623,-0.003979260337690306,0.00022541748349509203,-6.911485716872432e-05,-0.0066634935663297664,0.0003903326739490924,0.019317114664033356,-6.0670001903795406e-05,-0.00029609536185477695,-0.001102199311746318,-0.0007103756196107539,-0.0009548546662534986,0.002004821963272677,-6.273813678753385e-05,-0.0006374915310700036,-1.1601206354958047e-05,-2.7461596017930748e-06,0.0003867802238361848,-3.5375941267328314e-20,-5.26163512725571e-21,1.0315569275396393e-05,-1.9803301732650567e-05,5.608129030413611e-05,-6.998288405849912e-07,-5.762061220805031e-07,2.4503839066748237e-06,1.2275628007742235e-06,-4.921674628841464e-06,2.379345026152721e-05,1.4822183940124721e-08,-0.0017001182716953353,-0.004341157600575437,0.00034380788258164206,-0.00015629037463120888,-0.006097953177880953,2.237481168311358e-05,0.01959135933329128,-2.5809934461493743e-05,-0.0003176033800794137,-0.001334852839993433,-0.0005227173363077718,-0.000936451126887555,0.00044249502755170104,0.0003330065210963267,-0.0006473919196002386,8.705724701798046e-08,3.985391314349572e-06,0.00037839854279626416,2.02127558462325e-05,4.9662880421326486e-06,1.3681650255636703e-05,0.1727081267440764,-0.4856411618934686
2012-12-01,2013-06-01,-0.2379100909859488,-0.3875922545512397,-1.1454914314418243,-0.8503637322055442,0.05074987014584521,0.3588685947283086,0.022404750089586492,0.12692266921630024,0.12673196607342713,99.99999999999999,-1.6229132103496824,0.345945140930051,0.45198054025176126,0.6304302095753186,5.171901595544438e-05,-3.2527233007852686e-05,-7.34935810905568e-07,3.5461212427991057e-06,-0.0,-9.418918499497391e-07,3.251390086592957e-07,5.910877105442528e-05,-6.927268995205587e-06,-0.002070848628271426,-0.004080043504341023,0.00039268276005032654,0.00012892240750474984,-0.005398400593424025,-0.0011989807055992317,0.02266824600997229,-5.922156002016862e-05,-0.00028958086401234225,-0.0008702218887811174,-0.00042816653397965157,-0.00036658268451177745,0.0023964789794852777,9.844786136129723e-05,-0.0004991822842507449,-8.869374213299533e-06,-1.1153866846563161e-05,1.0496448563131448e-19,0.000194878432623064,-4.024938826569271e-21,1.2201993304079314e-05,5.8086810704478876e-05,-7.037061488859744e-05,2.04370118492124e-06,5.867624290659259e-07,-1.2827997093214656e-05,-2.1133195258217055e-06,-4.180954255600558e-06,9.316204681286623e-06,-2.6462635718849966e-05,-0.0018013168908010235,-0.004050733030010243,0.0004033704242650942,-8.338347676707977e-05,-0.005376481735782001,-0.00043936686842694565,0.019748168297468723,-8.355299023490588e-05,-0.00029403603839930366,-0.0010805382531024733,-0.00037092218024724685,-0.00028696246635734405,0.0008118869377694822,0.00018583728032403715,-0.00048694927589995634,7.787363080071075e-06,2.4342077316553185e-08,0.0002695367283814397,-4.788668939360098e-06,2.7590710965429836e-07,-4.530248003850767e-06,0.14804975629775272,-0.5502030487730458
2013-03-01,2013-09-01,-0.0686985256836081,0.06618381787035713,-0.6897401354058654,-0.380506830306589,0.5385921675349826,0.8344471634079352,0.018193246602609903,0.12606900459967277,0.12511174597047925,99.99999999999999,-0.04717098958730788,0.09372394934913045,0.4607635653700713,0.38042621185092096,1.522939184632702e-06,-1.5680493531470753e-05,-1.1998992875545651e-05,-1.3038627849146775e-07,3.0081213433234918e-05,-1.9644053832055113e-06,1.2794630189544831e-05,2.3375960665474188e-05,2.3821905317158802e-05,-0.00229450865289579,-0.0033507982855135606,0.00046295333820642586,-0.00011447091537956554,-0.007302579512564753,-0.0018988834716806631,0.026038529862476706,-7.902802853573594e-05,-0.0002117456385567232,-0.001120869645201486,-0.000759127064427871,0.0001714586182513285,0.002724982483589313,0.00028416123027527477,-0.0005229569103977766,5.465725357031371e-07,5.174453468643427e-06,-0.0004172493317128481,1.646735463046761e-20,1.3386033935575388e-21,3.487472839611194e-05,3.1737961289913404e-05,3.679560966249497e-05,1.3282101130132052e-07,-1.195233093526642e-06,-1.6363757371078724e-05,-1.0996170056577133e-05,-1.4077801907330062e-06,-1.8418572045805472e-05,4.953824350830871e-06,-0.002321331450570028,-0.004183666309618347,0.0005609992746111554,-8.802844605594591e-05,-0.005790573232488267,-0.001733686940347643,0.026269604439190363,-9.529266074541015e-05,-0.00014947854628883834,-0.001201964308235362,-0.0005626138672166431,-9.015608786869655e-05,0.0015411297162113812,0.00041666829637105923,-0.0006176030858599744,7.935342899620764e-06,7.053126780121408e-06,-0.00042459251742147676,-2.8261131541818913e-05,-4.328219361259226e-06,1.1950415523132977e-05,0.11644696952274164,-0.07029905385786961
2013-06-01,2013-12-01,-0.0163107733018641,0.45085355769460483,-0.29783658481919173,-0.005787420149988816,0.8970637063211112,1.218815493721994,0.21824251215537838,0.28586193314279573,0.2818763197766341,99.99999999999999,1.2255628174388735,-0.10632492402672833,0.45202615252848255,0.15225175354765524,-0.00022660319300291126,-1.8018685015050813e-05,-1.209939987163313e-06,1.6085578865120929e-06,4.363171300124169e-06,1.5884895418976562e-07,-3.2707532670862424e-06,1.8495279522989663e-05,-3.239758578185292e-05,-0.002163598877794972,-0.003536232306366852,0.000516695458020381,-8.161144234195469e-05,-0.006705115372776922,-0.0010415299826170535,0.028730984124397712,4.577098989440914e-05,-8.799736076463109e-05,-0.0013082109349063834,-0.0006697845368062975,-0.0002581930160762001,0.0020549650679718627,0.00012043587213982033,-0.0006842695989698066,4.324074756549188e-06,1.577737905434172e-06,-3.873934156870537e-20,-0.00019459066883509166,7.002696705475215e-21,-2.1767145476445885e-05,-1.6955539276514977e-05,5.120824944566223e-06,-1.1106173208233704e-06,1.3314506727231473e-06,3.6761535613343528e-06,-4.92920547801978e-06,-8.775858597234015e-06,2.196431715909422e-05,-4.781546324959168e-05,-0.0021452675020232825,-0.0045053203139287035,0.0003007506002988772,-2.712656501750639e-05,-0.007283281537693346,-0.0019319691070971107,0.025322115386936822,-0.00014431592286266723,-0.00013343659792355243,-0.0012117755282013182,-0.0007142067822118838,-0.00022702339528399529,0.002434374046444506,0.00022226126388868853,-0.0005739684420161067,3.62641209503846e-06,1.7808294002813906e-06,-0.0001915602433064601,5.3916051212380104e-05,-6.177532189519823e-06,-5.7502952184820406e-06,0.1086422782808912,0.312292957787097
2013-09-01,2014-03-01,0.0721983425743033,0.1283082767881921,-0.6408006857507806,-0.325717535250727,0.5928852781263411,0.9171881915467138,0.0031483247174869285,0.11030335085926556,0.11074224092213267,99.99999999960424,1.132911828431811,-0.38862627807058947,0.4575149764381451,0.4491244059897209,5.2419953503965285e-05,1.1662690273086763e-05,-1.4738627880485848e-05,-1.6238486703815826e-06,7.280848228456737e-06,-1.7763348268853762e-06,-6.575237225927e-07,0.00011657314928057989,7.036813340459477e-05,-0.001507952096842583,-0.003111900739874036,0.0006721177782259676,3.703480551762101e-05,-0.007940816735570764,-0.001981478342318068,0.025830964197105143,-6.652721748028178e-06,-0.0002229102697788586,-0.0006812733397045806,-0.000496039079818242,8.727595496099814e-05,0.0025918841718080904,0.00015922335960229426,-0.00029156453879543,-7.380427633531665e-06,-1.7300671052330203e-08,0.00029733553439971315,-4.777515677194332e-20,6.631270785974619e-21,6.8337775472301444e-06,-9.5206525917563e-05,-3.7858255701376094e-06,1.134110777495804e-07,1.4232085312519045e-07,-3.353946282043128e-06,1.6294364424871753e-05,4.884400962906762e-07,0.00012072620352496755,-1.6780925602166567e-05,-0.001478969882744835,-0.004634569131617448,0.0005230304995405815,-1.9981985916577464e-05,-0.007467043381285617,-0.00154757135837201,0.025612315488187796,4.673181845620609e-05,-0.0004046048620492394,-0.0006876357104390206,-0.0005090796414960352,-0.00011189036731173906,0.001705631788705627,0.0001610986127259837,-0.00040270777616079344,1.1404697844113848e-06,-6.72841292550418e-07,0.00047725781575457606,-4.1178109860588005e-05,3.4329792479167036e-05,-6.196678718389978e-06,0.11458589651123381,0.001600528174261484
2013-12-01,2014-06-01,-0.0402056980780329,-0.19183555767470933,-0.9483491997382656,-0.6684401198595482,0.26166432914808996,0.5429366500679864,0.02299161432130781,0.13030432171832212,0.12885069844088998,99.99999999999999,1.028127079263715,-0.6676237085492303,0.4538899567581511,0.6364799771783595,0.0001543535430856263,-4.03038824401345e-06,3.121898754190833e-05,-0.0,6.813982652850893e-06,-1.0474427328945895e-06,-3.9356796821155735e-06,5.6600548324221714e-05,5.0901008593685706e-05,-0.0011544472041646783,-0.0037909096641673256,0.00035057864497825786,-0.0001263422544409998,-0.0076825054721241775,-0.0010203331862565907,0.027329912262272802,-3.924564889950024e-05,-0.00018875318900917124,-0.0005371469278695217,-0.0002006171156181176,-0.00020571879374155748,0.003260361049999826,0.00019276706815011006,-0.0003158428337153488,-4.962339436019364e-06,-1.3547901613532164e-07,1.0277624741330014e-19,0.00023687982084108874,-2.406513321091131e-20,-1.0723554996721007e-05,6.679295530441181e-05,7.546546458008008e-06,-1.0753427545474488e-06,5.4220955678368294e-06,-2.0861229550471475e-05,-7.269464544993885e-07,9.33157164639003e-07,0.00013089424894408905,2.9435156012418813e-05,-0.0010354642990083637,-0.0032768634798382937,0.000601011564800629,-5.730627951759546e-05,-0.008001863573351234,-0.0014877004646150086,0.028044092470087805,-7.99497429815497e-06,-0.00042792351008859205,-0.0005745253842334722,-0.00023359896597948125,-0.00013782651893811285,0.0023843779988629095,0.00019219459288789765,-0.0002753210315500524,-2.3441167791415344e-07,6.948882672553633e-07,0.00026919852494806473,-9.079957101577245e-05,4.5552906540371715e-05,1.870501832100597e-05,0.10299104636184034,-0.3286037310889611
2014-03-01,2014-09-01,-0.0019006300588486,0.18306736105037896,-0.5141684121320792,-0.22979436001806042,0.6220393846927917,0.9211098781222511,0.03421315773498329,0.13501336652078116,0.13409149754945376,29.990815619171038,0.7927688238250264,-0.14530452863562068,0.41935986092770067,0.3251981913013542,-5.8530387320115085e-05,-3.35936614050134e-05,1.1541669760520043e-05,5.2478733933948585e-06,0.0,2.122242717569048e-06,2.37365180279823e-06,4.260270465220989e-05,-5.357361010470119e-06,-0.0010898986441997343,-0.002643665777533423,0.0004729948140211599,-0.00010427496842674981,-0.007838951294301748,-0.0019343357260894617,0.029437276817231697,-6.172640748701119e-05,-2.48615445373274e-05,-0.00046078399873133763,-0.0002097189132997163,-0.000371593482500358,0.0030187414400981213,0.0002647872535807416,-0.0002090013625557862,6.6547296449929746e-06,-1.5058626826327289e-05,-0.00035933823488015066,2.0949934541603782e-20,4.582976073738767e-22,3.2685664727394794e-05,0.00013458174855185997,2.741117821018146e-05,-8.572660835865445e-07,1.423538406043117e-06,2.137215252070668e-05,-5.374296822615806e-06,-1.6325625954747644e-05,1.8558189674571697e-05,3.4248361736929644e-05,-0.0010378036064352793,-0.004452043072190905,0.00047733470880296846,-5.629267347429475e-05,-0.008459326447456207,-0.0019156350848329269,0.027801737250978797,-5.05872492806133e-05,-0.00039101688597813775,-0.0002994055087443893,-0.00014945391007521017,-0.0004260001358322454,0.0014752539853694537,0.00018353690801302806,-0.00016517988706970765,2.9077097594389003e-06,1.3850783421653423e-05,-0.0005353004873509486,2.869279175989982e-05,-2.8702670150766355e-06,-1.2372560421194177e-05,0.0929618735656475,0.07059781440004187
2014-06-01,2014-12-01,0.2551637534921269,0.40358631214554574,-0.3187511787063195,-0.03811102232285525,0.8440071003200474,1.1528494153015172,0.022029255917227562,0.12474509978249726,0.12443053722608247,41.657486892545556,0.18732013912247356,0.3292875244702264,0.43359627566966746,0.36047623170563803,-2.6345072969636206e-05,-1.544985683060589e-06,2.208113559581696e-06,6.873613199851442e-07,4.2386940989814056e-06,-5.365919768371869e-06,-1.8392779618636864e-07,3.145722933726701e-05,3.712959696161539e-05,-0.0010171741539499854,-0.0038981300334972675,0.000853789111360451,-8.14900321477172e-05,-0.006691847637090668,-0.001630222250365082,0.031067903607013142,8.365635037071166e-05,-5.184948047695415e-05,-0.00038461859633207935,-0.000126098244006951,5.554276764476023e-06,0.0017647368880020597,0.00012884084859753251,-0.00019390619308387334,3.2239028640825484e-06,-1.1117441210899132e-05,-4.9419108573758046e-20,-0.00038624444877882996,6.016796745240147e-21,-3.1282978767409888e-06,2.6802796022458637e-05,2.435741334761608e-06,-4.0496442885592035e-07,-1.1065400666655326e-06,-1.824541487176911e-05,-5.3419849081464e-06,-6.396167279027009e-06,3.680872688665354e-05,6.411274088666586e-06,-0.0011478527224983279,-0.0032349002241676785,0.000395092168620578,-0.0001539485378687999,-0.006099959896980866,-0.0021624675813369213,0.028861342598099395,-8.063867695075212e-05,-0.00014669785573078652,-0.0004619468504511203,-0.00010213994848004734,-9.792315032995488e-05,0.0026429986160329834,0.00029921851509905837,-0.0002938881342921381,9.836185874257145e-06,5.456706265101491e-06,-0.00021942726726657127,-8.173870428204398e-05,2.3849943892655054e-05,-2.420093558272447e-05,0.0857409785786173,0.28839803301092815
2014-09-01,2015-03-01,-0.1784907206497266,0.039205523564218143,-0.6915921838632069,-0.3958458218975973,0.4674242862662468,0.7433259401930432,0.047391654744857466,0.1457394303256908,0.14466891379691843,99.99999999999999,-1.8473783439634484,0.8286677979857823,0.4246687812036733,0.30461502193776463,-3.959134710798663e-05,-3.826103592264436e-05,-1.54601811043545e-05,-6.916038242354701e-06,-7.940825969799166e-07,3.560889795607248e-07,2.146906614190588e-06,5.37297923680697e-05,3.650336441689094e-05,-0.0009015011392634816,-0.0027568366291414637,0.0005103819163549051,2.4354608380734084e-05,-0.005215542080960862,-0.0018086486145640168,0.029710050791470398,3.1874485743016746e-05,5.191571537978505e-05,-0.000405474259151745,-0.0002831561456370498,0.0001489011802200146,0.001865059067552273,0.0002344846850950982,-0.00018764002921335739,6.5555429599297125e-06,4.037398521343865e-06,0.00041200771809898196,-7.175175953328377e-20,-2.9145712809316367e-21,1.004241779932912e-05,-0.00011464962909739682,7.572630079684623e-06,-1.4808200783917025e-07,-9.502930516682397e-06,-1.3120191513676921e-05,-2.6243050526725545e-06,3.821893673771854e-06,1.1115514945632746e-05,8.836196216719493e-05,-0.001129543371647191,-0.003503116662283953,0.0008113061923869005,-0.00012629924451515112,-0.005343416780301891,-0.0019043201642711296,0.031651448407483136,0.00010571303528911459,-0.00010570399508168882,-0.0005183349990674532,-0.00022844569708676125,0.00011935492342035686,0.002229481422473439,0.00038857908210071854,-0.00023184069884199429,2.4112663538094686e-06,-9.423084089990369e-08,0.0004257624348594575,-2.138636185974632e-05,-2.4237297893881433e-06,1.3281242850120625e-05,0.08924864192680321,-0.07249844445889053
2014-12-01,2015-06-01,-0.3619796751591408,0.12746185347883138,-0.6049415708268535,-0.30455512809280466,0.5321416444234726,0.8173265088098727,0.23955300995547496,0.3050718157901377,0.3006754810145384,43.771139637959394,-1.3654517963887802,0.6989544635213853,0.41615140251283184,0.1295322684351739,-0.0001950347265973754,-3.139394474857802e-06,-1.6956349814670202e-06,2.3469548108893913e-06,-2.0508171545012642e-05,3.7896188297226886e-06,1.067133940784773e-05,7.132567671764753e-05,3.478713502696283e-05,-0.0008692577306650192,-0.002692733942984085,0.0005123745652764964,-5.608600549963537e-05,-0.004274290446069014,-0.0016204004253500641,0.029318486726111218,4.567477928397631e-05,-4.112604748965675e-05,-0.00032102845896275604,-0.0003766263621774829,-0.0005704530763192415,0.001854369083072174,0.00028545460720100284,-0.00015814279396130076,-2.0746816411433142e-05,-9.419171278208417e-06,8.855381802205114e-20,0.00023250509645712713,-7.158964647732486e-21,-6.789483094745624e-06,-0.00023934856743172968,4.008743471181098e-06,-1.7900371440387733e-07,-2.9434082488787847e-06,7.022714101693989e-07,-4.781614864249113e-07,3.0499365730852613e-06,7.451554468877617e-05,6.790241241524134e-05,-0.0008731792995326891,-0.003617404275581935,0.00046253254767800514,-0.00013365065172440106,-0.0042264230101128,-0.0017385660346857833,0.030812516460879624,2.1711487715632067e-05,-0.0001173370178242049,-0.0003835453750710349,-0.0003855087962541738,-0.00010663222499809045,0.0010385903750561765,0.0004523257879029902,-0.00016218027183294759,-1.6263504939619866e-06,3.547478534618743e-06,0.00022435475707601913,1.2313126934733522e-05,3.4659150428874436e-05,-1.651666312061416e-05,0.09163505512428033,-0.0332342795188012
