Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_target_headline_3m_lag2,SHAP_Shap_PPI_lag2,SHAP_Shap_real_turnover_lag2,SHAP_Shap_retail_turnover_lag2,SHAP_Shap_Manufacturing_EU_lag2,SHAP_Shap_Vol_loans_lag2,SHAP_Shap_Exchange_Rate_CHF_lag2,SHAP_Shap_gdp_index_ch_lag2,SHAP_Shap_gdp_index_eu_lag2,SHAP_Shap_fin_spread_lag2,SHAP_Shap_EU_fin_spread_lag2,SHAP_Shap_Business_Confidence_EU_lag2,SHAP_Shap_oilprices_lag2,SHAP_Shap_variable_mortgages_lag2,SHAP_Shap_unemployment_rate_lag2,SHAP_Shap_M3_change_lag2,SHAP_Shap_infl_e_current_year_lag2,SHAP_Shap_Saron_Rate_lag2,SHAP_Shap_kofbarometer_lag2,SHAP_Shap_infl_e_next_year_lag2,SHAP_Shap_CH_2int_lag2,SHAP_Shap_M1_change_lag2,SHAP_Shap_Wage_change_lag2,SHAP_Shap_M2_change_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_time_index_length_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_target_headline_3m_lag3,SHAP_Shap_PPI_lag3,SHAP_Shap_real_turnover_lag3,SHAP_Shap_retail_turnover_lag3,SHAP_Shap_Manufacturing_EU_lag3,SHAP_Shap_Vol_loans_lag3,SHAP_Shap_Exchange_Rate_CHF_lag3,SHAP_Shap_gdp_index_ch_lag3,SHAP_Shap_gdp_index_eu_lag3,SHAP_Shap_fin_spread_lag3,SHAP_Shap_EU_fin_spread_lag3,SHAP_Shap_Business_Confidence_EU_lag3,SHAP_Shap_oilprices_lag3,SHAP_Shap_variable_mortgages_lag3,SHAP_Shap_unemployment_rate_lag3,SHAP_Shap_M3_change_lag3,SHAP_Shap_infl_e_current_year_lag3,SHAP_Shap_Saron_Rate_lag3,SHAP_Shap_kofbarometer_lag3,SHAP_Shap_infl_e_next_year_lag3,SHAP_Shap_CH_2int_lag3,SHAP_Shap_M1_change_lag3,SHAP_Shap_Wage_change_lag3,SHAP_Shap_M2_change_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_time_index_length_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Constant
2012-09-01,2012-12-01,-1.6759017886272431,0.040394637151310496,1.114462495293747,1.1196796818741621,2.945673421140238,0.2999703788473794,31.774457005348182,-0.012463090620606824,0.07341944033372899,3.2251094960174567,-0.4353856468247485,-0.006311540380110151,-1.4171516124162664,-0.816373641953999,0.7927309832239403,1.345006967491129,-0.016410199667937775,0.20159299123372293,0.203771271591552,0.017729561462957007,-0.00011599249486060189,2.9217659175869367e-05,-0.00015199577761350967,0.00023577238943254977,-3.0117713638274984e-06,8.416423998827105e-05,5.096048587602183e-05,8.30647674256004e-05,-0.0015059618012244977,-0.01041602079820575,-0.002551182939492164,-0.011255415763996189,-0.025123480513939346,-0.013281951817555347,-0.003232086347022414,0.00012475464880802383,7.526075604061326e-05,0.01407994449842623,0.002539690643664286,-0.0010445423139082448,1.602765638751499e-05,-0.00460930886381533,-0.00017992066482926743,0.0004238364584637206,0.0005909610773432473,236.14960386484412,0.0012317591988841084,-0.002192935508138651,-0.00048767938785091206,0.0009739356645664713,-0.005743620677003118,-2.785792087752141e-06,-2.7793683841104013e-05,-2.162081338993036e-06,-2.2088026594600375e-05,5.738779110247643e-06,3.143378646178949e-05,7.15299895667668e-05,-3.655436623375349e-05,-0.0003342028512709974,-0.0027985516518955664,0.00032457602901360356,-0.0023620860384108004,-0.013685547687688334,-0.0016031384635445604,-0.0006129697582851872,-1.9402339136679295e-05,1.003956317481861e-05,-0.00019180530194805973,-7.164786190679977e-05,-8.917577916370474e-06,4.016016267119431e-05,1.8240524499969493e-05,0.0002096360639171352,-4.408634955535974e-05,-3.1294012947681754e-05,-236.09080694899052,-1.388791012144432e-19,-0.0001568567834677898,4.466091199487257e-20,0.00023076511705706108,-0.007734283767416112
2012-12-01,2013-03-01,1.0026598726764036,-0.22998721868964728,0.9496267438910729,0.9691967349474305,1.519418851853185,0.6519812742207789,99.99999999999993,-2.132523649726937,6.556284297385842,3.1857508145564073,-0.5953826692453035,-0.9035444420868162,-2.2805690454339147,-1.7416649239077846,-0.08947081119421313,0.3835418320724188,-0.8460476374144044,0.21457012383901172,0.21816066498087025,-0.03844872433616687,5.042536884648126e-05,-6.36837765971301e-06,5.423392130904011e-05,0.00013465494360522334,3.049461660573889e-05,-1.0491364455639884e-05,5.88185836833275e-05,0.00023324626985977542,-0.0014120080592775106,-0.006548179189322698,-0.0017200817484842555,-0.01508853131883323,-0.030975302223473538,-0.014088657986723527,-0.004152366000457488,0.0002882200680732081,7.334026718729326e-05,0.012396102125933645,0.0002904782243739349,-0.001077710703039925,8.810656607610205e-05,-0.004652361862518215,-0.0013378994970918272,-0.0001468746378846714,-0.00016022372695049738,239.1442068489943,0.002567795169228769,0.0006915473969761912,0.0006276961764163265,-0.0012353890839330369,-0.013187409001447655,-8.1488535838391e-06,-1.9015300783602035e-05,-1.6665074327856943e-05,7.934845654055658e-05,9.220993080064469e-06,2.7557067801092503e-05,-5.534314283081721e-06,6.4836405699241605e-06,-0.00017794366981863956,-0.00203777957458831,0.00010320965368120821,-0.00399052169849354,-0.0038534757324034472,-0.00412350574250058,-0.00044171148178787827,-0.00012461125168252484,8.57766069246308e-06,-0.005099653554965825,-0.00033327049667330924,-0.0002169305504806676,-0.0006561669419437694,-0.00024088467091878623,-0.000503418379053787,0.0001449712720463151,9.409595225550963e-05,-239.26323966030282,0.0007132814184392772,1.2451066793798379e-20,-1.9771680079957978e-19,-8.312808319420927e-05,0.06054740399888745
2013-03-01,2013-06-01,0.9673552161846288,-0.1918997120792233,0.9108697452111529,0.9163991430831102,1.3438719887040291,0.650841948153611,28.987245304999462,-0.13833907787121222,0.19609360412787913,3.0651076155439965,-0.1279526276012355,-0.4177663596671985,-1.7035971022522984,-1.2113897195100356,0.34721138185215733,0.8755710297181659,-0.3697914316473927,0.49314981549212955,0.4987506113750103,0.027145166941655176,-0.00035961506643172116,-4.303674364019314e-05,3.915153309609629e-05,0.0006400951964464503,0.0001587052964918365,7.309642549150271e-06,0.0002863120035566956,5.2863579248204624e-05,-0.0010463756555664926,-0.008220392139769491,-0.0019103426972370877,-0.014165061987170189,-0.03730409203196065,-0.013852132629305588,-0.0075300886918039,6.266911372927238e-05,0.00012074781033769925,0.02033661025622725,0.001308168227725296,-0.0010014149130704406,0.000700432187325193,-0.0026251215051247825,-0.000131759106237761,0.0003534688988629597,0.00035291503179509046,244.9637588234206,-0.0007551270378776746,0.001849330702267316,-0.0004134423765112395,0.001230102709312149,0.008201156644510505,-9.762121295139217e-06,4.577517266234954e-06,-4.561896620269784e-05,-0.0,2.0505811081651645e-05,1.2127299919752129e-06,5.7985039171095154e-05,-1.3302664917114031e-05,-0.00014454080841953907,-0.0006382241695438826,-0.00023439528800543236,-0.0011432573575983751,-0.004696953093979105,-0.0025498788495963965,-0.0010964642617967244,7.263952964388584e-06,4.11313111690689e-05,0.003370196281608818,5.1035094711001555e-05,-0.00015881683529802012,2.386519928334705e-05,-0.001460181585238002,-8.450292473102362e-05,-2.0423471328636982e-05,-6.683553018810905e-05,-245.35003552334982,1.8428933789168646e-19,0.0002622705775523294,2.204883091819152e-19,0.0001349110555983558,0.1543567414762123
2013-06-01,2013-09-01,-0.5156316360427127,-0.22480958986480887,0.7476353454042728,0.7540223069488149,0.08457746254310282,0.4595204217054204,99.99999999999999,-2.249155930402429,6.7723985019687225,3.090586257762787,-0.0553795839522308,0.017325927592245088,-1.3309900557451244,-0.7590908764008422,0.7952791700021703,1.310386066949023,0.07352832505844731,0.19204417617586006,0.1936402057976746,-0.00794341297085485,4.4105611066904e-05,5.776791078909123e-06,1.146267548428811e-05,0.0004102687957038228,2.802595411324994e-05,4.7640402583176795e-06,-2.6644881719667325e-05,0.000224252278033369,-0.001173764832324945,-0.015392058681266573,-0.001852254707118283,-0.01815391409044176,-0.0188274992095677,-0.023163185725136107,-0.006852632104465312,0.00014241886000535282,-5.629739552957479e-05,0.013479690395816993,0.0012988043236947387,0.00013012387173883233,0.0002370211644071576,-0.0019011540445323224,-0.0009789489183042012,-2.4922192882423303e-05,-0.00015468501810953113,253.70777195340972,-0.0011511844420134388,-0.0012868112998530414,0.0007762930686996269,-0.0013704176547895113,0.007681567859517509,1.4521258152837303e-05,5.611300321941782e-05,-1.6271454942899387e-05,7.577754378343731e-05,-6.290015550163985e-06,4.192044607251816e-06,-2.1627075506966946e-05,-0.00013573831748551308,-0.0003632168184353149,-0.004183186885561953,0.0003995699061420862,-0.0016036624644898416,-0.00821404014455683,5.887862700668247e-05,-0.0010480829854779548,0.0001145629139632584,-6.337730285804508e-05,0.006684451125739336,-2.483835294739865e-05,3.3433279188303325e-05,-0.00014262535464687457,-3.4482737354585816e-05,0.00013902467391163972,2.0288983145438205e-05,9.425537620054703e-05,-253.9159412297226,-0.00055803810016881,2.1261428529164708e-20,-3.939358539982118e-20,-8.813089066926589e-05,0.03787048921835128
2013-09-01,2013-12-01,-1.1860208515447113,-0.21238751012528845,0.8340285361220137,0.8655740133981643,0.9479618835235504,0.3840709591567988,99.99999999999973,-1.2602258754760143,3.6274047082396446,3.084088658268574,0.0670906503184021,0.31049898567325784,-0.972595882667463,-0.49900622412130374,1.0478098535819067,1.5643275554088325,0.3635958632045799,0.1817188787553789,0.18367310844334286,0.007743811010894747,-0.00012856494646463107,-1.6095637129933475e-05,-6.813648403393506e-07,5.896318551290802e-05,3.123858120594921e-05,8.642469436057495e-05,0.00036877068265152876,0.00023387626730440083,-0.0007281436812254271,-0.016461085588919275,-0.0024979194289200496,-0.01150761351276748,-0.023884291954353206,-0.015209336051984277,-0.0032917253384045627,-0.0003373241240094491,1.824353650730567e-05,0.028132321217173097,0.00097657855946203,-6.200188355177778e-05,0.0007131352936414442,-0.001426709138851245,-0.00048353406111977226,0.0004072980020668932,0.0006777299825121948,233.46243099925059,0.0008863330220282085,-0.0023503774112176553,-0.0004148072656046768,0.0012086503214533359,-0.0041469815735873964,3.27132776152703e-05,-1.2720567855299331e-05,-7.116871624351139e-06,3.7514146271380086e-05,1.4361503415608726e-07,1.207694671082065e-05,5.935639937879023e-05,5.897182956169074e-05,-0.0005065095600380139,-0.0025621052766285107,-0.0007359999801699258,-0.003279513481737852,-0.007113475264763558,-0.0004707824867914137,0.000653756280014623,-7.1525468547166175e-06,-3.945420453192042e-05,0.0016276220536198078,-0.00026974404671998117,-6.575696010884225e-05,-0.0005444250098492451,-0.0003799728874560298,0.0001415707735480445,3.611025948080912e-05,-9.256029152926596e-06,-233.68971467106388,-1.0039258480218619e-19,-0.0004720879341491503,1.0187107115125116e-19,0.00020465149805828432,0.09575919340941834
2013-12-01,2014-03-01,0.7453886205475158,-0.13071339287402933,0.8023717737086035,0.830132381637442,0.7675547379212853,0.6175225921990892,99.99999999999999,0.29815151140966184,-1.0322178523715007,2.968140746781763,0.0027728372861801,-0.21625266606920612,-1.4602670952302543,-0.9754403351835342,0.547922868599514,0.9755621879366014,-0.18357431785069878,0.1742347297334631,0.18102442480075415,-0.026108221014260812,0.0003831433716256925,3.823548614205538e-05,-9.170591349071625e-05,-0.00016004066751041363,1.705069011239848e-05,-5.128736204886718e-05,0.0006302416367106671,-0.00020220020335380367,-0.0006972002638287215,-0.012611956502792164,-0.0005845743487645533,-0.020714966287096154,-0.021781036255503376,-0.011951922515945262,-0.0007678005047059961,1.9706138020753288e-05,-4.414541124083785e-06,0.020368393067934764,0.00041462356287685795,3.199589594785028e-05,0.0001866499845794367,-0.0029925736193742343,-0.0013240844694054328,8.68965650534488e-05,-0.00011635188077897947,270.3226345305685,0.001982906788276179,0.0010559026008410115,0.00034654746455742156,-0.0009773901249340864,-0.009807587287022189,-2.327936838824525e-05,5.197825016784827e-05,4.827182038459987e-07,0.0001127212768170232,-1.1956919129785561e-06,-1.0339584873680825e-05,0.00031400229399960674,0.00011625439838398513,-0.000732652503346029,-0.002611444738957065,-2.6587794711777252e-05,-1.074624023718341e-05,-0.0037889856091278614,-0.0005268353980680875,-0.0007323831272087567,-1.3930007655840643e-05,4.399737419354113e-06,0.0037064825002105493,-0.0002117456210443217,9.732010065077621e-06,0.00010210141949120999,-0.0002229119546680897,-0.0002569360167369923,0.00013291315482303871,6.072660028436245e-05,-270.41692803441344,0.0001504219102056496,-5.025638150674206e-20,-1.48413425819372e-19,-0.00023024537757988545,-0.07910999954137354
2014-03-01,2014-06-01,1.1545891680473377,-0.3576976425206522,0.9935360374626797,1.0068621657161652,2.287011397417903,0.6943905532107864,25.406058794727315,0.20131613699256778,-0.9432846234419954,2.9166916167598838,0.0495813252518573,-0.3284903773901401,-1.5627339524281836,-1.0621732237248371,0.41655126154961886,0.9013775016896742,-0.23906596675997704,0.5141533989974362,0.5184026436143746,0.028787590746506848,-0.00018343465822799287,-1.875028814248824e-05,-0.00028862027751854407,8.07903765020334e-05,0.0001473181022801653,-1.1883298932594153e-06,0.0002588601966890531,-0.0002882581958930451,-0.0006321421324193578,-0.010480903729958163,-0.0005150695448898671,-0.010447423476946717,-0.05077168398137371,-0.020753623144587664,-0.002051154957891237,9.608474830297066e-05,0.00031063840923037004,0.020700278438590347,0.0016717456146565764,-0.0006354593168900387,0.000377059011054169,-0.0016605355475667208,-0.0004108501256675896,0.0005014929506523225,0.0006015941818427684,264.3748686385007,-0.0007282944185102356,0.0020020948189619562,-0.0008819467728103826,0.00128603789264844,0.006838760045477962,-2.2297813232020283e-06,4.2059153239210314e-05,0.0,-4.890192814555962e-05,4.598575541669516e-06,5.63187659455347e-06,0.0001801059402308013,-9.293812670896924e-05,-0.0009361929522432127,-0.0031836764766141586,-7.017244192641749e-05,-0.0013548850636881877,-0.004671769706002167,-0.004531865594554798,-0.0006073844596460981,2.7827762982653792e-05,-1.8743305643276208e-05,-0.0009788942040787356,5.93940746691779e-05,-2.2609794310411143e-05,3.9204702465241815e-07,-0.000764440925306261,-0.0001673795109011938,-4.914452123833023e-05,-0.00015785496733193027,-264.7082032342087,9.646403624207238e-20,0.0006187554570710011,2.5632211644021603e-19,0.00014392266110598335,0.08502990640568435
2014-06-01,2014-09-01,-1.064681367721576,-0.29424555774457783,0.7911384764507194,0.8079886184842868,0.5935713372949133,0.39821424150603846,99.99999999999929,-3.256939042911314,9.351098507556499,2.9491466732089373,-0.0876811076678585,0.10492784482639103,-1.186132015045649,-0.6741018327127067,0.8665381399772821,1.3435997483602626,0.1784892342625355,0.17792415126330086,0.18193959545885655,-0.008850500403123143,0.00022103022636502464,3.2619850594880405e-06,-2.174758112645067e-05,-0.00010078328120204615,9.529023393069172e-05,-5.5071911872249e-05,7.9036180555742e-05,0.00011994528428318109,-0.001026455680973707,-0.010205376616934766,-0.0005425046908064577,-0.013105558475252618,-0.03128601269495803,-0.013487702045310251,-0.001868045236701704,5.224496322102463e-05,-1.1968023782323827e-06,0.02197306153908959,0.0006330777432058381,-0.0002944714065455355,0.0003915738876481947,-0.0010303822901272918,0.00024388277357417502,-8.697814214255739e-05,-0.00021683428015640624,234.91337529779312,-0.0013853299726363647,-0.0014514022672056412,0.0008624351751067554,-0.0011572976490866172,0.00987140947852599,-2.9736541316126585e-05,1.4809678599534838e-05,-4.497991511343219e-05,0.0,-3.786334995874648e-06,1.7792139359626935e-06,-5.6931170705171586e-06,2.294056407914274e-05,-0.0007575952077740829,-0.0034984745463582955,0.00016216924465069812,-0.0032141988284601903,-0.006141019077977236,-0.004301613461018471,-0.00019778956075694348,-1.8212704042267563e-06,-8.445576162826538e-06,0.0021001309681458616,0.00024246393699293558,-3.894386505574848e-05,-0.0002781729892056841,-0.00022433050028007807,-0.0001631982785757269,0.00018107745547052775,0.00010142152905602061,-235.3628829772067,-0.00046431231241939963,-3.846738925902073e-21,-7.870720643993448e-20,-0.0003778407740008555,0.20300231189915796
2014-09-01,2014-12-01,-2.1510413154555152,-0.22956698009237092,1.1642132668651248,1.1819512192227548,3.692063621459237,0.2559204954131197,60.697877910245126,0.389300647318186,-1.3752077396943492,2.8952491318720086,-0.3289362236455595,0.15143236019522655,-1.0413435314630135,-0.5692039619488007,0.8731723220287404,1.3543405742623003,0.2088241052183193,0.24335204355112872,0.24742777818418316,0.005888408674432624,0.0003679831528371509,2.8137051162585854e-06,6.540655953548696e-05,-3.30337994334707e-05,3.0057133885763536e-05,8.800848635029037e-06,8.165738369491935e-05,-0.00033162267136530504,-0.0011150887466657797,-0.009586069607428893,-0.0004792599424476331,-0.017051490609274557,-0.022343676740368027,-0.017218033535845268,-0.0030649909703986296,-0.00013527782550168727,-9.62235411254444e-05,0.02102989445618197,0.0009753167147278644,-0.0001549901501596015,-3.09629482536479e-05,-0.0018838646118407687,-0.00019353006169984917,0.0004998484793252239,0.00039649749807318415,263.6308963521625,0.0010506546887796575,-0.0023276825241566406,-0.0007040113255312473,0.0012999726615794429,-0.008869193826384462,1.7893589479024226e-06,-2.4183267218582438e-05,3.0167463626098648e-05,-2.0849342949966456e-05,3.192489663860597e-05,1.7268776510873052e-05,5.027696020219551e-05,-0.00013831235129254963,-0.0006582528976417202,-0.000862757095264901,-8.898243136231049e-05,-0.0034991761801430148,-0.003832547045652269,-0.0016528296642263076,-1.1328789309774906e-05,-0.00013468807156330592,-3.2519566421088694e-05,-0.002645699301775127,2.9702974033061863e-05,1.1856083434281455e-06,2.1356789389933653e-06,-0.00042129969616155004,-5.00901539469396e-05,-4.52769203480434e-06,-6.0079266319397855e-05,-263.70388580830956,-7.753758771406757e-20,7.759803269434215e-05,1.456395264000655e-19,7.453395912428185e-05,-0.060659997826965566
2014-12-01,2015-03-01,-1.4527353949258526,-0.20363089419833716,0.8823963943523259,0.8999364753758538,1.5602620537377356,0.3444689065359273,99.99999999999999,0.1443802331489039,-0.6929104293905638,2.9608577723584717,-0.8784672275139016,-0.5661911023320227,-1.8067735687304587,-1.3066509201844514,0.15531495134910206,0.6844771279026898,-0.5152833787824385,0.5118622596369211,0.5139063896623461,-0.05687941575715555,-3.302490659487526e-05,-3.5804291270500003e-06,-9.299832515492579e-05,0.0007421579701590433,7.060408276170576e-05,-1.2746113590797319e-05,0.00025089654428291384,-0.00010895123937042311,-0.000850198766071704,-0.008535443921903148,-0.0012404274291037104,-0.021313576493267594,-0.03295167170933417,-0.013454216984927743,-0.0016788041033140402,-6.760863584672385e-05,4.847588264283252e-05,0.005518571691102954,-0.00021128224313142903,-8.31448033001122e-05,-0.00012181475454525094,-0.003092669847173418,1.2071315479220759e-05,2.916214750009075e-06,-0.00022999814220104678,258.24057054148136,0.0011950429842360038,0.0012831362469455975,0.0008268469687998567,-0.0013276230053761765,-0.020559005400388523,5.3710344086947356e-05,-9.699128010131812e-06,-8.985818875194301e-05,-1.1315084529972517e-05,9.090192487940142e-07,1.699966759301394e-06,9.639211606635253e-05,-5.0759918023413255e-05,-0.00041546969555824795,-0.0009287607380281318,-2.264289678326728e-05,-0.0022901531256052125,-0.00727582034793738,-0.0056138009302973925,-0.0006300515413117104,1.3106702053948657e-05,9.190122301145424e-06,-0.0004918875160256186,-3.3361372099533824e-05,3.7004654632508764e-05,-5.662276644103889e-05,-0.0004907437073678098,-4.5383930675263745e-05,3.2868509835290126e-05,4.629729682434361e-05,-258.52578805383155,0.0011336322664428316,-7.518076495479971e-20,-1.4849675471908762e-19,-0.00014450754308037344,0.09512834448787635
