Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_target_core_12m_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_Factor_1_lag2,SHAP_Shap_Factor_2_lag2,SHAP_Shap_Factor_3_lag2,SHAP_Shap_Factor_4_lag2,SHAP_Shap_Factor_5_lag2,SHAP_Shap_target_core_12m_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Factor_1_lag3,SHAP_Shap_Factor_2_lag3,SHAP_Shap_Factor_3_lag3,SHAP_Shap_Factor_4_lag3,SHAP_Shap_Factor_5_lag3,SHAP_Shap_Constant
2012-09-01,2013-09-01,-0.0686985256836081,0.4239758545434209,0.2967792151685193,0.2977215699767852,0.24272804493208716,0.22204304838948263,14.739145684026967,0.02161095776426193,0.4126481539876088,0.6300487975865251,-0.0686985256836081,0.4239758545434209,-0.6736481964886536,-0.20948425142886798,1.1019662171029914,1.5277721677196294,0.0,0.2967792151685193,0.2977215699767852,-0.0004467130403826808,-4.3663654379309336e-08,1.3256883037301385e-07,-7.273378373765538e-06,6.755338151094107e-07,-1.6754045932651667e-07,-2.4940357973571967e-06,-3.5628854511549036e-05,5.785723114183096e-07,1.880982638594368e-05,1.0404052253387006e-06,1.4543833866087002e-06,-0.0001638432549007941,1.1798948251864043e-07,-1.747730592204177e-07,2.2368584905681343e-06,-1.5202911381448e-06,-2.4526094286741276e-07,1.459717097900625e-06,-1.5699523931035638e-05,4.889395938583732e-07,1.450944660365214e-06,-8.061803968769744e-07,-2.09866940480483e-06,0.4360474911001747
2012-12-01,2013-12-01,-0.0163107733018641,0.38883595755710765,0.2659540614080898,0.26724601807978565,0.16414387352571208,0.28413724798783524,33.27341436416733,0.9017207054616857,-0.25856776096895756,0.727174330194425,-0.0163107733018641,0.38883595755710765,-0.7931238366352027,-0.30900355902988585,1.1323888477088444,1.739921128492682,0.0,0.2659540614080898,0.26724601807978565,-4.7631949057843644e-05,1.2436925688657183e-07,6.873408906056981e-08,-9.46026453384699e-06,-3.1957902761902e-07,-6.221645084351163e-06,-9.165992384982555e-07,-4.868781560525607e-05,1.2825512454960455e-05,-9.401707708204916e-06,-6.926643819911662e-07,-7.540821766481217e-07,-4.291784207659346e-05,1.2322109361358485e-07,3.4650283406221393e-07,-4.7434637937377765e-06,2.071360889934994e-06,-6.939215286376308e-08,-1.3515917952488174e-07,-8.315787931622135e-06,-2.843988878380215e-06,-4.102998003189627e-06,-1.8807894575350408e-07,3.567101664067055e-07,0.3917308271999613
2013-03-01,2014-03-01,0.0721983425743033,0.37657832349444753,0.22241314394699696,0.2277208563913942,0.09264717278494737,0.34656689591856943,99.99999999541438,5.254805011480215,-3.348422432273024,0.7052590151537371,0.0721983425743033,0.37657832349444753,-0.8140327287403057,-0.385681319701921,1.1221883595181072,1.688170301267887,0.0,0.22241314394699696,0.2277208563913942,0.0002270022365269969,-5.564522370605718e-07,2.356404407444943e-07,8.838861284812446e-08,4.446212099061316e-06,-7.942373046210707e-06,1.3603203538880822e-07,-1.8487594418579253e-05,8.898608102048502e-06,-2.7657930250631627e-06,-4.092914422972459e-06,-4.374077835770169e-06,-1.5030653846143647e-05,7.738604830825967e-08,2.5222746372058546e-08,-1.154857147962535e-06,1.2491954223878396e-06,1.1372736706699417e-07,2.1605813454763806e-07,-1.1843770671883935e-05,-5.355214126264904e-06,-6.4545477553938274e-06,-5.219852889936089e-07,-1.4383370715335702e-06,0.36608560925779915
2013-06-01,2014-06-01,-0.0402056980780329,0.32544179544078466,0.2591919247545254,0.2591634617641083,0.1336980895165937,0.3012526734427805,63.935226361033216,-0.6568958645105425,0.8561190228976627,0.7562800228734401,-0.0402056980780329,0.32544179544078466,-0.9275667781022513,-0.4036332666525427,1.1048428562593338,1.6177563458250772,0.0,0.2591919247545254,0.2591634617641083,-0.0001582434465079184,8.764919633265867e-07,-6.64809959364952e-07,3.2745193593555063e-06,-2.978734117158555e-07,-6.661960547925e-06,-5.620084599647198e-07,-4.4159958413754455e-05,-4.5703309531794414e-06,6.744229204609525e-06,-1.2848027063985542e-06,4.2896258649459467e-07,-3.815748275741935e-05,7.822453085381449e-07,2.228260514060128e-08,1.4084901186117792e-06,-3.5413922563762344e-07,-2.6548787178185417e-06,1.63866238465952e-07,-1.1859467177819231e-05,7.845238841196724e-06,6.985717035127981e-06,-6.344264903409464e-07,4.047463157399413e-07,0.3381994398451294
2013-09-01,2014-09-01,-0.0019006300588486,0.30364214853243,0.231723261909018,0.23704647148311006,0.09335638954927909,0.3402589975635903,99.99999999999999,0.5587033842749008,-0.11499615031897358,0.7678294394255152,-0.0019006300588486,0.30364214853243,-0.9715135088330126,-0.4736854835705524,1.0980787133002545,1.569267490380053,0.0,0.231723261909018,0.23704647148311006,0.00018340310614316504,2.0792705896140906e-07,-2.2257631729391718e-07,-1.16265466550506e-06,1.3856125612652052e-05,1.878585480532275e-08,5.456657188654635e-07,-1.7217670073909517e-05,9.537684351439324e-06,-7.673151828803327e-06,8.841789709853447e-07,3.811075425994472e-07,1.945479520121151e-05,-1.1832451426380847e-07,-1.3424050504200902e-07,3.734476324279381e-06,-2.0032568571155616e-06,7.300220661144047e-07,-5.4293558032215495e-09,-3.1255583168008927e-06,1.257569324924956e-06,-2.875891828403119e-07,-5.481685263075594e-07,-1.2850255998383085e-06,0.32175981751486654
2013-12-01,2014-12-01,0.2551637534921269,0.31361282173530164,0.16851277044499907,0.1696972342304656,0.0034162935784952993,0.4687267497984656,35.34443853347031,-0.7084316370618701,0.8117517688586512,0.7020073203251482,0.2551637534921269,0.31361282173530164,-0.9038789135593744,-0.42064914908263246,1.0244105788876192,1.507957794126632,0.0,0.16851277044499907,0.1696972342304656,0.00022452108191396141,4.982980275010173e-07,-5.5201533458744455e-08,-1.321372906344085e-06,1.158187206107274e-06,8.187251255552509e-07,-2.2343731946633495e-07,-3.818114247899458e-05,-9.106945393625696e-07,1.1413156577760507e-05,5.738919794054831e-08,6.307244660305009e-06,2.499338098663515e-05,-1.245943541112445e-07,-9.883911149543066e-07,-2.4340669921379116e-06,-5.4862797757219324e-06,5.805024873563549e-07,-3.6303003521641063e-07,-5.873146706199892e-07,7.286246062634912e-06,-6.442502530547144e-06,-3.890006290987043e-07,-1.9789720877496395e-08,0.31060183109211775
2014-03-01,2015-03-01,-0.1784907206497266,0.2928647269856963,0.2944881391128299,0.2985747537476033,0.22217595801558992,0.2536111468531248,99.99999999999994,1.3258275375825104,-0.6603648174023625,0.726164339673896,-0.1784907206497266,0.2928647269856963,-0.9072718585984391,-0.4158998145715803,1.0424571570424652,1.522301177954986,0.0,0.2944881391128299,0.2985747537476033,0.0003699580695644744,-8.479927951886824e-09,3.1938787425149903e-07,1.2716431761738094e-05,5.872943321874326e-06,-3.185541220097891e-06,1.7072272135588786e-06,-4.237716973422601e-05,1.5190440307493262e-05,-4.5902219824771125e-06,2.1870690528175606e-07,2.0372227147519067e-06,4.169781795095551e-05,4.94537143094553e-07,-3.318363723650954e-08,-1.3858672204148459e-06,-2.1002432483150272e-06,2.9712118557338663e-06,2.6547103476188227e-08,-1.3193941111754524e-06,-5.4093267066346785e-06,-1.6757281776066674e-06,4.621914847389435e-07,2.804917910153649e-07,0.2990000359820052
2014-06-01,2015-06-01,-0.3619796751591408,0.34823221404084115,0.4249011686114721,0.4260202953314932,0.5044009275610075,0.151450211980762,99.99999999984813,1.2476768332433503,-0.5098595667047002,0.6787672077125012,-0.3619796751591408,0.34823221404084115,-0.7452695228372316,-0.3478842397089006,1.0354241451082706,1.4978474925865597,0.0,0.4249011686114721,0.4260202953314932,6.646287051366162e-05,1.1015562655632516e-07,9.84196965334274e-07,1.9154173010727696e-05,-2.408565920577339e-06,-4.228095288703461e-06,-1.2129205051757774e-06,-1.2874444145118213e-05,-1.5133669033110405e-05,4.385137734120384e-06,5.68151056465546e-08,-2.6156227294021477e-06,0.00019385700638122505,-5.283942325699364e-07,-2.73840272629643e-06,7.980644253887763e-07,-5.491605224469077e-06,-3.2847184784215767e-06,-1.1188073903540696e-06,-5.7644921373424175e-06,-2.182832969198248e-07,-7.862855098459283e-06,2.549852690004607e-07,2.0732693697830267e-07,0.2964958056496836
2014-09-01,2015-09-01,-0.6613065813612096,0.3191578668351579,0.6270043744830963,0.6301236318195758,0.9613105341770073,0.07791525124486312,99.99999999999999,4.833065767417992,-2.8796306728308556,0.6558826853808971,-0.6613065813612096,0.3191578668351579,-0.7884305210910851,-0.391642749105021,1.0048602141385063,1.489794706810068,0.0,0.6270043744830963,0.6301236318195758,-0.0016056848818037281,-2.388683417845887e-07,-3.4179855049344305e-07,9.094098827906302e-06,1.0715869742186903e-05,-1.2789271931199138e-06,-5.786009419484576e-07,-2.1069124032692372e-05,-1.3915148498349625e-05,-7.06153533609127e-07,-5.136532751461465e-07,-1.3277411435000182e-06,-0.00027147492452505337,7.145156897900205e-08,-1.6555037204242047e-07,-2.014790488866211e-06,1.7905883974058777e-06,-1.0428302143701423e-06,5.406493425345519e-07,-5.604807432831627e-06,8.811546737374818e-06,1.2320836092626983e-06,9.366024787305503e-07,1.119013361803173e-06,0.28589223815181397
2014-12-01,2015-12-01,-0.8846061718801757,0.27070082580958954,0.7956386595912293,0.8019941654726163,1.3347342589109392,0.048124430638614345,99.99999999999996,-0.4130765531504513,0.5607560564156439,0.6883468908321579,-0.8846061718801757,0.27070082580958954,-0.8569992062156251,-0.41124282981171406,0.9686818594126189,1.4029942181995907,0.0,0.7956386595912293,0.8019941654726163,-0.0019469649675343055,-4.468035019607638e-07,-2.6141469774198672e-09,-1.6560640112522567e-06,6.945418845993719e-06,3.3184248238189214e-06,4.0792128474234635e-06,-1.2465910004692308e-05,1.5983793295198706e-05,-2.573714576917405e-05,8.484916425107932e-07,5.851361765827197e-07,-0.0003208511755071089,-7.589421105020437e-07,3.4359372175847816e-07,1.4569629916889072e-06,1.1270126037686105e-06,-2.629482964016796e-07,4.1041272647650794e-07,1.3596253151495592e-06,-5.973994651271534e-06,2.468709735368509e-06,-3.600917989374429e-08,-1.0516309842154304e-07,0.28210555392278436
