Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,LogS_direct,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,q05_YoY_timesafe,q16_YoY_timesafe,q84_YoY_timesafe,q95_YoY_timesafe,Violation90_YoY_timesafe,UpperViolation95_YoY_timesafe,SHAP_Shap_target_headline_3m_lag2,SHAP_Shap_PPI_lag2,SHAP_Shap_real_turnover_lag2,SHAP_Shap_retail_turnover_lag2,SHAP_Shap_Manufacturing_EU_lag2,SHAP_Shap_Vol_loans_lag2,SHAP_Shap_Exchange_Rate_CHF_lag2,SHAP_Shap_gdp_index_ch_lag2,SHAP_Shap_gdp_index_eu_lag2,SHAP_Shap_fin_spread_lag2,SHAP_Shap_EU_fin_spread_lag2,SHAP_Shap_Business_Confidence_EU_lag2,SHAP_Shap_oilprices_lag2,SHAP_Shap_variable_mortgages_lag2,SHAP_Shap_unemployment_rate_lag2,SHAP_Shap_M3_change_lag2,SHAP_Shap_infl_e_current_year_lag2,SHAP_Shap_Saron_Rate_lag2,SHAP_Shap_kofbarometer_lag2,SHAP_Shap_infl_e_next_year_lag2,SHAP_Shap_CH_2int_lag2,SHAP_Shap_M1_change_lag2,SHAP_Shap_Wage_change_lag2,SHAP_Shap_M2_change_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_time_index_length_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_target_headline_3m_lag3,SHAP_Shap_PPI_lag3,SHAP_Shap_real_turnover_lag3,SHAP_Shap_retail_turnover_lag3,SHAP_Shap_Manufacturing_EU_lag3,SHAP_Shap_Vol_loans_lag3,SHAP_Shap_Exchange_Rate_CHF_lag3,SHAP_Shap_gdp_index_ch_lag3,SHAP_Shap_gdp_index_eu_lag3,SHAP_Shap_fin_spread_lag3,SHAP_Shap_EU_fin_spread_lag3,SHAP_Shap_Business_Confidence_EU_lag3,SHAP_Shap_oilprices_lag3,SHAP_Shap_variable_mortgages_lag3,SHAP_Shap_unemployment_rate_lag3,SHAP_Shap_M3_change_lag3,SHAP_Shap_infl_e_current_year_lag3,SHAP_Shap_Saron_Rate_lag3,SHAP_Shap_kofbarometer_lag3,SHAP_Shap_infl_e_next_year_lag3,SHAP_Shap_CH_2int_lag3,SHAP_Shap_M1_change_lag3,SHAP_Shap_Wage_change_lag3,SHAP_Shap_M2_change_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_time_index_length_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Constant
2012-09-01,2012-12-01,-1.6759017886272431,-0.12791258107933132,1.053736341831632,1.0607083628862963,-2.220973548965994,2.396270586684812,0.31412632246013505,99.99999999999868,-2.551474448789094,7.99347766519077,3.165604107100106,-0.4353856468247485,-0.048388344937770604,-1.391616720880665,-0.850083343659861,0.7619529641192822,1.2783037376584696,-0.016410199667937775,0.19499365481989422,0.1960109830659598,-1.6725892005513807,-1.131055823330577,0.48098048444856634,0.9973312579877538,0,0,0.0005446021208819557,-0.0003462065629652967,-1.5302202911146964e-05,-1.4861469457669697e-06,6.143460057651983e-05,3.163292370756662e-05,6.875832291257924e-05,-1.418808710025532e-05,5.826552543634527e-05,-0.00040283207519454107,0.0006067585078424309,0.00010650394215439487,-0.0014967340036598842,-0.005456866290769817,-0.0020700882351452213,-0.0002560223761138347,-2.1695147373559646e-05,-1.839069996567693e-05,0.001197050088173593,0.0002507962767324137,-0.00016695684714844046,6.25985801383371e-05,-0.0009443631533140856,-0.00011023671598620258,0.00013040256017305836,9.296420029130821e-05,322.53432573177105,0.00018244282900745448,-0.0004945139641680271,-4.7378303425003025e-05,0.00016683184817684486,-0.0005659362449343814,-8.743725672956852e-07,-5.802457188839039e-07,-1.168242003136852e-06,3.62054079874035e-07,3.659093286379439e-06,-5.897376997697212e-06,4.195602700112396e-06,3.274160453751336e-05,-7.134589144863568e-05,-0.0009334468922119299,-0.0002529687407714629,-0.001210269568866543,-0.0025045860507118423,0.0001940739027272836,-0.0006110276010040618,9.1767550636202e-06,5.793213779516443e-07,0.001843657204267933,-5.923253946855685e-05,-1.1532910231642093e-05,-4.516425658702946e-05,-0.0004588312856640103,-0.0001416855137040889,-1.4046322010538647e-05,-2.8736990970058552e-05,-321.90725442006055,-6.238219466482328e-21,9.053205557255903e-05,2.9132929554500703e-20,0.00011867801783361821,-0.6308937505914017
2012-12-01,2013-03-01,1.0026598726764036,-0.320010958597749,0.9379791198062176,0.964551766181559,-2.1519801454765686,1.749458127903458,0.6557660967557334,47.68342801551469,0.5015303586834933,-1.837425069321704,3.1245651456215535,-0.5953826692453035,-0.9260503770638416,-2.1693955517401293,-1.6817608498028678,-0.09890725650366126,0.41815614823673186,-0.8460476374144044,0.21033043742374435,0.21010956468534683,-1.6270142254145041,-1.1393795234772428,0.4434740698219637,0.9605374745623568,0,0,-0.0008606872227195086,-9.93038906050272e-06,6.917888843513893e-06,1.639210868064563e-06,2.8403237628395303e-05,-3.835558136450037e-06,7.778727336996933e-06,5.679055620997674e-06,5.592443418812977e-09,-0.0004887933681436704,-0.001562697616798855,-0.0008561050666385798,-0.0015619258815311977,-0.007188475862820482,-0.005372448630500762,-0.00034711493734273016,6.450999490985421e-05,2.208687281060752e-05,-0.0004282005368685429,-0.0004946692374746051,-0.00015204555365265957,0.00048399441443335755,0.00034608107057340593,-0.0003149584564324637,-2.100089902707625e-05,-3.485812431042853e-05,190.7037122582523,0.00017613050159206813,0.00023870363148968145,2.6243481398049864e-05,-0.00018198205870295699,-0.0011937444787609454,3.3857418635793256e-06,5.4078553546763277e-05,-1.7875506782300436e-07,8.157337610298337e-06,-5.8339127769426815e-06,7.185730257444262e-06,3.093224810173922e-05,5.292204176621374e-05,-0.00030791126509425255,-0.001042072177070666,0.0003557456995271405,-0.0015726150540289925,-0.003210534191817595,0.0006917166864450717,-0.0006371268833716087,1.678782784514057e-05,3.47626849682742e-06,-0.0015709900404213576,0.0002659274027504986,-0.0001710391133401918,0.0002675474963952274,-0.00024287969219187656,-0.0001816508932689012,1.5801051672071834e-05,9.901330544650003e-06,-191.22745842121358,0.0003374424022541631,3.662043535483038e-20,-6.403852765963538e-20,-8.990568595257083e-05,0.3956358969554694
2013-03-01,2013-06-01,0.9673552161846288,-0.24684458664994982,0.921895646636208,0.9371492308178766,-2.140498665639304,1.4742811612035296,0.652780658305158,78.19581573752032,0.8941218949048416,-3.0465243393619166,3.10386228194071,-0.1279526276012355,-0.43150257830988015,-1.6832867484163105,-1.1982475090869602,0.3600348634755471,0.8435044768295298,-0.3697914316473927,0.4963198886634571,0.501743099242291,-2.1952995905280193,-1.710260351198669,-0.15197797863616164,0.33149163471782106,0,0,0.0004823817198557876,-4.8093700368626696e-05,2.537875673912213e-05,9.512310853630425e-06,0.00014406562405666005,-3.4994442844956015e-05,-1.0247212859697688e-07,0.00023460678569217007,2.617090877619486e-05,0.00014246265104798003,-0.0013570496884916913,-0.00035285509948043497,-0.0028009165514667985,-0.004397388321829536,-0.001588238191833275,-0.0020501473101017364,8.75927706272275e-05,3.0079389520633858e-05,0.004290760990985286,0.0006483867145969851,-0.0001888010810810856,-0.0003131117084219139,-0.0003917616188580605,-0.0002521913629784778,4.149009273704268e-05,7.933637406235749e-05,205.11936219380775,-7.15109255194292e-05,0.00024289856234492908,-2.007103536119235e-06,0.00022498950279615818,0.0006957732894629974,8.177345053232018e-05,-1.0181347212734377e-05,1.6543682400977025e-05,-0.0,1.2930065889449213e-06,-2.738450479800765e-07,6.731093096728475e-05,2.304966521566688e-06,-0.0003969149005773436,-0.0002564047523106249,-7.40168921168323e-05,-0.0002247118706147257,-0.0011100086182755607,-7.41219628780619e-05,-0.0005736987458933353,-6.654517429346876e-05,1.3776721679898668e-05,-0.0012228398938427564,0.0002931342498448023,-6.354157249876669e-05,0.0001592665116475518,-0.00042128306107478715,-0.0002094685752459897,-1.3773547252792036e-05,8.870262402237134e-06,-205.81310256774665,5.792474299283939e-20,0.00016795139372851342,7.84364397899578e-21,4.234541700131139e-05,0.4039905944581897
2013-06-01,2013-09-01,-0.5156316360427127,-0.22424457672264403,0.7505331165622842,0.7590330323411649,-2.0681734470941446,0.0849064183391972,0.45707411932413566,49.28649639997341,-0.048656793138266596,-0.024829481021797516,3.1206882672623824,-0.0553795839522308,0.0174671808777863,-1.2842916987725035,-0.7401996656463009,0.82480061660111,1.3443600437266214,0.07352832505844731,0.19175987090189706,0.1952383982188989,-1.492465536244862,-0.9483735031186594,0.6166267791287515,1.136186206254263,0,0,-0.00015446670733190444,8.503052498856561e-06,8.535240950133803e-07,5.718322518365553e-07,-2.7194391461226137e-05,5.963780604138862e-07,1.594819481629848e-05,3.7149404758960615e-07,0.00012060161171375134,-5.825537021613329e-05,-0.001766864921491524,-0.0002730220946081031,-0.0019004134410126707,-0.00205868538824769,-0.0028573397981135995,-0.0015241882192895723,7.533503272880248e-05,-9.80357849765773e-06,-0.0016455303294829653,-0.0001059791793904744,3.377575975726318e-05,-0.000266225665121215,-0.0002286868613924507,-0.0006273455184673709,-7.675892473656416e-06,-1.5130878489015297e-06,93.45867301775762,-0.0003378129431813194,-5.281026473856698e-05,-1.790841087164716e-05,-0.00017121450271079957,0.0008683204054186418,7.075279264979457e-06,-2.6800231469134913e-05,1.6851789116066196e-06,-4.055120655378866e-05,1.6025357738936475e-06,2.755080709963696e-05,1.5206840226010819e-06,-2.2994140822941165e-05,-0.0002985551118024565,-0.0024346189185388,0.0002732893458273693,-0.0005967084428779693,-0.0014893154616994382,-0.0007645522009793636,-0.0007134489567667498,-0.00011791560072401088,-2.062590991453665e-05,0.0017693355000911004,0.00021841444970692236,1.1420019323046903e-05,7.668707404918095e-05,-0.00023433884496387204,-0.0002492592535139672,1.3542563819418102e-06,-1.1916213645725804e-07,-94.72187202860023,-0.000354540695401443,-2.0292391398388235e-22,-1.6862635754560148e-20,-3.758298739611858e-05,1.0489558203700498
2013-09-01,2013-12-01,-1.1860208515447113,-0.22647818416213714,0.8642264868160617,0.8859732267687861,-2.1238176997749507,0.9207221305276653,0.3843646354248752,99.9999999995892,3.151150647358534,-10.151777316957096,3.1366295809118636,0.0670906503184021,0.30697631716404566,-0.996198529020113,-0.49357234409301237,1.1327880565218342,1.6847335544225484,0.3635958632045799,0.1886548661274598,0.19516988324494283,-1.2245674647375397,-0.7219412798104391,0.9044191208044075,1.4563646187051216,0,0,0.00017229167476664673,-1.9133358485699026e-05,1.4342600569131262e-06,-1.597748569881722e-06,-3.3348491412903613e-06,4.02636369986639e-06,2.3454901072878685e-05,3.3838639272177156e-05,-3.4050735344521823e-06,5.8653080578806325e-05,-0.0013665364132994689,-0.00045704117894258475,-0.00021593003883808753,-0.009128923033339679,0.0010419005217554235,-0.0011841042267285826,4.471139130914236e-05,4.595440077521128e-07,-0.001531706051649379,0.0003548996435594821,-1.1318586826443769e-05,6.98416394691699e-05,5.979634028216663e-05,0.00013728658288323379,6.539096668843343e-05,0.0001425068275855933,412.6288195409064,0.0001891988336285145,-0.0003095377687974222,0.00011443538071682673,0.00025856962869757284,-0.00040735578557808065,7.941637875341295e-07,-2.2575006841996225e-05,2.767210685518225e-05,1.2121617879050204e-06,-3.245816549682956e-08,3.7114804813483328e-06,1.9714457380600097e-05,-2.7403078304620243e-05,-0.0006286410427029728,-0.0005678932430580889,-0.00017716353707300774,-0.0010911192421350165,0.001517238598026991,-0.0017890638360396872,-0.00024259097931521442,-3.359430552471317e-05,-1.1823067313277528e-05,-0.0011724193433887563,-0.00011695774809817726,-1.936083725178272e-05,-9.170550349109464e-06,-4.055375752030046e-05,-0.0001236346405610657,1.6374537640426397e-05,-2.546172206321461e-06,-411.8512434492045,-3.86694378362988e-21,-7.163272791176283e-05,5.413102865049101e-20,0.00012097465302382345,-0.9784145382116864
2013-12-01,2014-03-01,0.7453886205475158,-0.3672708741413835,0.8654983988394659,0.8891592528691838,-2.0932469351360092,1.2380111511213565,0.6389195616055212,99.99999999999999,-1.220381482029643,3.3694881532250025,3.029054698578369,0.0027728372861801,-0.27539203638604465,-1.550868446627336,-1.0378263760692157,0.509877663788176,0.9773263867462506,-0.18357431785069878,0.17977896055396952,0.18577178262651495,-1.3311542442586544,-0.8181121737005341,0.7295918661568576,1.1970405891149323,0,0,-0.000571900110076231,9.117537740448045e-05,1.4289921982614544e-05,3.2245996058864007e-06,-3.192575359805602e-05,6.3685141060861545e-06,6.980301256950754e-05,3.5986724574489104e-06,1.581677748535025e-07,-0.0003366952707264173,-0.003241058022470796,-0.00015087503243747176,-0.0035008505778429838,-0.003834416205472968,-0.0016619455460368813,-0.0009304584929022581,1.0866591722252518e-05,-9.425755021225296e-07,0.0053038035582208395,0.00017650937740959136,6.186792843963233e-06,1.806707636031042e-05,-0.00022147801778692126,1.4134393877473091e-05,1.6273083908930302e-05,8.003555552819952e-06,207.50539091804023,0.00019391359632491725,0.00015027796369335177,-1.771037976753077e-05,-0.00017312776594989254,-0.0009483720113841618,-1.7500007257241956e-05,2.5683481343192272e-05,1.3874120692443481e-06,2.0489337665164225e-05,-6.663224333659324e-07,9.451113827339838e-06,-4.4890333191230044e-05,5.505377875789286e-06,-0.00019273336441768602,-0.00036504044095861507,-0.0002160679473080588,-0.0007162659635443975,-0.0037889014580112963,0.0006868559089977794,-3.43816878819492e-05,-1.154883201898007e-06,-2.178697961443637e-06,5.499168045508659e-05,-5.9967048038325966e-05,1.3415111954977376e-05,0.00010923330277110645,-5.8334286621193624e-05,-0.00036257799439938027,5.689506530072906e-05,3.3917230390843805e-06,-208.04656829114185,0.0003318485219407058,1.3627122886424422e-20,-6.578294038347954e-20,-7.080925038817908e-05,0.3090482169892203
2014-03-01,2014-06-01,1.1545891680473377,-0.15760983636984738,0.9605372405097504,0.9614970887286861,-2.1291771082506843,1.7218662271934513,0.6730664505788031,99.99999999977418,-3.5006854181956717,10.234469672866823,2.9772910672394555,0.0495813252518573,-0.2784684258524389,-1.6146668007264775,-1.0755332075941149,0.45799642221329545,0.9332809388013584,-0.23906596675997704,0.489581462981652,0.49622587846922817,-2.075019120585447,-1.5358855274530847,-0.0023558976456744115,0.47292861894238863,0,0,0.0009512688247261364,1.5127187735166028e-08,-5.833611620751306e-06,1.7683630604711897e-07,-1.4521076403465e-05,-3.886054501835258e-05,4.713315304073913e-06,7.545889736324859e-05,-3.358298784191574e-05,-0.0008527299814268234,-0.0030650763357979805,-0.00010205968588835892,-0.003376871389402557,-0.005213114366356788,-0.0019479077954164124,0.000201714728268303,2.59308229219966e-05,6.999300785224058e-05,0.0026063382826751256,-0.00011599274725521072,-0.00012786930518752802,-1.6221144376762362e-05,-0.0003722960515484289,-6.014313271423768e-05,2.8591036014142136e-05,0.00013948962514537787,243.96715708493804,-7.403104196158564e-05,0.0004957455803666825,-0.00018463827983272306,0.00016848806048217648,0.0006375563138321173,-2.9702975309816564e-06,2.3466618533954726e-05,0.0,4.252466660753558e-06,-9.431289633438435e-06,6.107097229634215e-07,-8.738416258243825e-05,2.9356258845369192e-05,0.00037696719273352914,-0.0012786760273748117,3.0131865522848024e-05,-0.0018154449908026253,-0.004838766948901469,-0.0003087154711981006,0.00011960830908993893,1.539489169499317e-05,-5.006246072540793e-06,0.0018854603038385334,-0.00020413680375245668,-2.5677167181283294e-05,-4.944512215931908e-05,-0.0001741570700352805,-0.00011564104390048359,4.094880769189318e-06,-3.88985770984342e-05,-244.48808764489394,5.924670331146897e-20,0.0001418279802405105,9.136890100097278e-20,6.712736606452823e-05,0.18343561949507692
2014-06-01,2014-09-01,-1.064681367721576,-0.29916405812664854,0.7767333734487877,0.7969895895683595,-2.0565758000564403,0.5860167512894561,0.4053091361568647,99.99999999999999,-1.0377307502260682,2.7883868658131563,3.0065765441618795,-0.0876811076678585,0.10369821973087336,-1.1770826314058254,-0.6805854403799193,0.831527103904705,1.3351264726796204,0.1784892342625355,0.17770505888213345,0.18117474735056635,-1.3968298080363168,-0.9003326170104108,0.6117799272742135,1.1153792960491289,0,0,-0.0001981972956992912,1.1371900958881317e-05,9.11333828184135e-06,-5.1632714171549965e-05,-2.725086618350047e-05,7.859303742172497e-06,5.279090034473416e-05,6.760142752376985e-05,-5.168931520704707e-05,-0.0003639750495802811,-0.0015373418527601637,3.284998049336954e-05,-0.002536393478197185,-0.009327389531378728,-0.005563119998091182,-0.0002635716941310446,1.862669698419154e-05,-2.586300171611519e-07,6.181199501746634e-05,8.781189904110997e-05,-6.977250574406076e-05,4.446827025395032e-05,6.875173080439102e-05,0.00014681155504504167,2.6336367796928477e-06,-1.0764167321637339e-05,400.14639832534357,-0.00043091078087191775,-0.0001205272664572057,0.0001534969302673585,-0.0002764461795935839,0.000974494990530729,6.269285852003104e-05,-1.1461469594504306e-05,3.12416370475061e-05,-0.0,6.445414731816087e-06,-2.473578833516716e-07,1.390617098047924e-05,-2.2409343760976904e-05,-0.00021461885615480186,-0.0013613136669950719,-5.484427563543081e-05,-0.001033073252544329,-0.006904795407349266,-0.002777763252061122,-0.000568537470158702,3.858100210279033e-05,-4.811232313660857e-06,0.0007918045013927924,0.00011294888246798339,-6.258812460018632e-05,-3.923806731185729e-05,-0.00023698547336707662,-7.131367324457763e-05,6.039283184411576e-05,4.630435450203225e-05,-399.71975376984545,-0.00041616325651059016,6.929319879616006e-21,-1.3188737644924727e-20,-8.862622969384912e-05,-0.7234054742038416
2014-09-01,2014-12-01,-2.1510413154555152,-0.15128011254459167,1.208622952164203,1.2181523307164182,-2.2803763164612114,3.999044868667744,0.2622792540716841,99.99999999998975,-6.610732991930885,18.172258344443456,2.766300899695691,-0.3289362236455595,0.17100407708217139,-1.135482982428975,-0.634921253620933,0.9394804089632804,1.3577558004607404,0.2088241052183193,0.2554320351333033,0.25777102498317406,-1.2442510022815758,-0.7436892734735339,0.8307123891106796,1.2489877806081395,0,0,0.00017746445459757294,6.745299040678831e-05,1.2216784116648301e-05,4.806225647487035e-06,1.933795442849234e-06,3.0545662012728964e-05,7.645528992299e-06,1.8540015937486254e-05,-5.125015406862803e-05,-0.0004965061140811571,-0.0012208565175009685,-0.00010987992140382152,-0.0014369738089473204,-0.0015621281357201936,-0.004221021897859927,-0.00015441886059595404,-2.001661116947947e-05,-2.95524703262905e-05,0.0038133417327668837,0.000593482797079091,-1.785469545308963e-05,-3.1236509462413795e-05,-0.0005757606839312187,5.952462824256679e-05,5.908433358677779e-05,0.0001110476362101189,393.6044645377522,5.715806598659238e-05,-8.81227528654974e-05,-0.00018586257188843333,9.329052774994025e-05,-0.0009475886594073106,7.968405385432042e-07,1.9074670501844033e-05,-7.424857018893732e-06,-1.8487605569802136e-05,2.225768041065207e-05,2.3019105932229095e-05,4.797389322707838e-05,6.304586046332451e-05,-0.00014461065592450903,-0.0007150094532948721,2.840646447641936e-05,-0.0011670709093484829,-0.00201189672309324,-0.0012166181276523408,5.155211193336179e-05,8.424627399441957e-05,-1.2722092905109903e-05,-0.0005947732016817555,-7.102008981292514e-05,1.215390040105932e-07,-4.2437704561088156e-05,-2.3848362994784234e-05,-7.693757847179702e-05,-1.4449174023815779e-05,-2.2311614028088664e-06,-393.01451792748145,-2.8359645542506396e-21,-0.0002267161259611014,3.6158857040932505e-20,9.443937155758668e-05,-0.7984868948797252
2014-12-01,2015-03-01,-1.4527353949258526,-0.24854476248063534,0.8742384666148937,0.9066150057592338,-2.0909737166502786,1.4500750792688122,0.3461395827058742,99.99999999999896,-2.7547505280515443,7.698212448885946,2.8882668697382106,-0.8784672275139016,-0.5774195694025973,-1.820891187255516,-1.368597657371738,0.14087859368905145,0.5755361300779287,-0.5152833787824385,0.5072009713854105,0.510219093043,-1.2849129872039815,-0.8326194573202036,0.6768567937405859,1.1115143301294632,0,0,-0.0016275212868548676,7.670586571874758e-06,-1.4442911105239157e-06,-5.677263717810097e-05,7.41748553080215e-05,1.4895370662787455e-05,-5.304930573160649e-06,8.679332072181066e-05,5.834822154210852e-06,-0.0003948206307450655,-0.0017657926176869135,-0.00025198655714400167,-0.002393556704509945,-0.002256697294302698,-0.0028536379314396533,-3.036338321400752e-05,-1.9120563507531266e-05,1.5709621966806994e-05,0.003714199633610313,4.50343644311319e-05,-2.1789718627109724e-05,5.824530213778565e-06,-0.0004909305674971878,-7.033260249469204e-05,3.7246904331524774e-07,-5.046317229911167e-05,32.7246296095545,0.0004728384000238748,4.305765085797556e-05,2.2759500320658618e-05,-0.0002921249133353641,-0.001785415789504704,1.1721254711468538e-06,-2.6040630168775006e-05,-0.00013021742554899886,-5.73996593601896e-06,8.221343598558808e-07,9.077006797346847e-07,2.5468612706726383e-05,-4.705435884479936e-06,-0.00016407748896253002,-0.0005058311245954856,-5.3218250087074216e-05,-0.0009600244735639269,-0.004504852923785602,-0.0005610815039664109,4.9414566064265155e-05,-1.9334592711656053e-05,2.1136152655208475e-06,0.0018813118842596235,-0.00017371914670954484,8.263694854753619e-06,-1.2904497808206626e-05,-0.00011956015923865404,-6.521976475411754e-05,1.5163054125860805e-05,5.983294016503411e-06,-34.381817406193555,6.499527996627867e-05,-5.193198633775529e-20,-7.553811126901848e-20,-4.262576709531741e-05,1.3633123889661871
