Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,RMSE,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,SHAP_Shap_target_core_3m_lag0,SHAP_Shap_headline_1m_lag0,SHAP_Shap_core_1m_lag0,SHAP_Shap_sin_cycle_1_lag0,SHAP_Shap_cos_cycle_1_lag0,SHAP_Shap_sin_cycle_2_lag0,SHAP_Shap_cos_cycle_2_lag0,SHAP_Shap_Factor_1_lag0,SHAP_Shap_Factor_2_lag0,SHAP_Shap_Factor_3_lag0,SHAP_Shap_Factor_4_lag0,SHAP_Shap_Factor_5_lag0,SHAP_Shap_target_core_3m_lag1,SHAP_Shap_headline_1m_lag1,SHAP_Shap_core_1m_lag1,SHAP_Shap_sin_cycle_1_lag1,SHAP_Shap_cos_cycle_1_lag1,SHAP_Shap_sin_cycle_2_lag1,SHAP_Shap_cos_cycle_2_lag1,SHAP_Shap_Factor_1_lag1,SHAP_Shap_Factor_2_lag1,SHAP_Shap_Factor_3_lag1,SHAP_Shap_Factor_4_lag1,SHAP_Shap_Factor_5_lag1,SHAP_Shap_Constant,Shap_Base_Effect
2012-09-01,2012-12-01,-0.5585614490200008,-0.3645828504630636,-1.0584256728143215,-0.7820689154596088,0.03172224898327708,0.2999870012703528,0.03762769669811341,0.13593075084879785,0.13229513228786297,99.99999999999991,-0.12423085282050939,-0.31497148536145264,0.416687137606401,0.32329466079712876,0.3297994643116359,0.0012710035282565983,0.00041686731798777773,-0.0055069107489676495,-5.398502910894878e-18,3.9998567528012456e-18,0.012858842152497916,-0.037195297095751076,-0.004508834256595991,-0.06017159115200482,0.0004732818653627114,-0.0001631848332197169,-0.2042234984522805,0.000172858694379546,0.0017594455753263175,0.008132440422861622,-0.01462164202771784,0.014148623625524933,-0.0013865023443234618,-0.0298889073534242,-0.007723026393599148,-0.05343965946953758,-0.0024549238299704026,-0.0008709649059564119,0.15010344196047604,-0.464151340126584
2012-12-01,2013-03-01,-0.5559402157513382,-0.47490474921065295,-1.1214469828374016,-0.8784139796189654,-0.04684745159620808,0.20308262561946896,0.006566746837466522,0.10422530996468056,0.10295520885958356,99.99999999999999,0.558035934562098,-0.7005948897429976,0.4090154059315158,0.41871200616142346,0.06877769857515713,-0.0006972594332805117,-0.0003707235492748022,-1.7897550814680996e-18,0.02999972630978363,-5.084152605291068e-18,-0.012319696504878668,-0.03298460986208618,-0.00632474358432339,-0.06920252952182099,-0.0019004789580298548,-0.00012913571280695485,0.077258771079867,0.0019363627924329641,0.000628333579315697,0.004059735324664037,0.026204549009746066,-0.014390854381307678,0.0014692777801001877,-0.033713797337074816,-0.012923552517721851,-0.06076286871633296,0.0014943481015046048,-0.00014390764247990665,0.14224528538959091,-0.5800512707868855
2013-03-01,2013-06-01,-0.2379100909859488,-0.6627842550958238,-1.3697679476987437,-1.0977782560848517,-0.2707944939402076,-0.04559266534980532,0.180518055328065,0.2597702448438599,0.2597817642051098,99.9999999999363,-8.423653118815649,2.2680992188842684,0.3467783811498486,0.8604076179777294,-0.01759447579358024,0.0009915053165497005,0.00039785647466815687,0.007904741924466814,1.8380903508377314e-18,1.3971796039421529e-18,0.012209588736067931,-0.045326206589591175,-0.015999663648100387,-0.05635975547054958,0.002395343311117452,5.513282157644384e-05,-0.09340864062826838,-0.0017546543240112198,-0.0015568906477902752,-0.007340956752525882,0.014999598466545945,0.014212117666191472,-0.0015526516634337515,-0.030707153856699334,-0.03213512353802824,-0.043830507306199626,0.0013800237027207433,-0.00032132367700455863,0.13267728986882552,-0.5260919937374986
2013-06-01,2013-09-01,-0.0686985256836081,-0.04014318642256043,-0.6834503022865341,-0.42616683306495756,0.3774160118569399,0.6694849133554622,0.0008154074003135305,0.09651040302508584,0.09502687541632242,38.651076967296596,1.7791275806044922,-0.7412370401164278,0.39072310465468896,0.47296616081550835,-0.21094998558648478,0.0004023488059923278,-5.502072938822888e-05,1.1885184114101691e-18,-0.029387068925394846,-2.792050776169813e-18,-0.01247467087086308,-0.039527229013232974,-0.011941671835368442,-0.046167133339992734,-0.00227088590238599,0.00010060165263088997,0.12272313692051258,-0.0006350021621027356,-0.0012281691145217318,-0.0031626506959950445,-0.02672725723501497,-0.014062651316654599,0.0018571722645845789,-0.04588573663206449,-0.02706822611408926,-0.034444971869552025,-0.0013424073680189444,-3.811903170590201e-05,0.1355163291265649,0.21788284889368015
2013-09-01,2013-12-01,-0.0163107733018641,0.11594968680975937,-0.550268925060445,-0.2744101670723597,0.5118316631811725,0.7636968159361227,0.017492829308938338,0.11264671172260501,0.11177885339448002,35.94916620780911,-1.4429637355657772,0.6842641681095532,0.3876786058340523,0.3655027636681627,0.2103701991299952,0.0012176057975527932,0.0004504160930132858,-0.010006041397518005,-5.430990627638097e-18,3.997925995489615e-18,0.012768633314328664,-0.01983460476961887,-0.016853533297196,-0.028247795594643462,-0.0032388034523000517,-5.519609299457844e-06,-0.11537312295480641,0.0004591666560066916,0.000228265440089149,0.004884916643379218,-0.01593781868455737,0.014221017309139066,-0.001676161951197594,-0.027485657556056284,-0.024680203277293908,-0.021576159395067785,-0.0027701929894600407,-0.00010960438972132797,0.132335501938467,0.025711583209808708
2013-12-01,2014-03-01,0.0721983425743033,0.10676097943401347,-0.5335042991011337,-0.24985677016944072,0.5037099975469476,0.7814886356087359,0.0011945758666961962,0.09256484386359033,0.09246409262481028,45.598466573481325,0.07884601130979563,0.08772040015800313,0.3825257763379335,0.4525580964167487,0.03120866750593222,-0.0009493034409684172,-0.0006835769673819991,-2.3886957063106043e-18,0.0301583277236843,-5.416170027036886e-18,-0.012301187495417719,-0.020842687821936063,-0.023771133474463225,-0.01756617901123496,-0.0012640437800976031,3.908252021239599e-05,0.10804000881756605,-4.350093056275463e-05,-0.0009674396849887649,0.00284481564703746,0.02764452544133687,-0.014528058737179906,0.0016528763411037995,-0.01605786904553606,-0.03517679548267625,-0.01119554730354603,-0.0018754612422536277,2.0267568150761187e-05,0.13059737665629154,-0.04042182833741137
2014-03-01,2014-06-01,-0.0402056980780329,-0.3967231065094165,-1.0700287932739165,-0.7926163916739257,-0.027533066148958844,0.2353557744927721,0.12710466251462998,0.22095740637326733,0.21954515151827983,99.99999994649274,-1.5326181391145526,0.19247686766638517,0.3898378513862634,0.8254681318990691,-0.08386702623358938,0.001710957966980917,0.0010774519426489935,0.010737622743293328,1.792844590852637e-18,1.4315870625706976e-18,0.012475840291046656,-0.03297252345881293,-0.023564790916243233,-0.019978308073478286,-0.0027537429660044826,-0.0006540464915969227,-0.1300975479877772,-0.0006710893589389934,-0.0019129932863696205,-0.0037182047595809313,0.015401104499554237,0.014067982196514946,-0.0019288318376902138,-0.016598238746645434,-0.04735468522472431,-0.007728746231211665,-0.003274757096049573,2.9001459742752638e-06,0.12142796950618767,-0.2159835601772464
2014-06-01,2014-09-01,-0.0019006300588486,0.18967707651489074,-0.444011524594065,-0.21210201777846757,0.5860109554160434,0.8505864369412719,0.03670201765605377,0.1318097964240187,0.1291280724448733,99.99999999999999,3.014885057893087,-0.9893770679954468,0.3896153687462258,0.31591292153095174,-0.1323406535351608,-0.00038037554834771713,-0.0003781762218645717,1.8378107888404747e-18,-0.030012526545054718,-2.8394596498623393e-18,-0.012231093116951437,-0.0056030046725542414,-0.02060309099440587,-0.018962542428385243,-0.001738604055939317,-0.00024210101925738555,0.14667704849258906,-0.0017142365974051818,-0.001419561405629897,-0.0015054067984874165,-0.028539258209031946,-0.013877200022590009,0.0018090414835084273,-0.02044024945386618,-0.042366648192970424,-0.0104844845864739,-0.000867386292368826,5.788310352481691e-05,0.12725408693638363,0.2463756764992553
2014-09-01,2014-12-01,0.2551637534921269,0.11773358791315544,-0.50137680518514,-0.25890333741525323,0.48836662874579706,0.7577363519009737,0.01888705041106351,0.10961673548762159,0.10811808334566919,99.99999999999999,-0.7964457684442684,0.4225892435202602,0.37908166854322783,0.6389730348985693,0.1859812279010485,0.0006691235843446683,0.0003602810287866281,-0.015101917829267248,-5.44647962871793e-18,4.2607239153106895e-18,0.012500659167669077,-0.009216829096643193,-0.020240035747246664,-0.025555593885497534,-0.0021154608391909277,-0.00022663156722464798,-0.1027010015599252,0.00019483964674654912,3.773591234525011e-05,0.002641082389397369,-0.016322614314274054,0.014509523201243655,-0.0017889374218632839,-0.004875116446181391,-0.03024426464067435,-0.013925720868250906,0.00015888327417113677,-1.6065651984524443e-05,0.12379914330420301,0.04012172645282419
2014-12-01,2015-03-01,-0.1784907206497266,0.13348625597234465,-0.5000838043579445,-0.23245837579493206,0.5313313064776422,0.7767924545350673,0.09732963394224839,0.190456266382451,0.19110369870549945,99.99999999999997,-1.3297617510860582,0.6555654297672323,0.38441985696513814,0.20473398771904006,-0.16206632516427125,-0.0027861119402455225,-0.00048186620066389306,-3.4272834901318048e-18,0.0289021897203952,-5.842364310547304e-18,-0.013053013036250711,-0.008845102670409452,-0.018369118154628224,-0.01840645309183749,-0.0015057603733571044,0.000247901587490124,0.10616875517177418,0.00022770956664229473,-0.0012189944049783086,0.0017874386865721359,0.02862403695691345,-0.014577667954170762,0.0020138105260011398,-0.0077349631498758314,-0.03170571054010911,-0.014338178593513468,-0.0015111898929357388,0.0001200103600483347,0.12547888135036075,0.14254358258041222
