Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_target_headline_9m_lag2,SHAP_Shap_PPI_lag2,SHAP_Shap_real_turnover_lag2,SHAP_Shap_retail_turnover_lag2,SHAP_Shap_Manufacturing_EU_lag2,SHAP_Shap_Vol_loans_lag2,SHAP_Shap_Exchange_Rate_CHF_lag2,SHAP_Shap_gdp_index_ch_lag2,SHAP_Shap_gdp_index_eu_lag2,SHAP_Shap_CH_2int_lag2,SHAP_Shap_infl_e_current_year_lag2,SHAP_Shap_infl_e_next_year_lag2,SHAP_Shap_M3_change_lag2,SHAP_Shap_M1_change_lag2,SHAP_Shap_Business_Confidence_EU_lag2,SHAP_Shap_unemployment_rate_lag2,SHAP_Shap_EU_fin_spread_lag2,SHAP_Shap_variable_mortgages_lag2,SHAP_Shap_Saron_Rate_lag2,SHAP_Shap_M2_change_lag2,SHAP_Shap_oilprices_lag2,SHAP_Shap_Wage_change_lag2,SHAP_Shap_fin_spread_lag2,SHAP_Shap_kofbarometer_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_target_headline_9m_lag3,SHAP_Shap_PPI_lag3,SHAP_Shap_real_turnover_lag3,SHAP_Shap_retail_turnover_lag3,SHAP_Shap_Manufacturing_EU_lag3,SHAP_Shap_Vol_loans_lag3,SHAP_Shap_Exchange_Rate_CHF_lag3,SHAP_Shap_gdp_index_ch_lag3,SHAP_Shap_gdp_index_eu_lag3,SHAP_Shap_CH_2int_lag3,SHAP_Shap_infl_e_current_year_lag3,SHAP_Shap_infl_e_next_year_lag3,SHAP_Shap_M3_change_lag3,SHAP_Shap_M1_change_lag3,SHAP_Shap_Business_Confidence_EU_lag3,SHAP_Shap_unemployment_rate_lag3,SHAP_Shap_EU_fin_spread_lag3,SHAP_Shap_variable_mortgages_lag3,SHAP_Shap_Saron_Rate_lag3,SHAP_Shap_M2_change_lag3,SHAP_Shap_oilprices_lag3,SHAP_Shap_Wage_change_lag3,SHAP_Shap_fin_spread_lag3,SHAP_Shap_kofbarometer_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Constant
2012-09-01,2013-06-01,0.0980377667445964,0.7183302683276346,0.446283319748617,0.4527976845658679,0.3847627875201434,0.3388009305246949,99.99999999997262,-1.1858390679618167,2.457237645037367,1.4669089680509122,-0.1279526276012355,0.33726674858604316,-1.5375285159934107,-0.7645296988182697,1.43946000227901,2.119208472451357,-0.2014809526596828,0.27088982807006623,0.27750975793270016,-2.1861289185673613e-05,-1.3384229470742264e-06,1.599372864280564e-05,6.765656262676546e-07,2.7579036262175776e-05,8.638750382287254e-06,-3.0684421094992652e-06,-1.467222916610442e-05,-2.03451833413099e-06,-0.00027391138299988116,-3.5452734399621456e-06,0.0001064575756503985,-0.0010671620941843456,-0.0003780101056155018,-0.00020170807554707523,-0.0003755642196911989,-0.0009411353812476077,0.005654817569791096,1.0765870629247291e-05,-0.00020189709542196371,-0.002597112510031379,-0.0004681590146204179,7.231343910671544e-05,0.00022034485906390904,-1.7637281676617473e-05,5.7265718211460724e-05,1.225905387849172e-05,9.670368088545778e-05,-3.2131665004075394e-05,7.512933774390343e-05,-6.637934073328052e-05,-4.3309441455115713e-07,-1.3099986003761836e-05,2.543262819524159e-06,8.44458468604494e-06,2.7383536884704565e-06,2.4841767524148516e-06,1.0458514632086854e-06,-3.3647306322229784e-06,-5.186143061352628e-06,-1.2051629561769152e-05,0.0001626748194951046,-0.00039375355689393824,-8.084275255739689e-05,-0.00012345881988185694,7.51826785630728e-05,-0.0006660322128256183,0.004220458564570346,4.242063279321869e-06,-9.56634566406277e-05,-0.0010853491618721411,-0.0002746622415013007,-6.827069245389084e-05,0.00139957988268933,-3.086727826654773e-05,-4.215918550314021e-06,-1.2328403884490618e-21,4.7219712681003496e-05,3.1922366283642862e-21,1.6971977585189032e-05,0.7048376470687405
2012-12-01,2013-09-01,0.4847944842727732,0.6594953136822734,0.349347439082571,0.3527366522429982,0.030520379796367295,0.45123207879119864,30.466584052528592,0.40742751798765875,0.07293344745760148,1.4343390742625646,-0.0553795839522308,0.07564603810489434,-1.6889726033077368,-1.010791702631157,1.1829217567249775,1.8766993111121766,-0.4189754471568108,0.4180517745295739,0.42524116417381996,7.660867804263381e-07,3.5943670187792155e-05,-1.0569988221827105e-06,3.362580818027328e-07,7.44486058998394e-06,-8.455902651311125e-06,-6.050416887400403e-06,5.496226592916285e-06,-3.761014014713917e-05,-0.0002087162719008852,4.507899755074951e-05,-0.00014094117002344216,-0.001209002959781272,-0.00020051655346593032,-0.0001669245089663152,0.002303097461177299,-0.00168931643747648,0.004186374209366906,1.912130607679914e-05,-0.00019824757331203687,-0.0041101901512667445,-0.0004171401908885335,0.00013040271439850414,0.003907006090724508,-3.76700891341496e-06,-4.3871868002886626e-06,1.1020039364454467e-05,-7.175002579330748e-05,-2.6968002479463486e-05,-4.959714908901496e-05,1.4646017184515702e-05,-1.1043248546878067e-05,-1.2116036768987571e-05,-2.0279115195289637e-06,2.7963877821933818e-05,-7.683162816938209e-07,2.090800441637836e-05,4.035151211040022e-09,-1.2284708634125513e-05,-0.0001297202081283116,-2.324366350757193e-05,-0.00012475992668693417,-0.00010185079884635857,-0.00015220713262760154,-1.654265714827468e-05,0.000933566698417633,-0.000803368600438292,0.0012894940737283207,-4.49438452309627e-06,-0.00019679012090329382,-0.001454285285585077,-0.00014762682249008994,-0.00012791796635488876,0.0008540884560950615,1.786337406586799e-05,1.5434105240009475e-05,0.00010311573386609209,1.490618453506137e-20,-1.6720354609961564e-20,-4.011979115825343e-05,0.6838773658950906
2013-03-01,2013-12-01,-0.244765757134265,0.6332539412236395,0.5620828698173219,0.5581613169942554,0.7709185907045056,0.267764424191942,99.9999999999883,1.2353592999409682,-1.1463756379784849,1.4619340717074838,0.0670906503184021,0.7256054240868305,-1.0538891693172425,-0.32534181420386094,1.8791733844055962,2.5791255502272676,0.2506649681691009,0.26877353697989087,0.27159321711944195,1.961789921960655e-05,7.5998347811447845e-06,-1.1664824178012478e-05,-1.2147535170569086e-06,0.00011909613702540758,-7.102513724080817e-07,9.21600775664032e-07,2.6609966078134085e-05,1.4373473992357809e-05,-0.000200169884228994,-1.790099154566206e-05,3.9342214175908864e-05,-0.0009501596858594121,-0.00028606327621496857,0.0002974036500751732,0.0021744729298377318,-0.0012065822659368206,0.009092045385104651,2.939541377903551e-05,-0.00039324543842482413,-0.002779689163905728,-0.0003894899768989838,4.7000357259939863e-05,0.000550348785104962,1.6128576867489234e-05,2.4859734084021384e-05,-1.2245022110053364e-05,-0.00021036386081388364,-3.2721992052233835e-06,7.84611130599963e-05,6.466324824304832e-05,1.383065510901538e-05,-2.0329768623201573e-06,1.4611674083564946e-06,-0.0,-8.447516498296217e-08,6.78954796599802e-08,-2.6533041901615747e-05,-3.277204841491031e-06,-4.953814332213283e-05,-4.7063617569504256e-05,0.0002623815560118244,-0.0005122905945871752,-5.647691972323037e-05,-0.00019084865468626397,0.0005333305534687262,-0.0007746925279655962,0.002036933044274036,1.5187135660827414e-05,-0.0002125619814725891,-0.001028202641862556,-2.4397702207875496e-05,0.00011604896018958946,0.0003041178224024911,-9.814083478713286e-06,-1.0282040977492952e-06,1.5550218309474747e-20,2.221529204872384e-05,3.2218854488463877e-20,-2.1880671607235602e-05,0.6337835119515541
2013-06-01,2014-03-01,-0.318754622346636,0.565282640324129,0.5543891504365746,0.5465789503501354,0.7815218817904191,0.27500016330428945,99.99999999999945,0.2295723483494103,0.2291945867662619,1.4836994219714774,0.0027728372861801,0.6658007842892539,-1.162294553829972,-0.4119182627229337,1.8191867040665104,2.4977084070594557,0.2418388040461572,0.3355167392504072,0.33393688140749295,-4.069881416258233e-05,-8.228763173364976e-06,-7.156969917693239e-07,-1.0138372386749528e-06,-3.4140927124933843e-06,6.490273270710341e-06,-3.974881022582503e-06,2.7575616603511633e-05,-5.986032558000484e-05,3.0116348509663786e-05,7.374582338025824e-05,0.0002748352527785193,-0.0013411216422780884,-0.00014651903028453382,-1.0262173842570645e-05,0.002892457405584218,-0.0018918944767776357,0.009209974058847702,-2.1063830732580634e-05,-0.00038093490290887254,-0.004171962888980426,-0.00016469530693622914,0.0002826499963945599,0.0023579279410969605,-4.2001294517751174e-07,-1.4663876645084092e-05,-4.650257425368002e-05,4.062956230387104e-05,-1.0814963772437145e-05,-1.4871514664839667e-05,-2.9825149720802467e-05,2.35369272439035e-06,5.52129489524744e-06,-5.849970811249042e-06,-3.9802950061203275e-05,-1.4481840098716427e-06,-5.0499703942327756e-06,-2.988880449045765e-06,-1.3475612965138676e-05,2.911958038594298e-05,-9.613755676386908e-05,3.734671990882188e-05,-0.000601246160296728,-0.0003293070076825039,8.296192792575145e-05,0.0013834403500202768,-0.000620424166959871,0.0026373156503238394,-2.173344493113732e-05,-0.0002533040473226696,-0.0015198476999974543,3.171393544190744e-05,-1.7489190690556757e-05,0.0005611506860490851,8.971978537323097e-06,7.217670868540406e-06,-3.102496626276063e-05,-1.631759165581364e-21,-1.2192443448557044e-20,1.5078855727741398e-05,0.5979880666173943
2013-09-01,2014-06-01,0.2379856456833806,0.5672962493829832,0.3634552458113576,0.36840335582788525,0.10844547370899671,0.40924668489809635,99.99999999999613,1.7905945644063324,-1.9671530710821987,1.4102638977442483,0.0495813252518573,0.29656427802655916,-1.4471692874699305,-0.7669308815678759,1.3419790246006191,2.1220328830160744,-0.12890790901067817,0.2503906017252261,0.2546244146103609,1.766541109829541e-06,-1.7457084974610297e-06,-2.3485344466573694e-06,-6.8541519434553855e-06,8.95966884040633e-06,5.576286725534054e-06,1.2053298168653723e-05,-2.7092466342322276e-05,3.3319647745098015e-05,-1.5404234943293902e-05,3.134390942760763e-05,3.4398304840330155e-05,-0.00174530317507454,-0.00018820556387481622,-0.0003412784503351621,0.001372960701904071,-0.00247048831610569,0.00917985854914756,5.614007408840341e-06,-0.0005281071179224567,-0.003225079649405078,3.398681202170571e-05,0.00024944620827767214,0.002295542278939355,8.576660424375249e-06,-8.335219004253264e-06,2.7245362885930158e-05,-5.47604798512595e-05,-5.350491400647509e-06,5.257198520921872e-05,-3.805187786719868e-05,9.976837215432712e-06,-3.60535343263604e-06,-2.5555458500908396e-06,-3.5993012666671275e-06,4.373439690503236e-07,4.453096465165348e-06,-2.460780123369403e-05,-8.656075418138907e-06,-5.472228785634914e-05,-3.435918145343544e-06,-0.00017972649348802524,-0.0006641124907980711,-0.000295444482549891,4.106192021542958e-05,0.0006691993257992879,-0.0006620638265924106,0.003563700999269792,-1.3897920353191078e-05,-0.0001713471022259685,-0.0010448634505720315,-1.7055516595449298e-05,8.854507444651646e-05,0.0014640153618422221,3.0894322581218676e-06,-6.675479109521809e-07,-2.5970492582445398e-21,4.397485740553462e-05,1.734388809456732e-20,-1.6674491908718802e-05,0.5849786524228062
2013-12-01,2014-09-01,0.2784321402910923,0.5314258962855851,0.3562999973914903,0.3556136770290783,0.06400584057220096,0.42400304219345686,24.819571307515147,1.1061418697195524,-1.0056271821774647,1.3924611585214552,-0.0876811076678585,0.10206420932801102,-1.6897655958978872,-0.903529195319623,1.2183448040872533,2.026494337402627,-0.2965052128861778,0.3181934011419659,0.31960050083454716,-1.0603843038451048e-05,5.336976694116254e-05,5.419648364511146e-07,1.5088306042412586e-07,-3.435997019096442e-05,1.467385533099818e-07,-1.1226751097358683e-05,-7.781095071343487e-05,2.4755939074677902e-05,1.0034674627047277e-05,-1.5379163217909606e-06,0.0004179651700664954,-0.0010042996960154223,-0.00023078928722434299,-8.90429756448996e-05,0.0031036663416301757,-0.0020027498194745757,0.010052154470359979,-8.123311356825874e-07,-0.0004737321491570553,-0.004749421140631194,0.00016927473528537525,0.0004015343133678254,0.0020268816925151467,-1.6619197333710924e-06,-9.216693677723794e-06,7.471800629419176e-05,-0.0001090258283646556,6.433503952223835e-05,-4.2568125782491576e-05,5.349874352773159e-05,2.7706993694379374e-06,-5.59545139211721e-06,2.2079152428997342e-07,9.037939917528323e-06,1.104301462239915e-06,-2.8532462496321725e-06,-3.2027251476195265e-05,4.158039494298813e-05,1.1169548523006431e-05,-2.6259117441323476e-06,0.00015274005891428922,-0.00043819553802132514,-0.0001063874178338149,0.00010424462032123394,0.0013735959273908401,-0.0007675862132000209,0.004432249637182947,5.313241148811256e-06,-0.00012839428189451366,-0.0017727302038108201,-8.76941354264117e-05,0.00015546990067091953,0.0010929119239452922,-3.8842301121469807e-07,2.404093886827189e-06,5.5115981805957684e-05,2.1592156173746592e-20,-2.8780960222683206e-20,-1.4092080181062028e-05,0.5734755269380083
2014-03-01,2014-12-01,-0.6870445050432512,0.588918436781203,0.7539515845199989,0.762490065803569,1.6280814289093155,0.19317386963357386,39.4946470727825,-0.4373314545923417,1.2120067632999025,1.4371454345028547,-0.3289362236455595,0.6280359827227812,-1.2417113227567675,-0.4679233776678615,1.6784165476542363,2.384547239754761,0.18634715513687894,0.34148727340595,0.3476526671270984,2.027534403653428e-05,-4.6487995716974765e-08,-4.428348522364145e-06,1.205757249971896e-05,1.3356109443286213e-05,8.50743251433113e-06,3.3898692365148653e-06,9.595510981395354e-05,-1.2348023644115363e-05,-0.00015078907413743672,-4.134180029630709e-05,6.848687386255019e-05,-0.0008577831718022439,-0.00011675734689232635,-0.00011786178759355906,0.0011558195370927654,-0.0022432913698243566,0.009369034163907384,5.606011974671239e-05,-0.00020233892366233765,-0.003827806279343924,-0.00021116102039381516,0.0003033362198142897,0.002263229461441668,2.944939825323482e-05,4.710810223212638e-05,-6.845598220722749e-05,4.926691487393274e-05,-4.0526984860118986e-05,4.635888414094416e-05,6.958865771819006e-05,-2.2354122969458087e-07,2.367794860760249e-05,-0.0,-8.778196334069092e-06,4.88624598713932e-06,-6.801663118088257e-06,1.2501095563809024e-05,-1.0134628057385204e-05,-3.037973204359506e-05,-6.633428652686932e-06,2.9533734046555256e-05,-0.0004563668475589806,-4.3446205192303406e-05,-1.833273901285112e-05,0.0013075553177894525,-0.000942675504613857,0.004387918266357945,-2.0559700167163906e-05,-9.431172129414092e-05,-0.0017501484224743402,8.135165523098137e-05,7.002799790568004e-05,-0.0002420535162988571,-2.6799649709765226e-06,-2.4026323078037464e-05,2.1873390336654606e-20,-3.434204962296625e-05,4.0860236513066115e-20,4.512682891822964e-05,0.560810863603205
2014-06-01,2015-03-01,-1.5561526927009812,0.5029073879887822,1.3590248208167601,1.3717917321095028,4.239728415890135,0.07302738452655556,99.99999999999108,2.390400609983073,-2.880732521093768,1.4152206540898593,-0.8784672275139016,0.665827833003421,-1.098844460983028,-0.37562738479646396,1.7712611146512813,2.4452306953603844,0.28864729201183437,0.8385978885199076,0.8467050330193732,-8.017344227206678e-06,1.2961379501674852e-05,3.931445628364863e-06,1.6785095879337123e-05,-1.0921522865648752e-05,-1.2557530434562823e-05,-1.4305876498509292e-05,1.4681422188193651e-05,2.7567096071736524e-06,-7.423442587234988e-05,-5.216245055940182e-05,0.00021927748882464998,-0.0005063104716570512,-0.0001464682251900633,5.098715202374807e-05,0.0015657123534544195,-0.0022026397748116677,0.01140109473300861,-3.561228078882696e-07,-0.00020231432250952054,-0.002867078289361542,2.376471956050797e-05,0.00030312228398656193,0.0016923930165260962,2.136056827443334e-06,-1.3245389381535342e-05,-0.00023181614715809837,6.011540646692916e-05,7.119567545740083e-05,-2.2330896854769308e-05,-9.466844059690001e-05,1.4494207025572273e-07,-1.0254606150233904e-05,-5.211983316497397e-06,-0.0,4.3886842659531357e-07,-9.035597924266812e-07,1.3865709547266103e-05,-4.101118379807754e-05,-8.938620280349542e-05,-3.4634879113246087e-06,5.663530540548939e-06,-0.00012476110322304004,-5.6103246485760176e-05,-3.6377274005502486e-05,0.00035407297224685516,-0.0009654121752566318,0.004455926047605155,-9.185645725230077e-06,-7.403441800584103e-05,-0.0018289564627697267,-2.121657554694553e-05,0.00022982123550547624,0.0011074649126444633,1.7858474950044555e-05,1.3409357310560884e-05,-0.0001886045607756393,-5.8876502701515746e-21,-4.274713322235756e-21,-3.990718398308499e-05,0.534240534458771
2014-09-01,2015-06-01,-1.0353911030505238,0.582190865192732,0.9766234234259413,0.9847911868439002,2.616571423985725,0.13289402809230075,54.20510737426955,-2.1066022599421443,3.441910271214557,1.3615558454184298,-1.042713669218287,0.17047280696415498,-1.6383411430456973,-0.9082349439757225,1.1890787675061079,1.8410330824161059,-0.266170341930394,0.654986522180003,0.6603551653753443,-0.0002028861037522265,3.1723731091431143e-06,-7.271154132042674e-06,-1.895821040528588e-05,-6.811270136064088e-06,-4.867661984067703e-06,3.2536029392579887e-06,-6.175427445003649e-06,-7.972275869834915e-05,-4.606071670377311e-05,7.551427776300923e-05,0.00015129877129851915,-0.00028632407544887465,-0.00017485032762038684,-4.6925462980048236e-05,0.000825796398186159,-0.002203203582354148,0.014062860691975354,-3.60679151555852e-05,-0.00021095971773733076,-0.0033905298042556445,-9.547549292402011e-06,0.0002790517691425244,0.0027496203036567047,3.770436055617456e-05,5.545791002697862e-06,9.711004981411565e-05,3.998675626692478e-06,2.146479131091995e-05,3.726712606443668e-05,-0.000307115448138018,-3.4922667792690765e-07,1.4937948832564957e-06,-3.492205264894195e-06,4.62624565242346e-06,2.858772361349834e-07,-7.02935560417405e-07,1.2456988220572806e-05,2.5330176260268547e-05,1.0936921739516795e-06,5.833800546875635e-05,0.00023762864727184288,-0.0001683936902087003,-2.8750497439018898e-05,-5.8814016787212275e-05,0.0016871165699860313,-0.0010759504642937957,0.006537563877482925,-1.0911667213378893e-05,-7.429504956721622e-05,-0.0022058248561835896,-0.0001117256770088248,0.00014463328672967312,0.00021817003609924407,-3.2637904574796663e-06,-4.381357125368923e-06,7.687624758881822e-22,6.480996246085061e-05,1.1478984578144413e-20,8.250442524327274e-06,0.51574769878003
2014-12-01,2015-09-01,-1.221828787548418,0.5102429665731584,1.0931852071614507,1.1024654537415122,3.000072561425794,0.10368481759393555,99.99999999999999,0.6850807799571326,-0.43068799515388784,1.3681764964861483,-1.4541319195251925,-0.15507810393401003,-1.8888614741535092,-1.189011836667685,0.8953985356315225,1.5595567667368924,-0.5377603288638788,1.28465338198535,1.2927437939811917,-0.00024389491159403843,-3.74011386034927e-06,4.877677411707541e-07,2.8539019061500606e-06,-3.4700104097005555e-05,6.416072066135287e-06,4.281375907633987e-06,-3.452560697739691e-05,6.773382866795927e-05,-2.5415314990902905e-05,1.9013506880355335e-05,7.461601180548738e-05,-0.0006232414983619919,-0.00013857434575676188,-0.00020403891474098446,0.0020126277048245615,-0.0010849034910968398,0.011824609814330582,1.8094030483001716e-05,-0.0001860448545385214,-0.0031124878580585393,9.390361362563189e-05,0.00021917396992942697,0.00316095327160195,2.427178934975839e-07,-3.0202832781721773e-05,9.048837362795455e-05,-7.751422821370578e-05,3.3581564843908065e-05,-8.979122063728842e-05,-0.00010875161750694596,4.8264051523857415e-06,-9.43250684372797e-06,9.337548043500093e-06,-1.1146040923293485e-06,-5.4089725317098085e-08,7.398512906521166e-07,1.6199162342759182e-05,1.7494354575153552e-05,2.967927367857452e-05,2.261650436459734e-05,3.9453774329499286e-05,-0.00019113571465018229,-3.219559981745281e-05,-3.4843468365939516e-05,0.001455365408981727,-0.0005805772296720747,0.004235478723867717,3.324227458776314e-06,-7.384811117290888e-05,-0.001547735947919806,1.2930510796770366e-05,9.907267320805682e-05,0.0011514553476415087,6.784996120610926e-06,8.298680752075114e-06,7.482214596637341e-05,3.388276799151638e-21,-9.872113417770302e-21,5.5451010468717445e-06,0.5130748268664573
