Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,RMSE,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect
2012-09-01,2012-12-01,-0.4353856468247485,-0.23078421343392652,-1.5362098500395411,-0.9871064024039975,0.5705176115943288,1.1465418850054578,0.04186174654557896,0.20761279858815201,0.20879426326760794,28.976462913931137,0.5176875929399608,-0.6306492566710182,0.7817652500399997,0.39361208363410943,-0.016410199667937775
2012-12-01,2013-03-01,-0.5953826692453035,-0.4891429219653771,-1.8600774563842666,-1.3442066791635683,0.28574603096373863,0.7253725869325338,0.01128688390210262,0.19823106582864736,0.19076439106212184,99.9999999998627,-5.464752629390493,3.551717104980315,0.7394267263903831,0.45221241189548067,-0.8460476374144044
2013-03-01,2013-06-01,-0.1279526276012355,-0.428919320270828,-1.7538733281276049,-1.1998843283846305,0.3605280767861947,0.9315532470349788,0.09058095009647296,0.23251485959606927,0.23178511041808625,52.28935434090601,0.752691376022186,-1.0259161092777622,0.7807502667424154,0.651542745832875,-0.3697914316473927
2013-06-01,2013-09-01,-0.0553795839522308,0.3056508466593205,-1.0455547916591912,-0.4868758401687539,1.0838817547986983,1.593339838487761,0.1303429718275622,0.2469336285450856,0.2471755519205433,85.49318229822035,-3.0205195309839175,2.6202532587815623,0.7659314048433091,0.3275165400623119,0.07352832505844731
2013-09-01,2013-12-01,0.0670906503184021,0.3390438466310731,-0.9446174052821716,-0.39634553386329724,1.1192404145713108,1.6903793609014794,0.07395854098467818,0.21975319083272724,0.21981280310391216,99.99999999999999,0.9473403432014033,-0.37600344760335347,0.7618275628122898,0.3568602407805819,0.3635958632045799
2013-12-01,2014-03-01,0.0027728372861801,0.13438404015947855,-1.132272271839709,-0.6181179941507859,0.8839549038839243,1.339787381095343,0.017321508721756522,0.18621500928506124,0.18311938648559947,22.947990129944554,0.07489047974764818,0.06949618509354658,0.7345297069960501,0.43457823672191487,-0.18357431785069878
2014-03-01,2014-06-01,0.0495813252518573,-0.37963101049408937,-1.6350634165050344,-1.1346022302403722,0.3368689074036129,0.843154706551423,0.18422322915649128,0.27426998186970253,0.27206748315885104,99.99999999992139,-1.1572975328796438,0.45684249158866613,0.7267207536502076,0.7250199135124884,-0.23906596675997704
2014-06-01,2014-09-01,-0.0876811076678585,0.5569472559282143,-0.6653390700231074,-0.19160280478527952,1.326538395337367,1.8356957917681416,0.4155457271525506,0.39601010983138607,0.3896637232217645,99.99999999999979,1.639539233092344,-0.6637270912514148,0.7476702564211788,0.19222608363545987,0.1784892342625355
2014-09-01,2014-12-01,-0.3289362236455595,0.20475706188478465,-0.9640231768211067,-0.5243992382035203,0.9644144971911753,1.4408881682697785,0.28482852302017353,0.3281857034631532,0.32546825247807176,99.99999999999999,1.1461549094299686,-0.6099887317509131,0.7178789800773379,0.22502254366865304,0.2088241052183193
2014-12-01,2015-03-01,-0.8784672275139016,-0.15690773098051594,-1.3953383707679519,-0.9049549612959092,0.5493846984466897,0.9980795818637449,0.5206481070375131,0.43098718571852807,0.4292825845935201,99.99999999999999,-1.626062893993796,1.0118875709753632,0.7205706263503802,0.16497420027286208,-0.5152833787824385
2015-03-01,2015-06-01,-1.042713669218287,-1.4897356362265455,-2.763720242421417,-2.218757916786638,-0.7447389390037013,-0.2511904409385333,0.19982863898793252,0.2775540724959352,0.27227499720079795,83.08449563524934,-1.8572119652920285,-0.0977723570840739,0.7388646181064462,0.7188123973325059,-1.167114519525736
2015-06-01,2015-09-01,-1.4541319195251925,-0.5693001670073063,-1.7738911629627119,-1.3298969878874707,0.14284764034491243,0.6203451044543131,0.7829272302638737,0.5551117921327335,0.5516987583576831,99.99999999999986,-4.131587406955645,2.2980020632795326,0.6915928687531656,0.11590588000807943,-0.776543327287893
2015-09-01,2015-12-01,-1.316989762101528,-0.9086661240879177,-2.0606542193566417,-1.565008074596896,-0.19975820342972186,0.28670814383200083,0.16672819336066994,0.26030009131632725,0.26192611484907413,99.99999999982359,-0.42739682290644987,-0.59786957430726,0.692822189351544,0.2721446358890065,-0.9163715906613135
2015-12-01,2016-03-01,-0.8644840978884183,-0.7728094250799414,-1.6827598868435723,-1.327104603920508,-0.17051328341199518,0.2501264688337339,0.008404245634541285,0.1416684162013248,0.14090355192851256,46.85574797935552,2.8592085512842744,-2.351313121498442,0.5488975552874565,0.43678342561177425,-0.9538059133700649
2016-03-01,2016-06-01,-0.3747694568706272,-1.2030064954049018,-2.130058855851255,-1.7747724015531468,-0.6225936601533523,-0.2787255776548067,0.6859765920000254,0.5469724463432463,0.5427209836755068,99.99999999999999,-1.3361825590507865,-0.4485715617603081,0.5594274636144866,0.9289090136093016,-0.9888849481958673
2016-06-01,2016-09-01,-0.181689804921703,0.048151920125141606,-0.8576976923794708,-0.506238462574952,0.6438579442504685,0.9858660517242688,0.05282721857250931,0.17234044871196055,0.17345873324620567,53.62479761220054,-0.33300127679225794,0.2500337319725681,0.5560082389074298,0.3304661751516148,0.30281913536667204
2016-09-01,2016-12-01,-0.0067578301338855,0.16810724286247697,-0.8065348345280111,-0.3999429049324257,0.7135926031780098,1.0576451173093449,0.030577793754023176,0.15569102670301058,0.15189410615624846,99.99999999986164,-3.800525056812197,2.218440995426722,0.5388256833900075,0.37984299307732805,0.21892836651851155
