,Folder,File,Mean_Parametric_CRPS_direct,Mean_Parametric_CRPS_YOY,Mean_LogS_direct,ViolationRate_90_YoY,UpperViolationRate_95_YoY,PIT_Mean,PIT_Std
0,Data_experiments_benchmark,Benchmark_ARGARCH_Core_12m.csv,0.4515047794014786,0.4515047794014786,-inf,0.2978723404255319,0.1276595744680851,0.5137841084650426,0.34482126667209956
1,Data_experiments_benchmark,Benchmark_ARGARCH_Core_3m.csv,1.0266650853253632,0.3653585362142933,-2.0227931731408377,0.36,0.28,0.5186148010476284,0.3456464189288208
2,Data_experiments_benchmark,Benchmark_ARGARCH_Core_6m.csv,0.7484310514546906,0.4599725691881542,-1.932766497060579,0.32653061224489793,0.32653061224489793,0.6009490636188105,0.3226648230738283
3,Data_experiments_benchmark,Benchmark_ARGARCH_Core_9m.csv,0.457792002194632,0.39655262103513467,-1.2951895377998734,0.16666666666666666,0.14583333333333334,0.5335946610245853,0.2922282000382581
4,Data_experiments_benchmark,Benchmark_ARGARCH_Headline_12m.csv,0.7715353024598486,0.7715353024598486,-2.2191103659938434,0.5106382978723404,0.3191489361702128,0.5043083378303518,0.3911314736603985
5,Data_experiments_benchmark,Benchmark_ARGARCH_Headline_3m.csv,1.4893500013248957,0.45043623310735553,-2.582129194615986,0.4,0.28,0.5061495994561455,0.36372842605211997
6,Data_experiments_benchmark,Benchmark_ARGARCH_Headline_6m.csv,1.0883190793589748,0.5922640786426913,-2.4212004068468347,0.32653061224489793,0.24489795918367346,0.5538755732181352,0.3464974366849771
7,Data_experiments_benchmark,Benchmark_ARGARCH_Headline_9m.csv,0.7648709266353735,0.6217931725338083,-2.045753068382688,0.3541666666666667,0.2708333333333333,0.5171204988066532,0.35301297665728143
8,Data_experiments_bvar,bvar_independent_niw_hierarchical_Core_12m.csv,0.3392575837594244,0.3392575837594244,-0.9277121251048945,0.1276595744680851,0.10638297872340426,0.5880509568508435,0.2755791900614092
9,Data_experiments_bvar,bvar_independent_niw_hierarchical_Core_3m.csv,0.9314090160529414,0.34028038136305866,-2.0641161294444252,0.14,0.14,0.5249278788265934,0.19585613936172594
10,Data_experiments_bvar,bvar_independent_niw_hierarchical_Core_6m.csv,0.6115549694123171,0.3737574229485258,-1.5335931829852492,0.24489795918367346,0.22448979591836735,0.5330864594800807,0.3271378643733431
11,Data_experiments_bvar,bvar_independent_niw_hierarchical_Core_9m.csv,0.47673112667636985,0.42353320483266116,-1.2555546164718319,0.25,0.25,0.6686006984836493,0.29356364677318375
12,Data_experiments_bvar,bvar_independent_niw_hierarchical_Headline_12m.csv,0.696847653840588,0.696847653840588,-1.7191835408661913,0.19148936170212766,0.10638297872340426,0.4987251323816393,0.31646917682698067
13,Data_experiments_bvar,bvar_independent_niw_hierarchical_Headline_3m.csv,1.2159900365810496,0.3941771081581512,-2.2517821889791385,0.12,0.12,0.4984438010459102,0.2401769810975355
14,Data_experiments_bvar,bvar_independent_niw_hierarchical_Headline_6m.csv,0.9268287413462962,0.49157646508292596,-1.9503029144983361,0.08163265306122448,0.08163265306122448,0.4857954743508419,0.3087739840819799
15,Data_experiments_bvar,bvar_independent_niw_hierarchical_Headline_9m.csv,0.7948823197759239,0.6490836324608663,-1.8287719394668651,0.14583333333333334,0.125,0.5579551360901646,0.3161536376554514
16,Data_experiments_bvar,bvar_minnesota_Core_12m.csv,0.4337838985735288,0.4337838985735288,-1.2992125155898033,0.3191489361702128,0.2978723404255319,0.7106042311187815,0.30315756317147624
17,Data_experiments_bvar,bvar_minnesota_Core_3m.csv,0.8941246841655317,0.324297539033941,-2.027155209488925,0.1,0.1,0.5190894340377037,0.19466065428681936
18,Data_experiments_bvar,bvar_minnesota_Core_6m.csv,0.6168104446873776,0.40547380723692983,-1.566406630442627,0.2653061224489796,0.2653061224489796,0.594695688620131,0.316874131841735
19,Data_experiments_bvar,bvar_minnesota_Core_9m.csv,0.47543523021582984,0.45002804806394314,-1.274786952462809,0.22916666666666666,0.16666666666666666,0.5792968858459714,0.30641618127252207
20,Data_experiments_bvar,bvar_minnesota_Headline_12m.csv,0.8282120353843544,0.8282120353843544,-2.054438453882281,0.3617021276595745,0.2978723404255319,0.5925088557536118,0.3682968480088934
21,Data_experiments_bvar,bvar_minnesota_Headline_3m.csv,1.1995348600183233,0.3830557951768864,-2.2410288406403236,0.1,0.1,0.49394978207089324,0.2400830299242966
22,Data_experiments_bvar,bvar_minnesota_Headline_6m.csv,1.012932734138181,0.5588213735720969,-2.0992598417003316,0.22448979591836735,0.22448979591836735,0.5468924576483656,0.33915953327085613
23,Data_experiments_bvar,bvar_minnesota_Headline_9m.csv,0.6874419961330535,0.5906117285912441,-1.6133544297745643,0.14583333333333334,0.125,0.596733987022187,0.2894163044910152
24,Data_experiments_bvar,bvar_natural_niw_hierarchical_Core_12m.csv,0.4580017488097003,0.4580017488097003,-1.3164436651110436,0.1702127659574468,0.1702127659574468,0.5697051676460313,0.30573837703665097
25,Data_experiments_bvar,bvar_natural_niw_hierarchical_Core_3m.csv,0.9178369906347206,0.33776582122442017,-2.0543464215973493,0.12,0.12,0.5270038090036769,0.193100798722293
26,Data_experiments_bvar,bvar_natural_niw_hierarchical_Core_6m.csv,0.6088573868360652,0.3847154542245316,-1.5235519400908215,0.2653061224489796,0.24489795918367346,0.5349165334608033,0.31182336501270436
27,Data_experiments_bvar,bvar_natural_niw_hierarchical_Core_9m.csv,0.5048244948901958,0.4567211671437827,-1.3616062175761876,0.10416666666666667,0.10416666666666667,0.5466305915690325,0.24723675380085533
