Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT
2015-01-01,2016-01-01,-0.8913308118217778,-0.3925293191426426,-1.094794820682243,-0.8846061718801757,0.2551637534921269,0.6630925518232189,0.2488029290989333,0.33805297116452204,0.3445820152658282,30.14209189583493,9.99999999999412,-3.678876792908884,0.33062183830487996,0.13345919907619594
2015-02-01,2016-02-01,-0.4777355470935163,-0.3619796751591408,-1.0474232121575786,-0.8846061718801757,0.2987986151247169,0.6630925518232189,0.013399421887287537,0.16998390691505744,0.15091583990423169,25.39117545386546,9.999999999972971,-3.5596922182514166,0.32025012217121385,0.3850794174014268
2015-03-01,2016-03-01,-0.4835425102155177,-0.2080382646042267,-1.1539065163562467,-0.7813711582224161,0.2425553423739752,0.6630925518232189,0.07590258934984656,0.17824369889550096,0.15644907961984028,58.896791706639256,9.999999999971365,-4.262020475054487,0.3958346692136326,0.3535653252308847
2015-04-01,2016-04-01,-0.0345979297843968,-0.436408859321169,-1.153596981434113,-0.8846061718801757,0.10024885436896319,0.3068937498694759,0.16145202309520493,0.199846923449581,0.20164858538464975,99.99999999999993,1.837171035836409,-1.1908007514822183,0.4442613126249541,0.7722650486702172
2015-05-01,2016-05-01,-0.078091993123941,-0.436408859321169,-1.153596981434113,-0.8846061718801757,0.09801269537828,0.2706890835309525,0.12839097660140222,0.18614946186325113,0.18339225934649026,99.99999999999999,1.279072116058028,-0.9507307877375221,0.44421193162012806,0.7498492603595184
2015-06-01,2016-06-01,-0.2309070414847625,-0.4777355470935163,-1.153596981434113,-0.8846061718801757,0.0784498666364541,0.2551637534921269,0.06092431118105061,0.15153886623257964,0.12453388780684135,99.99999999999999,0.18538141802896657,-0.4677586215721131,0.43789899360079937,0.6382897851474378
2015-07-01,2016-07-01,-0.0341674115764689,-0.2309070414847625,-1.0373178900398905,-0.7579320769731872,0.1119886890700527,0.3718564600575291,0.03870648197645232,0.1413104497189463,0.16139559060830078,9.668183783881144,0.5106142252612489,-0.5090357505142639,0.4155503565478058,0.7202959896689551
2015-08-01,2016-08-01,-0.0035302097705525,-0.1784907206497266,-0.9613875482682666,-0.6894260284991738,0.1119886890700527,0.4033398526672344,0.0306111803671016,0.13558764556205613,0.15382374590001782,7.826302178485351,0.5337545356805442,-0.4619503138192491,0.3847774691739378,0.7237771051954938
2015-09-01,2016-09-01,-0.1371437538706388,-0.2309070414847625,-0.9613875482682666,-0.7572129780924364,0.1119886890700527,0.46198355334816876,0.008791554104208883,0.11851809109626167,0.11792885854320041,9.602286292018485,0.842761591146303,-0.6217496727514747,0.4019615187645246,0.6253937550890163
2015-10-01,2016-10-01,-0.2647019222216329,-0.0744734730173668,-0.8913308118217778,-0.49104195609186596,0.1119886890700527,0.3718564600575291,0.03618686288666006,0.11683326438739963,0.09736064275577563,5.052112502555601,-0.7912871413591696,0.10486914695080542,0.2859582582790498,0.3424166296862037
2015-11-01,2016-11-01,-0.3096467326607843,-0.0620317227106426,-0.8913308118217778,-0.4835425102155177,0.1328721049976167,0.3718564600575291,0.06131319315260877,0.1466448993939506,0.12501791995808448,5.300525707026342,-1.0336979731212845,0.20489975551525821,0.2880787835305808,0.2784253494179165
2015-12-01,2016-12-01,-0.3244976139693989,-0.078091993123941,-0.8913308118217778,-0.4835425102155177,0.1279552391188154,0.3718564600575291,0.060715729984235564,0.14403180059814533,0.12278445502326667,7.073448989109489,-1.1110718162107904,0.21845503856063966,0.30118303172339134,0.2853819350372858
2016-01-01,2017-01-01,-0.2193919160335511,-0.1371437538706388,-0.8913308118217778,-0.5595395092445123,0.1119886890700527,0.5331210650071583,0.00676476017917672,0.08761317018443668,0.0841243975031141,5.060907353996209,-0.07551602567360324,-0.15984695275889227,0.3223013159051622,0.4600877320725908
2016-02-01,2017-02-01,-0.0934193881882983,-0.0686985256836081,-0.8846061718801757,-0.4777355470935163,0.1328721049976167,0.4675173052955474,0.000611121042975798,0.06768255866169791,0.07216436484955613,3.5278209885084317,-0.24575279230958297,-0.03064043557583458,0.2671894795185254,0.5106201648061467
2016-03-01,2017-03-01,0.1182657315096591,-0.1042786037897869,-0.8846061718801757,-0.4835425102155177,0.09801269537828,0.40056786774970354,0.04952598117387225,0.1628471800627561,0.16320856033792097,4.1330582279558445,-0.30655022021910716,-0.05956805764681594,0.2737917957858773,0.8151518098147579
2016-04-01,2017-04-01,0.1239956835564548,-0.0744734730173668,-0.8846061718801757,-0.3619796751591408,0.1119886890700527,0.2551637534921269,0.03939000611112411,0.13271498697281653,0.13307064255223502,3.4576915466622333,-1.1128424077314398,0.1496521979615127,0.1954038598090569,0.8387794437956042
2016-05-01,2017-05-01,0.2363944157873554,-0.0934193881882983,-0.8849424038772558,-0.4835425102155177,0.07593153301576538,0.1328721049976167,0.10877714529289091,0.26720145101035897,0.2594358525927706,8.44328142637272,-9.999999999998172,0.8826927962585763,0.09739422765125526,0.9666276478599019
2016-06-01,2017-06-01,0.211977293329113,-0.07652619121247814,-0.763582637781823,-0.3925293191426426,0.1119886890700527,0.2551637534921269,0.08323426059264012,0.21274262349564554,0.20767098009983426,4.286622073433939,-1.326727777090493,0.1888107886000378,0.2017339954866914,0.9242259008290521
2016-07-01,2017-07-01,0.3411499143932239,-0.0197075460237172,-0.5778352013889031,-0.3096467326607843,0.1992381548658773,0.3718564600575291,0.1302181067385642,0.2674516668712571,0.2616444606363118,3.955820336800637,-0.7368068843702541,0.12974212100001548,0.20854198421825407,0.9451112659702935
2016-08-01,2017-08-01,0.3939075833012673,-0.0384431159643039,-0.6627125537181077,-0.3244976139693989,0.12874193765942346,0.26709287243992097,0.18692712715542836,0.34158351372515944,0.33535150958604637,4.461555886266255,-1.0128932865090623,0.16976618830309567,0.21638590573522268,0.9709037966785938
2016-09-01,2017-09-01,0.5106385514639378,-0.03438267068043285,-0.9613875482682666,-0.436408859321169,0.1328721049976167,0.26709287243992097,0.29704813258774343,0.44844843824130554,0.4374002605060896,4.010611234781958,-1.5114422706936934,0.3099063213543172,0.22469804360475246,0.9879691231962633
2016-10-01,2017-10-01,0.5208852935738584,-0.0019006300588486,-0.7678522873862811,-0.2647019222216329,0.2551637534921269,0.5106385514639378,0.2733051219485025,0.3699749237401109,0.36546098926272824,3.4675835381774505,-1.1897616100325061,0.32244013383963954,0.2290884649168705,0.9718868903953163
2016-11-01,2017-11-01,0.5982825822619553,-0.0345979297843968,-0.894833648644102,-0.3304947437597575,0.2363944157873554,0.3939075833012673,0.4005377425280528,0.49095910326830033,0.48345264810678945,4.573046306943263,-1.4586614287533308,0.37442408799044913,0.2636037115640366,0.9856572950416868
2016-12-01,2017-12-01,0.7058486844918832,-0.0019006300588486,-0.8913308118217778,-0.3096467326607843,0.2756693894421705,0.5106385514639378,0.5009090922470306,0.5475321293939841,0.5405610811976755,3.7993448605596347,-1.262891861491545,0.3571651766105813,0.24600386135777078,0.990594676275671
2017-01-01,2018-01-01,0.4828958814294459,0.1328721049976167,-0.4777355470935163,-0.1042786037897869,0.5347034746246419,0.7058486844918832,0.12251664406759914,0.17717733593161136,0.16834681805560037,6.752796264578472,-1.650659962421198,0.6874914358014383,0.2773503696409944,0.821756445854002
2017-02-01,2018-02-01,0.5275904350424909,0.1182657315096591,-0.48588608705187647,-0.1661502742584808,0.5208852935738584,0.7058486844918832,0.16754671292224063,0.23245552052163423,0.22853827440694374,5.411379121040924,-1.3658677323137733,0.5766779739118781,0.2824085268996772,0.8845929208887319
2017-03-01,2018-03-01,0.5770491780988429,0.0606500638427043,-1.045092856475538,-0.5646743254231978,0.3939075833012673,0.629165749209637,0.2666680452045245,0.3743453174086338,0.3737240893662463,16.02257246198624,-9.999999986356077,2.25329054092233,0.2193475093602752,0.928318105167874
2017-04-01,2018-04-01,0.508604894016873,0.1182657315096591,-0.8913308118217778,-0.4168131110357187,0.5275904350424909,0.629165749209637,0.15236466178683314,0.22109755235800738,0.22991593214631564,12.723946770374303,-9.999999999999776,2.003169543078247,0.1814276025850818,0.8436945100192264
2017-05-01,2018-05-01,0.4485120447570878,0.08823128100736705,-0.8913308118217778,-0.436408859321169,0.5208852935738584,0.5982825822619553,0.1298022287280821,0.217389370682962,0.2177565189195268,14.77896383753794,-9.999999999998069,2.1192654474722303,0.19777302190839297,0.8222856909005166
2017-06-01,2018-06-01,0.4772563274701547,0.07382509649782595,-1.0373178900398905,-0.5658990699888449,0.5106385514639378,0.5982825822619553,0.16275675812384843,0.26647433177960234,0.275351076252106,17.15307181661431,-9.999999999999998,2.41853866375102,0.23380399830067447,0.8532133553849827
2017-07-01,2018-07-01,0.52264543290228,0.4065924347360194,-0.5559402157513382,-0.03423629448973736,0.5770491780988429,0.7058486844918832,0.013468298383378095,0.09638649497316443,0.10580836547733156,4.446293307434501,-9.999999999999703,1.1590264835566406,0.0728331372110904,0.7277826231393126
2017-08-01,2018-08-01,0.5386646238818571,0.3939075833012673,-0.5559402157513382,-0.0341674115764689,0.5702522373884944,0.7058486844918832,0.020954600797650522,0.10939877120812076,0.11521802427994904,4.4045992550046025,-9.999999998242954,1.1484225454011316,0.07211158674736176,0.7597157381345923
2017-09-01,2018-09-01,0.3692064162161834,0.3725817998203151,-0.5646743254231978,-0.0686985256836081,0.5275904350424909,0.7058486844918832,1.1393214475041096e-05,0.08601534705520648,0.07821185112898796,4.966282405492877,-9.999999999951582,1.233830986274375,0.08342463135003586,0.5373737811243544
2017-10-01,2018-10-01,0.4029215472739267,0.4485120447570878,-0.3998011327388084,0.05818523404038347,0.5386646238818571,0.7058486844918832,0.0020784934607621162,0.06429129603254116,0.06187170016839728,5.386644105851568,-9.999999999999954,1.1519271854460578,0.07045084676818242,0.5017058201496352
2017-11-01,2018-11-01,0.2384944634538754,0.4485120447570878,-0.2376020226800879,0.0754518504213486,0.5770491780988429,0.7058486844918832,0.044107384456451425,0.11143429640469181,0.09940539056692893,6.767895578377101,-9.99999999984368,1.2354650292786156,0.07914491517623766,0.28164739703447716
2017-12-01,2018-12-01,0.3096180831721362,0.45705678311431797,-0.2376020226800879,0.1119886890700527,0.5770491780988429,0.7058486844918832,0.021738170240640713,0.088054337374767,0.07628980338133291,6.290479598377489,-9.999999999999956,1.1914909278550283,0.07344158860744833,0.3432575349356992
2018-01-01,2019-01-01,0.4635088793381037,0.3939075833012673,-0.8913308118217778,-0.09515686268453644,0.5691008576223666,0.6919718339512031,0.004844340410007339,0.08449351254895585,0.10207658992889793,4.488450645545766,-9.999999999999998,1.2706374389340416,0.08575458292063726,0.6498157265292694
2018-02-01,2019-02-01,0.4265958203488296,0.3692064162161834,-0.9613875482682666,-0.4777355470935163,0.5275904350424909,0.5995173192975489,0.003293543706700189,0.1046220149993209,0.12800777370214156,6.143639804301794,-9.999999999997877,1.575830704356359,0.12433264603222356,0.6694025006312636
2018-03-01,2019-03-01,0.4957130017502642,0.048292005934325,-1.1629725530339918,-0.8913308118217778,0.5089302792084033,0.5982825822619553,0.2001855474969267,0.2997852917693968,0.34823375231907716,31.94172641238462,-9.999999999999453,3.578989757855334,0.36120827791838483,0.8525277082502973
2018-04-01,2019-04-01,0.4856009844630193,0.3692064162161834,-1.045092856475538,-0.5585614490200008,0.5211669158664057,0.5907829704640785,0.013547695517367344,0.12182226844833789,0.16101764594979032,5.796526124175482,-9.999999999999988,1.5559498924357293,0.1235382246616983,0.7439883915402166
2018-05-01,2019-05-01,0.597808168526015,0.23932410185505398,-1.153596981434113,-0.6894260284991738,0.5208852935738584,0.5770491780988429,0.12851082605695005,0.27366860164568385,0.3105855843094509,10.304646904412518,-9.999999975381533,2.1856153568633867,0.2008391008206293,0.8726378029084022
2018-06-01,2019-06-01,0.6980791265353226,0.2659213269625038,-1.0916999701163554,-0.6139356052816749,0.5208852935738584,0.5770491780988429,0.18676036373162058,0.3593267678221362,0.3750723803229453,9.255557766341584,-9.999999999999998,2.034721506500758,0.18299048934851334,0.9268054131437619
2018-07-01,2019-07-01,0.402144511891489,0.4772563274701547,-0.5764100771346925,0.1182657315096591,0.5791834302516139,0.6980791265353226,0.005641784839523487,0.06386075413234758,0.06864245736035013,3.748360076122545,-9.99999999999984,1.089507500134299,0.060353671630757326,0.46317997416940637
2018-08-01,2019-08-01,0.3797065754404194,0.4772563274701547,-0.6049125622189067,0.0606500638427043,0.5770491780988429,0.6980791265353226,0.009515954121062839,0.07062990166666906,0.07266591427348373,3.811933988556837,-9.999999999999998,1.1159931661650417,0.0637746472861374,0.4481795773069033
2018-09-01,2019-09-01,0.3682466372715076,0.4265958203488296,-0.6613065813612096,-0.0345979297843968,0.5707201199136448,0.6980791265353226,0.003404627165790841,0.07432283272767232,0.07578152517039455,4.115448439025949,-9.999999998988372,1.1683806255407485,0.07167083371583169,0.47263643305316355
2018-10-01,2019-10-01,0.1650218075520904,0.4029215472739267,-0.4872934571557416,0.1182657315096591,0.5386646238818571,0.6980791265353226,0.056596286159717464,0.15808553998064065,0.1471548653489341,2.989142448294663,-9.999999998564471,0.8969822831477052,0.04206462535028857,0.1996197015947906
2018-11-01,2019-11-01,0.3716808187001597,0.4265958203488296,-0.365701134367242,0.2119047196508176,0.5770491780988429,0.6980791265353226,0.0030156574060734194,0.052646503812615146,0.05996448714356662,3.059524948217022,-9.999999651308888,0.8762408180708393,0.03868539948201426,0.37483328466252824
2018-12-01,2019-12-01,0.3691647183324598,0.4375539325529587,-0.5723289789584918,0.1239956835564548,0.5647947074744475,0.6980791265353226,0.004677084621697293,0.05737093411080893,0.06506525310028477,3.0942831635695103,-9.999999999994403,0.9396464602438677,0.04555936040462243,0.4051420046390293
2019-01-01,2020-01-01,0.2362599837253398,0.3939075833012673,-0.31038927672621497,0.18050736198300044,0.5386646238818571,0.6320525316013077,0.024852765652051977,0.1069116150233791,0.10598722674701444,2.269447311899832,-1.8795489218854602,0.6538890618874814,0.10878469855764433,0.21987325906261498
2019-02-01,2020-02-01,0.1846803752465931,0.3797065754404194,-0.10706448947726417,0.211977293329113,0.5386646238818571,0.5982825822619553,0.038035218762042425,0.13649452945310225,0.13679315436544873,2.0452786972348744,-1.2180045180046037,0.5568510926666438,0.10343584847809237,0.15092109755821226
2019-03-01,2020-03-01,-0.0801761132071199,0.3797065754404194,-0.9782096488967128,0.1182657315096591,0.5275904350424909,0.629165749209637,0.21149208731768962,0.31980807984407933,0.27691775968831867,3.1562911615648903,-9.999999999999998,1.011460152934091,0.05612475690998969,0.14183991666641935
2019-04-01,2020-04-01,-0.5441236332512034,0.3682466372715076,-1.1539065163562467,-0.1371437538706388,0.5208852935738584,0.6307461231854047,0.8324195105336849,0.5750395707652315,0.5402129071816897,4.7652947735306785,-9.999999999999995,1.3172331409128721,0.09669708744924616,0.08028427582224931
2019-05-01,2020-05-01,-0.6513082666900871,0.3096180831721362,-1.1629725530339918,-0.366867618196501,0.5106385514639378,0.5982825822619553,0.9233794498595361,0.6267622999929917,0.5847717398351328,5.520167509877618,-9.999999999999996,1.4866789450250462,0.11740788098401965,0.07870560009114312
2019-06-01,2020-06-01,-0.7581105002145705,0.3411499143932239,-1.1629725530339918,-0.4777355470935163,0.5106385514639378,0.6307461231854047,1.2083734591237,0.7085171850730718,0.6767001521248706,5.596528729061157,-9.999999985639121,1.5069936983634433,0.11928920631550392,0.06410208922927212
2019-07-01,2020-07-01,-0.3907521106108369,0.211977293329113,-0.8846061718801757,-0.5658990699888449,0.4957130017502642,0.6980791265353226,0.36328273437380726,0.31481489526184586,0.2894839826003311,24.357276442466837,-9.999999999999998,2.877351982555315,0.27386538363529467,0.18013018077844248
2019-08-01,2020-08-01,-0.3640190078056271,0.2362599837253398,-0.7644352837978504,-0.5441236332512034,0.5122780302015247,0.6980791265353226,0.3603348676734347,0.32389961533327133,0.29505710453954065,22.426840578894783,-9.999999972539857,2.8030287803575127,0.2627150398627316,0.17508439965385653
2019-09-01,2020-09-01,-0.3137872354086468,0.2362599837253398,-0.7582903425086984,-0.5441236332512034,0.5089302792084033,0.6980791265353226,0.30255194327703183,0.2951266956254321,0.2610993313333064,35.68403028535679,-9.999999999998808,3.2418725654149756,0.3083179878717675,0.1957488324801465
2019-10-01,2020-10-01,-0.1251881102137808,-0.0341674115764689,-0.8846061718801757,-0.546014286451225,0.3939075833012673,0.5780871276202005,0.00828476758042435,0.13880489028670362,0.11107913630890365,53.19100966446157,-9.999999999999998,3.151433959195558,0.3173206684747365,0.4243666601269368
2019-11-01,2020-11-01,-0.2078391915756761,-0.09945037924348195,-0.8913308118217778,-0.6513082666900871,0.3716808187001597,0.5281441444844587,0.011748134638783603,0.13624214837567014,0.11500476014715919,99.99999999999999,-9.999999999204547,3.6181454632458503,0.37199139804367487,0.41776373191264043
