Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,LogS_direct,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,q05_YoY_timesafe,q16_YoY_timesafe,q84_YoY_timesafe,q95_YoY_timesafe,Violation90_YoY_timesafe,UpperViolation95_YoY_timesafe,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Factor_1,SHAP_Shap_Factor_2,SHAP_Shap_Factor_3,SHAP_Shap_Factor_4,SHAP_Shap_Factor_5,SHAP_Shap_Constant
2012-09-01,2013-03-01,-0.1405981077157392,0.549014059784092,0.3766183894042803,0.41056176192241645,-1.1921834332133383,0.4755649415638153,0.24498501165188816,9.502616051796567,-3.3375599517998262,2.7008552634636875,0.6395528849857821,-0.5559402157513382,-0.21113413200142261,-1.1727853835203916,-0.7533548079401875,0.11506835422458994,0.41123823336288723,-0.4856411618934686,0.16978375275033397,0.1841761791860761,-1.21087873669099,-0.7908687638434309,0.07111335801539537,0.32543642566461783,0,0,0.01584011482772095,0.031402506568076666,0.13907447065002893,-0.0027800264493155376,0.003882324737977149,0.0,-0.13245103751039747,0.04247395735482676,0.0061033119629025105,-0.00129816861106565,-0.11296033936060727,0.559726945613945
2012-12-01,2013-06-01,0.624585915574194,0.1559273355386636,0.3170503977353032,0.32417100999068904,-0.8799610837446358,0.21964086464091967,0.7115683062083511,7.723056914977556,-1.5873948833477203,1.4573808458260553,0.7973789591397996,-0.2379100909859488,-0.47223938100371404,-1.6690554732032403,-0.9594778332810527,-0.027269308282917848,0.2753181124260706,-0.5502030487730458,0.10813051200258986,0.0961773834065647,-1.2036857514501431,-0.6840484990251241,0.21523292024820437,0.4966119298319603,0,0,-0.018136033915268614,-0.050215595294183374,0.0,0.014591901295709404,0.0010717273696869251,-0.00021475076552601724,-0.18372314785601374,-0.03286055906476818,-0.0012061639947326713,-0.01880239475004748,-0.12123545804486484,0.5666578105586721
2013-03-01,2013-09-01,0.0032010563485229,-0.0701803500193776,0.2274579603921067,0.24565737695767167,-0.8357620429811147,0.005384830800530948,0.5760363629174775,99.99999999854442,-7.752934375864684,6.043241500935102,0.7993919674898012,-0.0686985256836081,-0.10538922886755842,-0.9664100156500766,-0.5686466992838923,0.2900825228777215,0.5371981041556673,-0.07029905385786961,0.3502976383916468,0.35190999993063715,-1.4325519603888281,-1.0324073584345825,-0.195803887185747,0.05280175788551655,0,0,-0.000599334246587313,0.011737914994562226,-0.1657699503797841,0.00391960403325497,-0.0012600998048400362,0.0,-0.1642390640887932,-0.021930169579324244,-0.013500752568635201,-0.02552557480530927,-0.16636601655488853,0.47335309298096706
2013-06-01,2013-12-01,-0.6572074621779223,0.0401547692526094,0.35657005243696926,0.37881475370879364,-1.125353333912841,0.4863140818257704,0.2802670238595908,15.296494440432403,-2.1478626768799596,1.8118430595080282,0.8663805145080407,-0.0163107733018641,0.3323703424134017,-0.8065594666430975,-0.23222731706642463,0.6896671834454898,0.977516835350567,0.312292957787097,0.13306146727730073,0.1439556621950215,-0.9355143413306344,-0.34122188085571636,0.5491573074904478,0.8031878176468062,0,0,0.014982793643158259,0.015400756221295884,0.0023957903088272997,-0.020425305472012028,0.0007453750309832641,0.0,-0.1551710791620479,-0.05097758982453969,0.006326946790733273,-0.012313474190789254,-0.129894294715345,0.36908485062234536
2013-09-01,2014-03-01,0.1411956288000837,0.21098664725816,0.23122349978436388,0.24328775442119588,-0.906813190770239,0.004870786257415544,0.49061790209077044,60.49827853527813,-9.999999998593747,7.438343065761525,0.7239362432846168,0.0721983425743033,0.10709385180334148,-0.7643931449548447,-0.49674711725176124,0.5364964656418003,0.8984799234306173,0.001600528174261484,0.14647278563618346,0.14174101820381277,-0.9713737810005618,-0.701346467709417,0.32939781735737483,0.6272768767333843,0,0,-0.006079780582301243,0.009742937416356102,0.11001081622551985,0.0,-0.0022860833654434185,0.002335021886711086,-0.15971789174330914,-0.020350991599147897,0.006987823996819701,-0.023949115140218715,-0.2015824411555977,0.4958763513187713
2013-12-01,2014-06-01,0.5767960660218563,0.1475191359093131,0.32157916769782097,0.3136367392700212,-0.779144829992651,0.1842786827268493,0.7586861126792469,6.091757657820165,-1.7250566254936044,1.2607891825134148,0.6601667323247676,-0.0402056980780329,-0.2548441631343046,-1.4474561555191556,-0.7428997187397711,-0.0004913794111160996,0.27925897717894854,-0.3286037310889611,0.09639388136565463,0.08704611447215124,-0.9301699072725771,-0.5327455949392593,0.19549113840658083,0.4674152860820197,0,0,-0.019198064743201286,-0.04145956113959369,-0.0010573330158776774,0.05641203482470015,0.0,-0.0004087906527444063,-0.13170961487705557,-0.02418960520744874,-0.001254284681129063,-0.00944034594163627,-0.15186835501737841,0.47169305636067804
2014-03-01,2014-09-01,-0.144996888917781,-0.0206425241287888,0.18543074025587838,0.18654597119575658,-0.6627133409937368,0.015464008042073743,0.4858560144655877,8.554573810580036,-0.3559309599532768,0.15617155324235313,0.7469840942940511,-0.0019006300588486,0.060276552335647465,-0.6165464072268811,-0.41504334749342675,0.39228560571826776,0.6780949724135787,0.07059781440004187,0.42876980408172694,0.4328940505474302,-1.2603680648386018,-1.0588650051051474,-0.25792453869462056,0.01601891327045901,0,0,0.0,0.009399977682307109,-0.10329488412470901,0.0027053809694540043,0.0,0.001113891596409811,-0.18404272039405503,-0.024243587493498326,-0.0003319302616074382,-0.01713954736742292,-0.14818976499875924,0.4433806602630922
2014-06-01,2014-12-01,-0.0664685590376024,-0.1467550942136242,0.2438726751397079,0.2275409076337429,-0.8956221687011603,0.0064459277305705855,0.5694608871283151,40.5531429901511,-9.999999999999998,6.34801862015127,0.6536994457954723,0.2551637534921269,0.21502048590411604,-0.8883428025281859,-0.2618050157621177,0.5733286138450033,0.9032061961119275,0.28839803301092815,0.12960980580806322,0.11808624207987904,-0.8801587398013666,-0.305720523033326,0.5233367155306561,0.8135453632747589,0,0,-0.02137531084839536,-0.05683664890746081,-0.01775641879772637,-0.10164691766246298,0.0006699502244007505,0.0,-0.14279120401077736,-0.041182342927668245,-0.01471442667575037,-0.010718130965641044,-0.14405470631631503,0.4036510626741726
2014-09-01,2015-03-01,-0.2119845523816721,0.3039819114217579,0.320102738399323,0.32597435553186827,-0.9828260875076775,0.2662213917698163,0.26069516084513494,6.814712814343571,-0.620377322888934,0.7885688010349275,0.740441711736649,-0.1784907206497266,0.07949251125198842,-0.6170187193124121,-0.3402120905056094,0.4623974930086483,0.8243809507974653,-0.07249844445889053,0.11164592594929043,0.10874270784662575,-0.720228816336137,-0.46926084880377417,0.3326513252044201,0.6947527952319454,0,0,0.0061552720691823905,0.030723243910124546,0.10911164763094668,0.0,0.0030757232180395333,0.004243938979711807,-0.10199626319342683,0.019992174844480376,0.007045494569915053,-0.010194536765852276,-0.15129608953683532,0.387121305695472
2014-12-01,2015-06-01,-0.6574907912806793,0.1559273355386636,0.4648185733086047,0.4946685471786863,-1.358643192705916,0.6616490490382886,0.18305287692873587,4.816858567371668,-1.013136593552335,0.8554281419330079,0.6785211797092018,-0.3619796751591408,0.04472938825053059,-0.9293452413110082,-0.42808500962436824,0.34760276969558745,0.6319895980446688,-0.0332342795188012,0.2746664007019575,0.28773080763964576,-0.7486750402728859,-0.3568269086161862,0.4008721195688024,0.6658507137248025,0,0,0.002202954893223159,-0.0436150455112341,-0.0032885081399045353,0.06248180178577565,0.001794036821742024,0.0013870874421837986,-0.13487185175540042,-0.03485168399745034,0.0,-0.011104678936645313,-0.08083777962604527,0.3966310025624189
