Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,Dist_Param_1,Dist_Param_2,Dist_Param_3,Dist_Param_4,PIT
2015-01-01,2016-01-01,-0.8913308118217778,-0.3619796751591408,-1.094794820682243,-0.8846061718801757,0.1452933626111985,0.5345880378864796,0.2802126258860257,0.17298964619697943,0.3410521502781691,,0.3989081974967242,-0.307495966289429,0.5066320432552791,0.15270824421102228
2015-02-01,2016-02-01,-0.4777355470935163,-0.3619796751591408,-1.153596981434113,-0.8846061718801757,0.20921033818504847,0.5903882540536642,0.013399421887287537,0.08150628853792555,0.16301495225838064,,0.3989081974967242,-0.2822477075060348,0.5239431434465462,0.3894810222539071
2015-03-01,2016-03-01,-0.4835425102155177,-0.2379100909859488,-1.153596981434113,-0.8846061718801757,0.1328721049976167,0.5237836710978883,0.06033528537657068,0.08195075245203332,0.16154705007279632,,0.3989081974967242,-0.29431739153724684,0.48759323650127534,0.36907652142072633
2015-04-01,2016-04-01,-0.0345979297843968,-0.4168131110357187,-1.1539065163562467,-0.8913308118217778,0.09801269537828,0.3718564600575291,0.14608844477898086,0.09979338004728532,0.20293967986225123,,0.3989081974967242,-0.36640238302093525,0.45636503271871864,0.7275242681032249
2015-05-01,2016-05-01,-0.078091993123941,-0.436408859321169,-1.1539065163562467,-0.8913308118217778,0.08931003558540201,0.2706890835309525,0.12839097660140222,0.0954458845914202,0.19310554583280282,,0.3989081974967242,-0.3863550437399541,0.45168605858043065,0.7117427319461896
2015-06-01,2016-06-01,-0.2309070414847625,-0.436408859321169,-1.153596981434113,-0.8913308118217778,0.0876523861010447,0.278031008465932,0.04223099713406761,0.07399655963384524,0.14177058941999673,,0.3989081974967242,-0.3853076126991378,0.44182087578961304,0.6143285808018314
2015-07-01,2016-07-01,-0.0341674115764689,-0.2309070414847625,-0.9770202599772126,-0.7572129780924364,0.1119886890700527,0.5336155680126216,0.03870648197645232,0.07336907297647474,0.15684185700816747,,0.3989081974967242,-0.27158196575662186,0.4575672982330671,0.6919273863668797
2015-08-01,2016-08-01,-0.0035302097705525,-0.20469888106724454,-0.9613875482682666,-0.6894260284991738,0.11454333707785423,0.5331210650071583,0.040468834311276534,0.06841606250951274,0.14719158327629575,,0.3989081974967242,-0.23070362232413033,0.4386184989864376,0.6910567697340888
2015-09-01,2016-09-01,-0.1371437538706388,-0.2309070414847625,-0.9613875482682666,-0.7572129780924364,0.10024885436896319,0.5443084479613646,0.008791554104208883,0.05800596963780606,0.12176678416034414,,0.3989081974967242,-0.2616339063554033,0.4518449587301678,0.5958125893448448
2015-10-01,2016-10-01,-0.2647019222216329,-0.07628273307065389,-0.9613875482682666,-0.6613065813612096,0.1119886890700527,0.36888219998576033,0.03550179084031241,0.06178627176750181,0.11351678705612095,,0.3989081974967242,-0.20258443322373887,0.3786220382471658,0.36578263018723733
