Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,LogS_direct,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,q05_YoY_timesafe,q16_YoY_timesafe,q84_YoY_timesafe,q95_YoY_timesafe,Violation90_YoY_timesafe,UpperViolation95_YoY_timesafe,SHAP_Shap_PPI,SHAP_Shap_real_turnover,SHAP_Shap_retail_turnover,SHAP_Shap_Manufacturing_EU,SHAP_Shap_Vol_loans,SHAP_Shap_Exchange_Rate_CHF,SHAP_Shap_gdp_index_ch,SHAP_Shap_gdp_index_eu,SHAP_Shap_variable_mortgages,SHAP_Shap_fin_spread,SHAP_Shap_CH_2int,SHAP_Shap_Wage_change,SHAP_Shap_Saron_Rate,SHAP_Shap_M3_change,SHAP_Shap_unemployment_rate,SHAP_Shap_M1_change,SHAP_Shap_kofbarometer,SHAP_Shap_EU_fin_spread,SHAP_Shap_M2_change,SHAP_Shap_infl_e_next_year,SHAP_Shap_infl_e_current_year,SHAP_Shap_Business_Confidence_EU,SHAP_Shap_oilprices,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_headline_lag_1,SHAP_Shap_core_lag_1,SHAP_Shap_headline_lag_2,SHAP_Shap_core_lag_2,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Constant
2012-09-01,2013-09-01,-0.0553795839522308,0.2582709902375413,0.24998930696653704,0.3083631864972722,-0.9034324529144415,0.09837668268957374,0.44292076816669396,13.689907053819136,9.99999999974434,-4.554801814863504,0.4535106210912442,-0.0553795839522308,0.2582709902375413,-1.0208367459182854,-0.9556221849475576,1.3295115567212743,2.5664581167862264,0.0,0.24998930696653704,0.3083631864972722,-1.0190116346142577,-0.9556221849475576,1.2798406499741761,2.4142255754009945,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10425911497090928,0.12782642084915455,-0.02009101632871192,0.0,-0.007642359898371476,-0.0147906430559654,-0.04527095908321962,-0.02580063090326771,0.0,-0.024833755255472774,0.0,0.0,0.0,0.05365063206003391,-0.2462640515832246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5657464684074955
2012-12-01,2013-12-01,0.0670906503184021,0.1390800673278569,0.2545297635515935,0.3033314790409484,-0.9979178442127012,0.0051824761613611815,0.5229016967000485,11.070994876828872,9.999999999999174,-4.414991936812127,0.42931338328393065,0.0670906503184021,0.1390800673278569,-1.0208367459182854,-0.958853948047622,1.3278109366856257,2.8154768605752167,0.0,0.2545297635515935,0.3033314790409484,-1.0190116346142577,-0.958853948047622,1.2823231314299819,2.6187055842728655,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16142374158227282,0.21018647982570943,-0.03301608618874586,0.0,0.0,-0.021838322670550178,-0.07712104585140184,-0.04407454294571349,0.0,0.04817642245850114,-0.011651219546190639,0.0,0.0,0.044510103661259987,-0.33873968302175683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5240717031890181
2013-03-01,2014-03-01,0.0027728372861801,-0.2224174976528381,0.20860261240671218,0.2418793806927546,-0.8025762745340788,0.05071068694994721,0.6015308035484592,8.397045737730647,9.99999999993915,-3.0671454727797562,0.27496893087600793,0.0027728372861801,-0.2224174976528381,-1.0208367459182854,-0.958853948047622,0.6206263558478998,1.754579439406001,0.0,0.20860261240671218,0.2418793806927546,-1.0190116346142577,-0.958853948047622,0.5812600942326404,1.4632103529943379,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23705783252959667,0.05826936548932867,-0.03254449073145879,0.0,-0.007236884008240151,-0.010767886661125095,0.0,-0.049628258387100804,0.02961935166409102,-0.06457292082880711,-0.01614086621314282,0.0,0.0,0.0,-0.4079859096643821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5156288342175956
2013-06-01,2014-06-01,0.0495813252518573,-0.3343203979214948,0.22908843922238373,0.2469829176915241,-0.8606930484617223,0.1473805330554691,0.674637921129658,6.048756333817216,9.999999988988849,-2.435330942535187,0.20250496884029034,0.0495813252518573,-0.3343203979214948,-1.0188088444693657,-0.8874755505987153,0.5088548883534827,1.3883386345948867,0.0,0.22908843922238373,0.2469829176915241,-1.0188088444693657,-0.8874755505987153,0.5018785939821195,1.2696533585198282,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2764045395673912,0.03846908387532405,-0.02772740690713228,0.0,-0.017941490758286983,-0.01678204290040192,-0.04531601047156388,-0.025777764855182777,0.0,-0.05286097726889916,0.0,0.0,0.0,0.023943308690464793,-0.3954125409878509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46148998322942547
2013-09-01,2014-09-01,-0.0876811076678585,-0.41870485530259843,0.1950287560116804,0.21638527681594708,-0.6086128897459486,0.10957672149814801,0.7009781092585075,14.60085704531939,9.999999999999998,-2.9525450462482903,0.24987822216155503,-0.0876811076678585,-0.41870485530259843,-1.0188088444693657,-0.958853948047622,0.2843202557419101,0.6985114111487611,0.0,0.1950287560116804,0.21638527681594708,-1.0188088444693657,-0.9566563491395782,0.28291027825641296,0.579883898728612,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00874456365772791,0.0,-0.24623695673873477,-0.016611151665012366,-0.034490501104532986,0.0,-0.011177721544297262,0.0,-0.05062494462418835,-0.05161918276199878,0.0,-0.06419025072062931,-0.023854136841966966,0.0,0.0,0.0,-0.39149070581075057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4803352601672409
2013-12-01,2014-12-01,-0.3289362236455595,-0.39417531957064433,0.12776690421286738,0.1325900805668509,-0.3163214181012415,0.004256139637122417,0.5433141339604661,14.321077361790714,9.999999999945656,-2.837536127919793,0.23963502466029843,-0.3289362236455595,-0.39417531957064433,-1.0188088444693657,-0.9314421735046244,0.3683252603760678,0.6985114111487611,0.0,0.12776690421286738,0.1325900805668509,-1.0188088444693657,-0.9015448699286063,0.30984013643651814,0.579883898728612,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2008777687506761,-0.01793624923545245,-0.025323676678437955,0.0,-0.01884235472404727,-0.00789186057805702,-0.051443554320165286,-0.03485337047179765,0.0,-0.06466521935346504,-0.024717403239532847,0.0,0.0,0.0,-0.36941404824304885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4217901860240363
2014-03-01,2015-03-01,-0.8784672275139016,-0.2555764736385413,0.4025563398884599,0.39862580521964425,-0.903969336677209,0.3879928912634147,0.10016454406933728,25.634586846961916,9.999999999999998,-3.4468961996219543,0.31568912182355024,-0.8784672275139016,-0.2555764736385413,-1.0188088444693657,-0.792608094681313,0.4176335578055301,0.7191129520430005,0.0,0.4025563398884599,0.39862580521964425,-0.9969101420395532,-0.792608094681313,0.3841039155534954,0.7005715652381851,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24581164618603996,-0.01381736249145897,-0.01974589114068991,0.0,0.0,0.0,0.0,-0.028099397494461664,0.0,-0.05184190927154835,-0.02325213266657752,0.0,0.0,-0.00691425275183128,-0.2764285133674179,0.0,0.0,0.0,-0.006835929741297143,0.0,0.0,-0.0021249790817788883,0.0,0.0,0.0,0.4192955405545602
2014-06-01,2015-06-01,-1.042713669218287,-0.2555764736385413,0.5021640102472723,0.4991991795176757,-1.1730301106255265,0.6195849646651469,0.05411028429380359,10.451615459856429,9.99999999997759,-2.697270244130161,0.23148162537059236,-1.042713669218287,-0.2555764736385413,-1.0593668734477646,-0.8452265465883568,0.4349066326462036,1.01846408668127,0.0,0.5021640102472723,0.4991991795176757,-1.0228646473672056,-0.8234682752970262,0.4231609417545455,0.9985535267220051,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2205384584435991,0.0,-0.019708005606657565,0.0,-0.006732746869704706,0.0,-0.05029961339577477,-0.03870058050275552,0.02724704009211346,0.024662859307472473,-0.03329034305611259,0.0,0.0,-0.009922757369542522,-0.2737209374225026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345427069628522
2014-09-01,2015-09-01,-1.4541319195251925,-0.1279526276012355,0.9962918468072737,1.0048725256891398,-4.170897573070696,1.758751514327928,0.001313851787039223,11.1048459356096,9.999999908077733,-2.8495218597343426,0.2584766656243271,-1.4541319195251925,-0.1279526276012355,-0.9944769528806852,-0.792608094681313,0.4964943384396569,1.363885478886186,0.0,0.9962918468072737,1.0048725256891398,-0.9944769528806852,-0.792608094681313,0.48986491007625677,1.267208042948958,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19045425443198444,-0.005788445561949407,-0.041972010988397604,0.0,-0.005271768786633275,0.0,-0.06349935838306871,-0.044493147626779625,-0.02087366282410686,0.03890046136885833,-0.0244189256487734,0.0,0.0,0.0,-0.13925803314711527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3691765184287147
2014-12-01,2015-12-01,-1.316989762101528,0.06939944062041009,1.0817321519180876,1.0919039178791652,-3.3700964808110414,1.9220750214239715,0.005718899941234173,10.48603824205663,3.971333411674621,-2.020340271727416,0.5161829961040405,-1.316989762101528,0.06939944062041009,-0.9556221849475576,-0.6364083525426167,1.001339158414449,1.390055142418145,0.0,1.0817321519180876,1.0919039178791652,-0.8942902140335995,-0.5620949404547737,0.9999007791870972,1.3872654760175431,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2129943142442832,-0.00800118766905979,-0.04450852984837131,0.0,-0.01508029643743037,0.0,-0.056122038716588586,-0.03995430876570277,-0.00799843916656684,0.03129000170840114,-0.019875141987158663,0.0,0.0,0.0,0.08121714414000634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3614265516071641
2015-03-01,2016-03-01,-0.8644840978884183,0.280183855097027,0.8179408149986342,0.8181169110654927,-1.891882527229728,1.3102647225918898,0.04469863816758049,41.87759145820276,9.999999999999998,-4.949676145277671,0.5234394314944626,-0.8644840978884183,0.280183855097027,-0.8894435959207446,-0.4353856468247485,1.2905135530353697,1.4449127352220275,0.0,0.8179408149986342,0.8181169110654927,-0.8022916448052562,-0.4295833189624453,1.2853576946782732,1.4185231980964201,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3028161598803602,-0.016219726463698358,-0.04762994234044655,0.0,-0.011873066955294264,0.0,0.0,-0.026213792843969866,-0.02101556674831865,0.044288779464884194,-0.010441281255070939,0.0,0.0,-0.008411794174061848,0.2948037202473524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38571268604601106
2015-06-01,2016-06-01,-0.3747694568706272,0.1373504939962799,0.3233254884712957,0.33728166798224507,-0.8844164210109622,0.2622668440759233,0.278297137077685,33.50977959336694,9.999999999976493,-5.521646633894057,0.5597895284002511,-0.3747694568706272,0.1373504939962799,-1.0188088444693657,-0.8431633658290139,1.2606552819093997,1.5060999722089186,0.0,0.3233254884712957,0.33728166798224507,-1.0188088444693657,-0.8431633658290139,1.2177847306691534,1.4389486488651178,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2807637070551855,0.0,-0.06494389735668994,0.0,-0.03412715869920111,0.0,-0.035523809998698176,-0.0550958921971513,-0.025090994168170885,0.06368319414521656,-0.04261773284643025,0.0,0.0,-0.07065105114808094,0.29575302937037234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38672851395029917
2015-09-01,2016-09-01,-0.181689804921703,0.0279185714579632,0.2358184949317879,0.27067721957625296,-0.8072947896311404,0.04393567144851981,0.3910196601550126,49.55296602398559,9.999999999974973,-6.216137943545884,0.623990886257698,-0.181689804921703,0.0279185714579632,-1.1289546816820817,-0.8874755505987153,1.1976103536149196,1.406147598913865,0.0,0.2358184949317879,0.27067721957625296,-1.1289546816820817,-0.8874755505987153,1.1870356173674637,1.4010131345443533,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011582944430027982,-0.31312446975997066,0.0,-0.07781232893845673,0.0,-0.04349605046395606,0.0,-0.044588813815589524,-0.055843704885053594,0.0,0.036174981910936266,-0.031871080559968915,0.0,0.0,-0.06031458481338555,0.3057831631675077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32459440404592826
2015-12-01,2016-12-01,-0.0067578301338855,0.0670906503184021,0.2750149091370911,0.31579574699874263,-1.0424930142626347,0.005453598065111904,0.46040711088484465,27.094507414920436,9.999999999999998,-6.6564576001503415,0.6686768798780695,-0.0067578301338855,0.0670906503184021,-1.36920640375493,-1.042713669218287,1.4004426385032964,2.5968421091281613,0.0,0.2750149091370911,0.31579574699874263,-1.36920640375493,-1.0264583883890206,1.3933791411653935,2.4172639746351874,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3249219177569091,-0.011175523935934017,-0.09915537317640635,-0.026931168328122014,-0.05036130121849371,0.0,-0.0219184001473661,0.1165674528164817,0.0,0.0,-0.03419896225212033,0.0,0.0,-0.04898026836929501,0.31430265282577735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2538634598607897
