Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,LogS_direct,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,q05_YoY_timesafe,q16_YoY_timesafe,q84_YoY_timesafe,q95_YoY_timesafe,Violation90_YoY_timesafe,UpperViolation95_YoY_timesafe,SHAP_Shap_PPI,SHAP_Shap_real_turnover,SHAP_Shap_retail_turnover,SHAP_Shap_Manufacturing_EU,SHAP_Shap_Vol_loans,SHAP_Shap_Exchange_Rate_CHF,SHAP_Shap_gdp_index_ch,SHAP_Shap_gdp_index_eu,SHAP_Shap_Saron_Rate,SHAP_Shap_oilprices,SHAP_Shap_EU_fin_spread,SHAP_Shap_Wage_change,SHAP_Shap_unemployment_rate,SHAP_Shap_infl_e_next_year,SHAP_Shap_kofbarometer,SHAP_Shap_variable_mortgages,SHAP_Shap_M2_change,SHAP_Shap_M3_change,SHAP_Shap_CH_2int,SHAP_Shap_Business_Confidence_EU,SHAP_Shap_fin_spread,SHAP_Shap_M1_change,SHAP_Shap_infl_e_current_year,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_headline_lag_1,SHAP_Shap_core_lag_1,SHAP_Shap_headline_lag_2,SHAP_Shap_core_lag_2,SHAP_Shap_headline_lag_6,SHAP_Shap_core_lag_6,SHAP_Shap_headline_lag_12,SHAP_Shap_core_lag_12,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Constant
2012-09-01,2012-12-01,-0.3776404355736673,2.581621228068798,1.101795860432561,1.2760382515942894,-2.235712394105077,8.75722959390397,0.24336823991725995,21.989300872472338,-9.999999999998996,15.135633869493303,1.3444286589302257,-0.5585614490200008,0.18125396689061546,-1.2893549198495613,-1.0008867619464255,0.4723155259688916,0.5905689600432567,-0.464151340126584,0.25652795021783065,0.30366617981029836,-1.228104615620813,-1.0389265830831629,0.4342221727982931,0.5339173959294329,0,0,0.0,-0.17924905451933357,0.0,0.0,0.0,0.0,0.0,0.0,-0.2891299317449886,0.0,-0.21885533398052906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18388820458731248,0.0,0.0,0.7093698772369077,0.7286251483583879,1.8540486368306006,-0.30125346788359464,-0.5915088221206364,0.0,0.0,0.0,0.0,0.0,0.8983573432615847,0.15510503721771213
2012-12-01,2013-03-01,0.0964442201421889,-0.9966528331332823,0.6596450549588939,0.9318620363535841,-1.9427706522103168,1.1948611678795187,0.5759612640995054,28.022601181662065,9.999999984589872,-16.099643666005274,1.5512261788114683,-0.5559402157513382,-0.8292144790702061,-1.4458486823134908,-1.266016001403436,0.2908272896411823,0.5772229252563044,-0.5800512707868855,0.16645275953079647,0.19561140519923198,-1.1730942109728373,-1.0011135960245277,0.5478672964004153,0.801177334745242,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1340873379128919,0.0,0.0,0.0,0.0,0.0,0.0,-0.1094512976138521,0.0,0.0,-0.11294766821641627,0.0,0.0,0.0,0.0,0.0,0.0,0.3411577783250437,0.26451265124357787,-0.09845149859328295,-0.6584374703001016,0.2078690498352601,0.0,0.0,0.0,0.0,0.0,-0.19470481989090388,-0.607479399691562,0.1053671796818467
2013-03-01,2013-06-01,1.152727611006199,1.4134997390524262,0.6184055452652027,0.8837191928158511,-1.8701979503653001,0.06800210276575791,0.529488011958682,44.10499219775273,-9.999999999999325,18.765332355181783,1.7685816637456084,-0.2379100909859488,-0.17271705897439205,-1.3831648875288316,-1.1486437997230148,0.38829509210929203,0.44609011876906024,-0.5260919937374986,0.3121441603070469,0.2860627651413759,-1.8329405705633208,-1.6147857444617664,-0.07784685262945956,-0.02005182596969135,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21725411478541004,0.0,0.0,0.0,0.0,0.0,0.0,-0.20681166681510327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.363253265538467,-0.27190825555192927,0.6815757500505851,1.8485204548885739,0.0,-0.18764691959820956,-0.3978658416607322,-0.30355117902118506,0.0,0.0,0.0,0.9672105205769034,-0.13551574349259982
2013-06-01,2013-09-01,-1.146325498309153,-1.709879082058663,0.5374782140926005,0.6428888741284611,-1.7359232567370602,0.31759264175691576,0.5000616272489976,14.936413906576584,9.999999999890106,-11.852199335608548,1.0479815012360578,-0.0686985256836081,-0.20958692162098558,-0.680012360722948,-0.4855485556177541,0.9056512102024962,1.1729023593261267,0.21788284889368015,0.14581378386672203,0.18580851520559474,-0.805740277853957,-0.611598109101589,0.7478894585966598,1.0271319270047736,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04452553459911379,-0.01821980455994937,0.0,0.0,0.0,0.0,0.0,-0.01923630596679272,0.0,0.0,-0.033026799797662994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13430713550518625,-0.02897581667285287,-0.34368999665414285,0.06957931437417342,0.0,0.0,0.0,0.0,-0.2936301668122076,0.0,-0.409002090118661,-0.4548447457462669
2013-09-01,2013-12-01,-0.1680894260466914,1.4596293474607336,1.0063552855651112,1.089668065233928,-2.122040805618063,2.649468405628516,0.23861770434643229,28.75463704018759,-9.999999975274951,15.045947227206607,1.335808398778394,-0.0163107733018641,0.3906189200749921,-0.6602531474067419,-0.4300813566698203,0.9621784493052843,1.0533242502562288,0.025711583209808708,0.16589681378194246,0.21065318972181202,-0.8650978298584633,-0.5898552051335029,0.7551189722298768,0.7964561151246362,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2510275905358736,0.0,-0.22482980319639936,0.0,0.0,-0.08512917109508611,0.0,-0.2314544895062663,0.0,0.0,-0.31305026121753404,0.0,0.0,0.0,0.0,-0.14241983905522898,0.0,0.0,0.0,0.6756562354981975,1.7954230987972188,0.0,-0.21706280462753996,0.0,0.0,0.0,0.0,0.0,0.7384240733879498,-0.28490010098870394
2013-12-01,2014-03-01,0.4504806836468589,-1.0714891657212178,0.733519332686296,0.9021204170484367,-1.9466442141370508,2.316392222385486,0.6823487590948687,18.243358407586715,9.999999999999982,-11.952849804996244,1.109691397998866,0.0721983425743033,-0.3082941197677158,-0.8792399194835321,-0.6919581135988118,0.6479662909315566,0.9176766504000788,-0.04042182833741137,0.13428964810179883,0.16236844059816213,-0.6602471535392972,-0.48521840793540605,0.854284561182059,1.1049479046856712,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06285777081864863,0.0,0.0,0.0,0.0,0.0,0.0,-0.05335144680475464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16221581536371027,0.0,-0.09564190933280022,0.35683988503526226,-0.6321816860162587,0.0,0.0,0.0,0.07347583008980729,0.0,0.12515586382489421,-0.1271670518842545,-0.4824821520909194,-0.3354945430872558
2014-03-01,2014-06-01,0.7031114483968537,1.4596293474607336,0.6194926235785639,0.7892505707324091,-1.8337809748149443,0.5723193316040268,0.3768142206180814,32.29495758403131,-9.99999999998585,15.429765644564142,1.3871108830047436,-0.0402056980780329,0.148923776687937,-0.9009899864527338,-0.6020387774478947,0.7204833059182292,0.8366870199987275,-0.2159835601772464,0.28231256199631505,0.26143928425630797,-1.4894829825215927,-1.2108724865676976,0.07583823626435371,0.1258098222466403,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22665753725502086,-0.13710756072036645,-0.1776852508578733,0.0,0.0,0.0,0.0,-0.17119588067937846,0.0,0.0,-0.26758783885904674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11975670183979963,0.5179543592264518,1.892452288931608,0.0,-0.18570516647051843,0.0,0.0,0.0,0.0,0.0,0.6461194028892374,-0.31120076690455956
2014-06-01,2014-09-01,-0.9931052262324158,-1.4584285437418745,0.5350097849667148,0.6223087362438854,-1.7388561932740836,0.21652578981800846,0.510508391678073,16.04478373859029,9.999999999998979,-12.017724406300292,1.0750620199703822,-0.0019006300588486,-0.11823145943621333,-0.6479340247212307,-0.457055728012179,0.8749504627763287,1.2041527540580077,0.2463756764992553,0.13601989038070422,0.16223104879903322,-0.691849531992439,-0.4929899116297456,0.7976373946700809,1.140939878739308,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06412006896665706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026500207718176787,0.0,0.0,0.0,0.0,0.0,0.0,-0.18538782432197232,-0.24800233979070146,-0.02435622578792329,-0.1638905019833495,0.09253957788188576,0.3047202446333177,0.0,0.0,0.0,-0.2676773624828776,0.0,-0.5934325257227941,-0.2823213094826259
2014-09-01,2014-12-01,0.860168108157211,1.4596293474607336,0.5915485363865544,0.7534868097158083,-1.8125761380552357,0.35935377742731517,0.40381849538749515,38.26710881886009,-9.999999999949624,16.394892211715444,1.4851878235724374,0.2551637534921269,0.4050290633180076,-0.6668115686292886,-0.34667476789300256,0.9765885925482998,1.133786706506168,0.04012172645282419,0.13420927462164045,0.17329578228090542,-0.7775680161758025,-0.4599750545996407,0.8469604369827799,0.9681144276880754,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24061424023347389,0.0,0.0,0.0,0.0,0.0,0.0,-0.26166022026215924,0.0,0.0,-0.18735554485393474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07364576511295096,0.6357665119489782,1.3848026541004292,-0.06038918336000795,-0.3990025114421351,-0.05462001385010477,0.0,0.0,0.0,0.0,1.0320298333061362,-0.46297370300594515
2014-12-01,2015-03-01,-1.2841372129205553,-1.1596638582004104,0.5055234171745553,0.49452466785203375,-1.5913287689662956,0.015493616035287011,0.43967341872611254,10.849843575212285,9.999999999999998,-9.417107880715264,0.8186182331881776,-0.1784907206497266,-0.14737238196969038,-0.7029309132998485,-0.5141215288544351,0.7158959853851774,1.1244333148304406,0.14254358258041222,0.13736352173351693,0.12667822268671322,-0.6393662720585169,-0.44706928581515964,0.6671806729346524,1.1636841348352291,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06701214927075984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058282723020253654,0.0,0.0,-0.11055534969201489,0.0,-0.6250215980314628,0.0,0.11284204866140407,0.10839101379321063,0.19106150358817048,0.0,0.136203346496888,-0.0527842252920504,-0.34888209521471053,-0.5621890762593387
