Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,Skewt_df,Skewt_nc,Skewt_loc,Skewt_scale,PIT
2015-01-01,2016-01-01,-1.2747177260280296,0.0319198081969673,-1.4124469369917847,-1.1289546816820817,1.1015662612556125,1.4416923543279836,1.70730164584558,0.3635183971206732,0.7740963292032045,53.53859957000992,9.999999999889642,-7.308286689197694,0.7204248150954715,0.09819443242317215
2015-02-01,2016-02-01,-0.8319374868382745,0.0495813252518573,-1.4027915876135921,-1.1289546816820817,1.1820592708980726,1.4416923543279836,0.7770754160687972,0.24533908061715506,0.4876426398362959,60.148663677206926,9.999999999999998,-7.511759684297038,0.7450650924934106,0.20280037479281093
2015-03-01,2016-03-01,-0.8644840978884183,0.0279185714579632,-1.4022834113305294,-1.1289546816820817,1.0759321450727557,1.4416923543279836,0.796382524256547,0.23959186698262064,0.47738618154569773,47.64986689474439,9.999999999996838,-6.998819514972736,0.6879081002982032,0.20149311140571333
2015-04-01,2016-04-01,-0.3526159316805,-0.8784672275139016,-1.4124469369917847,-1.316989762101528,-0.01247480058535542,0.6288726174202175,0.2765195853296677,0.17240919727749401,0.30351354788118695,6.250479767343278,9.999999999999998,-2.6613920820244057,0.1684440934819711,0.7836574363868285
2015-05-01,2016-05-01,-0.4409159687146946,-0.8784672275139016,-1.4124469369917847,-1.316989762101528,-0.011438317354262,0.6459040680424799,0.19145110407677066,0.14865713558444246,0.2547236854498945,6.141536316559801,9.999999999999998,-2.657244496930338,0.1682463332775998,0.7465221325284915
2015-06-01,2016-06-01,-0.3747694568706272,-0.8784672275139016,-1.4124469369917847,-1.316989762101528,-0.01247480058535542,0.6297241899513298,0.2537114441510046,0.16597780047819466,0.29038707165238575,6.131287057458331,9.999999999999998,-2.653451656690905,0.16763531451808336,0.7736419093448288
2015-07-01,2016-07-01,-0.2031045228923389,-0.011438317354262,-1.37086025413371,-1.1889245208247523,1.2826484574151031,1.5060999722089186,0.03673593434536434,0.17294635376584702,0.2592383448722782,57.5945015830062,9.999999998870432,-7.671357407464214,0.7616415128039256,0.42866394857650075
2015-08-01,2016-08-01,-0.1431940564061484,0.0495813252518573,-1.37086025413371,-1.1889245208247523,1.3232915288278415,1.5500249397394583,0.03716234777338976,0.17734629023673554,0.26453889216126425,64.69760760803553,9.99999999999973,-8.017788992659018,0.8022338909032541,0.43163593512465126
2015-09-01,2016-09-01,-0.181689804921703,-0.0970753383941591,-1.4022834113305294,-1.2747177260280296,1.1820592708980726,1.5082962205854435,0.007159607945740847,0.16326068694447962,0.249121614176268,31.637064427861535,9.999999999999998,-6.571805894647756,0.6416190787199032,0.46632042512817173
2015-10-01,2016-10-01,-0.2130174515134086,-0.3289362236455595,-1.4022834113305294,-1.1289546816820817,1.0048911379403433,1.5602526647227761,0.013437161732625531,0.1061977485113641,0.22117927511585034,9.915499644298892,9.999999999951743,-3.915087275187085,0.3497011006892464,0.5379609809188692
2015-11-01,2016-11-01,-0.3387727644032168,-0.2031045228923389,-1.36920640375493,-1.1289546816820817,1.0935735179634984,2.3370752334964,0.018405871754653892,0.11827361235439576,0.2397691654084294,11.821820262516791,9.999999999712644,-4.371780378723276,0.4058804704384883,0.44214256400949187
2015-12-01,2016-12-01,-0.0067578301338855,-0.1431940564061484,-1.36920640375493,-1.042713669218287,0.9961572431823384,1.4308360100597106,0.018614843839416122,0.1186167125944607,0.20726286660269666,99.99999999999999,5.670862134202435,-4.686663452303124,0.8166974933867417,0.5164282364853954
2016-01-01,2017-01-01,0.3483109044570831,-0.0067578301338855,-1.2842046129783569,-0.8319374868382745,1.0235390304512926,1.3747966860917276,0.1260738062840317,0.12249788133333052,0.21246024706625488,99.9999999997671,-3.564623948628524,2.883637578960923,0.7726241350368209,0.6117838732156631
2016-02-01,2017-02-01,0.643933185816703,-0.0067578301338855,-1.319600594184198,-0.8431633658290139,1.001339158414449,1.406147598913865,0.42339879823880905,0.17683917991967416,0.336844405624035,99.99999999999993,-1.2949292215623798,1.130069640386114,0.8033569422370862,0.7551163165544105
2016-03-01,2017-03-01,0.5662310222083633,-0.1431940564061484,-1.319600594184198,-0.8667213986284956,0.6710692999622868,1.3747966860917276,0.5032839421672062,0.21375229322683034,0.41217097752047493,78.43644340828918,9.999999999128146,-6.048413953046119,0.58944905152468,0.8113971525917341
2016-04-01,2017-04-01,0.436851062708854,-0.2130174515134086,-1.316989762101528,-0.8667213986284956,0.2371815978783331,0.643933185816703,0.42232908577745104,0.23471888127585944,0.46096302143242535,30.40277395601267,0.4709485347832692,-0.5638135288712083,0.566960565538748,0.8940538624171858
2016-05-01,2017-05-01,0.4782534289033968,-0.2130174515134086,-1.316989762101528,-0.8784672275139016,0.1966586042287401,0.643933185816703,0.47785543011222525,0.2605954860984465,0.5120347826569779,26.714014068895093,0.37841390625756244,-0.5310368404783272,0.5638381539461077,0.9123771191334433
2016-06-01,2017-06-01,0.197006545721301,-0.23429696257597493,-1.319600594184198,-0.9599725452583704,0.0717082309224181,0.5693631019689531,0.18602271626953837,0.1604564905865891,0.3194177703728281,99.99999999999227,-6.237998957396321,2.8508954034030523,0.5088477574119004,0.8344106836137851
2016-07-01,2017-07-01,0.3287202016363011,0.1019783476556845,-0.8823249753855842,-0.3526159316805,0.643933185816703,1.3244697114499715,0.05141186834656726,0.08114444998972242,0.15367561956232906,3.3261434642747774,0.2807511444702031,-0.0027681980861647745,0.4556368435847878,0.6480283802031105
