Date,target_headline_3m,target_core_3m,target_headline_6m,target_core_6m,target_headline_9m,target_core_9m,target_headline_12m,target_core_12m,PPI,real_turnover,retail_turnover,Manufacturing_EU,Vol_loans,Exchange_Rate_CHF,gdp_index_ch,gdp_index_eu,kofbarometer,infl_e_next_year,CH_2int,Business_Confidence_EU,M2_change,fin_spread,oilprices,Saron_Rate,unemployment_rate,infl_e_current_year,M3_change,Wage_change,M1_change,EU_fin_spread,variable_mortgages,headline_1m,core_1m,sin_cycle_1,cos_cycle_1,sin_cycle_2,cos_cycle_2
2001-06-01,-2.321497935891159,-1.536821348742734,-1.2703335897638723,0.3044100867482413,-0.6646058783492965,0.145028479269745,0.3253875537862605,0.8870841674053054,-0.5611205023313026,-0.6493852002961376,0.1382170226952084,-0.20202027072757645,0.3160504403551201,-0.4747941835797853,-0.010022429947476041,0.9691451058092326,88.0211370698429,1.48947368421053,3.12495652173913,-5.5,-4.63200344,0.228926782608696,49.62763,3.275508,1.5969645714656342,1.38421052631579,2.40491066,2.2,-1.60512945,0.6258182173912994,4.31,0.18931256268066576,0.09507588220776242,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
2001-07-01,-2.3224754145680038,-1.6315995362791824,-0.7200765975952095,-0.12670707359347944,0.6827828243853418,1.0508485273278485,-0.05159647862775785,0.29814212992409495,-0.1661323516005453,0.16613235160045647,0.5509655810969072,-0.10116338748442644,0.164279626722319,-1.151015709068659,-0.010022429947476041,0.9691451058092326,94.2444002664571,1.48947368421053,3.1115238095238094,-5.8,-3.36381275,0.1439479047619047,49.72792,3.283814,1.5479398467895014,1.38421052631579,2.71901553,2.2,-0.04158085,0.7546877142857102,4.28,-0.15146364916924782,0.03208992733094718,-0.4999999999999997,-0.8660254037844388,0.8660254037844384,0.5000000000000004
2001-08-01,0.43811172296948087,2.2713652650182325,0.38632006162639954,0.9424607366165461,1.5524399749899942,1.8353836790930462,0.4714648931559928,0.7906824598169493,-0.043661372091641226,0.043661372091641226,1.769957709940151,-0.5073577600701817,0.6376851644274595,-0.1675640782669241,-0.010022429947476041,0.9691451058092326,94.0349145892623,1.48947368421053,3.119272727272727,-7.4,-2.63679723,0.1932903636363638,43.24651,3.226346,1.4992698229637385,1.38421052631579,4.08833459,2.2,1.09466444,0.7829248636363593,4.28,-0.5562748267114337,-0.45597297288333394,-0.8660254037844385,-0.5000000000000004,0.8660254037844392,-0.4999999999999992
2001-09-01,-0.21916924363658552,2.1456415222392167,0.1638401504216347,0.9859533932759845,1.207682717012067,1.695052672787985,0.49558733106236375,0.7600663877692426,0.49126044917642275,-1.9909477243279738,-2.597548640326064,0.0,-1.0456870160750142,1.410329348776429,0.41434723035695953,0.03680585206318199,92.9365213529996,1.55454545454545,2.930869565217391,-7.7,-2.17378059,0.1949472608695655,43.16194,3.123531,1.5243522402398992,1.47727272727273,3.28833358,2.4,1.34649143,0.7047136086956494,4.28,0.12736399190789172,0.03967770836670326,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0
2001-10-01,0.8823222193775848,1.3781853890922235,2.1854119438620145,2.392072559131364,0.7053631666856575,0.941389351991854,1.2296399649859069,1.4737475060203842,-0.08368486282250842,0.0836848628224196,1.1019395249610042,0.40609192863154675,0.2501150125516105,1.0807064983445969,0.41434723035695953,0.03680585206318199,90.3774871822838,1.55454545454545,2.62975,-8.7,-2.07487118,1.2881519999999995,41.85828,2.027698,1.5474838028390256,1.47727272727273,3.00977279,2.4,1.01689487,1.0545285000000009,4.28,-0.15170801883845897,0.008395380446835077,-0.8660254037844386,0.5000000000000001,-0.8660254037844387,-0.49999999999999983
2001-11-01,0.3345284002833182,-0.38644379178514043,2.109604101000251,1.6173928861304532,0.4825826165514968,0.29712152474985487,0.9112888980970624,0.9208849480599746,0.13123367583718348,-0.13123367583709467,1.3605652055779238,0.10126583143863499,0.2700903743198424,1.7294308724135732,0.41434723035695953,0.03680585206318199,82.8790597183669,1.55454545454545,2.239913043478261,-13.3,-0.16008638,1.0102583043478264,33.59316,2.118133,1.5751251333928555,1.47727272727273,3.92094447,2.4,3.50991274,1.2169694347826097,4.27,0.13387195767293747,0.5197682274410198,-0.5000000000000004,0.8660254037844384,-0.8660254037844392,0.4999999999999991
2001-12-01,0.5468495444798549,-0.17373473568724762,1.9211086973363933,1.4697582480623694,0.7338395226286801,0.2982080096125846,0.8868869619916175,0.8840855157103533,-0.09390735941785522,-2.8331308705935143,-2.462504730538928,-0.20263431452329783,-0.6984902160748874,0.5368888289247309,0.04568819771577637,0.27298585108415097,84.3055994474863,1.36111111111111,2.2059545454545453,-15.3,1.06722133,1.1508125454545457,31.03176,1.960142,1.7303827627547892,1.24444444444444,5.10692163,2.4,3.56916055,1.2809605,4.08,-0.03695624974362488,0.008246772671949287,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0
2002-01-01,3.4885016683464443,3.4059597291705046,0.6168836403396938,0.7229913334416693,1.3454125468553475,1.5056015449964377,0.8430961309611185,0.6984297632662617,-0.45071236366629464,0.45071236366629464,2.597548640326064,-0.20304575503820033,2.308072634894387,0.035995909146357974,0.04568819771577637,0.27298585108415097,88.3306668463216,1.36111111111111,2.3883809523809525,-15.4,1.92012309,1.9861281904761905,30.98742,1.469348,1.966892222626469,1.24444444444444,5.593004,2.4,3.84857166,1.6138674285714316,4.03,0.12366484691508361,-0.1834686528399132,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001
2002-02-01,3.8846798017171835,3.621229564046047,0.5566097246855861,0.6389041830173525,1.1035423973683103,1.356661194675013,0.9445856214718162,0.6912414733964312,0.02323981815939291,-0.023239818159304093,-0.13504390978713587,0.20304575503820033,-0.02944174136185751,-0.293710637277389,0.04568819771577637,0.27298585108415097,92.881017553238,1.36111111111111,2.445,-12.2,4.62417817,2.267363565217391,32.44328,1.203506,2.179560718198282,1.24444444444444,5.69212365,2.4,8.5816407,1.6840877826086924,4.03,-0.003076497100629183,0.07861093222167881,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
2002-03-01,3.2953678501929318,3.1132512318119865,0.8273345117030928,0.5341793822625007,1.0002327678288716,1.2366922661762203,1.330149842970485,0.6970409824102575,-0.5805485173649316,-2.4347552997038946,-1.0869672236903938,-0.3047234455468839,0.5526356457352222,-0.2067098676434398,-0.42802615118304743,0.00806911417150502,100.018281660285,1.43333333333333,2.4639,-12.5,3.09046136,2.000497,34.40806,1.571053,2.3743168208264125,0.985714285714286,3.71003462,2.5,4.43694787,1.709015,4.03,0.016124036305509293,0.06142403669642249,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
2002-04-01,-2.2547343876670567,-1.959977062287166,0.27386798610979923,0.5554224529094043,-0.038705714833990136,-0.2040802253684859,0.6696412652787309,0.6826423564516126,-0.5378785526725771,0.5378785526725771,0.4089985251524375,-0.20366605818029626,-0.9188874112574297,-0.8441867447668727,-0.42802615118304743,0.00806911417150502,100.525732737155,1.43333333333333,2.6121904761904764,-9.9,5.02989986,2.4891821428571426,39.67465,1.202675,2.393521338296442,0.985714285714286,3.73641079,2.5,6.49073312,1.9256610476190492,4.03,0.859077877881731,0.7114549633745249,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004
2002-05-01,-2.7714603523460113,-2.3434211980113417,-0.2870263048061261,0.22437700998949595,-0.035445771943306184,-0.285421223486774,0.41330084645361254,0.5928405898807831,-0.02207962604376945,0.02207962604376945,0.407332538763594,1.1150647719509799,-0.6017718135003847,0.5512615953655597,-0.42802615118304743,0.00806911417150502,99.0674747501034,1.43333333333333,2.4475,-8.3,7.57920165,2.152677636363636,42.55949,1.418686,2.3402908749659237,0.985714285714286,4.4266639,2.5,8.6146199,1.89034245454545,4.03,0.09596803624205563,0.13242839094056436,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001
2002-06-01,-1.6406988267867462,-2.044892467286985,-0.14733477335315825,0.2984127833583372,0.675077173896336,-0.10836243405698553,0.5464927312744727,0.6432776760822101,-0.08182239687917203,-3.4793847820084878,-1.91524322147556,0.20140993717010502,0.40762446083917325,0.5030586310804885,0.07966814586328752,0.25273294155390147,101.393148284859,1.35,2.1606521739130438,-8.3,6.79640679,2.5042105217391306,40.27185,0.974746,2.33152469680678,0.884,3.48162158,2.2,6.62410922,1.83604330434783,4.03,-0.13120395157555365,-0.06557054636209259,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
2002-07-01,2.802470359886655,3.0708219681059745,1.0693086215825431,0.6738681930908541,1.6444331495939934,1.5635154960312054,0.27005763451422027,0.39829006533809164,-0.29446932297414463,0.2944693229740558,0.0,0.5017571991979608,-0.16988477350050601,1.7584370826286388,0.07966814586328752,0.25273294155390147,98.5518676401513,1.35,2.1131,-6.2,6.04786871,2.4607910000000004,37.083,0.937309,2.3037820231528445,0.884,2.68779084,2.2,4.58111638,1.7008675500000003,4.03,-0.5284476815832662,-0.5568521101502633,-0.4999999999999997,-0.8660254037844388,0.8660254037844384,0.5000000000000004
