Date,Core_CPI,Headline_CPI,kofbarometer,unemployment_rate,oilprices,gdp_index_ch,gdp_index_eu,infl_e_current_year,infl_e_next_year,Saron_Rate,CH_2int,fin_spread,EU_fin_spread,Wage_change,PPI,real_turnover,retail_turnover,Exchange_Rate_CHF,variable_mortgages,Vol_loans,M1_change,M2_change,M3_change,Manufacturing_EU,Business_Confidence_EU
2000-05-01,94.2169,92.9279,105.904329349028,1.7681330675441629,47.68122,126438.132969078,2412483.7,,,3.047974,3.8495652173913046,1.072069478260869,1.1534974782608707,0.9,106.6984,64.94942754530526,71.6,97.4227,4.18,597557.0,-1.73836615,-4.9503483,-1.38525422,100.4,6.7
2000-06-01,94.3063,93.2738,105.256403428524,1.67119839229306,48.92549,126438.132969078,2412483.7,,,3.054887,3.847409090909091,0.9810220909090912,0.8436751363636406,0.9,106.8251,64.8723942219572,70.9,98.5368,4.29,598543.0,-3.64235406,-5.83442871,-2.44220505,99.9,6.9
2000-07-01,94.3399,93.3429,101.252691358801,1.6503723852213386,47.38057,127530.775756422,2427880.7,,,2.778948,3.819,1.135290095238095,0.8708355238095198,0.8,106.9197,67.34025628579204,71.0,99.1486,4.36,595040.0,-5.40507106,-7.18797251,-2.28314703,100.3,6.4
2000-08-01,94.379,93.1014,99.0397647197174,1.6140915553834976,51.78222,127530.775756422,2427880.7,,,3.125945,3.8832173913043477,0.799924565217391,0.6210782173913003,0.8,106.8995,67.35298107100594,71.0,97.7261,4.42,595895.0,-4.70504077,-6.97040834,-1.80892259,100.2,6.3
2000-09-01,94.365,93.568,98.2281910898721,1.5791535216220571,58.28921,127530.775756422,2427880.7,,,2.991287,3.662714285714286,0.8974749047619048,0.6143846666666706,0.8,107.6757,66.86745477391834,71.6,97.9913,4.42,600917.0,-4.89201045,-7.6291668,-2.29336012,99.6,6.3
2000-10-01,94.392,93.4677,100.595189758923,1.5949630452385466,54.94161,129397.810640072,2440872.9,,,2.967391,3.570954545454546,0.9037908181818177,0.3749589999999996,1.3,107.5876,69.52474076938235,72.6,98.2194,4.43,605637.0,-4.46216121,-7.66651628,-1.76647644,98.8,5.6
2000-11-01,94.8052,93.9133,100.340619930029,1.6650924705116914,57.87391,129397.810640072,2440872.9,,,2.955805,3.5761363636363637,0.8837404545454546,0.24370140909091198,1.3,107.7084,69.44676552617995,72.8,98.009,4.44,603075.0,-2.94623105,-6.76802714,-1.31439231,98.7,5.2
2000-12-01,94.7661,93.8428,97.5684827362086,1.7665115779424714,43.24916,129397.810640072,2440872.9,,,3.490226,3.350809523809524,0.17134542857142865,0.12882647619048093,1.3,107.533,69.56004203360828,72.9,100.0,4.46,596818.0,-1.98219791,-5.68519695,-1.03794545,98.6,4.1
2001-01-01,95.0697,93.7755,96.95805284861,1.8316498555354106,41.78046,129384.84248502,2464643.5,,,3.308556,3.139434782608696,0.19140052173913036,0.2375062173913003,2.2,106.9313,69.10979292311981,71.8,100.9117,4.46,602723.0,-3.13920742,-6.03207965,0.19669084,98.9,2.6
2001-02-01,94.9564,93.6487,89.7757548570101,1.7675756804935814,45.89118,129384.84248502,2464643.5,,,3.282052,3.1765,0.19674799999999948,0.26526860000000063,2.2,106.7538,69.22470207149536,72.4,99.4629,4.47,603419.0,-2.76510425,-5.75389697,1.01234992,99.5,0.4
