Date,Core_CPI,Headline_CPI,kofbarometer,unemployment_rate,oilprices,real_gdp_growth,gdp_EU_growth,infl_e_current_year,infl_e_next_year,Saron_Rate,CH_2int,fin_spread,EU_fin_spread,Wage_change,PPI,real_turnover,retail_turnover,Exchange_Rate_CHF,variable_mortgages,Vol_loans,M1_change,M2_change,M3_change,Manufacturing_EU,Business_Confidence_EU
1982-12-01,,,,0.7626563301542779,,-0.00303423400705094,,,,,,,,,,,,94.3265,,,,,,,
1983-01-01,,,,0.9421372231533909,,0.00829703547150706,,,,,,,,,,,,96.6181,,,,,,,
1983-02-01,,,,0.9492207184799014,,0.00829703547150706,,,,,,,,,,,,95.6103,,,,,,,
1983-03-01,,,,0.8899004882113171,,0.00829703547150706,,,,,,,,,,,,93.8342,,,,,,,
1983-04-01,,,,0.8943964053363624,,0.00087824094776745,,,,,,,,,,,,94.7324,,,,,,,
1983-05-01,,,,0.91341510511713,,0.00087824094776745,,,,,,,,,,,,94.8607,,,,,,,
1983-06-01,,,,0.8666769738531692,,0.00087824094776745,,,,,,,,,,,,94.9893,,,,,,,
1983-07-01,,,,0.8096532192383852,,0.00517677324769283,,,,,,,,,,,,95.2355,,,,,,,
1983-08-01,,,,0.8270223379157187,,0.00517677324769283,,,,,,,,,,,,95.5612,,,,,,,
1983-09-01,,,,0.847270137342182,,0.00517677324769283,,,,,,,,,,,,95.1112,,,,,,,
1983-10-01,,,,0.878062317939615,,0.00437203702621169,,,,,,,,,,,,95.8361,,,,,,,
1983-11-01,,,,0.9991609777681749,,0.00437203702621169,,,,,,,,,,,,95.5059,,,,,,,
1983-12-01,...,2.1,,1.0431821519205975,,0.00437203702621169,,,,,,,,,,,,96.071,,,,,,,
1984-01-01,...,2.7,,1.1904476963114718,,0.0101059547305014,,,,,,,,,,,,95.7517,,,,,,,
1984-02-01,...,2.9,,1.1961080236271764,,0.0101059547305014,,,,,,,,,,,,94.3367,,,,,,,
1984-03-01,...,3.4,,1.1752780191053838,,0.0101059547305014,,,,,,,,,,,,94.3662,,,,,,,
1984-04-01,...,3.2,,1.1837846824426996,,0.00520184154677961,,,,,,,,,,,,93.5301,,,,,,,
1984-05-01,...,2.9,,1.1503402341887652,,0.00520184154677961,,,,,,,,,,,,92.5324,,,,,,,
1984-06-01,...,2.8,,1.1158607546542445,,0.00520184154677961,,,,,,,,,,,,91.9719,,,,,,,
1984-07-01,...,2.8,,1.0820605143976085,,0.0161819291040071,,,,,,,,,,,,89.7233,,,,,,,
1984-08-01,...,2.9,,1.0636887091672074,,0.0161819291040071,,,,,,,,,,,,90.3276,,,,,,,
1984-09-01,...,2.7,,1.042599946825268,,0.0161819291040071,,,,,,,,,,,,90.3469,,,,,,,
1984-10-01,...,3.1,,1.069154968117802,,0.00845069715823055,,,,,,,,,,,,90.7683,,,,,,,
1984-11-01,...,3,,1.1637309513813463,,0.00845069715823055,,,,,,,,,,,,91.4099,,,,,,,
1984-12-01,...,2.9,,1.2234069736526318,,0.00845069715823055,,,,,,,,,,,,90.3589,,,,,,,
1985-01-01,...,3.5,,1.2896813203376531,,0.0130440697173124,,,,,,,,,,,,89.2944,,,,,,,-5.9
1985-02-01,...,4,,1.214415139402541,,0.0130440697173124,,,,,,,,,,,,87.7874,,,,,,,-8.0
1985-03-01,...,3.9,,1.1170898542999403,,0.0130440697173124,,,,,,,,,,,,87.6309,,,,,,,-9.5
1985-04-01,...,3.6,,1.0573814873011365,,0.00655472053803052,,,,,,,,,,,,89.088,,,,,,,-8.8
1985-05-01,...,3.8,,0.9729940932058607,,0.00655472053803052,,,,,,,,,,,,88.2755,,,,,,,-7.6
1985-06-01,...,3.4,,0.8873452547373706,,0.00655472053803052,,,,,,,,,,,,88.4152,,,,,,,-7.9
1985-07-01,...,3.4,,0.8662564923954311,,0.00173055277186895,,,,,,,,,,,,89.9024,,,,,,,-8.1
1985-08-01,...,3,,0.8421920151218071,,0.00173055277186895,,,,,,,,,,,,92.2237,,,,,,,-7.6
1985-09-01,...,3.3,,0.8234967626162227,,0.00173055277186895,,,,,,,,,,,,91.8081,,,,,,,-6.3
1985-10-01,...,3,,0.831421220858209,,0.00863876138651665,,,,,,,,,,,,93.251,,,,,,,-5.8
1985-11-01,...,3.1,,0.9039057552267462,,0.00863876138651665,,,,,,,,,,,,93.6788,,,,,,,-5.2
1985-12-01,...,3.2,,0.9717649935601649,,0.00863876138651665,,,,,,,,,,,,92.8116,,,,,,,-6.6
1986-01-01,...,2.2,,1.0250044150553064,,0.00397947567153478,,,,,,,,,,,,92.2702,,,,,,,-7.3
