Date,Headline,Core,Headline_level,Core_level
2001-05-01,1.7502630841954137,1.4179866241913253,94.5687,95.5624
2001-06-01,1.5680426287661753,1.4182200607994133,94.7479,95.6533
2001-07-01,1.3425234388463103,1.4146877488747656,94.6045,95.684
2001-08-01,1.0453073605779295,0.9172774842739706,94.0797,95.2487
2001-09-01,0.6727490601543096,0.971790101327219,94.1996,95.2865
2001-10-01,0.6282933034396976,0.9515772710225079,94.0568,95.2945
2001-11-01,0.28655584503338716,1.034551870493594,94.1828,95.7911
2001-12-01,0.32469702574697834,1.0840496137022093,94.148,95.799
2002-01-01,0.5201032783634041,0.5807253184194394,94.2645,95.6234
2002-02-01,0.6523348357677428,0.7785830419249073,94.2616,95.6986
2002-03-01,0.5082007176384629,0.6921537915748566,94.2768,95.7574
2002-04-01,1.0912175207176134,1.2849581627789597,95.0902,96.4411
2002-05-01,0.6459040680424799,1.0477305959751604,95.1815,96.5689
2002-06-01,0.3253875537862605,0.8870841674053054,95.0567,96.5056
2002-07-01,-0.05159647862775785,0.29814212992409495,94.5557,95.9697
2002-08-01,0.4714648931559928,0.7906824598169493,94.5243,96.0048
2002-09-01,0.49558733106236375,0.7600663877692426,94.6676,96.0135
2002-10-01,1.2296399649859069,1.4737475060203842,95.2205,96.7093
2002-11-01,0.9112888980970624,0.9208849480599746,95.045,96.6773
2002-12-01,0.8868869619916175,0.8840855157103533,94.9867,96.6497
2003-01-01,0.8430961309611185,0.6984297632662617,95.0626,96.2936
2003-02-01,0.9445856214718162,0.6912414733964312,95.1562,96.3624
2003-03-01,1.330149842970485,0.6970409824102575,95.5392,96.4272
2003-04-01,0.6696412652787309,0.6826423564516126,95.7291,97.1017
2003-05-01,0.41330084645361254,0.5928405898807831,95.5757,97.1431
2003-06-01,0.5464927312744727,0.6432776760822101,95.5776,97.1284
2003-07-01,0.27005763451422027,0.39829006533809164,94.8114,96.3527
2003-08-01,0.5357784962530587,0.48484011428939766,95.0321,96.4714
2003-09-01,0.529085598004464,0.4640644758370449,95.1698,96.4601
2003-10-01,0.45265777520802075,0.40421023373751197,95.6525,97.101
2003-11-01,0.5112899773471291,0.4596499320881797,95.5322,97.1227
2003-12-01,0.5920114867147497,0.5063223572880027,95.5507,97.1403
2004-01-01,0.1723692575356317,0.3433579434509504,95.2266,96.6248
2004-02-01,0.09065188565884341,0.37330713958310113,95.2425,96.7228
2004-03-01,-0.09707533839415916,0.3558009758762637,95.4465,96.7709
2004-04-01,0.5443268933835732,0.5760822321685843,96.2516,97.6627
2004-05-01,0.9355974891816388,0.6005006978757166,96.4741,97.7282
2004-06-01,1.105942503504398,0.5994655625302769,96.6405,97.7124
2004-07-01,0.858751184885076,0.5252252091309195,95.6291,96.8601
2004-08-01,0.9961572431823384,0.6206379839170495,95.9835,97.072
2004-09-01,0.8570936989861444,0.6049458903922833,95.989,97.0454
2004-10-01,1.2843128749296717,0.7297639731694616,96.8889,97.8122
2004-11-01,1.5060999722089186,0.9055614391794364,96.9819,98.0062
2004-12-01,1.3230671130902927,0.8571328757609464,96.8233,97.9765
2005-01-01,1.1976103536149196,1.0202904090350629,96.3739,97.6157
2005-02-01,1.4004426385032964,0.893509593463726,96.5857,97.5909
2005-03-01,1.4308360100597106,0.8753475519000631,96.822,97.6217
2005-04-01,1.406147598913865,0.7070794244562251,97.6146,98.3557
2005-05-01,1.0759321450727555,0.6607732287250201,97.5177,98.3761
2005-06-01,0.6785664820509574,0.40659243473601947,97.2985,98.1105
2005-07-01,1.1820592708980726,0.3677923900544222,96.7662,97.217
2005-08-01,0.956100706888563,0.20911036952897533,96.9056,97.2752
2005-09-01,1.3869555130841427,0.19723872272043863,97.3296,97.237
2005-10-01,1.3244697114499715,0.2153851542921359,98.1807,98.0231
2005-11-01,0.9470193402036031,0.14529336261119852,97.9047,98.1487
2005-12-01,1.0013391584144493,0.1567514332466935,97.7977,98.1302
2006-01-01,1.2826484574151031,0.08765238610104475,97.618,97.7013
2006-02-01,1.3741567478289696,0.2766918689188991,97.9221,97.8613
2006-03-01,1.0235390304512926,0.270373147457903,97.8181,97.886
2006-04-01,1.0535954686373472,0.26876373259092645,98.6485,98.6204
2006-05-01,1.352716010561128,0.30347465985958166,98.8458,98.6751
2006-06-01,1.5500249397394583,0.5430111251164327,98.8184,98.6447
2006-07-01,1.4146179432990458,0.5689575820150949,98.1448,97.7717
