Date,PPI,real_turnover,retail_turnover,Manufacturing_EU,Vol_loans,Exchange_Rate_CHF,gdp_index_ch,gdp_index_eu,M1_change,Business_Confidence_EU,infl_e_next_year,unemployment_rate,Saron_Rate,kofbarometer,EU_fin_spread,M3_change,infl_e_current_year,Wage_change,oilprices,M2_change,fin_spread,variable_mortgages,CH_2int,headline_1m,core_1m,headline_lag_1,core_lag_1,headline_lag_2,core_lag_2,sin_cycle_1,cos_cycle_1,sin_cycle_2,cos_cycle_2,target_headline_3m,target_core_3m,target_headline_6m,target_core_6m,target_headline_9m,target_core_9m,target_headline_12m,target_core_12m
2009-03-01,-0.5961496739558036,-5.728753356814131,-0.24183808642810334,-0.0820008246030568,1.0149536741762333,2.2627450085935585,-2.938860921334019,-1.733961014045704,28.67692769,-32.3,0.936028770826087,3.25387358664379,0.035864,74.7196693062394,2.25338825579123,3.57847395,2.4144792666087,2.0,50.42749,22.3851683,2.045086,2.78,0.4695,-0.3246221992434961,-0.017570322282001172,0.23548544729203869,0.26387953787985197,-0.8473612424002575,-0.7389920303550568,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,-0.9556221849475577,0.9068353628948422,-0.926836457039304,0.5703988126583681,0.28224675943970823,0.40037616427666123,1.390055142418145,0.36872565998198326
2009-04-01,-1.4394829058266723,1.439482905826761,0.0,-0.3286773706623336,0.221411161590801,-0.7652328288489052,-2.938860921334019,-1.733961014045704,34.35211464,-35.6,0.936028770826087,3.3545072850487507,0.031394,76.5470482983716,2.5064713659199325,4.24032232,2.4144792666087,2.0,53.77771,27.58967795,2.129606,2.76,0.5327272727272727,0.877715793571543,0.910964980445339,-0.3246221992434961,-0.017570322282001172,0.23548544729203869,0.26387953787985197,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004,-1.1847158003524427,0.9448170727976546,-0.8371791172530507,0.5624605225936108,1.01846408668127,0.5014208797336828,1.3633448857839348,0.30224516242798316
2009-05-01,-0.741512879162709,0.7415128791626202,-0.24242436115065047,0.08227067514638975,0.43506896327620836,-0.02167388812654991,-2.938860921334019,-1.733961014045704,36.98210332,-36.7,0.936028770826087,3.41305826113482,0.03359,80.6196589345315,2.66704316712587,3.85507628,2.4144792666087,2.0,57.61202,30.60051292,2.1665918181818187,2.75,0.5089090909090909,0.1593442989291205,0.02301729159590593,0.877715793571543,0.910964980445339,-0.3246221992434961,-0.017570322282001172,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,-0.8132290888069882,0.6741472190689102,0.023917334718959182,0.5565132004536011,0.9284475653895896,0.4544636341404562,1.1007326913034632,0.18345699139841187
2009-06-01,-0.8494129899002445,-5.78023310805964,-0.364742045704336,0.0,0.367421197317519,-0.9542900606977156,-1.5787359453407035,-2.985180889739958,38.94772262,-33.6,0.622727272727273,3.463628468087564,0.034996,90.5877363585529,2.8514358514652205,3.20940733,0.119403590045455,2.0,63.46825,32.96853746,2.3366706666666666,2.75,0.4621428571428571,0.17931698481001845,-0.24559415277227714,0.1593442989291205,0.02301729159590593,0.877715793571543,0.910964980445339,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,-0.926836457039304,0.5703988126583681,0.28224675943970823,0.40037616427666123,1.390055142418145,0.36872565998198326,0.48508885310551975,0.04524487757819884
2009-07-01,-0.6212470232705769,0.6212470232704881,1.8105503632273034,0.41034115845919317,-0.11155979966464002,0.3887210027728294,-1.5787359453407035,-2.985180889739958,41.6872701,-31.0,0.622727272727273,3.423572607770786,0.020048,95.2895985235784,3.0970540935653696,4.1057943,0.119403590045455,2.0,74.15819,35.26946268,2.507179272727273,2.74,0.4999545454545455,-0.6658597774492847,-0.55386028565243,0.17931698481001845,-0.24559415277227714,0.1593442989291205,0.02301729159590593,-0.4999999999999997,-0.8660254037844388,0.8660254037844384,0.5000000000000004,-0.8371791172530507,0.5624605225936108,1.01846408668127,0.5014208797336828,1.3633448857839348,0.30224516242798316,0.41763355780553013,-0.03688785538953354
2009-08-01,-0.49850915000844154,0.49850915000853036,-0.8408457949406589,0.16366615764678016,0.8573488511185445,0.3058005915589135,-1.5787359453407035,-2.985180889739958,43.93137153,-28.7,0.622727272727273,3.553418454781215,0.016977,98.9313029782025,3.11367726431956,5.82040636,0.119403590045455,2.0,69.45974,37.31538148,2.365283869565218,2.74,0.4898695652173913,0.11067322703830484,-0.05761845536662591,-0.6658597774492847,-0.55386028565243,0.17931698481001845,-0.24559415277227714,-0.8660254037844385,-0.5000000000000004,0.8660254037844392,-0.4999999999999992,0.023917334718959182,0.5565132004536011,0.9284475653895896,0.4544636341404562,1.1007326913034632,0.18345699139841187,0.29301452257266547,0.013688629333241664
2009-09-01,-0.17228375547500008,-1.556154335849147,0.12055456553490274,0.16339872916555365,0.11049292473241934,-0.4095477799925362,0.5513936951386356,-0.015246447727790269,48.66141671,-25.9,0.6928538112,3.6829096009412745,0.018446,102.711492294298,3.03099233614812,7.39178519,-0.38264933355,2.1,77.4578,41.22266771,2.137506380952381,2.74,0.4832857142857143,-0.012798082487641693,0.12838123947513935,0.11067322703830484,-0.05761845536662591,-0.6658597774492847,-0.55386028565243,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0.28224675943970823,0.40037616427666123,1.390055142418145,0.36872565998198326,0.48508885310551975,0.04524487757819884,0.2826642049170047,-0.10427860378978693
2009-10-01,-0.264931104092625,0.264931104092625,0.4807701568102729,0.40733253876350517,0.2569988173984683,-0.15956403653083484,0.5513936951386356,-0.015246447727790269,48.20994723,-21.9,0.6928538112,3.8214202830107418,0.024256,107.788060376667,3.09488059992542,7.32095963,-0.38264933355,2.1,70.28794,41.54224655,2.1901985454545456,2.74,0.5497272727272727,0.6195675540794809,0.7334124952562249,-0.012798082487641693,0.12838123947513935,0.11067322703830484,-0.05761845536662591,-0.8660254037844386,0.5000000000000001,-0.8660254037844387,-0.49999999999999983,1.01846408668127,0.5014208797336828,1.3633448857839348,0.30224516242798316,0.41763355780553013,-0.03688785538953354,0.19376519698628414,-0.16615027425848083
2009-11-01,-0.021826014549031214,0.021826014549031214,0.47846981233359287,0.48661896511736913,0.23207490444736578,1.112514478893445,0.5513936951386356,-0.015246447727790269,47.70907166,-19.8,0.6928538112,3.912071686055291,0.045043,107.847564214084,3.06636359288191,7.55296751,-0.38264933355,2.1,74.32162,42.01151899,2.1484115454545454,2.74,0.5898181818181819,0.19287947962158825,0.07324282682930061,0.6195675540794809,0.7334124952562249,-0.012798082487641693,0.12838123947513935,-0.5000000000000004,0.8660254037844384,-0.8660254037844392,0.4999999999999991,0.9284475653895896,0.4544636341404562,1.1007326913034632,0.18345699139841187,0.29301452257266547,0.013688629333241664,0.240724629207012,-0.06203172271064261
2009-12-01,-0.03471675458275314,2.129679385736427,1.4218249002279748,0.7255170881171225,0.40167578631251644,0.5368826295035767,1.3444149700649888,0.39428317701712956,41.73954028,-17.1,0.658653846153846,4.0065487911288304,0.043573,110.62084243486,3.11877230184097,7.3701682,-0.422115384615385,2.2,77.66869,38.94933106,2.058331761904762,2.74,0.5638095238095238,-0.24209472432170642,-0.11888696077670957,0.19287947962158825,0.07324282682930061,0.6195675540794809,0.7334124952562249,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,1.390055142418145,0.36872565998198326,0.48508885310551975,0.04524487757819884,0.2826642049170047,-0.10427860378978693,0.5182549193299302,0.03462849172430893
2010-01-01,0.10643846313138638,-0.10643846313138638,-2.622319509910298,0.32077012267697214,0.36542764412512696,0.10859866219146141,1.3444149700649888,0.39428317701712956,31.84808097,-16.2,0.658653846153846,4.153800315582414,0.031984,112.413897386784,3.15962289880302,8.22548214,-0.422115384615385,2.2,76.69818,31.36382902,1.9479725217391304,2.74,0.4869130434782608,-0.1111439151586957,-0.6379473148980352,-0.24209472432170642,-0.11888696077670957,0.19287947962158825,0.07324282682930061,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.3633448857839348,0.30224516242798316,0.41763355780553013,-0.03688785538953354,0.19376519698628414,-0.16615027425848083,0.27812095075434584,-0.01970754602371727
2010-02-01,0.15480425448863855,-0.15480425448854973,3.4424764212520387,0.23990415344661287,-0.006475252892101935,-0.41305128314945705,1.3444149700649888,0.39428317701712956,20.65599601,-14.8,0.658653846153846,4.376501778064691,0.027068,107.308765264057,3.42187002022155,6.92252232,-0.422115384615385,2.2,78.79194,21.50598434,1.9939796190476191,2.74,0.5100476190476191,0.14546892600035832,0.2169222922866254,-0.1111439151586957,-0.6379473148980352,-0.24209472432170642,-0.11888696077670957,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,1.1007326913034632,0.18345699139841187,0.29301452257266547,0.013688629333241664,0.240724629207012,-0.06203172271064261,0.5088548883534827,0.06065006384270433
2010-03-01,-0.4357246902874756,2.8454798481934773,-1.5285424001822534,0.3985656930203696,0.9344488594152267,0.5980360654781691,0.5427610662916749,0.44550340584628145,16.27299873,-13.3,0.71547619047619,4.065905772954677,0.037635,116.032021318238,3.4442944043884305,6.36752896,-0.369047619047619,2.1,79.07701,17.02605384,1.920765,2.74,0.4337,0.13698537778505937,-0.10330829644047412,0.14546892600035832,0.2169222922866254,-0.1111439151586957,-0.6379473148980352,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.48508885310551975,0.04524487757819884,0.2826642049170047,-0.10427860378978693,0.5182549193299302,0.03462849172430893,0.999223894844814,0.629165749209637
2010-04-01,-0.006275556083590317,0.006275556083590317,0.8259633977417025,0.07952286701389255,0.28400505280732347,-1.0473363181284334,0.5427610662916749,0.44550340584628145,11.86419757,-12.6,0.71547619047619,4.001920933151572,0.052509,115.169153734665,3.34166537388462,6.26048122,-0.369047619047619,2.1,84.0749,13.05008116,1.882404043478261,2.74,0.453304347826087,0.8510055369373326,0.8444844828913389,0.13698537778505937,-0.10330829644047412,0.14546892600035832,0.2169222922866254,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004,0.41763355780553013,-0.03688785538953354,0.19376519698628414,-0.16615027425848083,0.27812095075434584,-0.01970754602371727,0.25853201261165637,-0.07496038930101534
2010-05-01,0.12373505793608075,-0.12373505793616957,0.5858247568367503,0.2381898704533647,0.07897786898798387,0.7449397880105124,0.5427610662916749,0.44550340584628145,9.63695936,-9.8,0.71547619047619,3.840755937161613,0.027666,115.795752785802,3.5223592216174096,6.39856039,-0.369047619047619,2.1,90.66618,10.84703806,1.912970363636364,2.74,0.5022272727272727,-0.10326789555135107,-0.09577087943366536,0.8510055369373326,0.8444844828913389,0.13698537778505937,-0.10330829644047412,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,0.29301452257266547,0.013688629333241664,0.240724629207012,-0.06203172271064261,0.5088548883534827,0.06065006384270433,0.36832526037606783,0.03219552922217872
2010-06-01,0.34120192019404527,3.3975512869680813,-0.938974034983886,0.07927071362390237,0.5349331788741196,0.19699521042753076,0.9144554497609647,0.35064538530473754,8.58497018,-6.9,1.06211528761905,3.668140291966109,0.016089,116.166943549078,2.99767374441406,6.04039499,0.762632838409091,1.2,85.7812,9.65068775,1.660863380952381,2.73,0.3267619047619047,-0.436326853387925,-0.3838062665924902,-0.10326789555135107,-0.09577087943366536,0.8510055369373326,0.8444844828913389,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.2826642049170047,-0.10427860378978693,0.5182549193299302,0.03462849172430893,0.999223894844814,0.629165749209637,0.5627347946489891,0.2630789213340812
2010-07-01,-0.2574250088995811,0.25742500889949227,0.11785505194445989,-0.7955491441115292,0.03256493499055324,-1.5742680082623473,0.9144554497609647,0.35064538530473754,11.15296221,-5.5,1.06211528761905,3.494738137532244,0.059386,113.757883912694,2.96222904070938,7.96148468,0.762632838409091,1.2,84.14068,11.01743635,1.4997958181818185,2.73,0.3626818181818181,-0.7333150727492743,-0.6359930186201623,-0.436326853387925,-0.3838062665924902,-0.10326789555135107,-0.09577087943366536,-0.4999999999999997,-0.8660254037844388,0.8660254037844384,0.5000000000000004,0.19376519698628414,-0.16615027425848083,0.27812095075434584,-0.01970754602371727,0.25853201261165637,-0.07496038930101534,0.47093687665311634,0.21152370783976693
2010-08-01,0.4849008218176465,-0.48490082181755767,0.11771631730148613,-0.15987213636963205,-1.7501415454656666,1.405452573367505,0.9144554497609647,0.35064538530473754,12.379581,-4.9,1.06211528761905,3.34203968216699,0.079548,111.075475418943,2.76158510192208,7.7348765,0.762632838409091,1.2,79.58358,11.71146634,1.3953156363636363,2.73,0.3735454545454545,-0.013945808194559817,-0.0070419706438507035,-0.7333150727492743,-0.6359930186201623,-0.436326853387925,-0.3838062665924902,-0.8660254037844385,-0.5000000000000004,0.8660254037844392,-0.4999999999999992,0.240724629207012,-0.06203172271064261,0.5088548883534827,0.06065006384270433,0.36832526037606783,0.03219552922217872,0.19210289338458253,0.04829200593432503
2010-09-01,0.5784755640577899,-0.23502931919434644,1.7493157447517227,0.5584378293900016,0.1622499923666254,3.462682366025849,0.6628949869556422,1.010587132726215,10.80298872,-2.8,1.16315789473684,3.292466467525612,0.318768,107.692519298526,2.54238182751189,7.16035874,0.939473684210526,1.0,80.02588,10.58297072,0.9814138181818182,2.73,0.375,-0.02314840014330244,0.01041400635211076,-0.013945808194559817,-0.0070419706438507035,-0.7333150727492743,-0.6359930186201623,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0.5182549193299302,0.03462849172430893,0.999223894844814,0.629165749209637,0.5627347946489891,0.2630789213340812,0.48460083761590056,0.20973517362943284
2010-10-01,0.3113757082449986,-0.3113757082449986,-1.0459130790137827,0.15898254540998025,-0.0940751968169451,0.17549290618097402,0.6628949869556422,1.010587132726215,10.43229035,-1.6,1.16315789473684,3.3051662784626705,0.093595,106.656984077312,2.6116166716541804,7.0931783,0.939473684210526,1.0,77.8553,10.21606282,1.3013595454545457,2.73,0.4657727272727273,0.5306685461487604,0.671540824787531,-0.02314840014330244,0.01041400635211076,-0.013945808194559817,-0.0070419706438507035,-0.8660254037844386,0.5000000000000001,-0.8660254037844387,-0.49999999999999983,0.27812095075434584,-0.01970754602371727,0.25853201261165637,-0.07496038930101534,0.47093687665311634,0.21152370783976693,-0.11254891969842973,-0.5304140469426954
2010-11-01,-0.44070057967182663,0.44070057967191545,1.7371600710760937,-0.15898254540998025,0.5884960404619832,2.4302043939049334,0.6628949869556422,1.010587132726215,10.09158351,-0.9,1.16315789473684,3.2394927570595566,0.058606,104.497605125654,2.33162440414292,7.26357399,0.939473684210526,1.0,80.0695,9.89826388,1.376346380952381,2.73,0.4764285714285715,0.2398389118423161,0.17736137837713883,0.5306685461487604,0.671540824787531,-0.02314840014330244,0.01041400635211076,-0.5000000000000004,0.8660254037844384,-0.8660254037844392,0.4999999999999991,0.5088548883534827,0.06065006384270433,0.36832526037606783,0.03219552922217872,0.19210289338458253,0.04829200593432503,-0.5271239230016711,-0.9770202599772126
2010-12-01,-0.47809125026372357,0.934192383019905,-0.8069208048446797,0.6344192571373419,0.3429044877048426,-0.8052997962510133,0.5107363046310098,0.4796948269262913,9.47650059,0.4,0.963272727272727,3.2238782354156323,0.15866,104.515412409491,2.6762547054332,6.84799599,0.811818181818182,0.9,83.9675,9.20321225,1.3122945454545454,2.73,0.4740454545454545,0.035435565801211766,-0.02222674634175803,0.2398389118423161,0.17736137837713883,0.5306685461487604,0.671540824787531,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,0.999223894844814,0.629165749209637,0.5627347946489891,0.2630789213340812,0.48460083761590056,0.20973517362943284,-0.7172365744956721,-1.153596981434113
2011-01-01,0.14835418159293567,-0.14835418159284686,-0.23174981403624173,-0.07908264548177613,0.4936621358439197,-0.6193967204798589,0.5107363046310098,0.4796948269262913,9.07830316,0.4,0.963272727272727,3.277152670002237,0.050282,102.073858092812,3.0317993150717104,6.61956863,0.811818181818182,0.9,88.60587,8.94779582,1.635022347826087,2.73,0.485695652173913,-0.35127788373428004,-0.6922833526460614,0.035435565801211766,-0.02222674634175803,0.2398389118423161,0.17736137837713883,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.25853201261165637,-0.07496038930101534,0.47093687665311634,0.21152370783976693,-0.11254891969842973,-0.5304140469426954,-0.792608094681313,-1.045092856475538
2011-02-01,-0.06929948640772565,0.06929948640763683,0.0,0.9448889197932075,0.40988419100465023,3.3393361998745874,0.5107363046310098,0.4796948269262913,9.10025992,2.3,0.963272727272727,3.438340798616854,0.10152,102.408445341374,2.915429943683911,7.54025165,0.811818181818182,0.9,92.32666,8.9450912,1.664384761904762,2.73,0.552,0.3762028635994952,0.297279902153047,-0.35127788373428004,-0.6922833526460614,0.035435565801211766,-0.02222674634175803,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0.36832526037606783,0.03219552922217872,0.19210289338458253,0.04829200593432503,-0.5271239230016711,-0.9770202599772126,-0.8874755505987153,-1.1597876798767892
