Date,target_headline_3m,target_core_3m,target_headline_6m,target_core_6m,target_headline_9m,target_core_9m,target_headline_12m,target_core_12m,PPI,real_turnover,retail_turnover,Manufacturing_EU,Vol_loans,Exchange_Rate_CHF,gdp_index_ch,gdp_index_eu,variable_mortgages,M3_change,Saron_Rate,EU_fin_spread,CH_2int,kofbarometer,fin_spread,M1_change,Wage_change,Business_Confidence_EU,infl_e_current_year,unemployment_rate,oilprices,infl_e_next_year,M2_change,headline_1m,core_1m,headline_lag_1,core_lag_1,headline_lag_2,core_lag_2,headline_lag_12,core_lag_12,sin_cycle_1,cos_cycle_1,sin_cycle_2,cos_cycle_2,time_index
2001-09-01,-0.21916924363658552,2.1456415222392167,0.1638401504216347,0.9859533932759845,1.207682717012067,1.695052672787985,0.49558733106236375,0.7600663877692426,1.135417405922748,-1.2823676201518683,-1.7770585378351138,-0.33522150026649433,-1.4105720476032466,0.8902771659662188,-0.022026662662474824,-0.3556995629116031,2.7731697971379736,-0.7223468966826586,2.9996422587750335,-0.8407684431196283,1.9907358364179397,-0.8025684247365972,-2.155940155772192,-0.586987623437224,1.786928852449144,-0.1661836519240565,1.0593655640066295,-2.629110888733915,-1.1062480907868955,1.5675830894229634,-0.8379045210715087,0.17717217051738235,0.006754696813012895,-1.458862288350928,-1.1699777947356629,-0.4789146926097918,-0.003152582805587622,1.0546595018089597,-0.16139142285453428,-1.398411797560202,-1.9440990401048895e-16,5.594574863950256e-16,-1.3984117975602024,-1.7190764615330567
2001-10-01,0.8823222193775848,1.3781853890922235,2.1854119438620145,2.392072559131364,0.7053631666856575,0.941389351991854,1.2296399649859069,1.4737475060203842,-0.26868077253688594,-0.01353558904319915,0.6183140930321569,0.2986199131564123,-0.08389120213614842,0.6678646361649297,-0.022026662662474824,-0.3556995629116031,2.7731697971379736,-0.8397661910038329,1.6295760127277685,-0.5283269047809562,1.6368515798340448,-1.10117431458379,-0.5258483344435338,-0.6128435812652693,1.786928852449144,-0.2728041328980049,1.0593655640066295,-2.592215705529868,-1.1563519339055621,1.5675830894229634,-0.8290986158168066,-0.5011276026772578,-0.06863768330003624,0.1917440244665494,0.01969780112472111,-1.455589840340684,-1.176296354134631,-0.41915734321163295,-0.0553703059006774,-1.2096408109123207,0.7097801622952553,-1.2293753032998656,-0.6939088843954032,-1.6930298484795256
2001-11-01,0.3345284002833182,-0.38644379178514043,2.109604101000251,1.6173928861304532,0.4825826165514968,0.29712152474985487,0.9112888980970624,0.9208849480599746,0.2561808488234441,-0.1449783937206379,0.7857710085055215,-0.17716251606849132,-0.06343982973995264,1.105590446106245,-0.022026662662474824,-0.3556995629116031,2.748883790486273,-0.45568795920732386,1.7426424571232961,-0.3832407554652228,1.1787041278475672,-1.9761429378793622,-0.9402192425331983,-0.4172730786141401,1.786928852449144,-0.7632583453781683,1.0593655640066295,-2.5481273759837393,-1.4740070555146885,1.5675830894229634,-0.6586253157339932,0.1929901369647637,1.1638030787441254,-0.4820591741272582,-0.0553869783698018,0.19380395412790163,0.015085964021876024,0.9956439743818761,0.9407891416141457,-0.6939088843954039,1.229375303299865,-1.2293753032998662,0.715096941934193,-1.6669832354259944
2001-12-01,0.5468495444798549,-0.17373473568724762,1.9211086973363933,1.4697582480623694,0.7338395226286801,0.2982080096125846,0.8868869619916175,0.8840855157103533,-0.29364556231651445,-1.7974414499278446,-1.6896192838040598,-0.6514996906709204,-1.0551015868447975,0.3009244697054234,-0.49076817001122663,-0.02224625917319951,2.2874496641039963,0.04422662391914663,1.5451140597495605,-0.3260863365040909,1.1387951374797296,-1.8096843692167488,-0.7306369834374639,-0.4126252483189331,1.786928852449144,-0.9764993073260654,0.6717166085536708,-2.300489169330508,-1.572449888587846,0.8762909565407261,-0.549358104326852,-0.2222171567943307,-0.06899583739523796,0.20745713068991925,1.1720254301440258,-0.47950427559568376,-0.0601065329611023,-0.34110675263378537,-0.22585871754001513,0.01059402876939515,1.4195603245905104,-6.574645189994168e-16,1.4195998550989932,-1.6409366223724633
2002-01-01,3.4885016683464443,3.4059597291705046,0.6168836403396938,0.7229913334416693,1.3454125468553475,1.5056015449964377,0.8430961309611185,0.6984297632662617,-1.1650141013323558,0.21093608476200637,1.586702416324193,-0.6521418803307446,2.0231073192652063,-0.03705228555141866,-0.49076817001122663,-0.02224625917319951,2.1660196308455024,0.24912067547379568,0.9314983964481983,-0.028746356211586232,1.3531878268083544,-1.3400115348020571,0.5149130516463062,-0.3907062031782699,1.786928852449144,-0.98716135542346,0.6717166085536708,-1.9232530957162912,-1.5741540172746828,0.8762909565407261,-0.4734242564742684,0.16818119645686871,-0.5310420850642062,-0.2049976771551605,-0.055743671197683836,0.2095055176657347,1.169066735514414,-0.3329605518728693,0.6554068762456957,0.7150969419341942,1.2293753032998656,1.2293753032998653,0.7150969419341944,-1.6148900093189322
2002-02-01,3.8846798017171835,3.621229564046047,0.5566097246855861,0.6389041830173525,1.1035423973683103,1.356661194675013,0.9445856214718162,0.6912414733964312,-0.0075555025923521235,-0.07893004056487098,-0.18261731478651452,-0.01830112020224415,-0.37010976210479024,-0.2595212890992079,-0.49076817001122663,-0.02224625917319951,2.1660196308455024,0.2909017149243293,0.5991291841852922,0.03397182984470595,1.419728137998992,-0.8090449937904133,0.934266780938211,-0.019409750644097997,1.786928852449144,-0.6459758163068248,0.6717166085536708,-1.5840437114722925,-1.518200639060469,0.8762909565407261,-0.23268221951361556,-0.139870566492512,0.10058621790120172,0.18281265323533766,-0.5159047719677535,-0.20264630513759577,-0.060463737504618704,-0.48725818687888267,-0.41620425764624175,1.2308288684511117,0.7097801622952553,1.2293753032998656,-0.6939088843954032,-1.588843396265401
2002-03-01,3.2953678501929318,3.1132512318119865,0.8273345117030928,0.5341793822625007,1.0002327678288716,1.2366922661762203,1.330149842970485,0.6970409824102575,-1.4820924444405787,-1.5537974968314356,-0.7989758354607929,-0.8108437074829781,0.22583846376709987,-0.20081764873084246,-1.0930851032618183,-0.3962718392616995,2.1660196308455024,-0.544590944269883,1.0586551690168626,0.056235885326170666,1.4419399542408462,0.02378057929017576,0.5363385706260559,-0.34454968239181183,1.9844862401263978,-0.6779619605990094,0.24094215728182616,-1.2734048579240895,-1.4426878298290025,1.1343974186873544,-0.36922903458817924,-0.09320262075417304,0.05916471743862208,-0.12319697762472213,0.11314648997070315,0.1848791437897475,-0.5212849906836523,0.23018040529834838,0.23564231804434707,1.419599855098993,1.5328209753078028e-16,2.1176548485375632e-16,-1.3984117975602024,-1.5627967832118699
2002-04-01,-2.2547343876670567,-1.959977062287166,0.27386798610979923,0.5554224529094043,-0.038705714833990136,-0.2040802253684859,0.6696412652787309,0.6826423564516126,-1.377886325268703,0.26424636887007436,0.16964340357789173,-0.6531100695327848,-1.280750822440804,-0.6309542267778477,-1.0930851032618183,-0.3962718392616995,2.1660196308455024,-0.533472827939529,0.5980902256483022,0.24973600803591806,1.6162151292440134,0.08299349723268885,1.2650233503955748,-0.1834357896622844,1.9844862401263978,-0.40074871006674323,0.24094215728182616,-1.242773369568485,-1.240275851912722,1.1343974186873544,-0.19656081547412452,1.9556427579907056,1.6257801827226896,-0.07683840232667055,0.0718939890693984,-0.12090569555614314,0.10866871543193173,0.5112730391847005,0.16437436194755337,1.230828868451112,-0.7097801622952548,-1.2293753032998653,-0.6939088843954041,-1.5367501701583386
2002-05-01,-2.7714603523460113,-2.3434211980113417,-0.2870263048061261,0.22437700998949595,-0.035445771943306184,-0.285421223486774,0.41330084645361254,0.5928405898807831,-0.11823202734429511,-0.051212958131549795,0.16856469808650018,1.40520765205179,-0.9560783955971621,0.3106224725597762,-1.0930851032618183,-0.3962718392616995,2.1660196308455024,-0.24251646943984267,0.8681581829692769,0.21819076560576636,1.422666208930454,-0.08716617817661479,0.7632570990787173,-0.016822621687404206,1.9844862401263978,-0.23015594050842567,0.24094215728182616,-1.3276767429657486,-1.129402180263324,1.1343974186873544,0.030403535323063502,0.10086258450618804,0.23028968226120472,1.9584248016111796,1.6321176693296802,-0.07458117478868487,0.0673570332182557,1.1550521816029402,0.7769424639569817,0.7150969419341942,-1.2293753032998656,-1.2293753032998653,0.7150969419341944,-1.5107035571048075
2002-06-01,-1.6406988267867462,-2.044892467286985,-0.14733477335315825,0.2984127833583372,0.675077173896336,-0.10836243405698553,0.5464927312744727,0.6432776760822101,-0.26413236595993733,-2.19268621187332,-1.3352742549328047,-0.020854357625873714,0.07737167861784638,0.2780975938490965,-0.44756344503762374,-0.05084055005799667,2.1660196308455024,-0.640871895980833,0.31312177754050924,0.16969280156836186,1.085554505098776,0.18420957103642074,1.2874323618336732,-0.17297279570121532,1.3918140770946372,-0.23015594050842567,0.07159229938305087,-1.3416589263048513,-1.2173235368071977,0.8365822700566323,-0.03928869488059382,-0.45129134666290144,-0.24690022449189217,0.11594030880916915,0.24232076469904434,1.959186945821036,1.6298190283194114,0.30070522551794543,0.10684126776756116,0.010594028769395667,-1.4195603245905104,-3.0977251745814757e-16,1.4195998550989932,-1.4846569440512762
